OBJECTID_1,FEATURE_TY,COUNTY_FIP,ROAD_NAME,GlobalID,last_edited_date
1158,State Highway,063,Highway 138,{C12BA483-B6EA-455A-AD0F-EDF507BC90AA},
1159,State Highway,063,Highway 138,{F001B844-12A9-4028-99D7-96469A45B9D0},
1160,State Highway,151,Keys Ferry St,{FBA53A2A-6B77-4CE4-AD67-E95FC8FAA9B3},
1161,State Highway,151,Lovejoy Rd,{9826F1EB-A07C-4028-B083-107EA83CA556},
1162,State Highway,151,Lower Woolsey Rd,{F6380446-C95E-439D-8140-2239D51746F8},
1163,State Highway,151,McDonough Rd,{44EC7EB2-7965-4E0A-84B3-3A15B672FC17},
1164,State Highway,151,McDonough St,{29848746-905D-40E2-AAEA-22B998D8A5BD},
1165,State Highway,151,N Cedar St,{8D543C86-A8A8-4971-80DF-4BDEFF993E4E},
1166,State Highway,151,Rosenwald Dr,{506E711B-3018-4435-B60F-687A66A123F2},
1167,State Highway,151,S Cedar St,{274AD312-920B-4DE7-A109-686EDC2B8A62},
1168,State Highway,151,Sims St,{DE5351F8-9FED-4C87-B413-48F038755725},
1169,State Highway,151,State Route 42,{BAEB9EC0-5AA4-4993-8F5D-1107C7DA0106},
1170,State Highway,151,State Route 81,{EF2311A6-3157-4DC9-8637-093FA91D8EC6},
1171,State Highway,151,US Highway 41,{E1FCC385-31FA-4000-8763-62E714A9111A},
1172,State Highway,151,W Main S,{1A0D934E-CECA-428D-8637-85F7340CE440},
1173,State Highway,151,Woodlawn Ave,{522A8269-1C54-4369-82B1-ADA98AF217BA},
1174,State Highway,151,Woolsey Rd,{01962AF1-D0E7-44AA-BCFD-32E6064E540C},
1175,State Highway,151/255,Stagecoach Rd,{5DE38B50-1DE5-40FF-A434-EFC6F6B9BC9A},
1176,State Highway,157,State Route 330,{7D26EF05-E379-49A0-ABBD-2B1B9C2F6686},
1177,State Highway,159,College St,{1FB0D29D-9047-47F6-840B-9CA59CCEA577},
1178,State Highway,159,E Green St,{3BA93A7A-40BC-4F6B-9AAD-3F4EA7612EB6},
