OBJECTID,FeatureID,Name,DevType,Acres,SchoolES,SchoolMS,SchoolHS,YearBuilt,Gated,Private,TotalPop2015,TotalPop2015_MaritalStatus,TotalPop2015_NeverMarried,TotalPop2015_Married,TotalPop2015_Divorced,TotalPop2015_NeverMarried_PerOf,TotalPop2015_Married_PerOfTotal,TotalPop2015_Divorced_PerOfTota,TotalPop2015_NeverMarried_Per_1,TotalPop2015_Married_PerOfTot_1,TotalPop2015_Divorced_PerOfTo_1,TotalPop2015_PerOfTotalCity,Score_NeverMarriedPercentOfCity,Score_MarriedPercentOfCity,Score_DivorcedPercentOfCity,Shape_Length,Shape_Area
189,SA100437,Haynesbrooke,Subdivision,4.69953,Northwood Elementary School,Haynes Bridge Middle School,Centennial High School,,Yes,Yes,0,0,0,0,0,0,0,0,0,0,0,0,(no data),(no data),(no data),2095.776345,204706.612607
190,SA100428,Herrington Cove,Subdivision,4.498595,Dolvin Elementary School,Autrey Mill Middle School,Johns Creek High School,,No,No,0,0,0,0,0,0,0,0,0,0,0,0,(no data),(no data),(no data),1837.444849,195958.791639
191,SA100271,Highlands at Johns Creek,Subdivision,10.224315,Findley Oaks Elementary School,River Trail Middle School,Northview High School,,No,No,0,0,0,0,0,0,0,0,0,0,0,0,(no data),(no data),(no data),3021.482429,445371.149152
192,SA100385,Ivey Ridge,Subdivision,25.738064,Northwood Elementary School,Haynes Bridge Middle School,Centennial High School,,No,No,0,0,0,0,0,0,0,0,0,0,0,0,(no data),(no data),(no data),7067.915468,1121064.804368
193,SA100456,Jaden Woods,Subdivision,37.095708,Shakerag Elementary School,River Trail Middle School,Northview High School,,No,No,0,0,0,0,0,0,0,0,0,0,0,0,(no data),(no data),(no data),6290.365418,1615889.163056
194,SA100523,Johns Creek Station,Subdivision,14.012769,Shakerag Elementary School,River Trail Middle School,Northview High School,2013,No,No,0,0,0,0,0,0,0,0,0,0,0,0,(no data),(no data),(no data),3736.201,618411.438727
195,SA100417,Jones Bridge Crossing,Subdivision,24.050589,Abbotts Hill Elementary School,Taylor Road Middle School,Chattahoochee High School,,No,No,0,0,0,0,0,0,0,0,0,0,0,0,(no data),(no data),(no data),4904.264095,1047643.658902
196,SA100485,Jones Bridge Estates,Subdivision,7.377706,Ocee Elementary School,Taylor Road Middle School,Chattahoochee High School,,Yes,No,0,0,0,0,0,0,0,0,0,0,0,0,(no data),(no data),(no data),2440.673417,320810.472885
197,SA100431,Jones Bridge Hills,Subdivision,6.005535,Dolvin Elementary School,Autrey Mill Middle School,Johns Creek High School,,No,No,0,0,0,0,0,0,0,0,0,0,0,0,(no data),(no data),(no data),2433.710609,261021.261496
198,SA100335,Jones Bridge Place,Subdivision,9.894097,Ocee Elementary School,Taylor Road Middle School,Chattahoochee High School,,No,No,0,0,0,0,0,0,0,0,0,0,0,0,(no data),(no data),(no data),3181.516345,430986.863467
199,SA100285,Jones Estates,Subdivision,2.900707,Dolvin Elementary School,Autrey Mill Middle School,Johns Creek High School,,No,No,0,0,0,0,0,0,0,0,0,0,0,0,(no data),(no data),(no data),1486.474171,126109.82309
200,SA100337,Kensington Oaks,Subdivision,13.575484,Lake Windward Elementary School,Taylor Road Middle School,Chattahoochee High School,,No,No,0,0,0,0,0,0,0,0,0,0,0,0,(no data),(no data),(no data),3653.83877,625226.674488
201,SA100501,Kimball Bridge at Creekside,Townhomes,4.712681,Ocee Elementary School,Taylor Road Middle School,Chattahoochee High School,,No,Yes,0,0,0,0,0,0,0,0,0,0,0,0,(no data),(no data),(no data),1812.656317,205284.400318
