OBJECTID,PK_ID,ParkType,Name,GeoZone,AcquisitionDate,DevelopmentDate,DevelopedAcres,UndevelopedAcres,TotalAcres,MowingSportsTurf,MowingCommons,ParkingSpaces,HandicappedParking,Restrooms,Concessions,Storage,BaseballFields,BattingCages,FootballFields,GolfCourse,MultiUseCourts,SoccerFields,RecreationCenter,SoftballFields,TennisCourts,SwimmingPools,Volleyball,CommunityCenter,Fishing,Lakes,Pavillions,PicnicAreas,Playgrounds,TrailMiles,DogPark,shapearea,shapelen,Address,Status
75,40,County,SANDY PLAINS PARK,E,1968-06-25T00:00:00.000Z,1968-06-25T00:00:00.000Z,13.87,0,13.711,2.3,2.7,142,4,2,2,2,,4,,,,,,4,,,,,,,,,1,,,586412.007617172,3706.153976974,,Active
76,33,County,NOONDAY CREEK PARK,E,1987-09-17T00:00:00.000Z,1990-03-01T00:00:00.000Z,99.33,0,99.562,18,12,482,22,3,2,2,,,2,,,13,,,,,,,,,1,1,2,1.5,,4348206.55388486,12393.4561524169,,Active
77,57,County,BARRETT PROPERTY ,E,1985-01-02T00:00:00.000Z,,0,96.38,46.493,0,0,,,,,,,,,,,,,,,,,,,,,,,,,2027105.8369138,9052.28078694978,,
78,70,County,WORTHINGTON PROPERTY,E,2005-05-07T00:00:00.000Z,,0,10,11.967,0,0,,,,,,,,,,,,,,,,,,,,,,,,,527832.567429075,3970.81874336223,,
79,77,County,CAMP MCDONALD PARK,E,,,0,7.57,7.691,0,0,,,,,,,,,,,,,,,,,,,,,,,,,333150.166978071,3003.96820788856,,Active
80,71,County,OAKDALE PARK,C,2003-05-27T00:00:00.000Z,2008-05-17T00:00:00.000Z,1,0,0.884,0,0.25,,,1,,1,,,,,,,,,,,,,,,,,2,,,39166.2133887134,924.813361565709,,Active
81,81,Fed Lease,US ARMY CORPS PROPERTY,W,,,0,1450,150.725,0,42,,,1,,1,,,,,,,,,,,,,Y,,,1,,14,,6550807.07223645,21333.8885463463,,Active
82,81,Federal,US ARMY CORPS PROPERTY,W,,,0,1450,1402.449,0,42,,,1,,1,,,,,,,,,,,,,Y,,,1,,14,,60915937.6146052,125179.944278162,,Active
83,37,County,PITNER ROAD PARK,W,1989-01-01T00:00:00.000Z,,2,298,312.894,0,2,,,2,1,1,,,,,,,,,,,,,,,2,1,1,,1,13629475.5632506,19283.7683558063,,Active
84,83,FedLease,ALLATOONA PARK,W,,,,,1571.27,,42,,,1,,1,,,,,,,,,,,,,YES,,,1,,14,,68051144.3922549,121206.166322168,,
85,5,Federal,SHOUPADE PARK,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,101779.349170573,1731.32317131507,,
86,11,County,FELLTON PROPERTY,E,2005-06-28T00:00:00.000Z,,0,18,4.114,0,2,,,,,,,,,,,,,,,,,,,,,,,,,767511.585187808,4006.79880444935,,
87,49,County,TRAMORE PARK,W,1987-08-27T00:00:00.000Z,1990-03-01T00:00:00.000Z,79,0,63.561,13.75,2.25,237,9,2,2,1,,,,,,11,,,,,,,,,1,1,1,1,,3556578.78863069,14925.5695851999,,Active
88,76,County,HENDERSON PROPERTY,C,2007-07-24T00:00:00.000Z,,0,15.452,14.779,0,0,,,,,,,,,,,,,,,,,,,,,,,,,884687.982576852,4988.74062996495,,
89,,County,KEMP PARK PROPERTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4101376.46515507,8448.6718154435,,
90,,County,ANDERSON PROPERTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1448754.77500283,6206.19414131688,,
91,,County,AVIATION PARK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155343.466371829,1945.83679317193,,
92,,County,FURR PROPERTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,633368.491437963,3814.54803701094,,
93,82,County,DISCOVERY BLVD PROPERTY,,,,,,82.494,,,,,,,,,,,,,,,,,,,,,,,,,,,4486212.41887441,20609.9654355658,,
94,,County,NESBITT UNION CHAPEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44598.6624190124,844.888168185943,,
95,62,County,BARTLETT PROPERTY,W,1971-03-17T00:00:00.000Z,,0,6.1,17.475,0,0,,,,,,,,,,,,,,,,,,Y,1,,,,,,891632.769864435,5777.47169047096,,
96,72,County,STOUT PARK,W,2008-06-10T00:00:00.000Z,,0,218.22,227.259,0,68,,,4,,4,,,,,,,,,,,,,,1,,,,,,13780763.8882676,31952.8904950111,,Active
97,,County,EBENEZER PROPERTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,770183.599845874,4012.19246290274,,
98,59,County,PRICE PARK,W,2004-02-24T00:00:00.000Z,,0,126.06,119.553,0,0.5,,,,,,,,,,,,,,,,,,,,,3,,2,,10464368.6522464,23627.1390022928,,
99,41,County,SEWELL PARK,E,1966-01-02T00:00:00.000Z,1966-06-01T00:00:00.000Z,24,0,25.129,3.3,3.7,162,4,2,2,1,6,2,,,,,,,4,1,,,,,1,1,1,1,,1260398.3124689,6941.83935158785,,Active
