OBJECTID,NAME_R,YEAR_,STORIES,BUILDING_NO,CITY,USAGE_DM,HISTORIC,SHAPEarea,SHAPElen
58778714,Building,,1,,Y,Single Family,,1489.31357782514,161.562394513525
58778715,Building,,1,,Y,Single Family,,2054.36235721789,185.809203441883
58778716,Building,,1,,Y,Single Family,,1171.59994119522,148.635477208069
58778717,Building,,1,,Y,Single Family,,1232.0444196691,156.695543076206
58778718,Building,,1,,Y,Single Family,,1321.88592346196,146.68184495257
58778719,Building,,1,,Y,Single Family,,1457.14622304213,153.663984500715
58778720,Building,,1,,Y,Single Family,,1518.12841807642,162.10138613508
58778721,Building,,1,,Y,Single Family,,1502.87937899501,165.270303726577
58778722,Building,,1,,Y,Single Family,,1531.74536612674,163.017355280587
58778723,Building,,1,,Y,Single Family,,1492.06621734409,162.628145613853
58778724,Building,,1,,Y,Single Family,,1308.81885460734,145.772459761304
58778725,Building,,1,,Y,Single Family,,2092.25744412034,194.830424687212
58778726,Building,,1,,Y,Single Family,,2035.1568008171,191.332916662683
58778727,Building,,1,,Y,Single Family,,1971.38998754933,189.714861832683
58778728,Building,,1,,Y,Single Family,,872.963316987144,118.445141316447
58778729,Building,,1,,Y,Single Family,,2088.86763621435,194.193382129567
58778730,Building,,1,,Y,Single Family,,1575.41462675856,176.031224995577
58778731,Building,,1,,Y,Condo Townhouse,,4466.67490621951,324.138577698663
58778732,Building,,1,,Y,Condo Townhouse,,5820.79780064809,383.303612905601
58778735,Building,,1,,Y,Single Family,,2933.04636312861,235.952608713115
58778736,Building,,1,,Y,Single Family,,3432.92459234614,270.903812165002
58778737,Building,,1,,Y,Single Family,,2423.01343061847,223.862035997348
58778738,Building,,1,,Y,Single Family,,2316.45588342958,203.437019745894
58778739,Building,,1,,Y,Single Family,,1778.42335085849,169.68343559654
58778740,Building,,1,,Y,Single Family,,1644.65066541381,197.295007061756
58778741,Building,,1,,Y,Condo Townhouse,,1011.12461691171,128.388845151205
58778742,Building,,1,,Y,Condo Townhouse,,1087.66092290076,157.563778388563
58778743,Building,,1,,Y,Condo Townhouse,,1342.98536264495,172.354597199635
58778744,Building,,1,,Y,Condo Townhouse,,864.994528466006,119.237641037107
58778745,Building,,1,,Y,Single Family,,1618.74681558213,171.312838586565
58778746,Building,,1,,Y,Single Family,,1693.41622419515,165.379457013243
58778747,Building,,1,,Y,Single Family,,2168.4478391977,213.661432502039
58778748,Building,,1,,Y,Single Family,,1798.90886797418,190.088459159752
58778749,Building,,1,,Y,Single Family,,2073.53172083932,196.023613403854
58778750,Building,,1,,Y,Single Family,,1616.73669404372,163.956830082978
58778751,Building,,1,,Y,Single Family,,2540.47325976032,230.958716435155
58778752,Building,,1,,Y,Single Family,,2932.31390862987,266.595817832891
58778753,Building,,1,,Y,Single Family,,1930.7114811395,183.941179116223
58778754,Building,,1,,Y,Single Family,,1932.41270461509,190.513630636392
58778755,Building,,1,,Y,Single Family,,2557.24724365027,266.070225365759
58778756,Building,,1,,Y,Single Family,,4701.61814742823,300.567152327807
58778757,Building,,1,,Y,Single Family,,4543.24577011675,311.738337140653
58778758,Building,,1,,Y,Single Family,,4789.90054148726,305.296411915228
58778759,Building,,1,,Y,Single Family,,3534.02615027113,332.320114098925
58778760,Building,,1,,Y,Single Family,,1862.94367029541,194.53040042788
58778761,Building,,1,,Y,Single Family,,3505.2311804612,283.348054085212
58778762,Building,,1,,Y,Single Family,,2513.04817202671,223.288164299456
58778763,Building,,1,,Y,Single Family,,2300.04981369181,208.41259609717
58778764,Building,,1,,Y,Single Family,,1448.07945269494,160.97100262639
58778765,Building,,1,,Y,Single Family,,1554.79588138469,171.783691954335
58778766,Building,,1,,Y,Single Family,,1676.38223209363,163.98324972074
58778767,Building,,1,,Y,Single Family,,1656.00761398334,162.869223049402
58778768,Building,,1,,Y,Single Family,,1507.25685842874,163.019126729598
58778769,Building,,1,,Y,Single Family,,1357.55241770245,158.792762398788
58778770,Building,,1,,Y,Single Family,,1271.37847859444,154.417918786006
58778771,Building,,1,,Y,Single Family,,2056.81682626209,192.806030148188
58778772,Building,,1,,Y,Single Family,,1367.66014278416,151.009213307354
58778773,Building,,1,,Y,Single Family,,1244.25827567909,144.758341754084
58778774,Building,,1,,Y,Single Family,,2365.35721896024,210.997005993449
58778775,Building,,1,,Y,Single Family,,2383.38398625968,223.072103110092
58778776,Building,,1,,Y,Single Family,,2088.75079190534,196.474678455951
58778777,Building,,1,,Y,Single Family,,2157.17885763372,194.21895070432
58778778,Building,,1,,Y,Single Family,,2313.23623604371,214.959068835372
58778779,Building,,1,,Y,Single Family,,2309.27751566786,210.505448633883
58778780,Building,,1,,Y,Single Family,,2243.09231595666,212.048741009033
58778781,Building,,1,,Y,Single Family,,2264.40182131218,215.039926333469
58778782,Building,,1,,Y,Single Family,,1657.05612401913,165.383615697492
58778783,Building,,1,,Y,Single Family,,3301.4834069049,242.19701641013
58778784,Building,,1,,Y,Single Family,,2908.88704038258,259.5365240121
58778785,Building,,1,,Y,Single Family,,3690.86800830542,300.994369680735
58778786,Building,,1,,Y,Single Family,,3196.90926070746,293.625841687624
58778787,Building,,1,,Y,Single Family,,4350.02259200927,317.367278497831
58778788,Building,,1,,Y,Single Family,,4449.60138298804,303.655064779727
58778789,Building,,1,,Y,Single Family,,4166.39054581523,396.496055248272
58778790,Building,,1,,Y,Single Family,,2140.40651576092,198.297235652126
58778791,Building,,1,,Y,Single Family,,1189.09642746026,149.846991860627
58778792,Building,,1,,Y,Single Family,,1507.64901177915,161.819505201571
58778793,Building,,1,,Y,Single Family,,1406.01235480541,160.244658857948
58778794,Building,,1,,Y,Single Family,,1448.76650429269,162.089716253254
58778795,Building,,1,,Y,Single Family,,1559.45692558132,164.497057484385
58778796,Building,,1,,Y,Single Family,,1277.63097526053,143.843875130962
58778797,Building,,1,,Y,Single Family,,1373.44482085854,156.656069252379
58778798,Building,,1,,Y,Single Family,,1148.85995606554,148.055113997216
58778799,Building,,1,,Y,Single Family,,1314.36844614349,155.453418018756
58778800,Building,,1,,Y,Single Family,,1186.40478888293,151.134537010358
58778801,Building,,1,,Y,Single Family,,2068.97256772095,193.0987293671
58778802,Building,,1,,Y,Single Family,,1216.29376276376,142.471783573356
58778803,Building,,1,,Y,Single Family,,1525.71719938028,165.285390050438
58778804,Building,,1,,Y,Single Family,,1545.46877184353,170.25385083931
58778805,Building,,1,,Y,Single Family,,1769.26588137217,168.436756919209
58778806,Building,,1,,Y,Single Family,,1440.00582682316,161.003088075882
58778807,Building,,1,,Y,Single Family,,1249.22624238523,156.353718777465
58778808,Building,,1,,Y,Single Family,,1312.01346168978,160.907873981078
58778809,Building,,1,,Y,Single Family,,1711.57274646461,181.437733542991
58778810,Building,,1,,Y,Single Family,,2279.05954189752,231.00987659449
58778811,Building,,1,,Y,Single Family,,1439.8472192514,167.446362679554
58778812,Building,,1,,Y,Single Family,,1417.80647558736,150.741947951577
58778813,Building,,1,,Y,Single Family,,1241.4877365654,156.55381410775
58778814,Building,,1,,Y,Condo Townhouse,,2050.08684258966,217.013900098458
