X,Y,OBJECTID,Name,Address,Type,City,Zip,GlobalID,last_edited_date
-84.303692309202674,33.946895514288293,451,Sophie Hirsh Srochi Jewish Discovery Museum,5342 Tilly Mill Rd.,Museum,Dunwoody,30338,{2A2D0811-3D40-4B91-B1BF-52C63A28210D},
-84.364168435340275,34.01293573426274,452,Barrington Hall,535 Barrington Dr.,Performance,Roswell,30075,{4A92AB5A-E361-49B6-A23C-DB934E3065A0},
-84.405337409121259,33.772982349073501,453,Atlanta Contemporary Art Center,535 Means St. NW,Gallery,Atlanta,30318,{4E0C4163-B479-4173-9BAA-4683BE4D624C},
-84.405337409121259,33.772982349073501,454,"Atlanta Film Festival, Atlanta Contemporary Art Center",535 Means St. NW,Gallery,Atlanta,30318,{B7662005-7513-4394-9A5B-43AF7D9AA999},
-84.324632079080516,33.790168369935628,455,Emory's Callaway Center,537 Kilgo Circle,Performance,Atlanta,30322,{93EFABC0-2187-48A7-9140-86CE2B2D3013},
-84.169681909421215,33.807151898510924,456,ART Station,5384 Manor Dr.,Gallery / Performance / Readings,Stone Mountain,30083,{AFA6B0CB-4B1C-4D2E-8CC7-3428AE8BE5CF},
-84.323166421409113,33.791351927932929,457,Emory's Robert W. Woodruff Library,540 Asbury Circle,Gallery,Atlanta,30322,{64845470-A327-43E4-8F70-852AA5A869E1},
-84.393743573237074,33.605702815283998,458,National Museum of Commercial Aviation,5442 Frontage Rd.,Museum,Forest Park,30297,{B6831745-B279-4E66-885C-E20DE29CB37D},
-84.067422921557835,34.108714401555524,459,Live Arts Theatre,5449 Pepperbush Ct,Performance,Sugar Hill,30518,{8CFFEF88-A7E9-499E-912B-CA59FC4DB68E},
-84.53699635574317,33.943269222289736,460,Cobb County Civic Center,548 S. Marietta Pkwy.,Performance,Marietta,30060,{D2050171-0BE3-4A7F-9172-DEF0827915CB},
-84.53699635574317,33.943269222289736,461,Jennie T. Anderson Theatre,548 South Marietta Pkwy.,Performance,Marietta,30060,{96FD87E0-9615-4DC1-9216-E16C435F6E9B},
