OBJECTID,GEOID10,NAME10,PLNG_REGIO,Median_household_income,Type_4__Annual_Transit_Trips,GlobalID,Pop_Chng_per_SqMi_2000_2010,Tp4_HousTranspCosts_Pct_Income,Tp4_HousingCosts_Pct_Income,Tp4_TranspCosts_Pct_Income,Tp4_AnnualVehMilesTraveled
70,13067030229,302.29,ARC 10,51905,8.36,{DBCF55F6-CD35-44B1-86A1-16A281C424D2},409.8,51.2,31.79,19.41,17010
71,13067031208,312.08,ARC 10,63125,146.94,{F92ABB17-6B8F-42A6-A0E8-A7870DFD5F5E},960.7,48.61,33.83,14.78,12370
72,13067031207,312.07,ARC 10,52945,173.4,{E5F86252-9986-4152-B3B9-C713F9F15036},176.4,43.59,30.03,13.56,11299
73,13067030226,302.26,ARC 10,70357,52.04,{62868B35-37F1-48F4-B384-71123713D41E},1151.9,54.82,34.63,20.19,18414
74,13067031505,315.05,ARC 10,62903,7.28,{4D3B2D04-87DC-4798-99C9-F626CCE74432},-27.4,51.6,30.13,21.46,19477
75,13067030313,303.13,ARC 10,77872,2.66,{BBFFBEE6-8F12-4972-BDA2-F67C1FF75DFC},201.1,53.94,33,20.94,17985
76,13067031310,313.10,ARC 10,27802,116.36,{20DE4676-A14C-4735-9585-185CEA0BBA65},244.1,49.14,32.36,16.78,15107
77,13067030214,302.14,ARC 10,74347,13.8,{8C6682BD-C20A-45C7-BC50-3A671B6BAE06},299,53.56,32.11,21.45,19332
78,13067031212,312.12,ARC 10,125000,29.16,{AA7418BA-BFEC-456D-93D4-887E4F5E7138},-71.3,54.92,35.44,19.48,16324
79,13067031211,312.11,ARC 10,53891,234.91,{066E9EEA-03FC-4A12-B3E3-DFBC04289B77},-73.3,40.59,27.81,12.78,11049
80,13067031209,312.09,ARC 10,120987,55.3,{6DBDE859-2D99-48ED-AD1B-B5FFC0E16D2C},600.8,66.32,47.13,19.19,16032
81,13067030224,302.24,ARC 10,69803,39.61,{493A1FB3-FA59-4451-9148-430C556D4CBD},1697.2,52.13,31.58,20.55,18241
82,13067031205,312.05,ARC 10,83000,118.29,{778C1EDE-D8D2-4C6D-A5BA-86D4128B3DDA},688.6,51.13,34.54,16.59,14789
83,13067031206,312.06,ARC 10,78214,78.23,{4375A8F3-E0C8-465F-ABFA-722F398AD88B},1112.2,50.42,33.54,16.88,14651
84,13067030220,302.20,ARC 10,63523,5.81,{D047C3FF-77B0-42F0-B00A-0E9A0D01C2C7},-44.3,54.35,32.91,21.43,18388
85,13067030905,309.05,ARC 10,52669,47.62,{D3F52A97-6C18-41B0-A2AF-7FD1C5D8F57B},398.3,51.37,31.35,20.02,17999
86,13067030502,305.02,ARC 10,83229,28.9,{5552D244-2D1E-4A9F-A85A-94DEDA2B29EA},114.1,54.25,34.48,19.76,17202
87,13067030209,302.09,ARC 10,82328,2.58,{25C39B79-4951-4F77-AF13-CB5925D56B7F},253.6,55.08,32.92,22.16,19579
88,13067030326,303.26,ARC 10,122371,13.73,{57330BC5-234D-46A9-811A-2570164E063C},-70.4,69.02,46.45,22.57,19712
89,13067031108,311.08,ARC 10,35563,143.92,{EF6DBB32-BDFF-4608-8C62-C992A4BF6F80},-380.8,45.87,30.66,15.2,13490
90,13117130105,1301.05,ARC 20,38306,0,{0F960935-E57B-4421-BB9F-15B5D7F8F388},106.5,49.1,26.74,22.36,20277
91,13117130205,1302.05,ARC 20,65795,0,{79377C8E-FA0E-45CD-B59B-9F95A63251EC},113.9,56.59,33.17,23.42,21381
92,13117130603,1306.03,ARC 20,118902,32.45,{B66C4858-FAE4-4D71-9C88-E543F15C9B24},391.4,67.95,46.37,21.58,19438
93,13117130610,1306.10,ARC 20,120685,25.93,{4C1E8F90-10CB-44BA-8293-EED5B2E4D1D7},125.9,69.75,46.89,22.86,19948
94,13117130606,1306.06,ARC 20,116714,38.29,{F5AEBAAB-5C08-4472-9944-B28AD360A095},263.5,65.53,44.3,21.22,18335
95,13117130604,1306.04,ARC 20,126058,34.28,{4A637F51-4DE4-4D44-A59F-76236460FE86},693.6,60.34,38.15,22.19,19110
96,13117130611,1306.11,ARC 20,127304,32.07,{CF5C96E9-E13D-4319-BD3B-4B468F744739},633.3,67.32,44.46,22.86,20221
97,13117130609,1306.09,ARC 20,125688,12.32,{4F0F4A4A-4A4B-4748-8F4D-04F1ACF17E37},1147.7,67.35,44.42,22.92,20040
98,13117130607,1306.07,ARC 20,120000,24.16,{973DF3EC-CCA6-4C66-BA89-659677511D03},1206.3,65.1,42.77,22.33,20241
99,13117130605,1306.05,ARC 20,99028,22.77,{ED10B424-0C1A-4C4F-82E6-F03606CE791E},684.5,57.22,34.26,22.97,20094
100,13117130602,1306.02,ARC 20,83445,48.85,{C6BC6C6E-8DDC-4DA8-8480-CC3EA1E52FE2},810.9,52.45,31.76,20.69,18854
101,13117130508,1305.08,ARC 20,104912,25.53,{C7494252-B163-4492-A10A-E20A9EE3C652},491.8,59.16,35.91,23.25,20799
102,13117130507,1305.07,ARC 20,71765,0.9,{B6949E19-2172-427B-AAF0-5FCA75DFF3F0},80,54.36,32,22.36,20570
103,13117130409,1304.09,ARC 20,60962,2.35,{23AC5B5C-1F18-4766-B09C-7DEB5E4365B1},201.7,49.55,28.32,21.23,19729
