OBJECTID,GEOID10,County,Area_Name,Total_Population,Total_Population_MOE_2016,Total_housing_units,Total_housing_units_MOE,Num_Total_housing_units_2000,ChgNum_Housing_units_2000_16,Num_Occupied_housing_units,Num_Occupied_housing_units_MOE,Pct_Occupied_housing_units,Pct_Occupied_housing_units_MOE,Num_Occupied_housing_units_2000,Num_OwnOcc_HousUnits_2000,Num_RentOcc_HousUnits_2000,Pct_Occupied_housing_units_2000,Pct_OwnOcc_HousUnits_2000,Pct_RentOcc_HousUnits_2000,ChgNum_OccHousUnits_2000_16,ChgPct_OccHousUnits_2000_16,ChgPct_OwnOcc_HousUnits_2000_16,ChgPct_RentOcc_Units_2000_16,Num_Vacant_housing_units,Num_Vacant_housing_units_MOE,Pct_Vacant_housing_units,Pct_Vacant_housing_units_MOE,Num_VacHousUnits_2000,Pct_VacHousUnits_2000,Chg_Pct_VacHousUnits_2000_16,Homeowner_vacancy_rate,Homeowner_vacancy_rate_MOE,Rental_vacancy_rate,Rental_vacancy_rate_MOE,Num_1Unit_Detatched,Num_1Unit_Detatched_MOE,Pct_1Unit_Detached,Pct_1Unit_Detached_MOE,Hous_Units_Built_Since_2000,Hous_Units_Built_Since_2000_MOE,Pct_Units_Built_Since_2000,Pct_Units_Built_Since_2000_MOE,Units_Built_1980_to_1999,Units_Built_1980_to_1999_MOE,Pct_Units_Built_1980_1999,Pct_Units_Built_1980_1999_MOE,Units_Built_1979_or_Earlier,Units_Built_1979_or_Earlier_MOE,Pct_Units_Built_1979earlier,Pct_Units_Built_1979earlier_MOE,Owner_Occ_Housing_Units,Owner_Occ_Housing_Units_MOE,Pct_Owner_Occ_Housing_Units,Pct_Owner_Occ_Housing_Units_MOE,Renter_Occ_Housing_Units,Renter_Occ_Housing_Units_MOE,Pct_Renter_Occ_Units,Pct_Renter_Occ_Units_MOE,Planning_Region,AcresLand,AcresWater,AcresTotal,SqMi_Land,SqMi_Water,SqMi_Total,TRACTCE10,CountyName,GlobalID,last_edited_date
233,13063040611,13063,"Census Tract 406.11, Clayton County",6683,849,2724,80,2590,134,2187,190,80.3,6.6,2425,919,1506,93.6,37.9,62,-238,-13,-10,9.7,537,173,19.7,6.3,165,6.4,13,1.3,2.1,21.1,6.9,1128,131,41.4,4.7,403,158,14.8,5.8,1302,293,47.8,10.7,1019,251,37,9.2,617,135,28.2,5.7,1570,198,71.8,6.6,ARC 10,1512.82995605,14.83030033,1527.66003418,2.36380005,0.0231723,2.38697004,040611,Clayton,{31A0013B-EE5D-45B7-A25B-88A58AC653D5},
820,13089021813,13089,"Census Tract 218.13, DeKalb County",2887,305,1270,50,1166,104,1087,100,85.6,7.1,1084,6,1077,93,0.6,99,3,-7,0,-0.1,183,97,14.4,7.6,82,7,7,0,162.5,6,5,17,20,1.3,1.6,355,125,28,9.8,791,157,62.3,12.1,124,74,10,5.8,8,12,0.7,1.1,1079,102,99.3,2.2,ARC 10,151.32400513,0,151.32400513,0.236444,0,0.236444,021813,DeKalb,{EC26F4B6-0EC1-4562-8299-88BF9EBBBF0F},
856,13089021706,13089,"Census Tract 217.06, DeKalb County",5347,570,2862,57,2266,596,2557,192,89.3,6.5,2191,1604,587,96.7,73.2,27,366,-7,-12,11.6,305,184,10.7,6.4,75,3.3,7,0,1.1,7.8,8.3,1472,200,51.4,6.9,282,146,9.9,5.1,741,219,25.9,7.6,1839,270,64,9.4,1575,201,61.6,6.4,982,187,38.4,6.7,ARC 10,1273.63000488,10.01319981,1283.65002441,1.99004996,0.0156456,2.00570011,021706,DeKalb,{45B47A41-D938-4FCA-9952-894A897DE50D},
679,13255160900,13255,"Census Tract 1609, Spalding County",2597,267,1132,55,1168,-36,917,77,81,5.5,1081,541,540,92.6,50,50,-164,-12,-9,8.7,215,62,19,5.4,87,7.4,12,9.4,6.8,17,6.7,942,76,83.2,5.4,30,31,2.7,2.7,184,57,16.3,5,918,129,81,10.7,379,77,41.3,7.6,538,89,58.7,8.4,ARC 20,2614.65991211,20.05459976,2634.70996094,4.08541012,0.0313353,4.11673021,160900,Spalding,{FFAFE0AA-717A-4960-A6BF-894AACDD93D5},
541,13121011612,13121,"Census Tract 116.12, Fulton County",3249,203,1203,39,1738,-535,1178,57,97.9,3.5,1641,1036,605,94.4,63.1,37,-463,4,32,-32.5,25,40,2.1,3.3,97,5.6,-4,2.2,3.5,0,25,1115,57,92.7,3.7,88,54,7.3,4.5,1050,125,87.3,10,65,44,5,3.7,1126,62,95.6,2.5,52,39,4.4,3.3,ARC 10,1777.7199707,64.43840027,1842.16003418,2.77768993,0.100685,2.87838006,011612,Fulton,{961206F6-2218-4E8E-9264-89B68D516D00},
766,13089021216,13089,"Census Tract 212.16, DeKalb County",8057,750,5077,182,2307,2770,4109,328,80.9,5.8,1983,872,1111,86,44,56,2126,-5,-25,24.7,968,355,19.1,7,324,14,5,7,11.3,13.3,6.4,812,196,16,3.8,2137,355,42.1,6.8,2121,396,41.8,7.6,819,271,16,5.3,795,166,19.3,3.7,3314,343,80.7,5.3,ARC 10,896.7869873,0,896.7869873,1.40122998,0,1.40122998,021216,DeKalb,{50CB77F4-9B0B-46B3-83E5-89B7FD1A01CE},
200,13067030901,13067,"Census Tract 309.01, Cobb County",7748,811,3383,131,3186,197,3070,170,90.7,3.6,3100,2189,911,97.3,70.6,29,-30,-7,0,-0.1,313,174,9.3,5.1,86,2.7,7,6.3,5.5,9.1,9.8,2213,173,65.4,4.4,337,150,10,4.4,2216,279,65.5,7.8,830,214,24,6.3,2170,186,70.7,4.6,900,195,29.3,6.1,ARC 10,2635.64990234,12.50450039,2648.15991211,4.11819983,0.0195383,4.13775015,030901,Cobb,{F628C878-D677-4A9F-8265-8A46F20F6233},
312,13135050216,13135,"Census Tract 502.16, Gwinnett County",8986,826,3153,71,1609,1544,2844,188,90.2,5.6,1580,1500,81,98.2,94.9,5,1264,-8,-19,19.4,309,163,9.8,5.2,28,1.7,8,1.8,2.3,11.7,11.1,2699,141,85.6,4,1674,236,53.1,7.4,1351,202,42.8,6.3,128,79,4,2.5,2148,246,75.5,7.1,696,271,24.5,9.4,ARC 10,3421.83007813,25.31030083,3447.13989258,5.34661007,0.0395473,5.3861599,050216,Gwinnett,{DAE3D77E-A52A-4655-8692-8A89A1FEBF67},
165,13067031509,13067,"Census Tract 315.09, Cobb County",10453,829,3657,112,2044,1613,3321,170,90.8,3.7,1975,1846,129,96.6,93.5,6,1346,-6,-11,10.6,336,162,9.2,4.4,69,3.4,6,3.7,3.9,6.7,10.2,3395,144,92.8,2.7,1757,267,48,7.2,1252,233,34.2,6.3,648,190,18,5.2,2752,256,82.9,6.4,569,213,17.1,6.4,ARC 10,6019.22021484,10.84519958,6030.06005859,9.40503025,0.0169456,9.42197037,031509,Cobb,{DDF0E857-C4FA-4B74-803C-8ABD613BCCF3},
871,13057090905,13057,"Census Tract 909.05, Cherokee County",3886,353,2053,91,1213,840,1778,148,86.6,6.1,1153,979,174,95.1,84.9,15,625,-8,-22,22.1,275,122,13.4,5.9,60,4.9,8,4.4,5.3,21.6,10,1548,122,75.4,4.9,647,115,31.5,5.4,971,153,47.3,7.1,435,151,21,7.3,1117,130,62.8,5.1,661,141,37.2,7.3,ARC 10,1012.03997803,11.95470047,1023.98999023,1.58131003,0.0186792,1.59998,090905,Cherokee,{A626D8EC-70EA-42C4-9175-8B998DC670B9},
