X,Y,OBJECTID,Name,Acres,Sq_Miles,County20,County10,Pop_PovertyStatus_Determined,Population_in_poverty,Percent_Population_in_poverty,Pop_under18_PovStatusDetermined,Pop_under18_in_Poverty,Pct_Pop_under18_in_Poverty,Pop_18_64_PovStatus_Determined,Pop_18_64_Years_in_Poverty,Pct_Pop_18_64_Years_in_Poverty,Pop_65older_PovStatusDetermined,Pop_65older_in_Poverty,Pct_Pop_65older_in_Poverty,GlobalID,last_edited_date
-84.457354411116995,32.603171618165696,40,Junction City,1584.93005371,2.47645998, , ,166,50,30.1,38,8,21.1,115,32,27.8,13,10,76.9,{5DD1C20A-A381-407F-99E5-E2CB2F12E257},
-84.551618930841585,32.578961087544528,41,Geneva,503.5289917,0.78676498, , ,89,6,6.7,7,0,0,64,6,9.4,18,0,0,{5AEC6DCA-BC5C-4743-B8AF-8A14254404AA},
-84.633019519734859,32.856563103206277,42,Manchester,5150.77001953,8.04806995, , ,4151,1301,31.3,1307,596,45.6,2092,568,27.2,752,137,18.2,{87178F57-B875-4326-8DA8-12DBC5B06757},
-84.308900636849515,32.238023966845518,43,Ellaville,2031.85998535,3.17478991, , ,2090,673,32.2,537,243,45.3,1205,384,31.9,348,46,13.2,{33B1A938-648D-4F84-A72E-83D8C5543606},
-83.954768637741594,34.876060180016673,44,Blairsville,711.4630127,1.11166, , ,546,144,26.4,130,44,33.8,290,69,23.8,126,31,24.6,{C23A2A55-2638-4DBC-997C-6A3FC5B40D83},
-83.456885379915988,31.948772381252436,45,Rochelle,1220.30004883,1.90673006, , ,1006,256,25.4,171,79,46.2,612,158,25.8,223,19,8.5,{7F077F77-897A-46A4-A7C5-8A82878BE8FA},
-83.541760432341846,31.946189657576681,46,Pitts,512.6630249,0.801036, , ,475,218,45.9,141,71,50.4,276,126,45.7,58,21,36.2,{4506B006-4D45-499B-AF60-B5B1214F0A9A},
-83.503012139293929,32.1084913904551,47,Pineview,1250.7199707,1.95424998, , ,536,313,58.4,191,152,79.6,262,129,49.2,83,32,38.6,{59F1EC64-C80B-4AB2-95C0-5EDB7EB0F4CB},
-83.306784752237647,31.992521537870257,48,Abbeville,1979.06994629,3.09229994, , ,876,280,32,252,100,39.7,451,146,32.4,173,34,19.7,{B33AE76F-2F33-4F93-8542-B9B02C432CFD},
-82.357947817525755,31.21090364262232,49,Waycross,7645.64013672,11.94629955, , ,13838,4610,33.3,3563,1766,49.6,7840,2464,31.4,2435,380,15.6,{D14A8403-995D-43A5-A135-B5FDA601D1EE},
-83.281478850598504,33.966629882992827,50,Winterville,1693.66003418,2.64634991, , ,1019,131,12.9,235,44,18.7,581,73,12.6,203,14,6.9,{07A4099D-E7FD-4769-9A1B-864AC2136CD5},
-83.533468441995979,33.947381185490876,51,Bogart,1522.33996582,2.37864995, , ,1254,232,18.5,309,83,26.9,793,143,18,152,6,3.9,{389DE7E1-585C-4335-879C-1D36C83A2B5A},
-83.996615817512804,33.664558946519954,52,Conyers,7552.85009766,11.80130005,yes,yes,15117,3444,22.8,4594,1383,30.1,9193,1889,20.5,1330,172,12.9,{09F15A6F-AFAE-48ED-A27C-E9C80EEDC409},
-83.957954430172748,33.890201890712085,53,Grayson,1594.05004883,2.49071002,yes,yes,2662,200,7.5,642,91,14.2,1627,90,5.5,393,19,4.8,{91DB43BB-5D0C-4A1C-8E94-EE97D0B7B36D},
-83.53741548238628,33.002388034566387,54,Gray,2489.23999023,3.88943005, , ,3080,445,14.4,917,208,22.7,1724,156,9,439,81,18.5,{CEDF198B-B538-4E71-BA7B-3BD2C09BCB90},
-85.149536953027905,33.708750574041105,55,Bremen,6763.83984375,10.56849957,yes, ,6093,1452,23.8,1878,647,34.5,3535,782,22.1,680,23,3.4,{D46C77C1-5DE6-4ECD-A829-0EC654A1FA95},
-84.766784007615655,34.82660415775154,56,Eton,771.23101807,1.20504999, , ,864,229,26.5,240,87,36.3,545,133,24.4,79,9,11.4,{0FF164B3-144A-4C35-9155-C0E0D8831B62},
-84.783395764576539,34.780713373819175,57,Chatsworth,3407.64990234,5.32446003, , ,4072,956,23.5,953,303,31.8,2601,622,23.9,518,31,6,{58F9488E-14D0-4C62-9992-290B5FA4C0D0},
-82.3152714928151,32.382145788657994,58,Oak Park,4626.79003906,7.22937012, , ,718,230,32,226,104,46,429,107,24.9,63,19,30.2,{AD1EDF1D-B563-4541-8199-1F1912EC9DEC},
-82.346664065201821,32.4919654270048,59,Nunez,858.39697266,1.34124994, , ,110,6,5.5,23,0,0,71,6,8.5,16,0,0,{DB720D1A-E636-4925-967C-6E175094E135},
-82.09623167322934,32.649546023215727,60,Garfield,509.23300171,0.79567599, , ,219,78,35.6,81,40,49.4,122,37,30.3,16,1,6.3,{6B4050B8-BC97-4171-8503-71BBDE8AC29B},
-82.59202957019258,32.530597001562974,61,Adrian,908.57397461,1.41964996, , ,527,199,37.8,143,83,58,310,106,34.2,74,10,13.5,{14208168-741C-4D87-BCB9-451DE10B41B2},
-82.313800827010425,33.41544431731495,62,Harlem,2904.93994141,4.53896999, , ,2795,581,20.8,784,247,31.5,1752,313,17.9,259,21,8.1,{DC9EFC66-0CD6-423A-8264-592BE9B654F9},
-82.206478711341262,33.449473541795562,63,Grovetown,3095.32006836,4.83644009, , ,11999,2220,18.5,3685,907,24.6,7634,1209,15.8,680,104,15.3,{0515A564-00C6-45CA-9CEA-F8F0B1C98046},
-83.241225717631522,33.087538974197045,64,Milledgeville,13158.90039063,20.56080055, , ,15646,7234,46.2,3012,1531,50.8,10829,5366,49.6,1805,337,18.7,{C9F00BF2-3245-497D-8436-D283639FC466},
-85.289752828786519,34.974753474803975,65,Rossville,1157.32995605,1.80832005, , ,3929,1504,38.3,925,446,48.2,2443,1019,41.7,561,39,7,{4AB1ADA4-E7E8-4CCB-B53E-19A7FC2C83FA},
-85.362199190103738,34.966418683353282,66,Lookout Mountain,1701.83996582,2.6591301, , ,1756,86,4.9,539,10,1.9,965,61,6.3,252,15,6,{EC5FE6F7-73FD-43B6-81AD-43102B3F0D5E},
-85.281534059918798,34.708660576835079,67,LaFayette,5229.18017578,8.1705904, , ,6675,1195,17.9,1533,270,17.6,3874,822,21.2,1268,103,8.1,{BEAF028E-C40D-4E64-BDE7-0F725FEF2A9B},
-85.289012626203217,34.874407602839703,68,Chickamauga,1651.41003418,2.5803299, , ,3125,399,12.8,742,101,13.6,2047,277,13.5,336,21,6.3,{00DF4991-8727-4EB5-B60F-F234B201D024},
-85.246035984125697,34.931844056290018,69,Fort Oglethorpe,8891.26953125,13.89260006, , ,9034,1625,18,2044,673,32.9,5366,818,15.2,1624,134,8.3,{36D3D1A1-DB76-4BF2-A56B-D20E08E811A8},
-82.157518895736871,32.58293764316759,70,Twin City,2314.06005859,3.61572003, , ,1624,780,48,429,263,61.3,962,465,48.3,233,52,22.3,{9518FFEC-E02E-4529-A711-9455B5FCCED3},
-82.334487487435808,32.586606118926412,71,Swainsboro,8288.45019531,12.95069981, , ,7171,3108,43.3,2225,1432,64.4,4198,1479,35.2,748,197,26.3,{BF6D0CEA-1C98-4126-88F5-15C6F0CEB7DF},
-82.276372834278533,32.745799922683538,72,Summertown,506.34899902,0.79117, , ,237,37,15.6,76,14,18.4,143,22,15.4,18,1,5.6,{1D5B000E-9607-4853-B2B8-061F98998FC8},
-82.214473545375114,32.441035494888034,73,Stillmore,2049.13989258,3.20178008, , ,596,175,29.4,171,49,28.7,346,103,29.8,79,23,29.1,{30DCEAD5-0133-44C5-8724-FF4198522F9B},
-84.483923966221724,34.691330497044504,74,Ellijay,2267.75,3.54335999, , ,1531,537,35.1,302,186,61.6,985,327,33.2,244,24,9.8,{B4E59661-5419-4D88-9BAF-4C63995592F7},
-84.47610583230427,34.67592347901715,75,East Ellijay,2177.2199707,3.40191007, , ,997,466,46.7,398,284,71.4,488,175,35.9,111,7,6.3,{A9C4A232-AA1A-477A-949C-53C1D136A0AB},
-83.249786092788838,31.598645994149308,76,Ocilla,1633.93994141,2.55303001, , ,2822,818,29,755,269,35.6,1679,448,26.7,388,101,26,{2DCBA07B-CAE4-4D40-97FE-3D93F68B0EB6},
-83.251695404596816,31.71386939057345,77,Fitzgerald,5763.47998047,9.00543022, , ,8683,3752,43.2,2530,1379,54.5,4978,1996,40.1,1175,377,32.1,{D4A42FA0-097A-465C-B8A1-E0243AF8E4DA},
-82.665271648342781,33.406733872666322,78,Warrenton,1231.57995605,1.92435002, , ,1914,844,44.1,448,364,81.3,1116,411,36.8,350,69,19.7,{3480AE2C-00FC-49E5-B728-5CADF4C98788},
-82.705488203982597,33.462486518761899,79,Norwood,527.9130249,0.82486302, , ,403,73,18.1,49,15,30.6,284,53,18.7,70,5,7.1,{F6707085-01CE-434E-8C76-B4AE6855DC6A},
-82.646272929126894,33.452639622442945,80,Camak,508.38400269,0.79435003, , ,156,26,16.7,42,13,31,99,9,9.1,15,4,26.7,{9A93E3A7-3C70-4894-A28C-231B968C7A22},
-82.871126877313074,34.106317794531584,81,Elberton,3060.77001953,4.7824502, , ,4377,1419,32.4,1090,634,58.2,2427,683,28.1,860,102,11.9,{AA6474EC-DBBA-4613-835B-50A347396E94},
-83.030876386624442,34.205138307498864,82,Bowman,2009.70996094,3.1401701, , ,826,190,23,160,58,36.3,490,109,22.2,176,23,13.1,{79DD8A62-14EA-4FE2-B015-6649ECF8DBBB},
-81.981443079721174,31.206537394802584,83,Nahunta,1814.88000488,2.8357501, , ,1102,332,30.1,276,85,30.8,650,192,29.5,176,55,31.3,{2BD3A8CA-07A6-48ED-B327-03D90DEE8D2B},
-82.131279562871057,31.181253683625133,84,Hoboken,2206.23999023,3.44724989, , ,663,44,6.6,161,5,3.1,385,31,8.1,117,8,6.8,{586B752A-68C5-4776-BBF7-7AA68E92F13B},
-81.125560987373746,31.963823625571976,85,Vernonburg,262.2130127,0.40970701, , ,116,2,1.7,18,0,0,68,2,2.9,30,0,0,{8F339F8C-22E7-4B90-A598-7589F87A172C},
