OBJECTID,GEOID10,County,Area_Name,Total_Population,Total_Population_MOE_2016,Pop_wHealth_Insurance,Pop_wHealth_Insurance_MOE,Pct_Pop_wHealth_Insurance,Pct_Pop_wHealth_Insurance_MOE,Pop_wPriv_Health_Insurance,Pop_wPriv_Health_Insurance_MOE,Pct_Pop_wPriv_Health_Ins,Pct_Pop_wPriv_Health_Ins_MOE,Pop_wPublic_Health_Ins,Pop_wPublic_Health_Ins_MOE,Pct_Pop_wPublic_Health_Ins,Pct_Pop_wPublic_Health_Ins_MOE,Pop_wNo_Health_Insurance,Pop_wNo_Health_Insurance_MOE,Pct_Pop_wNo_Health_Ins,Pct_Pop_wNo_Health_Ins_MOE,Pop_u18_wNo_Health_Ins,Pop_u18_wNo_Health_Ins_MOE,Pct_Pop_u18_wNo_Health_Ins,Pct_Pop_u18_wNo_Health_Ins_MOE,Pop18_64_Employed,Pop18_64_Employed_MOE,Pop18_64_Empl_No_Health_Ins,Pop18_64_Empl_No_Health_Ins_MOE,Pct18_64_Emp_No_Health_Ins,Pct18_64_Emp_No_Health_Ins_MOE,Pop18_64_Unemployed,Pop18_64_Unemployed_MOE,Pop18_64_Unemp_No_HealthIns,Pop18_64_Unemp_No_HealthIns_MOE,Pct18_64_Unemp_No_HealthIns,Pct18_64_Unemp_No_HealthIns_MOE,Pop18_64_Not_in_Labor_Force,Pop18_64_Not_in_Labor_Force_MOE,Pop18_64_NotLabor_NoHlthIns,Pop18_64_NotLabor_NoHlthIns_MOE,Pct18_64_NotLabor_NoHlthIns,Pct18_64_NotLabor_NoHlthIns_MOE,Planning_Region,AcresLand,AcresWater,AcresTotal,SqMi_Land,SqMi_Water,SqMi_Total,TRACTCE10,CountyName,GlobalID,last_edited_date
118,13117130504,13117,"Census Tract 1305.04, Forsyth County",3816,345,3333,296,87.5,11.1,2870,291,75.3,3.5,890,177,23.4,4.2,476,213,12.5,5.5,7,17,0.8,1.9,1963,275,300,197,15.3,9.8,113,66,33,48,29.2,39,430,119,136,84,32,17.5,ARC 20,2116.51000977,1593.89001465,3710.40991211,3.30704999,2.49044991,5.79752016,130504,Forsyth,{95B9FBC1-2D73-4F63-82D1-1B3E76C2D924},
834,13089021307,13089,"Census Tract 213.07, DeKalb County",4371,412,2733,341,62.5,5.1,1647,248,37.7,4.4,1273,295,29.1,6.2,1638,319,37.5,6.4,282,129,21,8.7,1868,240,830,242,44.4,11.6,164,89,106,78,64.6,32,649,153,368,108,57,9.9,ARC 10,894.55999756,0,894.55999756,1.39775002,0,1.39775002,021307,DeKalb,{D78FB5E4-057B-4607-983C-1B9CB38AA2E2},
527,13121000400,13121,"Census Tract 4, Fulton County",1757,256,1693,226,96.4,19,1613,224,91.8,18.5,370,112,21.1,5.6,64,56,3.6,3.1,0,18,0,8.8,906,154,12,15,1.3,1.6,31,33,7,6,22.6,31,283,122,45,49,16,15.9,ARC 10,384.73400879,11.93120003,396.66500854,0.601147,0.0186425,0.619789,000400,Fulton,{75AF17C6-59D2-4A48-B9B5-1C24A9A40C22},
863,13089021405,13089,"Census Tract 214.05, DeKalb County",4526,442,4079,369,90.3,12,3705,347,82.1,11.1,587,237,13,5.1,436,218,9.7,4.7,33,54,3.8,6.1,3072,327,254,178,8.3,5.7,84,62,34,42,40.5,40,291,121,104,73,36,20.2,ARC 10,593.46002197,0,593.46002197,0.92728102,0,0.92728102,021405,DeKalb,{F84ED41F-5538-4069-A164-1C36D248A852},
917,13013180103,13013,"Census Tract 1801.03, Barrow County",4697,516,4218,475,89.8,2.2,3487,400,74.2,2.5,1229,306,26.2,5.8,479,173,10.2,3.5,7,18,0.5,1.4,2086,320,252,103,12.1,4.6,84,53,31,36,36.9,36,673,198,175,141,26,19.5,ARC 20,7525.66015625,73.64630127,7599.29980469,11.75879955,0.115072,11.87390041,180103,Barrow,{85AA6644-B492-4313-BF65-1D204BC0FE3C},
348,13135050533,13135,"Census Tract 505.33, Gwinnett County",8220,602,6497,598,79,4.4,4256,579,51.8,5.9,2886,672,35.1,7.8,1723,455,21,5.3,284,188,11.8,7.5,3872,485,907,313,23.4,7.5,239,160,31,31,13,10,1283,346,501,186,39,10,ARC 10,1595.95996094,23.11450005,1619.07995605,2.49369001,0.0361164,2.52980995,050533,Gwinnett,{ED0A4550-2EDB-4B9D-B0A5-1D713DF15328},
226,13063040413,13063,"Census Tract 404.13, Clayton County",6979,663,5895,580,84.5,2.2,4421,502,63.3,3.9,1988,414,28.5,5.3,1084,306,15.5,4.1,67,71,3.6,3.7,3251,344,620,252,19.1,7.5,391,182,125,86,32,16,1029,252,272,112,26,8.8,ARC 10,1340.7800293,18.37599945,1359.15002441,2.09496999,0.0287125,2.1236701,040413,Clayton,{2DF3F01B-C3E0-4341-AEC3-1DB5B7B437B6},
45,13247060403,13247,"Census Tract 604.03, Rockdale County",3612,375,2993,378,83.1,5.9,2545,346,70.7,6.2,865,185,24,4.5,607,183,16.9,4.8,229,131,28.6,14.8,1476,235,155,73,10.5,4.7,82,58,51,51,62.2,44,646,161,172,93,27,12.8,ARC 10,9418.45019531,155.01300049,9573.45996094,14.71630001,0.242208,14.95849991,060403,Rockdale,{D6A05352-F0F2-40CF-B012-1E38463A791C},
597,13121005700,13121,"Census Tract 57, Fulton County",1707,276,1316,208,77.1,17.4,527,130,30.9,5.8,846,172,49.6,6.1,391,132,22.9,6.8,39,40,8.1,8,562,133,126,67,22.4,10.7,159,69,107,67,67.3,30,321,118,119,59,37,12.3,ARC 10,205.65800476,0,205.65800476,0.32134101,0,0.32134101,005700,Fulton,{ECAC5117-B733-42C2-BBAC-1F15FFEB617F},
292,13151070402,13151,"Census Tract 704.02, Henry County",12289,880,11044,805,89.9,1.2,8879,782,72.3,3.7,3304,584,26.9,4.3,1239,377,10.1,3,92,69,2.5,1.8,5203,544,607,248,11.7,4.6,428,202,226,136,52.8,20,1843,376,314,143,17,6.9,ARC 10,23445.09960938,105.27500153,23550.30078125,36.63299942,0.164492,36.79729843,070402,Henry,{898FC4D9-F594-4F8D-B09C-1F2E7D03AA79},
878,13057090501,13057,"Census Tract 905.01, Cherokee County",6588,511,6048,507,91.8,2.9,5304,505,80.5,4.4,1558,283,23.6,3.9,540,257,8.2,3.8,98,113,6.3,7.2,2967,335,142,117,4.8,3.9,145,116,116,96,80,17,957,210,184,118,19,11.6,ARC 10,23719.80078125,271.47698975,23991.30078125,37.06219864,0.42418301,37.4864006,090501,Cherokee,{2183FE73-CE78-4BDB-BBC2-201C9666CC16},
393,13135050304,13135,"Census Tract 503.04, Gwinnett County",5237,638,3230,453,61.7,4.3,2033,297,38.8,3.1,1391,350,26.6,5.9,2007,440,38.3,7,263,173,19.9,12.3,2792,373,1257,351,45,11,207,116,123,92,59.4,29,662,181,347,117,52,10.3,ARC 10,1883.60998535,18.68560028,1902.30004883,2.94314003,0.0291963,2.97234011,050304,Gwinnett,{21B15FEF-3420-4098-8270-202A6423CFE7},
54,13067030328,13067,"Census Tract 303.28, Cobb County",6557,481,6445,498,98.3,2.4,5840,485,89.1,3.5,1340,214,20.4,2.9,112,112,1.7,1.7,0,25,0,1.7,3088,361,112,105,3.6,3.4,77,53,0,18,0,23,648,185,0,18,0,2.8,ARC 10,1630.51000977,37.84389877,1668.34997559,2.54766989,0.0591311,2.60680008,030328,Cobb,{887015E6-D677-4F78-961A-204B9C81161B},
319,13135050730,13135,"Census Tract 507.30, Gwinnett County",7531,1005,6795,893,90.2,16.9,5463,791,72.5,4.1,1566,476,20.8,5.7,736,426,9.8,5.5,17,32,0.7,1.3,3522,540,257,168,7.3,4.6,433,236,257,191,59.4,30,913,275,205,156,22,15.7,ARC 10,2514.15991211,52.88869858,2567.04003906,3.92837,0.0826386,4.01100016,050730,Gwinnett,{E24CEA75-340B-40EF-B43C-2053B540235C},
423,13135050715,13135,"Census Tract 507.15, Gwinnett County",5890,531,5027,385,85.3,10.1,4114,376,69.8,1.1,1444,354,24.5,5.6,863,319,14.7,5.2,81,86,5.3,5.5,2657,308,497,266,18.7,9.8,215,113,172,111,80,30,800,208,113,67,14,7.5,ARC 10,1750.61999512,1.49127996,1752.10998535,2.73534012,0.00233012,2.73766994,050715,Gwinnett,{E3D16A6A-DAEA-499A-AD6E-2091615E2F1B},
848,13089021703,13089,"Census Tract 217.03, DeKalb County",4639,291,4325,287,95.1,2.9,3892,283,85.6,3.6,961,136,21.1,2.7,221,82,4.9,1.8,17,26,1.5,2.3,1830,182,88,61,4.8,3.3,140,68,63,49,45,27,514,110,41,33,8,6.2,ARC 10,1288.9699707,12.34809971,1301.31994629,2.01401997,0.0192939,2.03330994,021703,DeKalb,{1A2A5797-4D13-4718-9BBA-209DF09D9BE2},
250,13063040521,13063,"Census Tract 405.21, Clayton County",3291,432,2729,353,82.9,15.3,1567,259,47.6,4.8,1419,297,43.1,7,562,205,17.1,5.8,49,73,5,7.4,1359,212,300,141,22.1,9.8,234,98,120,75,51.3,24,494,141,93,59,19,10.7,ARC 10,649.15698242,0,649.15698242,1.01431,0,1.01431,040521,Clayton,{C80EB674-9F90-4AD8-9DF6-20C18CFAC62F},
535,13121010119,13121,"Census Tract 101.19, Fulton County",4835,821,3946,671,82.7,2.6,2713,512,56.9,5,1411,452,29.6,8.1,824,331,17.3,6.3,0,18,0,1.5,2482,362,504,236,20.3,9,307,168,110,87,35.8,20,558,283,199,202,36,31.4,ARC 10,532.83099365,0,532.83099365,0.83254802,0,0.83254802,010119,Fulton,{D51297AA-820C-49EC-95B5-20FBFD3DCD52},
389,13135050108,13135,"Census Tract 501.08, Gwinnett County",9690,651,8975,653,92.6,2.6,8216,518,84.8,7.8,1450,472,15,4.8,715,284,7.4,2.9,111,114,3.4,3.5,4532,330,304,178,6.7,3.9,228,146,99,88,43.4,27,1083,207,173,123,16,10.9,ARC 10,3580.73999023,83.77510071,3664.52001953,5.59491014,0.130899,5.72581005,050108,Gwinnett,{51323244-B5B6-4DF6-AA74-2109ACBE4ABA},
