OBJECTID,FeatureID,Name,DevType,Acres,SchoolES,SchoolMS,SchoolHS,YearBuilt,Gated,Private,TotalPop2015,TotalPop2015_MaritalStatus,TotalPop2015_NeverMarried,TotalPop2015_Married,TotalPop2015_Divorced,MedianAge2015,TotalHH2015,MedianHHIncome2015,Ed25Older2015_onlyHS,Ed25Older2015_uptoBachelors,Ed25Older2015_uptoGradDegree,MedianHomeValue2015,VehiclesPerHouse2015,AvgTravelTimeToWorkRelative,DiversityIndex2015,TotalPop2015_NeverMarried_PerOf,TotalPop2015_Married_PerOfTotal,TotalPop2015_Divorced_PerOfTota,TotalPop2015_NeverMarried_Per_1,TotalPop2015_Married_PerOfTot_1,TotalPop2015_Divorced_PerOfTo_1,TotalPop2015_PerOfTotalCity,Ed25Older2015_TotalPop,Ed25Older2015_onlyHS_PerOfTotal,Ed25Older2015_uptoBachelors_Per,Ed25Older2015_uptoGradDegree_Pe,Ed25Older2015_onlyHS_PerOfTot_1,Ed25Older2015_uptoBachelors_P_1,Ed25Older2015_uptoGradDegree__1,MedianHHIncome2015_AmtFromMedia,MedianHHIncome2015_PerFromMedia,Score_MedianAge,Score_TotalHH2015,Score_MedianHHIncome2015,Score_MedianHomeValue2015,Score_VehiclesPerHouse2015,Score_DiversityIndex,Score_NeverMarriedPercentOfCity,Score_MarriedPercentOfCity,Score_DivorcedPercentOfCity,Score_Education_onlyHS,Score_Education_upToBachelors,Score_Education_upToGradDegree,Shape_Length,Shape_Area
11,SA100463,Duck Pond,Apartments,18.61505139,Ocee Elementary School,Taylor Road Middle School,Chattahoochee High School,,Yes,Yes,802,641,138,468,35,38.2,306,97680,52,190,117,508475,3,3,63.7,21.5288,73.0109,5.4602,0.275075,0.932865,0.069765,1.2028,359,14.4846,52.9247,32.5905,1.379676,1.118304,1.142578,-18195.39568,-15.7025532260335,2 - Average,2 - Average,2 - Average,2 - Average,3 - High,3 - High,2 - Average,2 - Average,1 - Low,2 - Average,1 - Low,1 - Low,3653.23867909031,810871.638781349
12,SA100414,Amberleigh,Subdivision,69.63707851,Shakerag Elementary School,River Trail Middle School,Northview High School,,No,No,388,293,69,211,13,38.3,117,132144,13,100,65,505814,0,0,60.9,23.5494,72.0136,4.4368,0.137537,0.420586,0.025912,0.5819,178,7.3033,56.1797,36.5168,0.344919,0.588581,0.634765,16268.60432,14.0397400337738,2 - Average,2 - Average,2 - Average,2 - Average,(no data),3 - High,1 - Low,1 - Low,1 - Low,1 - Low,1 - Low,1 - Low,9553.97277523126,3033394.94882
13,SA100479,Ammersee,Subdivision,91.98308554,Medlock Bridge Elementary School,Autrey Mill Middle School,Johns Creek High School,2000,Yes,Yes,103,77,6,71,0,56.1,57,121389,7,20,25,804688,0,0,30.2,7.7922,92.2077,0,0.011959,0.141524,0,0.1544,52,13.4615,38.4615,48.0769,0.185725,0.117716,0.24414,5513.604317,4.75821832969922,3 - High,2 - Average,2 - Average,3 - High,(no data),2 - Average,1 - Low,1 - Low,(no data),1 - Low,1 - Low,1 - Low,9464.10971941022,4006734.52986246
14,SA100497,Andover,Subdivision,5.10950059,Abbotts Hill Elementary School,Taylor Road Middle School,Chattahoochee High School,,No,Yes,3,2,1,1,0,0,1,0,0,1,0,625000,0,0,44.4,50,50,0,0.001993,0.001993,0,0.0044,1,0,100,0,0,0.005885,0,,,(no data),(no data),(no data),3 - High,(no data),2 - Average,1 - Low,1 - Low,(no data),1 - Low,1 - Low,(no data),2090.50333039303,222575.90807463
15,SA100450,Ashland,Subdivision,26.6494298,Abbotts Hill Elementary School,Taylor Road Middle School,Chattahoochee High School,,No,No,399,278,57,193,28,35.4,120,107131,11,101,63,370833,3,3,67.2,20.5035,69.4244,10.0719,0.113618,0.384707,0.055812,0.5984,175,6.2857,57.7142,36,0.291854,0.594467,0.615234,-8744.395683,-7.54637827250404,2 - Average,2 - Average,2 - Average,2 - Average,3 - High,3 - High,1 - Low,1 - Low,1 - Low,1 - Low,1 - Low,1 - Low,5445.9021901359,1160874.72962586
16,SA100410,Aviary,Subdivision,67.86542192,State Bridge Crossing Elementary School,Taylor Road Middle School,Chattahoochee High School,,No,No,1175,917,288,551,78,40,412,103662,130,272,116,342079,2,3,62,31.4067,60.0872,8.5059,0.574071,1.098309,0.155477,1.7622,518,25.0965,52.5096,22.3938,3.44919,1.600941,1.132812,-12213.395683,-10.540111307505,2 - Average,3 - High,2 - Average,1 - Low,2 - Average,3 - High,2 - Average,2 - Average,1 - Low,3 - High,2 - Average,1 - Low,6937.17828060741,2956217.7796569
17,SA100487,Aylesbury Farms,Apartments,34.25348157,Wilson Creek Elementary School,River Trail Middle School,Northview High School,,Yes,Yes,469,360,75,247,38,36.6,174,94750,33,84,90,356757,3,3,61.6,20.8333,68.6111,10.5555,0.149497,0.492345,0.075745,0.7033,207,15.942,40.5797,43.4782,0.875563,0.494408,0.878906,-21125.39568,-18.2311314308628,2 - Average,2 - Average,2 - Average,2 - Average,3 - High,3 - High,1 - Low,1 - Low,1 - Low,1 - Low,1 - Low,1 - Low,5529.65398632092,1492065.34298856
18,SA100307,Beckton Hall,Subdivision,12.122186,State Bridge Crossing Elementary School,Taylor Road Middle School,Chattahoochee High School,,No,No,41,32,10,19,3,38.8,11,111255,5,9,4,350000,3,3,63.2,31.25,59.375,9.375,0.019933,0.037872,0.005979,0.0614,18,27.7777,50,22.2222,0.132661,0.052972,0.039062,-4620.39568,-3.9873828743075,2 - Average,1 - Low,2 - Average,2 - Average,3 - High,3 - High,1 - Low,1 - Low,1 - Low,1 - Low,1 - Low,1 - Low,3390.25233753491,527951.836913538
19,SA100308,Bellacree,Subdivision,35.55618285,Shakerag Elementary School,River Trail Middle School,Northview High School,,No,No,55,37,10,26,1,37.1,19,129300,1,11,11,464286,0,0,50,27.027,70.2702,2.7027,0.019933,0.051825,0.001993,0.0824,23,4.3478,47.826,47.826,0.026532,0.064743,0.107421,13424.60432,11.5853794827382,2 - Average,1 - Low,2 - Average,2 - Average,(no data),2 - Average,1 - Low,1 - Low,1 - Low,1 - Low,1 - Low,1 - Low,5014.45253378695,1548634.98460585
20,SA100309,Bellemont Farms,Subdivision,38.59903698,Shakerag Elementary School,River Trail Middle School,Northview High School,1993,No,No,601,416,115,289,12,37.1,177,134066,6,119,122,466667,0,0,51.1,27.6442,69.4711,2.8846,0.229229,0.576064,0.023919,0.9013,247,2.4291,48.1781,49.3927,0.159193,0.700412,1.191406,18190.604317,15.6984182964639,2 - Average,2 - Average,2 - Average,2 - Average,(no data),2 - Average,1 - Low,1 - Low,1 - Low,1 - Low,1 - Low,1 - Low,6428.39253967901,1670238.55078268
