OBJECTID,GEOID10,County,Area_Name,Total_Population,Total_Population_MOE_2016,Planning_Region,AcresLand,AcresWater,AcresTotal,SqMi_Land,SqMi_Water,SqMi_Total,TRACTCE10,CountyName,TOT_STUDENTS_ENROLLED_SCHOOL_YR,SUBSET_STUDENTS_GRADES_PK_5,SUBSET_STUDENTS_GRADES_6_8,SUBSET_STUDENTS_GRADES_9_12,PCT_GRADES_PK_5,PCT_GRADES_6_8,PCT_GRADES_9_12,STUDENT_SERVED_BY_SPECIAL_ED,PCT_SERVED_BY_SPECIAL_ED,STUDENT_SERVED_BY_GIFTED,PCT_SERVED_BY_GIFTED,STUDENT_IS_ENGLISH_LEARNER,PCT_ENGLISH_LEARNER,CT_RETAINED_STUDTS,PCT_RETAINED_STUDTS,CT_HOMELESS_UNACCOMP_STUDTS,PCT_HOMELESS,CT_STUDTS_PARENT_ACTV_MILITARY,PCT_STUDTS_PARENT_ACTV_MILITARY,CT_MID_STUDENTS_WITHDRAW_HOME,PCT_MID_STUDENTS_WITHDRAW_HOME,CT_HS_STUDENTS_WITHDRAW_HOME,PCT_HS_STUDENTS_WITHDRAW_HOME,CT_MID_STUDENTS_WITHDRAW_DJJ,PCT_MID_STUDENTS_WITHDRAW_DJJ,CT_HS_STUDENTS_WITHDRAW_DJJ,PCT_HS_STUDENTS_WITHDRAW_DJJ,CT_STUDENTS_WITHDRAW_ANY,PCT_STUDENTS_WITHDRAW_ANY,STUDENTS_ABSENT_0_5_days,PCT_STUDENTS_ABSENT_0_5_days,STUDENTS_ABSENT_6_15_days,PCT_STUDENTS_ABSENT_6_15_days,STUDENTS_ABSENT_16_MORE_DAYS,PCT_STUDTS_ABSENT_16_MORE_DAYS,CT_STUDTS_REC_DISCIPLINE,PCT_STUDTS_ABS_REC_DISCIPLINE,CT_STUDTS_OSS_MORE_10_days,PCT_STUDTS_OSS_MORE_10_days,CT_STUDTS_ISS_MORE_10_days,PCT_STUDTS_ISS_MORE_10_days,CT_GRD3_MILES_EOG_ELA_PRO_DIS,PCT_GRD3_MILES_EOG_ELA_PRO_DIS,CT_GRD5_MILES_EOG_ELA_PRO_DIS,PCT_GRD5_MILES_EOG_ELA_PRO_DIS,CT_GRD8_MILES_EOG_ELA_PRO_DIS,PCT_GRD8_MILES_EOG_ELA_PRO_DIS,CT_GRD3_MILES_EOG_MATH_PRO_DIS,PCT_GRD3_MILES_EOG_MATH_PRO_DIS,CT_GRD5_MILES_EOG_MATH_PRO_DIS,PCT_GRD5_MILES_EOG_MATH_PRO_DIS,CT_GRD8_MILES_EOG_MATH_PRO_DIS,PCT_GRD8_MILES_EOG_Math_PRO_DIS,CT_MILES_EOC_ALGEBRA_PRO_or_DIS,PCT_MILES_EOC_ALGEBRA_PRO_DIS,DENOM_TOT_GRD3_MILES_EOG_ELA,DENOM_TOT_GRD5_MILES_EOG_ELA,DENOM_TOT_GRD8_MILES_EOG_ELA,DENOM_TOT_GRD3_MILES_EOG_MATH,DENOM_TOT_GRD5_MILES_EOG_MATH,DENOM_TOT_GRD8_MILES_EOG_MATH,DENOM_TOT_MILES_EOC_ALG_TAKERS,GlobalID,last_edited_date
23,13113140408,13113,"Census Tract 1404.08, Fayette County",3096,283,ARC 10,3867.0300293,57.24739838,3924.2800293,6.04223013,0.0894491,6.13169003,140408,Fayette,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{DE079A64-13AA-4E2D-8F18-D42349731A92},
24,13113140407,13113,"Census Tract 1404.07, Fayette County",8111,572,ARC 10,5399.68017578,120.4280014,5520.10986328,8.43700027,0.188169,8.62516975,140407,Fayette,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{50C850EC-E910-4717-95D4-30CA4F138ACB},
25,13113140405,13113,"Census Tract 1404.05, Fayette County",3829,294,ARC 10,4918.27978516,133.022995,5051.31005859,7.68481016,0.207848,7.89267015,140405,Fayette,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{BCAB7721-2AB6-4914-8CA2-5EADA136B7B3},
26,13113140404,13113,"Census Tract 1404.04, Fayette County",5745,510,ARC 10,3411.18994141,108.55000305,3519.73999023,5.3299799,0.169609,5.49958992,140404,Fayette,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{0F4EC632-F3A2-4AA8-9062-87B01C71F78E},
27,13113140206,13113,"Census Tract 1402.06, Fayette County",4543,391,ARC 10,3422.86010742,130.86700439,3553.72998047,5.34821987,0.20448001,5.55270004,140206,Fayette,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{9EED7260-4951-43EC-A5B0-C55BADAE3735},
28,13113140203,13113,"Census Tract 1402.03, Fayette County",5400,482,ARC 10,6488.79003906,169.83900452,6658.62011719,10.13869953,0.26537299,10.40410042,140203,Fayette,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{C1261A0E-3204-4989-829B-0D3FCC77C410},
29,13113140204,13113,"Census Tract 1402.04, Fayette County",5439,557,ARC 10,10142.70019531,228.47399902,10371.20019531,15.84799957,0.35699099,16.20499992,140204,Fayette,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{A9364228-5B70-4F77-BFD3-6B072C252221},
30,13113140305,13113,"Census Tract 1403.05, Fayette County",5108,420,ARC 10,6317.52001953,149.32000732,6466.83007813,9.87112999,0.23331299,10.10439968,140305,Fayette,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{7EFB2C1E-E37E-409F-8AA4-E55DA104D7A5},
31,13113140403,13113,"Census Tract 1404.03, Fayette County",5245,426,ARC 10,3869.63989258,69.19960022,3938.84008789,6.04630995,0.108124,6.15443993,140403,Fayette,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{ADF429DC-66E8-4C13-A2FF-4BE75209E736},
32,13113140406,13113,"Census Tract 1404.06, Fayette County",3703,444,ARC 10,3291.55004883,58.01589966,3349.57006836,5.14305019,0.0906498,5.2336998,140406,Fayette,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{4FD00A38-F6EF-4DAF-90CC-59CD8DDCF4F2},
33,13113140306,13113,"Census Tract 1403.06, Fayette County",7752,573,ARC 10,3277.19995117,17.38680077,3294.59008789,5.12062979,0.0271669,5.14779997,140306,Fayette,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{EF57DF59-EE91-4294-BA6B-BB4FFBF515AB},
34,13113140102,13113,"Census Tract 1401.02, Fayette County",5312,515,ARC 10,7621.85986328,108.15200043,7730.00976563,11.90919971,0.16898701,12.0781002,140102,Fayette,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{08996C92-087A-44A3-9B04-66CBF3FC97B2},
35,13113140101,13113,"Census Tract 1401.01, Fayette County",7472,637,ARC 10,10301.79980469,226.91600037,10528.70019531,16.09659958,0.35455599,16.4510994,140101,Fayette,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{BB737C12-C52E-48AF-922E-6253ED743F87},
36,13113140502,13113,"Census Tract 1405.02, Fayette County",3649,405,ARC 10,17381.80078125,481.39300537,17863.19921875,27.15909958,0.752177,27.91119957,140502,Fayette,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{2DE1FC6D-740E-4567-820A-9AA2C1030BD7},
37,13113140501,13113,"Census Tract 1405.01, Fayette County",6098,377,ARC 10,17669.80078125,441.76998901,18111.5,27.60910034,0.69026601,28.29920006,140501,Fayette,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{C1FCC49A-2976-4CC7-B42E-2CA3A23DD73E},
38,13247060404,13247,"Census Tract 604.04, Rockdale County",6028,462,ARC 10,3796.5,48.77640152,3845.27001953,5.9320302,0.0762131,6.00823021,060404,Rockdale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{47B515C1-1156-426E-992B-CBD18FF7EBBA},
39,13247060304,13247,"Census Tract 603.04, Rockdale County",5261,738,ARC 10,5097.10009766,60.16889954,5157.27001953,7.96422005,0.0940139,8.0582304,060304,Rockdale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{23432C24-B956-42B8-B920-8A3C582786FF},
40,13247060101,13247,"Census Tract 601.01, Rockdale County",3205,544,ARC 10,6921.25976563,131.19799805,7052.45996094,10.81449986,0.204997,11.01949978,060101,Rockdale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{AF01BC94-3959-4931-AC6E-723108889563},
41,13247060202,13247,"Census Tract 602.02, Rockdale County",10334,820,ARC 10,6994.12011719,101.35199738,7095.47021484,10.9282999,0.158362,11.08670044,060202,Rockdale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{A1BD0C9B-67DC-4CCD-8E0A-44B083371A84},
42,13247060201,13247,"Census Tract 602.01, Rockdale County",4789,558,ARC 10,3131.2199707,161.72900391,3292.94995117,4.89252996,0.252702,5.14522982,060201,Rockdale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{C367ADA6-7ED6-4294-AD09-3F044B624793},
43,13247060306,13247,"Census Tract 603.06, Rockdale County",2993,416,ARC 10,3571.5300293,47.71649933,3619.25,5.58052015,0.074557,5.65507984,060306,Rockdale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{9F0DFC71-08DA-4136-8059-DC3A72A8058E},
44,13247060407,13247,"Census Tract 604.07, Rockdale County",3535,528,ARC 10,1457.82995605,33.19340134,1491.02001953,2.27785993,0.0518647,2.32972002,060407,Rockdale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{6CFACB2E-49D3-45ED-8B54-97A2674DD6EA},
45,13247060403,13247,"Census Tract 604.03, Rockdale County",3612,375,ARC 10,9418.45019531,155.01300049,9573.45996094,14.71630001,0.242208,14.95849991,060403,Rockdale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{06179DDC-77C3-4D62-973D-15AF660C1127},
46,13247060406,13247,"Census Tract 604.06, Rockdale County",5470,528,ARC 10,2669.13989258,31.49780083,2700.63989258,4.17052984,0.0492153,4.21974993,060406,Rockdale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{44D68D19-0201-4444-8FFE-5719BEC495F9},
47,13247060305,13247,"Census Tract 603.05, Rockdale County",5348,611,ARC 10,4099.95019531,76.25920105,4176.20996094,6.40616989,0.119155,6.52533007,060305,Rockdale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{FF99A8C4-CF91-49E6-A2F0-28D26FE24834},
48,13247060309,13247,"Census Tract 603.09, Rockdale County",5565,572,ARC 10,2060.30004883,17.58650017,2077.87988281,3.21921992,0.0274789,3.24669003,060309,Rockdale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{8761B817-D97F-46DC-952D-C08D56392956},
49,13247060308,13247,"Census Tract 603.08, Rockdale County",8097,724,ARC 10,1967.76000977,35.12210083,2002.88000488,3.07463002,0.0548783,3.12949991,060308,Rockdale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{C88C1A6A-9B38-42F5-87B8-B9EC6EA173BC},
50,13247060405,13247,"Census Tract 604.05, Rockdale County",7172,815,ARC 10,11252.09960938,164.6190033,11416.79980469,17.58139992,0.25721699,17.83869934,060405,Rockdale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{DDE70ED4-77DC-4951-9535-E1C88828C2D1},
51,13247060307,13247,"Census Tract 603.07, Rockdale County",10714,840,ARC 10,3568.44995117,79.61090088,3648.06005859,5.57569981,0.124392,5.70008993,060307,Rockdale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{890E5D88-4EC9-4DFD-900C-155D32D7B7AA},
52,13247060102,13247,"Census Tract 601.02, Rockdale County",5446,573,ARC 10,17061.59960938,331.36300659,17393,26.65870094,0.51775497,27.1765995,060102,Rockdale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{808BFAAD-FF05-42FE-B7D3-95B4AC3A65AB},
53,13067030330,13067,"Census Tract 303.30, Cobb County",5959,313,ARC 10,1493.81005859,3.97221994,1497.7800293,2.33407998,0.00620659,2.34028006,030330,Cobb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{A260FEEE-3F1F-4F51-BA64-9A8606CBB48B},
54,13067030328,13067,"Census Tract 303.28, Cobb County",6557,481,ARC 10,1630.51000977,37.84389877,1668.34997559,2.54766989,0.0591311,2.60680008,030328,Cobb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{B0F7CC0A-0491-4400-94DE-513DDFCD7C74},
55,13067030700,13067,"Census Tract 307, Cobb County",4369,394,ARC 10,1064.33996582,0,1064.33996582,1.66303003,0,1.66303003,030700,Cobb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{66DB72A8-9BF5-4465-8984-5DE430E1F5C1},
56,13067030324,13067,"Census Tract 303.24, Cobb County",3730,269,ARC 10,905.3170166,9.96551037,915.28198242,1.41455996,0.0155711,1.43013,030324,Cobb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{A0357368-7012-4FC4-96F7-B78178BD7C19},
57,13067030312,13067,"Census Tract 303.12, Cobb County",6044,301,ARC 10,2134.67993164,15.08530045,2149.76000977,3.33543992,0.0235708,3.35899997,030312,Cobb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{C42C796E-590B-4341-865F-BA575AE57A04},
58,13067030228,13067,"Census Tract 302.28, Cobb County",7291,712,ARC 10,2361.5,36.51110077,2398.01000977,3.68984008,0.0570486,3.74689007,030228,Cobb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{BC7A12D2-7589-4AAA-B677-32C8E01F5D6B},
59,13067030231,13067,"Census Tract 302.31, Cobb County",7301,509,ARC 10,3570.48999023,34.99850082,3605.48999023,5.57888985,0.0546852,5.63358021,030231,Cobb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{6BDBF41C-B1A8-4816-86F4-3AB5710E69D7},
60,13067030230,13067,"Census Tract 302.30, Cobb County",14286,974,ARC 10,3799.22998047,99.91059875,3899.13989258,5.9362998,0.15611,6.09241009,030230,Cobb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{BD21582B-4167-4F76-8FBA-BFCCCE1C0FF3},
61,13067030311,13067,"Census Tract 303.11, Cobb County",5969,454,ARC 10,2091.37011719,38.91460037,2130.2800293,3.26777005,0.0608041,3.32856011,030311,Cobb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{489B71EB-A21F-44AD-86CD-FA17EDF46DD5},
