X,Y,OBJECTID,EXIT_,INTERSTATE,GlobalID,last_edited_date
-84.267987143633235,33.542495405927532,30,227,I75,{B0759F20-CDE7-4399-9492-25FE8869FD82},
-84.924205218418791,32.405221007194868,31,1,I185,{861C1AA0-3ED9-49FB-ACC9-F41C8D8FC7B0},
-84.92771133186389,32.446090232180602,32,3,I185,{2D006500-0F42-4740-AD30-AAEB7B6BD24E},
-84.929146410750192,32.462378067849279,33,4,I185,{7B987A46-87DE-43FA-A923-70165058CD9C},
-84.939490326318719,32.482988202053718,34,6,I185,{C746F2E2-68C1-4FFB-94A8-125CD533E026},
-84.950014284581087,32.506425030211503,35,7A/B,I185,{18F16316-6B2F-42B7-A928-8CF7F130700B},
-84.953193228215369,32.519351266367039,36,8,I185,{14FDBC75-F02B-4A5B-BA3D-50FD43817FB9},
-84.960961247738169,32.545012108352232,37,10,I185,{D627D947-AD3B-4774-9FA2-2FFF5F02E909},
-84.962186271294996,32.566890027780268,38,12,I185,{3D60C8FA-B71A-4CF6-9455-E62145FF332B},
-84.952293350513514,32.60343103795477,39,14,I185,{41571CE6-E5C3-4B71-A6D8-9915BD6E17D9},
-84.04827873618396,34.030025555386047,40,111,I85,{E3CB51F7-4A9D-47C9-86E8-20E4084B6AC3},
-83.531666784245687,32.720564922703531,41,12,I16,{E2B743FD-89BE-49D5-A949-376CF02BA565},
-82.083807010702827,33.483934669662368,42,1C,I520,{FFFA86FB-900B-4302-A557-FC9B47453F3A},
-82.073426137485484,33.45046736433634,43,3A/B,I520,{1407B6F2-DDDE-4325-AF75-E6E7041A4D6A},
-82.08349708468333,33.466650662569677,44,2,I520,{F5A690AB-698D-45AE-9819-148A18FE35A3},
-82.0269827831425,33.406623629996822,45,7,I520,{D5E376CC-9C32-48D8-ACEE-BFBD066B58DD},
-82.005770883687163,33.40136008688529,46,9,I520,{E860B022-F2BD-4A9B-A9ED-B1052D008C90},
-81.985938732278441,33.406368822887728,47,10,I520,{463CDAC6-B732-49F1-BCC6-E1A1517FF568},
-83.920577709552077,33.615836237987033,48,88,I20,{5575116C-2311-40E0-BBF1-5E4CD7977F38},
-84.085199773534768,33.986330870898193,49,108,I85,{FDD507BE-BB2E-459C-8068-36667DE04392},
-81.141592494961728,32.053948071416116,50,3,I516,{8F2F54C4-DD0B-4D7D-B637-EFF14F09B743},
-81.137351400040245,32.065283726808566,51,4,I516,{05B2FE89-FCF6-44EF-99B0-043E2AF2940F},
-84.380185467493021,33.586000527010931,52,235,I75,{3D77347B-9AE8-4C75-AA27-D9BCD6FF1571},
-84.395943504723647,33.652559540464885,53,239,I75,{4BA6F6DB-0E10-4100-BB51-DA03D0FDAB93},
-84.398605516693166,33.681123823244327,54,241,I75,{29EAA812-3292-4EDF-92CD-12D292FB22F2},
-84.392010492025378,33.736839555973241,55,246,I75,{2D6B79AA-FB62-42C2-88A7-2C542B19C097},
-84.385176065159627,33.748252004064412,56,248A,I75,{4A9B125B-59D0-447D-9F0B-0CB74173DCC8},
-84.378489687807331,33.754385964195301,57,248B,I75,{96B53CD6-C851-4AA6-9607-C0D07ACF272D},
-84.380558132335452,33.761243604072519,58,248D,I75,{39BF3FA8-70BC-487E-8C89-4DE94863268B},
-84.378658469528517,33.75828202131089,59,248C,I75,{6EE53861-91FF-43E5-95FB-8E600B005DAA},
-84.386021435963229,33.765723290889611,60,249B,I75,{721E4E7A-3682-461A-B091-A766AFC0729D},
-84.388868815154041,33.767424470112992,61,249C,I75,{FB283D6A-2C1C-46B1-BC3A-1F1955EBBCF6},
-84.390194252138571,33.769524957764823,62,249D,I75,{64E723FB-5F9B-4E8C-A9B1-3DF9BFE23D97},
-84.39100088919065,33.779916304778254,63,250,I75,{CBEE8CD1-7A2D-4F82-A349-40F4C32B1BB8},
-84.53811564268311,33.980270698141908,64,267A/B,I75,{BAEC1650-60DE-4AE2-A1DA-B13F184BD9C8},
-84.410049135467233,33.803709611550666,65,252A/B,I75,{ACCAF41B-6908-42A3-9DD0-5D2C4294DA1D},
-84.542107774294166,33.984306310683628,66,267,I75,{6B3CA9FD-EE95-4099-9216-0DABD18A2607},
-84.558735434792254,33.995660417626979,67,268,I75,{3D24BCC5-BBE2-4034-AA5A-667A8937EFA1},
-84.950411588151326,34.577022143124275,68,320,I75,{BDCA0C10-2904-415D-A5D5-E936D020C7FF},
-84.429670385222423,33.660125970146765,69,73,I85,{35AE41A5-3CCA-4256-846F-9141CC85DF0B},
-84.452712195705942,33.88056167437442,70,258,I75,{D3FAA9DF-C32D-4878-92CC-DDAF1D4CCF40},
-84.460385139610565,33.889708818343777,71,259A/B,I75,{02819E9B-B81D-4B31-9CF4-5A51D1D59345},
-84.461403787758087,33.89100440126257,72,259,I75,{8A16D3A4-36A0-4315-85C7-D59580C6C0B6},
-84.400410715534292,33.628557733076846,73,237A,I75,{889536BD-A084-4795-A897-3664A5162DCC},
-84.422679908229313,33.663532038220666,74,74,I85,{153B0872-2217-459C-9448-BB4EEB4D79DB},
-84.393027423796141,33.797789893073087,75,85,I85,{714ED001-3F76-4439-9B09-89E7985EBD90},
-84.390287147194016,33.770185611669326,76,84,I85,{59F89CC0-CE23-4CC3-94D3-A2C83AF256B4},
-84.288766762092777,33.864580081332143,77,93,I85,{78BAAF00-65F1-4D5D-82D4-793F5938F1F3},
-84.250957901581572,33.897092556377487,78,96,I85,{87AD7775-1456-47EF-8E4E-61FEB42D8A65},
-84.259821301171797,33.891615184411478,79,95A/B,I85,{720CA44F-055B-44D8-A1B1-A9F2B6DFC446},
-84.240983527121273,33.903106778686769,80,96,I85,{34F5D402-3EF3-4077-A37F-CE5828A0DF7E},
-84.137741763231332,33.948536023484237,81,103,I85,{E7AE16EF-89E5-4A76-978B-008C94A8429E},
-84.102803827059347,33.96380665755256,82,106,I85,{E657E396-2CC5-4D1E-B97C-9FE015AE6077},
-84.031451605336315,34.04367281544188,83,113,I85,{45DB5530-8631-406B-9C92-AC07799AA05F},
-81.215633753961356,32.166555973472441,84,106,I95,{3DF08A85-420A-4B96-A633-C30D7FB202DB},
-84.474153374266862,33.620456650505858,85,61,I285,{72C7B781-0D7B-4FB0-8A13-4927B625AFE3},
-84.24648262916682,33.851188261132648,86,36,I285,{53DBD4AF-DCEE-485C-85A6-57D74EEE4E97},
-84.232378254593883,33.766975562009328,87,42,I285,{FE85ABF0-9713-4034-9FB9-14C4E422BC9B},
-84.230703214715305,33.737228698523026,88,44,I285,{F0B34ECA-9840-4043-B197-3D9126058BDA},
