OBJECTID,TRACTCE10,GEOID10,NAME10,PLNG_REGIO,last_edited_date,Total_housing_units,Occupied_housing_units,Percent_Occupied_housing_units,Vacant_housing_units,Percent_Vacant_housing_units,Homeowner_vacancy_rate,Rental_vacancy_rate,One_unit_detatched_housing_unit,Housing_units_built_since_2000,Owner_occupied_housing_units,Renter_occupied_housing_units,GlobalID,Pop_Chng_per_SqMi_2000_2010,Percent_1Unit_Detached,Pct_Units_Built_Since_2000,Units_Built_1980_to_1999,Units_Built_1979_or_Earlier,Pct_Units_Built_1979_or_Earlier,Pct_Owner_Occ_HousUnits,Pct_Renter_Occ_Units
54,030328,13067030328,303.28,ARC 10,2015-05-21T19:06:00.000Z,2391,2307,96.5,84,3.5,0,9.2,2381,161,2099,208,{E967C12E-CCD2-4C05-8259-806440042232},-113.8,99.6,6.7,1279,951,39.8,91,9
55,030700,13067030700,307,ARC 10,2015-05-21T19:06:00.000Z,1860,1528,82.2,332,17.8,0,11.8,984,257,604,924,{35BBF323-B607-4530-88B7-E0E91264DED9},-708.2,52.9,13.8,142,1461,78.5,39.5,60.5
56,030324,13067030324,303.24,ARC 10,2015-05-21T19:06:00.000Z,1278,1257,98.4,21,1.6,0,0,1278,36,1121,136,{91B67845-B862-4B7E-9E84-6AA2AC3BB675},-220.7,100,2.8,1008,234,18.3,89.2,10.8
57,030312,13067030312,303.12,ARC 10,2015-05-21T19:06:00.000Z,2525,2444,96.8,81,3.2,0.7,9.7,2472,146,2117,327,{95AF35D6-30CC-493B-9CEC-EEE407BEA50B},-80.3,97.9,5.8,956,1423,56.4,86.6,13.4
58,030228,13067030228,302.28,ARC 10,2015-05-21T19:06:00.000Z,3135,2842,90.7,293,9.3,3.3,6.6,952,625,885,1957,{690B8EBE-7382-4889-B93A-BC4079AFBC40},27.8,30.4,19.9,2358,152,4.8,31.1,68.9
59,030231,13067030231,302.31,ARC 10,2015-05-21T19:06:00.000Z,2861,2674,93.5,187,6.5,2.4,38.5,2734,672,2575,99,{6CDB8FB5-852D-40DB-9B42-DC4899677F85},147,95.6,23.5,1561,628,22,96.3,3.7
60,030230,13067030230,302.30,ARC 10,2015-05-21T19:06:00.000Z,5856,5310,90.7,546,9.3,3.8,13.4,2076,3983,3173,2137,{331583F1-9456-4D99-8545-84EFC6DC4ADC},1275.2,35.5,68,1729,144,2.5,59.8,40.2
61,030311,13067030311,303.11,ARC 10,2015-05-21T19:06:00.000Z,2227,2181,97.9,46,2.1,0,0,2213,110,1920,261,{35FD9871-4560-4A67-ABC8-AC279BEE3FE4},-90,99.4,4.9,1443,674,30.3,88,12
62,031001,13067031001,310.01,ARC 10,2015-05-21T19:06:00.000Z,2056,1671,81.3,385,18.7,8.7,12.9,1062,183,539,1132,{C09578C7-99E3-4B46-A4EB-CBB7052710C2},-50.5,51.7,8.9,476,1397,67.9,32.3,67.7
63,030310,13067030310,303.10,ARC 10,2015-05-21T19:06:00.000Z,2971,2664,89.7,307,10.3,0,23.4,2825,141,2148,516,{2BB68E29-3256-499B-BC34-C3B6703CBEC5},86.8,95.1,4.7,1935,895,30.1,80.6,19.4
64,030215,13067030215,302.15,ARC 10,2015-05-21T19:06:00.000Z,3129,3037,97.1,92,2.9,2.9,3.4,2867,409,2639,398,{FD9AB832-9B9D-4AEF-80D6-9A9C6A675968},364.3,91.6,13.1,2001,719,23,86.9,13.1
65,030601,13067030601,306.01,ARC 10,2015-05-21T19:06:00.000Z,4538,4271,94.1,267,5.9,0,4.8,1096,1921,979,3292,{1F92B5FF-F3D0-440A-9ED4-A1D48B5D4E20},1384.4,24.2,42.3,2293,324,7.1,22.9,77.1
66,030227,13067030227,302.27,ARC 10,2015-05-21T19:06:00.000Z,3052,2651,86.9,401,13.1,2.8,10.7,2123,339,1434,1217,{25572955-EBA5-4C34-92D1-24D48CED44BC},87.9,69.6,11.1,1856,857,28.1,54.1,45.9
67,030602,13067030602,306.02,ARC 10,2015-05-21T19:06:00.000Z,3218,3017,93.8,201,6.2,0,3.2,2123,647,1912,1105,{528BDEF7-DA4A-408E-B6C4-0F4F8B436ED8},61,66,20.1,1092,1479,46,63.4,36.6
68,030506,13067030506,305.06,ARC 10,2015-05-21T19:06:00.000Z,1958,1817,92.8,141,7.2,3.5,0,1208,195,1125,692,{329DCCE7-7959-446D-AC1B-BF72AFAC2EAB},267.1,61.7,10,698,1065,54.4,61.9,38.1
69,030507,13067030507,305.07,ARC 10,2015-05-21T19:06:00.000Z,1996,1904,95.4,92,4.6,0,6.2,1862,155,1599,305,{E13C5182-7DCB-479C-AD1C-508C44921513},51.3,93.3,7.8,1114,727,36.4,84,16
70,030229,13067030229,302.29,ARC 10,2015-05-21T19:06:00.000Z,1185,1054,88.9,131,11.1,4,12.2,636,197,654,400,{54B07141-35D0-4419-80CE-8E9FE077B43D},409.8,53.7,16.6,591,397,33.5,62,38
71,031208,13067031208,312.08,ARC 10,2015-05-21T19:06:00.000Z,3344,3068,91.7,276,8.3,4.6,9.1,700,522,583,2485,{237F90F5-1DE5-4419-B400-B0A53A4C98B4},960.7,20.9,15.6,2063,759,22.7,19,81
72,031207,13067031207,312.07,ARC 10,2015-05-21T19:06:00.000Z,2359,2059,87.3,300,12.7,0,5.4,136,394,500,1559,{F1734A8D-0485-4F1B-95F2-C44EFFC204E5},176.4,5.8,16.7,1208,757,32.1,24.3,75.7
73,030226,13067030226,302.26,ARC 10,2015-05-21T19:06:00.000Z,3541,3220,90.9,321,9.1,0,10.3,2393,1212,2408,812,{E54EDBAB-C447-4446-863E-EA719271C251},1151.9,67.6,34.2,2201,128,3.6,74.8,25.2
74,031505,13067031505,315.05,ARC 10,2015-05-21T19:06:00.000Z,2212,1996,90.2,216,9.8,1.6,23.8,2095,443,1679,317,{C16BC7BC-C815-4A83-B4D2-F36C10BFB742},-27.4,94.7,20,1329,440,19.9,84.1,15.9
75,030313,13067030313,303.13,ARC 10,2015-05-21T19:06:00.000Z,2947,2746,93.2,201,6.8,1.3,8.5,2848,421,2186,560,{CDC0714A-B3CA-4337-AB8F-E50485FD3D80},201.1,96.6,14.3,1019,1507,51.1,79.6,20.4
76,031310,13067031310,313.10,ARC 10,2015-05-21T19:06:00.000Z,2884,2435,84.4,449,15.6,8.6,8.4,424,1007,605,1830,{3E1FF83A-A0D7-4B6A-B975-AEAB8A065BA5},244.1,14.7,34.9,1335,542,18.8,24.8,75.2
77,030214,13067030214,302.14,ARC 10,2015-05-21T19:06:00.000Z,3025,2846,94.1,179,5.9,4.2,0,2641,577,2359,487,{303F9CC3-5E84-4B8E-876B-8FEC9225E4C3},299,87.3,19.1,2012,436,14.4,82.9,17.1
78,031212,13067031212,312.12,ARC 10,2015-05-21T19:06:00.000Z,1032,956,92.6,76,7.4,7.5,0,901,181,932,24,{72F43780-54AD-457C-A5E1-1C1768D1685E},-71.3,87.3,17.5,419,432,41.9,97.5,2.5
79,031211,13067031211,312.11,ARC 10,2015-05-21T19:06:00.000Z,2806,2201,78.4,605,21.6,34.1,6.7,190,655,295,1906,{3F72ED06-8D54-481D-8147-117BD7175A4D},-73.3,6.8,23.3,1774,377,13.4,13.4,86.6
80,031209,13067031209,312.09,ARC 10,2015-05-21T19:06:00.000Z,1734,1649,95.1,85,4.9,2.7,3.5,1523,470,1431,218,{1EAE66CF-B4E3-4816-8163-9E20334FDD28},600.8,87.8,27.1,976,288,16.6,86.8,13.2
81,030224,13067030224,302.24,ARC 10,2015-05-21T19:06:00.000Z,2501,2409,96.3,92,3.7,1.9,0,2238,992,2015,394,{EC007F61-CCA3-4CD1-A599-B110F0D783DB},1697.2,89.5,39.7,1330,179,7.2,83.6,16.4
82,031205,13067031205,312.05,ARC 10,2015-05-21T19:06:00.000Z,3149,2846,90.4,303,9.6,4,12.2,668,1471,1830,1016,{D5F4D7C5-8549-4459-B24D-DF36D7A36679},688.6,21.2,46.7,1361,317,10.1,64.3,35.7
83,031206,13067031206,312.06,ARC 10,2015-05-21T19:06:00.000Z,4718,4464,94.6,254,5.4,5.9,1.9,1579,2534,2184,2280,{F848AFE1-C9D0-476B-99E0-42E0FCA28B52},1112.2,33.5,53.7,1447,737,15.6,48.9,51.1
