OBJECTID,TRACTCE10,GEOID10,NAME10,PLNG_REGIO,last_edited_date,Total_housing_units,Occupied_housing_units,Percent_Occupied_housing_units,Vacant_housing_units,Percent_Vacant_housing_units,Homeowner_vacancy_rate,Rental_vacancy_rate,One_unit_detatched_housing_unit,Housing_units_built_since_2000,Owner_occupied_housing_units,Renter_occupied_housing_units,GlobalID,Pop_Chng_per_SqMi_2000_2010,Percent_1Unit_Detached,Pct_Units_Built_Since_2000,Units_Built_1980_to_1999,Units_Built_1979_or_Earlier,Pct_Units_Built_1979_or_Earlier,Pct_Owner_Occ_HousUnits,Pct_Renter_Occ_Units
25,140405,13113140405,1404.05,ARC 10,2015-05-21T19:05:59.000Z,1261,1192,94.5,69,5.5,0,0,1261,123,1104,88,{BCB496DF-58D4-4584-B338-CDC9612DAA33},14.3,100,9.8,868,270,21.4,92.6,7.4
26,140404,13113140404,1404.04,ARC 10,2015-05-21T19:05:59.000Z,2049,1903,92.9,146,7.1,0,0,1622,540,1593,310,{6B4B3CE3-C2C7-4480-9DDB-179FD43419D3},179.3,79.2,26.4,1086,423,20.6,83.7,16.3
27,140206,13113140206,1402.06,ARC 10,2015-05-21T19:05:59.000Z,1620,1561,96.4,59,3.6,2.8,6.8,1294,402,1246,315,{3B3D0F12-BFD2-4924-9FDA-BA67C6A7202D},161.4,79.9,24.8,960,258,15.9,79.8,20.2
28,140203,13113140203,1402.03,ARC 10,2015-05-21T19:05:59.000Z,2012,1894,94.1,118,5.9,0,17.5,1910,768,1597,297,{FE63CE6F-F3A4-4C77-88FD-05A01F3A7F30},216.4,94.9,38.2,812,432,21.5,84.3,15.7
29,140204,13113140204,1402.04,ARC 10,2015-05-21T19:05:59.000Z,1807,1665,92.1,142,7.9,5.4,0,1528,488,1426,239,{6DB39275-7CEB-448D-80DA-BB0C8213A71E},42.5,84.6,27,973,346,19.1,85.6,14.4
30,140305,13113140305,1403.05,ARC 10,2015-05-21T19:05:59.000Z,1547,1452,93.9,95,6.1,2.2,0,1232,892,1208,244,{8D0CA71B-889C-4845-BA93-00A4D957EB7B},247.1,79.6,57.7,520,135,8.7,83.2,16.8
31,140403,13113140403,1404.03,ARC 10,2015-05-21T19:05:59.000Z,2125,1995,93.9,130,6.1,1.8,0,2081,350,1824,171,{CD4D8E27-A3FC-429E-97B1-4D12264B0B85},122.7,97.9,16.5,1376,399,18.8,91.4,8.6
32,140406,13113140406,1404.06,ARC 10,2015-05-21T19:05:59.000Z,1573,1515,96.3,58,3.7,0.7,10.1,1255,259,1202,313,{E707D599-F2DD-4FE5-A7C0-1BBA12BE94E4},37.3,79.8,16.5,864,450,28.6,79.3,20.7
33,140306,13113140306,1403.06,ARC 10,2015-05-21T19:05:59.000Z,2975,2658,89.3,317,10.7,3.4,10.4,2332,499,1807,851,{A8B8B3DC-1911-494C-A6A2-A3FDA41C3632},56.3,78.4,16.8,2370,106,3.6,68,32
34,140102,13113140102,1401.02,ARC 10,2015-05-21T19:05:59.000Z,2305,2007,87.1,298,12.9,2.8,28.3,2203,129,1875,132,{69E49FA7-D477-4F65-B6C5-A75E1C14FED8},-3.8,95.6,5.6,1062,1114,48.3,93.4,6.6
35,140101,13113140101,1401.01,ARC 10,2015-05-21T19:05:59.000Z,2924,2614,89.4,310,10.6,1.7,0,2589,438,2444,170,{2181B683-14A3-4022-B0A5-1526B441786D},49.1,88.5,15,1490,996,34.1,93.5,6.5
36,140502,13113140502,1405.02,ARC 10,2015-05-21T19:05:59.000Z,1249,1236,99,13,1,0,0,1247,190,1156,80,{A4BDDC71-AFA7-4388-8BA7-2F307E3A0633},12.4,99.8,15.2,764,295,23.6,93.5,6.5
37,140501,13113140501,1405.01,ARC 10,2015-05-21T19:05:59.000Z,2133,1986,93.1,147,6.9,2.3,0,2122,492,1860,126,{B17ACF75-B4E5-48D7-8265-60E99C19FFA3},42.3,99.5,23.1,1105,536,25.1,93.7,6.3
38,060404,13247060404,604.04,ARC 10,2015-05-21T19:05:59.000Z,2257,2124,94.1,133,5.9,0,0,2222,204,1759,365,{A7924A00-1196-43F5-93E9-C1D6C00FB875},-45.3,98.4,9,1384,669,29.6,82.8,17.2
39,060304,13247060304,603.04,ARC 10,2015-05-21T19:06:00.000Z,2469,2015,81.6,454,18.4,5.4,15.7,1432,785,975,1040,{A9E552C5-9178-455A-AF62-627C1FB6B001},120.7,58,31.8,748,936,37.9,48.4,51.6
40,060101,13247060101,601.01,ARC 10,2015-05-21T19:06:00.000Z,1328,1183,89.1,145,10.9,5,9.3,1203,142,960,223,{AC00667B-8595-4ABC-BD40-0817B0C4FF6C},9.5,90.6,10.7,530,656,49.4,81.1,18.9
41,060202,13247060202,602.02,ARC 10,2015-05-21T19:06:00.000Z,3830,3521,91.9,309,8.1,0,18,3197,780,2727,794,{DA902D37-1661-4826-A08C-13EA04027872},174.6,83.5,20.4,1700,1350,35.2,77.4,22.6
42,060201,13247060201,602.01,ARC 10,2015-05-21T19:06:00.000Z,1303,1087,83.4,216,16.6,8.6,0,715,168,814,273,{EBF4CB67-E39B-49E2-BD04-C2F7D1CA6B89},31.8,54.9,12.9,373,762,58.5,74.9,25.1
43,060306,13247060306,603.06,ARC 10,2015-05-21T19:06:00.000Z,1095,934,85.3,161,14.7,0,13.4,932,534,733,201,{8A90BE08-D30C-4755-9532-1DA3645E0DFB},231.9,85.1,48.8,209,352,32.1,78.5,21.5
44,060407,13247060407,604.07,ARC 10,2015-05-21T19:06:00.000Z,1291,1235,95.7,56,4.3,3.5,0,1264,9,969,266,{10B26578-D96C-4A4A-8B40-2E9C5848F8EF},-84.8,97.9,0.7,892,390,30.2,78.5,21.5
45,060403,13247060403,604.03,ARC 10,2015-05-21T19:06:00.000Z,1365,1206,88.4,159,11.6,3.5,34.4,1338,463,1059,147,{EE737F92-05CF-4978-9BF3-ECA461931BCE},63.8,98,33.9,620,282,20.7,87.8,12.2
46,060406,13247060406,604.06,ARC 10,2015-05-21T19:06:00.000Z,2016,1808,89.7,208,10.3,1.6,0,1944,366,1442,366,{C3CABFA8-9E03-4C00-9244-9C3206D69D2E},41.4,96.4,18.2,1149,501,24.9,79.8,20.2
47,060305,13247060305,603.05,ARC 10,2015-05-21T19:06:00.000Z,2207,1899,86,308,14,4.1,7.7,874,376,633,1266,{AD63DDCB-7164-4A5D-92C0-740A4AD8155A},138.2,39.6,17,1317,514,23.3,33.3,66.7
48,060309,13247060309,603.09,ARC 10,2015-05-21T19:06:00.000Z,2214,1844,83.3,370,16.7,5.6,15,1309,595,1019,825,{B2AD0B2A-DC34-4171-B9AD-BB2A50CA4CF7},323.4,59.1,26.9,783,836,37.8,55.3,44.7
49,060308,13247060308,603.08,ARC 10,2015-05-21T19:06:00.000Z,3011,2634,87.5,377,12.5,2.1,14.9,1482,1015,1087,1547,{C35FD6EE-70CB-430D-B351-A54087024D86},858.7,49.2,33.7,1215,781,25.9,41.3,58.7
50,060405,13247060405,604.05,ARC 10,2015-05-21T19:06:00.000Z,2542,2365,93,177,7,0.6,16.5,2519,543,2157,208,{B8D6E10A-0071-4747-BFB8-6A1A619EBB4A},90.6,99.1,21.4,1257,742,29.2,91.2,8.8
51,060307,13247060307,603.07,ARC 10,2015-05-21T19:06:00.000Z,4112,3465,84.3,647,15.7,3.1,20.8,3005,1169,2416,1049,{E5660778-F47F-4FB2-857E-E745589CFC8E},483.7,73.1,28.4,2312,631,15.3,69.7,30.3
52,060102,13247060102,601.02,ARC 10,2015-05-21T19:06:00.000Z,2176,1997,91.8,179,8.2,2.8,16.1,1736,367,1469,528,{71A33EED-E767-4D83-8B53-57A950A3016B},35.7,79.8,16.9,1081,728,33.5,73.6,26.4
53,030330,13067030330,303.30,ARC 10,2015-05-21T19:06:00.000Z,2066,1920,92.9,146,7.1,2.6,0,2051,284,1741,179,{A01697E5-AD03-485D-86F8-A5B3E2F99C6F},139.1,99.3,13.7,864,918,44.4,90.7,9.3
