OBJECTID,GEOID10,NAME10,PLNG_REGIO,last_edited_date,Percent_BA_or_Higher,Median_household_income,Under_5_population__2010,GlobalID,Pop_Change_per_SqMi_2000_2010,Pct_Population_under_5_2010
60,13067030230,302.30,ARC 10,2015-05-19T14:22:24.000Z,45.8,64554,935,{2966D52E-7294-4219-9405-0B63E2141938},1275.2,7.44
61,13067030311,303.11,ARC 10,2015-05-19T14:22:24.000Z,48.7,90809,320,{E40BFA4E-4C2F-4226-9349-B2E4474DD550},-90,5.32
62,13067031001,310.01,ARC 10,2015-05-19T14:22:24.000Z,5.7,30414,620,{A4CDC425-4BFC-4335-A4D6-B5B435006A0D},-50.5,11.89
63,13067030310,303.10,ARC 10,2015-05-19T14:22:24.000Z,36.2,68512,511,{DE08E17A-34E1-4463-ACCB-615397602FBE},86.8,6.32
64,13067030215,302.15,ARC 10,2015-05-19T14:22:24.000Z,39.8,73646,547,{64C06AD7-83BA-4A45-A78F-0BAF35522F58},364.3,6.28
65,13067030601,306.01,ARC 10,2015-05-19T14:22:24.000Z,53.4,48977,625,{24353017-A773-4D03-B7D1-EC015962DD13},1384.4,7.18
66,13067030227,302.27,ARC 10,2015-05-19T14:22:24.000Z,29,58446,507,{4D485541-74A5-484C-A7E2-96818181A816},87.9,6.96
67,13067030602,306.02,ARC 10,2015-05-19T14:22:24.000Z,53,61891,325,{B9BA7B95-CC0F-4012-95B1-88CA65BDF225},61,4.79
68,13067030506,305.06,ARC 10,2015-05-19T14:22:24.000Z,27.3,51922,271,{2CB10564-24D9-4826-8821-8C90CF9648AF},267.1,6.28
69,13067030507,305.07,ARC 10,2015-05-19T14:22:24.000Z,39.7,61017,343,{9E50838F-E5AF-4D12-AFFB-C26A256E475C},51.3,6.82
70,13067030229,302.29,ARC 10,2015-05-19T14:22:24.000Z,31.4,51905,150,{FF625D51-2130-4A14-925C-AA892C32EE84},409.8,2.63
71,13067031208,312.08,ARC 10,2015-05-19T14:22:24.000Z,69.8,63125,436,{83163780-E7D7-47BF-974E-098F0D0E63D2},960.7,7.68
