OBJECTID,GEOID10,NAME10,PLNG_REGIO,last_edited_date,Percent_BA_or_Higher,Median_household_income,Square_Miles,Total_Jobs__2015,Total_Jobs__2020,Total_Jobs__2030,Total_Jobs__2035,Total_Jobs__2040,Change_in_Jobs__2015_2040,GlobalID,Pop_Change_per_SqMi_2000_2010,Chng_in_jobs_per_SqMi_2015_2040
267,13063040513,405.13,ARC 10,2015-05-19T13:59:10.000Z,20.9,60798,2.7,510,495,516,534,544,65,{09B1AF87-1B8B-4298-A8E0-F186E53D0F87},-77.8,24.1
268,13151070403,704.03,ARC 10,2015-05-19T13:59:10.000Z,20,64861,22.1,2243,1914,2623,3047,3413,1928,{50AAC7D8-76A1-4E64-B02B-7C23AD2C2366},204,87.2
269,13151070307,703.07,ARC 10,2015-05-19T13:59:10.000Z,30.2,72361,3.4,419,334,517,619,701,465,{68AA218F-7EEF-4B1E-841D-C514CB4F1B8B},624.1,136.8
270,13151070113,701.13,ARC 10,2015-05-19T13:59:10.000Z,15.4,40982,2.6,1773,1632,2041,2234,2346,898,{3543FB6D-F9F5-42B7-BA2F-25501ECE6457},6.9,345.4
271,13151070501,705.01,ARC 10,2015-05-19T13:59:10.000Z,19.1,43145,20.8,3403,3313,3517,3665,3757,584,{3FD74F56-ABF6-45B1-A86F-EF83BAEE06B8},150.7,28.1
272,13151070502,705.02,ARC 10,2015-05-19T13:59:10.000Z,29,69662,32,2761,2336,3302,3882,4389,2637,{3383D555-047F-4B1D-B764-684EA834963C},270.4,82.4
273,13151070311,703.11,ARC 10,2015-05-19T13:59:10.000Z,22.2,42330,4.1,2851,2515,3241,3680,3983,1878,{28B756B1-8090-420B-BA68-39F4AA10BBD1},1014.1,458
274,13151070404,704.04,ARC 10,2015-05-19T13:59:10.000Z,21,60868,25.1,6735,5458,7809,8881,9749,5565,{954B7998-D63F-4435-8044-D33D3F4DBDCB},165.4,221.7
275,13151070204,702.04,ARC 10,2015-05-19T13:59:10.000Z,23.1,78669,9.6,908,802,1045,1170,1303,651,{F1C56F39-23F5-450D-8661-4CC7A9098EF7},81.3,67.8
276,13151070310,703.10,ARC 10,2015-05-19T13:59:10.000Z,19.6,55682,5.6,1501,1265,1762,2050,2269,1294,{6D9C918D-3E39-4FF6-B5CB-F8BC7E473E5A},-157.9,231.1
277,13151070205,702.05,ARC 10,2015-05-19T13:59:10.000Z,27.9,58099,10.1,2129,1772,2507,2944,3274,1734,{6A982A40-4C1D-475E-882F-3D912E3CBD16},342.1,171.7
278,13151070309,703.09,ARC 10,2015-05-19T13:59:10.000Z,46.6,81503,4.6,2624,2410,2872,3315,3683,1558,{9B7A88E5-C565-43F8-A53F-AA9757C699C9},792,338.7
279,13151070114,701.14,ARC 10,2015-05-19T13:59:10.000Z,39.4,41624,4.7,10402,9206,11707,15002,17647,9846,{1934E4EE-27B5-407D-8050-75A38BFCB775},437.7,2094.9
280,13151070111,701.11,ARC 10,2015-05-19T13:59:10.000Z,18.8,44290,3.5,1646,1437,1866,2094,2256,1093,{5C11299F-1B91-46B7-A3AE-97860CE2C393},578.6,312.3
281,13151070107,701.07,ARC 10,2015-05-19T13:59:10.000Z,35,73967,8.5,452,411,488,530,550,181,{86C1DB4C-1D44-4F12-81C4-A86638409852},136.8,21.3
282,13151070109,701.09,ARC 10,2015-05-19T13:59:10.000Z,22.9,69362,3.3,85,81,90,92,92,16,{3A8BB4A6-69F7-40A0-8E3E-19729F36A555},102.7,4.8
283,13151070110,701.10,ARC 10,2015-05-19T13:59:10.000Z,20,67588,10.4,489,421,550,635,689,364,{F6FAD953-09DF-4D05-8931-BE3251E3B8B2},108.4,35
284,13151070108,701.08,ARC 10,2015-05-19T13:59:10.000Z,29.7,56061,4.9,1123,1085,1158,1198,1217,370,{92707DCE-CBD0-4589-ACE5-90A7DFFDCC27},337.6,75.5
285,13151070306,703.06,ARC 10,2015-05-19T13:59:10.000Z,31.1,65311,13.9,5242,5070,5448,5698,5841,1027,{7C07891F-DAD0-48AF-9D34-3B39265E6DE2},461.8,73.9
286,13151070104,701.04,ARC 10,2015-05-19T13:59:10.000Z,35.1,59686,9.4,4997,4137,5429,5899,6246,2621,{66F9EA74-8E21-45AB-87A6-E952FDFB7405},718.3,278.8
287,13151070202,702.02,ARC 10,2015-05-19T13:59:10.000Z,36.4,81520,21.4,1438,1200,1697,1988,2234,1314,{87D210E0-BB3E-4743-AF76-B9E9F0BC947B},256.4,61.4
288,13151070305,703.05,ARC 10,2015-05-19T13:59:10.000Z,26.9,73719,15.8,5217,4490,5863,6567,7094,3481,{DE4DA010-0458-4C41-B426-DAA256BDC433},180.5,220.3
289,13151070304,703.04,ARC 10,2015-05-19T13:59:10.000Z,16.1,38261,11.8,12801,11186,14436,16175,17623,8212,{37D358CD-EC2B-4B87-B428-C55A2D91468F},533.3,695.9
290,13151070106,701.06,ARC 10,2015-05-19T13:59:10.000Z,17.9,52314,6.4,2824,2334,3456,4128,4667,3042,{FD2F9858-CEFA-461A-9926-66B46129E244},120,475.3
291,13151070203,702.03,ARC 10,2015-05-19T13:59:10.000Z,25.1,80566,35.7,1999,1733,2325,2681,2965,1589,{8BFEDA85-6DE6-4222-B370-24A452419B86},223.8,44.5
292,13151070402,704.02,ARC 10,2015-05-19T13:59:10.000Z,18.5,61583,36.8,603,537,672,752,811,359,{7EE0B06C-D28B-4E11-9D76-4DE135CA8CC2},158.9,9.8
293,13015960101,9601.01,ARC 20,2015-05-19T13:59:10.000Z,31.7,74848,36.1,251,219,270,300,325,133,{6F9E04A5-93C9-4406-AF11-5424AFF7FEA8},12.2,3.7
294,13015960402,9604.02,ARC 20,2015-05-19T13:59:10.000Z,14.2,43032,20,5553,5343,6058,6468,7107,2275,{0E3345E3-5EA4-44ED-BA79-C847A869CC57},154.4,113.8
295,13015960901,9609.01,ARC 20,2015-05-19T13:59:10.000Z,16,45375,13.2,1497,1348,1673,1863,2016,897,{A1B7132C-0F03-454A-9816-276971F24FA7},6,68
296,13015960102,9601.02,ARC 20,2015-05-19T13:59:10.000Z,17.2,59920,85.1,3383,3134,3648,3959,4181,1335,{9DCB93D9-29D6-4B29-AA76-A20C11A7C40C},24.6,15.7
297,13015960802,9608.02,ARC 20,2015-05-19T13:59:10.000Z,8.7,23381,7,648,536,775,919,1039,667,{E3FD7110-9E98-46A3-B120-8D9AE255EC85},57.9,95.3
298,13015961000,9610,ARC 20,2015-05-19T13:59:10.000Z,14.8,64450,69.4,2214,1912,2541,2913,3191,1692,{A8F0513D-5D59-4666-8ED1-CC01364D6442},31.8,24.4
299,13015960801,9608.01,ARC 20,2015-05-19T13:59:10.000Z,12.7,50481,9.3,1298,1187,1426,1557,1660,625,{44D4E29C-9A88-4627-B664-96B2FDE14510},43.9,67.2
300,13015960300,9603,ARC 20,2015-05-19T13:59:10.000Z,16.7,58203,61.6,893,768,1007,1131,1216,577,{5849F4E6-2962-4722-9BF4-CE9D597299CC},41.6,9.4
301,13015960902,9609.02,ARC 20,2015-05-19T13:59:10.000Z,21.9,57540,14.2,372,334,417,463,489,207,{E7805AA7-B55A-4EAC-ADB3-1552626C2C52},78,14.6
302,13015960500,9605,ARC 20,2015-05-19T13:59:10.000Z,7.3,40651,9.4,1801,1685,1973,2216,2341,855,{D4A6C087-2B30-4533-9DDE-B72908C740C4},231.2,91
303,13015960600,9606,ARC 20,2015-05-19T13:59:10.000Z,28.6,41764,9.7,7871,7400,8424,9065,9515,2732,{88238836-3AD4-4774-9C01-DB83B1EE2976},140.7,281.6
304,13015960200,9602,ARC 20,2015-05-19T13:59:10.000Z,11.7,44905,68.2,3166,2927,3431,3728,3893,1295,{8B307EAA-7E3A-4633-8134-D70DE9B6F52C},44.7,19
305,13015960401,9604.01,ARC 20,2015-05-19T13:59:10.000Z,15.2,45718,6.9,4907,4395,5419,6478,7420,3576,{F0766279-8AA7-49F6-BED8-FE9FCED65183},425.7,518.3
306,13015960803,9608.03,ARC 20,2015-05-19T13:59:10.000Z,17.5,48558,31.9,3109,2685,3619,4142,4568,2461,{CF2714DA-5A44-4D9E-BF43-D45A06AF41E2},22.8,77.1
307,13015960700,9607,ARC 20,2015-05-19T13:59:10.000Z,12,37589,28.2,8757,8063,10290,11712,12927,5703,{B6766420-6209-419D-B3D4-D37650E98423},53.3,202.2
308,13135050319,503.19,ARC 10,2015-05-19T13:59:10.000Z,14.5,38545,1.3,4061,3912,4241,4449,4559,934,{67D3D7BA-DAD0-484B-89DF-1D48D6FD523D},-660,718.5
309,13135050219,502.19,ARC 10,2015-05-19T13:59:10.000Z,41.4,67209,1.1,3141,2806,3494,3905,4294,1833,{C4F46893-73C6-4CF0-94E2-AC7A00C5C95A},-331.8,1666.4
310,13135050211,502.11,ARC 10,2015-05-19T13:59:10.000Z,16.1,30067,1.3,4527,4226,4894,5285,5501,1733,{CA2DE5A6-9FF4-4734-944E-42F12979A5C0},-947.7,1333.1
311,13135050215,502.15,ARC 10,2015-05-19T13:59:10.000Z,43.7,50850,2.8,17490,16510,18531,19642,20263,5360,{16F6AB5C-1856-4426-B50B-5BDEBD034102},444.6,1914.3
312,13135050216,502.16,ARC 10,2015-05-19T13:59:10.000Z,57.8,103000,5.4,10813,9781,12048,13371,14366,6096,{ADA1564E-A38D-4C45-B355-CEEF1833772E},637.8,1128.9
313,13135050527,505.27,ARC 10,2015-05-19T13:59:10.000Z,43.4,73125,2.3,486,442,524,574,618,222,{BAD9EF52-3190-4587-8517-03E189E87B48},76.5,96.5
314,13135050549,505.49,ARC 10,2015-05-19T13:59:10.000Z,33.9,64672,1.5,431,420,439,442,438,35,{EDD31B01-1291-4540-BAED-6A9D2CEF284C},235.3,23.3
315,13135050540,505.40,ARC 10,2015-05-19T13:59:10.000Z,31.9,52607,1.7,2773,2581,2984,3226,3401,1022,{F69D0F43-BA6A-473A-BF02-D8A74DCA2130},544.1,601.2
316,13135050722,507.22,ARC 10,2015-05-19T13:59:10.000Z,28.3,59609,1.4,473,443,505,548,581,172,{D0D86129-B622-49C9-8319-3C791D1EF0C1},422.9,122.9
317,13135050729,507.29,ARC 10,2015-05-19T13:59:10.000Z,25.9,49063,1,1129,1025,1257,1401,1505,624,{450CB2CF-35BE-4B68-9EFF-E1035FE7001C},222,624
318,13135050725,507.25,ARC 10,2015-05-19T13:59:10.000Z,31,62092,1.9,1033,973,1101,1180,1229,359,{DD654153-0276-4048-91B7-BE0C2A08CA49},280,188.9
319,13135050730,507.30,ARC 10,2015-05-19T13:59:10.000Z,26.4,68792,4,696,631,776,862,915,384,{F4711CE6-13D4-4D0B-BA68-562A85301814},613.3,96
320,13135050728,507.28,ARC 10,2015-05-19T13:59:10.000Z,34,72409,11.5,3585,3167,4063,4609,5077,2479,{6FE53655-BA6E-411C-AC98-96952A77E85C},629.2,215.6
321,13135050731,507.31,ARC 10,2015-05-19T13:59:10.000Z,27.7,69423,6.2,2359,2197,2598,2873,3067,1123,{E7F9F197-5DF6-4B73-B921-E65FB19DB761},753.9,181.1
322,13135050609,506.09,ARC 10,2015-05-19T13:59:10.000Z,34.6,77059,11.5,2958,2623,3241,3553,3788,1525,{C5FB0BA4-B025-42FC-8239-EC48AC08AE03},591.4,132.6
323,13135050610,506.10,ARC 10,2015-05-19T13:59:10.000Z,47.2,92233,12.8,2559,2180,3025,3555,3971,2293,{F4494415-0D09-45ED-B2C8-18E1B30AE2DF},593.4,179.1
324,13135050541,505.41,ARC 10,2015-05-19T13:59:10.000Z,17.3,31194,0.5,182,164,192,209,214,68,{5D77ECB1-135D-4808-9ADB-09FA11F442EE},442,136
325,13135050524,505.24,ARC 10,2015-05-19T13:59:10.000Z,19.4,43182,1.3,1215,1076,1380,1568,1720,800,{66779FC0-ADA8-4873-8401-0AA42D707FE8},348.5,615.4
326,13135050547,505.47,ARC 10,2015-05-19T13:59:10.000Z,35.9,81607,4,1631,1406,1893,2165,2408,1321,{B899F878-6174-4E2A-B883-676B4093A53D},323.3,330.3
327,13135050523,505.23,ARC 10,2015-05-19T13:59:10.000Z,34.3,50336,3,4508,3955,5182,5936,6540,3289,{7316C5EA-E83F-4CE4-9478-D44208D18F27},691,1096.3
328,13135050724,507.24,ARC 10,2015-05-19T13:59:10.000Z,37.1,58232,10.1,3031,2815,3252,3503,3692,1138,{42A9965D-E918-437B-A5BB-3CEF6EB9B766},962.5,112.7
329,13135050543,505.43,ARC 10,2015-05-19T13:59:10.000Z,36.7,75458,2.6,1343,1215,1516,1713,1878,824,{70CED3F7-E426-42BF-9C5B-1A5ABBB7C8CA},1206.5,316.9
330,13135050545,505.45,ARC 10,2015-05-19T13:59:10.000Z,25.6,52641,5.2,2479,2300,2647,2830,2959,939,{A6BC1F5D-7CE1-4240-A15E-1ACE22DAF95F},1447.5,180.6
331,13135050727,507.27,ARC 10,2015-05-19T13:59:10.000Z,39.1,88889,6.5,1228,1070,1397,1591,1748,872,{B222E347-8608-45EC-9829-C8AD879007F8},613.8,134.2
332,13135050548,505.48,ARC 10,2015-05-19T13:59:10.000Z,29.4,81417,7.8,9427,8884,9978,10581,11085,3311,{3AE594BE-7D7C-4BAB-BC51-F8E8C82DDF02},626.2,424.5
333,13135050546,505.46,ARC 10,2015-05-19T13:59:10.000Z,33.4,67764,8,1017,923,1131,1266,1341,552,{AFEEF6D8-C32F-4E63-8D0E-ED4488B7D02F},1339.1,69
334,13135050726,507.26,ARC 10,2015-05-19T13:59:10.000Z,28.1,69406,12.3,656,594,714,787,834,319,{D51FB81D-E9DF-4EB9-8387-97FEAA11E772},379.3,25.9
335,13135050608,506.08,ARC 10,2015-05-19T13:59:10.000Z,29.1,66935,33.3,2660,2161,3190,3777,4274,2733,{F1B20892-7324-44E9-A333-3BAB554033D1},228.3,82.1
336,13135050607,506.07,ARC 10,2015-05-19T13:59:10.000Z,33.3,77500,10.8,4910,4618,5255,5641,5933,1692,{8391BB85-7CC6-4BD4-A001-232227B861DB},930.9,156.7
337,13135050542,505.42,ARC 10,2015-05-19T13:59:10.000Z,23,45020,1.4,9513,9157,9825,10207,10361,1686,{47A2BD69-2171-46BB-9959-5838264CAC6A},1649.3,1204.3
338,13135050536,505.36,ARC 10,2015-05-19T13:59:10.000Z,30.3,55875,3,10291,9566,11045,12458,13726,4714,{DBF10724-EB8D-4223-9BEE-420A8927DC8A},239.7,1571.3
339,13135050537,505.37,ARC 10,2015-05-19T13:59:10.000Z,20.6,34273,1.4,4997,4885,5112,5235,5289,609,{2E726183-7AE8-40AC-892F-6C04C5C8C9D7},660,435
340,13135050539,505.39,ARC 10,2015-05-19T13:59:10.000Z,19.1,42944,0.9,767,688,860,974,1064,468,{D9850929-6A0E-4C06-8838-88E2D79C4A21},1246.7,520
341,13135050544,505.44,ARC 10,2015-05-19T13:59:10.000Z,37.3,67736,3.9,2658,2413,2947,3246,3465,1371,{AB8FCA31-6517-4BE5-98F9-E4971C14FEE9},1249.2,351.5
342,13135050535,505.35,ARC 10,2015-05-19T13:59:10.000Z,34.7,50947,2.5,2927,2819,3016,3098,3141,408,{B7203A92-7F43-4C8B-A39A-24C1A19BAA77},551.2,163.2
343,13135050532,505.32,ARC 10,2015-05-19T13:59:10.000Z,32.2,51467,2.2,456,397,519,598,645,328,{B2526362-7A98-4DAC-922C-9ACF3BDA6B23},1328.2,149.1
344,13135050534,505.34,ARC 10,2015-05-19T13:59:10.000Z,23,53898,1.8,387,367,401,416,423,89,{EA774688-A760-4B45-B3E3-71FA19334A51},1034.4,49.4
345,13135050723,507.23,ARC 10,2015-05-19T13:59:10.000Z,28,66667,3.6,1695,1650,1738,1787,1813,224,{8E6DF1C5-0327-49B4-BEE5-60FD2D5A6AD5},284.7,62.2
346,13135050435,504.35,ARC 10,2015-05-19T13:59:10.000Z,17.6,50625,1.6,2852,2375,3332,3798,4163,1980,{4650CFE9-AF3E-4772-870A-B21FABADE8EB},68.8,1237.5
347,13135050531,505.31,ARC 10,2015-05-19T13:59:10.000Z,31.1,51603,2.9,199,181,209,228,238,75,{EA4057F8-3E44-4C68-9BAE-F97F1192CEFC},560.7,25.9
348,13135050533,505.33,ARC 10,2015-05-19T13:59:10.000Z,24.8,60631,2.5,583,544,624,666,689,191,{92DCFDA6-E49D-4791-B529-7F009AEE3002},776.8,76.4
349,13135050436,504.36,ARC 10,2015-05-19T13:59:10.000Z,17.7,42972,2.2,2267,2134,2419,2575,2689,715,{65ACCE5C-9A11-4912-AC6E-352FB6B89027},684.1,325
350,13135050433,504.33,ARC 10,2015-05-19T13:59:10.000Z,27.8,34298,0.5,43,37,46,53,54,20,{07E5C7D1-DABA-4B7E-B68B-73067EC3CD67},450,40
351,13135050432,504.32,ARC 10,2015-05-19T13:59:10.000Z,30.3,56946,2.2,294,255,343,399,447,242,{A54BA948-E79D-4639-94CD-68F650BACB14},243.2,110
352,13135050434,504.34,ARC 10,2015-05-19T13:59:10.000Z,13.5,35357,0.9,1196,1029,1399,1622,1791,998,{718A0EE4-F2B9-4F93-A95D-FF725AD68E88},720,1108.9
353,13135050321,503.21,ARC 10,2015-05-19T13:59:10.000Z,73.1,114444,2,2038,1971,2103,2175,2188,303,{B76BBAA1-0939-4513-ACA0-26CAD3B31536},-12,151.5
354,13217100903,1009.03,ARC 20,2015-05-19T13:59:10.000Z,24.2,60469,6.7,1211,1132,1293,1397,1478,464,{072F97D1-F4A6-48D2-B400-4DD616CD00AF},344,69.3
355,13217100902,1009.02,ARC 20,2015-05-19T13:59:10.000Z,12.9,48775,5,1156,1031,1309,1464,1595,728,{3CEF6070-2CB6-487D-B78A-6C688A515091},287.8,145.6
356,13217100901,1009.01,ARC 20,2015-05-19T13:59:10.000Z,17,51640,24.6,757,728,776,798,815,129,{E8D5694B-29C6-414C-8AE0-C5C0CD81C1CD},205.7,5.2
357,13217100201,1002.01,ARC 20,2015-05-19T13:59:10.000Z,24.9,60647,53.9,1430,1220,1698,2004,2270,1312,{E8AF45E2-8953-48BC-813F-1A01B4B50621},31.4,24.3
358,13217100501,1005.01,ARC 20,2015-05-19T13:59:10.000Z,22.9,55838,7.4,2120,1588,2511,2927,3274,2129,{94D58D17-B0CE-4FDD-9F24-601204AEB366},1071.6,287.7
359,13217100800,1008,ARC 20,2015-05-19T13:59:10.000Z,11.6,47014,50.7,1090,983,1202,1341,1458,631,{8574043C-5BC6-41FF-9FFD-951CD73E5889},98.4,12.4
360,13217100202,1002.02,ARC 20,2015-05-19T13:59:10.000Z,30.2,62986,39.1,579,477,684,817,910,570,{6CC1C9E5-0934-4317-A8E7-883EF3C7B99E},32.7,14.6
361,13217100700,1007,ARC 20,2015-05-19T13:59:10.000Z,8.3,30509,5.9,1092,1032,1159,1240,1292,319,{12EAE907-615A-4141-A3AE-B242F5581232},146.8,54.1
362,13217100600,1006,ARC 20,2015-05-19T13:59:10.000Z,19.5,38938,11.5,1306,1177,1435,1582,1700,683,{0D618326-993E-4314-A53D-3D33C116E328},190.1,59.4
363,13217100502,1005.02,ARC 20,2015-05-19T13:59:10.000Z,12.3,38957,8.7,1647,1484,1870,2108,2324,1066,{9015BC94-AF3A-437F-B1EF-5618089A8515},434.9,122.5
364,13217100400,1004,ARC 20,2015-05-19T13:59:10.000Z,18.1,30438,4.2,4506,4182,4668,4908,4995,1127,{22B76308-2E86-4046-984C-0D5FC6967244},34.8,268.3
365,13217100300,1003,ARC 20,2015-05-19T13:59:10.000Z,19.4,50670,13.5,11247,10913,11788,12564,12406,2153,{31D31C08-94D1-4EE0-B1A6-B56F5BCBD5D7},190,159.5
366,13217100100,1001,ARC 20,2015-05-19T13:59:10.000Z,25.6,67500,48.1,2341,2062,2630,2959,3262,1607,{EB541DDA-26D5-4FCA-9B33-2C756D081D81},77,33.4
367,13135050322,503.22,ARC 10,2015-05-19T13:59:10.000Z,71.5,126414,2,1963,1883,2082,2200,2270,569,{942E02E8-B908-4CB8-AE98-67BB9194BEDC},-170.5,284.5
368,13135050318,503.18,ARC 10,2015-05-19T13:59:10.000Z,36.5,51786,0.3,311,292,334,369,389,135,{E0F5DFDB-7729-4D4A-A8D8-5CA17DF5A7A2},-76.7,450
369,13135050320,503.20,ARC 10,2015-05-19T13:59:10.000Z,12,32642,1.4,4023,3612,4500,5010,5391,2424,{BA033D04-9E84-4CCE-A258-39F5523D5DDF},165.7,1731.4
370,13135050317,503.17,ARC 10,2015-05-19T13:59:10.000Z,19.4,35457,0.5,756,707,806,865,890,261,{3E193AC8-FC8B-4ED2-BAE8-D2922674F4EF},-1340,522
371,13135050220,502.20,ARC 10,2015-05-19T13:59:10.000Z,40.4,46215,1.8,2989,2668,3395,3822,4132,1925,{3CA8CB71-274B-4B3A-9983-E75580914F39},573.3,1069.4
372,13135050214,502.14,ARC 10,2015-05-19T13:59:10.000Z,51.4,80833,4.2,2098,1967,2234,2393,2490,690,{016A4B4D-77A0-4AF1-9DB8-D8BB25078EAF},212.9,164.3
373,13135050218,502.18,ARC 10,2015-05-19T13:59:10.000Z,17.3,66365,1.3,1332,1116,1580,1853,2067,1230,{FACD2B37-9ABA-43CF-8468-CDFF03DF7DB9},81.5,946.2
374,13135050209,502.09,ARC 10,2015-05-19T13:59:10.000Z,45.3,46154,2.8,2189,2048,2333,2505,2601,737,{9C9BA9EC-EAA5-43D3-BA92-32E6BEA9ADDC},699.6,263.2
375,13135050217,502.17,ARC 10,2015-05-19T13:59:10.000Z,55.3,71127,5,7714,7240,8228,8784,9124,2613,{9C9CD4A7-5F25-4538-8DAD-99E418A6126A},1133.6,522.6
376,13135050529,505.29,ARC 10,2015-05-19T13:59:10.000Z,37.9,59830,2.1,5895,5573,6248,6619,6876,1692,{493BDAD3-4463-4F48-9CCE-9164CFE2D170},86.7,805.7
377,13135050530,505.30,ARC 10,2015-05-19T13:59:10.000Z,39.5,73365,1.4,664,627,701,740,760,189,{EE846196-4946-48E3-91E8-7969538EF460},892.1,135
378,13135050538,505.38,ARC 10,2015-05-19T13:59:10.000Z,36.2,75438,2,493,407,582,692,777,472,{AD272DD9-7EDA-43BC-BC67-83CC6404139B},163.5,236
379,13135050525,505.25,ARC 10,2015-05-19T13:59:10.000Z,27.8,78403,3.4,4859,4668,5155,5398,5533,1225,{CD742D72-3FC8-4896-A607-FCD4E37CBC30},250.3,360.3
380,13135050528,505.28,ARC 10,2015-05-19T13:59:10.000Z,39.7,85021,2.1,399,330,467,546,603,363,{5E255024-E460-46F4-9687-9D51017296AB},210.5,172.9
381,13135050605,506.05,ARC 10,2015-05-19T13:59:10.000Z,34.5,70121,8,2014,1722,2348,2697,2982,1639,{9ECEE602-CC06-46EF-A7C4-841A80B3BD88},866.1,204.9
382,13135050606,506.06,ARC 10,2015-05-19T13:59:10.000Z,34.4,66052,15,7232,6927,7584,7982,8170,1694,{A09D4CC6-6069-4ED5-A4E7-8971C5A4549A},862.5,112.9
383,13135050210,502.10,ARC 10,2015-05-19T13:59:10.000Z,48.9,67048,4.9,7277,6865,7704,8166,8483,2181,{BD4D4589-DBCF-478D-9E4A-D5772A258BB5},614.5,445.1
384,13135050213,502.13,ARC 10,2015-05-19T13:59:10.000Z,54.5,89190,6.7,5407,5072,5775,6172,6435,1887,{5D70CFE4-717C-4FC4-97E6-8A0B1AF0F118},928.2,281.6
385,13135050208,502.08,ARC 10,2015-05-19T13:59:10.000Z,45,70863,2.8,1181,1082,1292,1421,1506,557,{99E47B4A-67AC-4A44-AF7A-A25FB52EDF2D},980,198.9
386,13135050212,502.12,ARC 10,2015-05-19T13:59:10.000Z,59,115664,6.5,1805,1675,1935,2092,2210,695,{4A4934DE-F02B-4D89-A041-8FDB694D9390},706.2,106.9
387,13135050109,501.09,ARC 10,2015-05-19T13:59:10.000Z,35.8,79868,3.4,1388,1085,1724,2076,2358,1655,{1CAD9F4D-15B3-4041-9CDA-20558808B457},894.4,486.8
388,13135050107,501.07,ARC 10,2015-05-19T13:59:10.000Z,34.4,79056,7.2,1593,1393,1797,2020,2210,1101,{5EF2CEF9-3CC6-4FAB-9FF1-2F7F66D677B5},621,152.9
389,13135050108,501.08,ARC 10,2015-05-19T13:59:10.000Z,48.7,96440,5.7,772,655,886,1008,1107,598,{7F16CDF1-85CF-4D44-87D2-09F5AC796916},921.6,104.9
390,13135050105,501.05,ARC 10,2015-05-19T13:59:10.000Z,8.9,34692,5.6,6385,5815,7005,7651,8146,3190,{26FA141A-5B91-4C83-A37D-FF679001C67D},-70.9,569.6
391,13135050103,501.03,ARC 10,2015-05-19T13:59:10.000Z,25.3,54830,8.5,2234,1863,2627,3082,3452,2048,{5B94876D-F098-4748-B56A-6A864B84EE91},346.9,240.9
392,13135050422,504.22,ARC 10,2015-05-19T13:59:10.000Z,13.7,35393,1,430,372,495,558,603,295,{1946E063-89E5-4072-901F-7E894D9B1DD2},477,295
393,13135050304,503.04,ARC 10,2015-05-19T13:59:10.000Z,18.1,34443,3,14193,12752,15921,17827,19336,8649,{57485CC3-B9D8-4835-AA20-A73AA277803C},524.3,2883
394,13135050419,504.19,ARC 10,2015-05-19T13:59:10.000Z,14.8,45549,1.7,1539,1412,1674,1822,1925,664,{221DC817-AA1C-4C6A-886A-1314A991A2BF},367.6,390.6
395,13135050306,503.06,ARC 10,2015-05-19T13:59:10.000Z,8.2,35962,3.9,23049,20517,26139,29468,32099,15665,{BC1784B4-B3CC-4159-8470-CB8024D74962},-79.5,4016.7
396,13135050106,501.06,ARC 10,2015-05-19T13:59:10.000Z,22.5,61426,9.3,9759,8721,11051,12460,13497,6264,{E519FDF7-74A4-4A37-8E93-B9BD8E1160FA},302.5,673.5
397,13135050205,502.05,ARC 10,2015-05-19T13:59:10.000Z,30.4,51395,2,6389,5857,7035,7726,8242,3156,{2718E4FA-87D3-49C2-8064-FCF98F36EDF7},-203,1578
398,13135050417,504.17,ARC 10,2015-05-19T13:59:10.000Z,10.1,28606,1,3495,3163,3918,4406,4759,2095,{20825BB4-2CF1-4D50-BE44-DC673E756FE2},41,2095
399,13135050314,503.14,ARC 10,2015-05-19T13:59:11.000Z,27.7,50781,2.1,925,789,1087,1250,1355,747,{3896208C-A43D-46D6-A1F3-334A218FD9AC},1386.2,355.7
400,13135050308,503.08,ARC 10,2015-05-19T13:59:11.000Z,73.6,131167,2.2,6442,6396,6490,6539,6554,190,{A33610DE-2480-4C29-B8FE-02886FDD7DD9},70.9,86.4
401,13135050309,503.09,ARC 10,2015-05-19T13:59:11.000Z,60.4,83100,4.8,9952,9486,10425,11015,11358,2554,{4BF95678-7D69-4180-B68C-232CE0D460BE},133.1,532.1
402,13135050313,503.13,ARC 10,2015-05-19T13:59:11.000Z,28.6,60560,3,2234,2093,2376,2540,2610,708,{2F8B3BCC-E731-4C76-A59C-5C07F1082CAC},195,236
403,13135050311,503.11,ARC 10,2015-05-19T13:59:11.000Z,56.3,100588,1.9,6532,6178,6893,7330,7588,1971,{790B7C74-42DB-4442-8E03-CFFD80036DF5},293.2,1037.4
404,13135050310,503.10,ARC 10,2015-05-19T13:59:11.000Z,54.2,68816,2.9,20861,19483,22482,24329,25625,8263,{4150C242-16C2-4D6C-9E64-7899A3C5C843},79.7,2849.3
405,13135050424,504.24,ARC 10,2015-05-19T13:59:11.000Z,18.9,42616,2.8,3749,3374,4175,4638,5023,2152,{24E650C8-BB21-4ADB-AA50-806FE2BC6D2C},302.1,768.6
406,13135050421,504.21,ARC 10,2015-05-19T13:59:11.000Z,12.4,38698,2.1,8710,7783,9821,11082,12133,5587,{AFB51441-D4EF-48FE-A6E8-C7C7688D481E},394.8,2660.5
407,13135050315,503.15,ARC 10,2015-05-19T13:59:11.000Z,37.8,40585,1.1,328,283,377,433,472,246,{54EBF341-CAF8-4761-B82B-233C0ACD4028},-878.2,223.6
