OBJECTID,GEOID10,NAME10,PLNG_REGIO,last_edited_date,Percent_BA_or_Higher,Median_household_income,Square_Miles,Total_Jobs__2015,Total_Jobs__2020,Total_Jobs__2030,Total_Jobs__2035,Total_Jobs__2040,Change_in_Jobs__2015_2040,GlobalID,Pop_Change_per_SqMi_2000_2010,Chng_in_jobs_per_SqMi_2015_2040
51,13247060307,603.07,ARC 10,2015-05-19T13:59:09.000Z,39.7,70478,5.7,3046,2863,3271,3542,3741,1100,{DA6093AF-1F66-4DB0-8A22-B0886AF2308A},483.7,193
52,13247060102,601.02,ARC 10,2015-05-19T13:59:09.000Z,20.1,44469,27.2,752,625,858,981,1077,597,{C04B66BF-FCCD-46D9-BF0E-7D017332343C},35.7,21.9
53,13067030330,303.30,ARC 10,2015-05-19T13:59:09.000Z,57,91825,2.3,1279,1251,1303,1333,1323,94,{AAF77888-0FE7-4787-BFF0-EFC733903933},139.1,40.9
54,13067030328,303.28,ARC 10,2015-05-19T13:59:09.000Z,58.3,102594,2.6,1974,1909,2036,2117,2150,294,{421E2FD0-57E2-4E93-9032-F2986EF6B3E7},-113.8,113.1
55,13067030700,307,ARC 10,2015-05-19T13:59:09.000Z,25.5,38140,1.7,8421,8408,8479,8605,8661,238,{7BACD79F-1E87-4B05-85CA-77BC243BEB42},-708.2,140
56,13067030324,303.24,ARC 10,2015-05-19T13:59:09.000Z,38.9,78363,1.4,374,314,451,525,594,364,{BAD8A9D3-8ECE-471A-882A-DF3EDB11B09F},-220.7,260
57,13067030312,303.12,ARC 10,2015-05-19T13:59:09.000Z,47.6,68452,3.4,1967,1811,2132,2322,2456,824,{4E18DF39-4DD1-4726-B890-49FFFB3AF7A2},-80.3,242.4
58,13067030228,302.28,ARC 10,2015-05-19T13:59:09.000Z,43.6,45275,3.7,15060,14689,15205,15647,15816,1996,{043ED4B4-CCC1-4E97-BB09-7A5B352B8096},27.8,539.5
59,13067030231,302.31,ARC 10,2015-05-19T13:59:09.000Z,54.1,95714,5.6,1429,1390,1466,1516,1512,173,{A379991D-414F-4B3F-9BD9-3A54CFE8E479},147,30.9
60,13067030230,302.30,ARC 10,2015-05-19T13:59:09.000Z,45.8,64554,6.1,4994,4524,5793,6901,7714,3764,{A12874E8-8A33-4F90-A6AA-3F524E286F59},1275.2,617
61,13067030311,303.11,ARC 10,2015-05-19T13:59:09.000Z,48.7,90809,3.3,2077,1856,2314,2581,2784,1216,{F5DB79A1-ACDD-4A4B-A71C-9D69EC9C14FD},-90,368.5
62,13067031001,310.01,ARC 10,2015-05-19T13:59:09.000Z,5.7,30414,6,13208,12630,13810,14373,14757,3226,{09DD5E37-AA63-40A4-91F0-C24E9E1676C5},-50.5,537.7
63,13067030310,303.10,ARC 10,2015-05-19T13:59:09.000Z,36.2,68512,3.4,1418,1324,1515,1648,1714,532,{3FC3AEF6-1E1A-4CE2-BD42-2B684FBFD983},86.8,156.5
64,13067030215,302.15,ARC 10,2015-05-19T13:59:09.000Z,39.8,73646,2.8,352,344,356,365,364,35,{657827CC-3DE1-4FCA-8AD2-322941490C9A},364.3,12.5
65,13067030601,306.01,ARC 10,2015-05-19T13:59:09.000Z,53.4,48977,3.6,5864,5339,6417,6989,7412,2837,{FA2DDA0B-BDFF-4967-999B-EC767FC30654},1384.4,788.1
66,13067030227,302.27,ARC 10,2015-05-19T13:59:09.000Z,29,58446,3.4,4726,4513,4921,5127,5255,987,{6742AAFD-0C95-4239-9AF2-FF1E2AE76E6C},87.9,290.3
