OBJECTID,STATEFP10,COUNTYFP10,TRACTCE10,GEOID10,COUNTY_NM,PLNG_REGIO,AcresLand,AcresWater,AcresTotal,SqMi_Land,SqMi_Water,SqMi_Total,SD10,SD_Name,Total_Households__2015,Total_Population__2015,Total_Households__2020,Total_Population__2020,Total_Households__2030,Total_Population__2030,Total_Households__2040,Total_Population__2040,Density__Population_per_Sq_Mile,Density__Population_per_Sq_Mi_1,Change__Population_per_Sq_Mile_,Change__Households__2015_2040,Change__Population__2015_2040,last_edited_date,GlobalID
228,13,297,110100,13297110100,Walton,ARC 20,30550,372.261993,30922.300781,47.734402,0.581659,48.316101,192,E Walton,3095,8564,3229,8868,3463,9460,3843,10441,177.3,,38.9,748,1877,2016-06-22T20:22:23.000Z,{D8858D68-E43C-4A66-AA53-B035ECCCFF47}
229,13,057,091005,13057091005,Cherokee,ARC 10,1837.540039,0.941472,1838.47998,2.87116,0.001471,2.87262,18,Woodstock,2805,7514,3121,8258,3612,9392,3964,10143,2591,,906.6,1159,2629,2016-06-22T20:22:23.000Z,{78759BC4-B21A-4211-92F9-1F096F9A1705}
230,13,057,091006,13057091006,Cherokee,ARC 10,1187.819946,1.35686,1189.180054,1.85597,0.00212,1.85809,18,Woodstock,1661,4956,1761,5218,1994,5813,2187,6301,2608.4,,707.9,526,1345,2016-06-22T20:22:23.000Z,{C98DF188-142D-4B54-A164-A25A14EAC017}
231,13,057,090400,13057090400,Cherokee,ARC 10,11333.5,136.417999,11469.900391,17.708599,0.213153,17.9217,17,E Cent Cherokee,3927,10071,4488,11282,5475,13432,6822,16437,562.6,,355.6,2895,6366,2016-06-22T20:22:23.000Z,{2CFF8E75-1F54-4748-B5B2-55C219BAA13E}
232,13,057,090601,13057090601,Cherokee,ARC 10,5373.160156,66.047798,5439.209961,8.39556,0.1032,8.49877,17,E Cent Cherokee,2536,6956,2987,8085,3835,10296,4904,13063,818.4,,718.5,2368,6107,2016-06-22T20:22:23.000Z,{691185F8-0E0C-4958-A15A-F7840ED6A199}
233,13,057,090901,13057090901,Cherokee,ARC 10,5519.350098,60.344601,5579.700195,8.62398,0.094288,8.71828,18,Woodstock,2910,8040,3521,9579,4686,12544,5971,15772,924.1,,888.7,3061,7732,2016-06-22T20:22:23.000Z,{CB4D5FC8-3706-424D-8A83-A9EB9A8C7F62}
234,13,057,090602,13057090602,Cherokee,ARC 10,8963.700195,71.9618,9035.660156,14.0058,0.11244,14.1182,17,E Cent Cherokee,3524,9715,4449,12150,6277,17084,7950,21633,689,,845.2,4426,11918,2016-06-22T20:22:23.000Z,{D9ED094C-8D66-4912-BBDA-D2C08BA520BD}
235,13,057,090200,13057090200,Cherokee,ARC 10,54291.398438,596.242981,54887.601562,84.830299,0.93163,85.761902,15,W Cherokee,3349,8484,4082,10130,5462,13399,6507,15832,98.9,,85.6,3158,7348,2016-06-22T20:22:23.000Z,{3D87563C-1561-4656-8E1E-2D768B3B9265}
236,13,057,090702,13057090702,Cherokee,ARC 10,3920.399902,19.1598,3939.560059,6.12562,0.029937,6.15556,17,E Cent Cherokee,2887,7975,3408,9305,4356,11775,5042,13553,1286.3,2186,899.7,2155,5578,2016-06-22T20:22:23.000Z,{CF9403A6-217D-485F-B25B-1CCB08D04335}
237,13,057,090502,13057090502,Cherokee,ARC 10,19823.099609,282.355011,20105.5,30.9736,0.44118,31.414801,17,E Cent Cherokee,4917,13207,6171,16434,9008,23901,11621,30689,420.6,,556.8,6704,17482,2016-06-22T20:22:23.000Z,{A33A5636-00D5-4624-BBC1-45B47B564901}
238,13,057,090100,13057090100,Cherokee,ARC 10,44034.898438,362.653992,44397.601562,68.804497,0.566647,69.3713,16,N Cherokee,3621,9666,4364,11490,5893,15376,7407,19198,139.3,,137.3,3786,9532,2016-06-22T20:22:23.000Z,{0847D55F-5A43-4E79-B7D5-29C87BADBB48}
239,13,057,090300,13057090300,Cherokee,ARC 10,27061.699219,2647.560059,29709.300781,42.283901,4.13681,46.420799,15,W Cherokee,4661,12624,5753,15427,7447,19762,8581,22494,272.1,,212.7,3920,9870,2016-06-22T20:22:23.000Z,{05612EA1-B61B-478E-80CE-FB636985F0F7}
240,13,013,180206,13013180206,Barrow,ARC 20,1728.23999,9.88273,1738.119995,2.70038,0.015442,2.71581,101,N Barrow,1196,2765,1357,3080,1718,3863,2021,4477,1024.1,,634.1,825,1712,2016-06-22T20:22:23.000Z,{4AC1A0B4-5618-4667-A7C7-09AA9FEF4589}
241,13,013,180205,13013180205,Barrow,ARC 20,2692.659912,32.100201,2724.76001,4.20728,0.050157,4.25744,101,N Barrow,1746,4581,2059,5327,2467,6337,2934,7427,1065.3,,661.9,1188,2846,2016-06-22T20:22:23.000Z,{5FA0AF75-BF17-44B2-A563-D957B6FA9052}
242,13,013,180402,13013180402,Barrow,ARC 20,10158.200195,59.052299,10217.299805,15.8722,0.092269,15.9645,102,S Barrow,2499,6568,3031,7820,3975,10113,4883,12360,410.5,,362,2384,5792,2016-06-22T20:22:23.000Z,{66EC285B-76F1-470C-9B80-DB283B90E11C}
243,13,013,180303,13013180303,Barrow,ARC 20,6946.529785,157.451996,7103.97998,10.854,0.246019,11.1,101,N Barrow,1596,4458,1789,4952,2119,5839,2426,6637,401.6,,196.3,830,2179,2016-06-22T20:22:23.000Z,{5E203283-1E8F-4312-8507-4FEFF366BC22}
244,13,013,180106,13013180106,Barrow,ARC 20,3054.969971,20.2285,3075.199951,4.77339,0.031607,4.805,101,N Barrow,1276,3699,1538,4429,1738,4968,1982,5631,770.6,,402.5,706,1932,2016-06-22T20:22:23.000Z,{439EAB3B-5554-49A8-AB1E-66E2A706EAAA}
245,13,013,180103,13013180103,Barrow,ARC 20,7525.660156,73.646301,7599.299805,11.7588,0.115072,11.8739,101,N Barrow,1733,4799,2311,6234,3267,8783,4201,11162,403.3,938,534.7,2468,6363,2016-06-22T20:22:23.000Z,{77B9D677-F1C8-4C99-8150-D6B7966CD732}
246,13,013,180401,13013180401,Barrow,ARC 20,13713.5,217.485001,13931,21.4273,0.33982,21.7672,102,S Barrow,1960,5186,2510,6640,3552,9315,4514,11853,237.9,,305.8,2554,6667,2016-06-22T20:22:23.000Z,{39941027-1532-4637-9D7E-E68B5276EBEF}
247,13,013,180203,13013180203,Barrow,ARC 20,1394.829956,5.82106,1400.660034,2.17942,0.009095,2.18853,101,N Barrow,1500,3994,1906,5041,2438,6405,2744,7161,1815.5,3255,1439.5,1244,3167,2016-06-22T20:22:23.000Z,{87BF064C-3B0C-4621-818D-D97D70ED7F85}
248,13,013,180503,13013180503,Barrow,ARC 20,5695.049805,33.446701,5728.5,8.89852,0.052261,8.95078,102,S Barrow,1782,5360,1950,5804,2127,6257,2332,6798,595.6,,159.8,550,1438,2016-06-22T20:22:23.000Z,{0C7FBB2A-48C8-449D-B806-B1F7BDB0CFDA}
249,13,013,180502,13013180502,Barrow,ARC 20,11046.400391,305.800995,11352.200195,17.26,0.477814,17.737801,102,S Barrow,1864,5072,2252,6018,2780,7343,3241,8466,286.6,,191.8,1377,3394,2016-06-22T20:22:23.000Z,{DAD7F6E7-0998-4168-B6A6-F4F58E78182E}
250,13,013,180204,13013180204,Barrow,ARC 20,3729.060059,251.112,3980.179932,5.82666,0.392363,6.21903,101,N Barrow,1040,2657,1311,3276,1715,4251,2227,5409,428.5,,443.9,1187,2752,2016-06-22T20:22:23.000Z,{F2AA794C-9655-4A6B-946B-B34AFF2FC211}
251,13,013,180501,13013180501,Barrow,ARC 20,6460.339844,183.535004,6643.879883,10.0943,0.286773,10.3811,102,S Barrow,1958,5719,2484,7196,3712,10670,4463,12777,549.9,,678.7,2505,7058,2016-06-22T20:22:23.000Z,{82AB0A7A-041D-4864-89EC-0CB7F5455549}
252,13,013,180301,13013180301,Barrow,ARC 20,5290.259766,55.121601,5345.379883,8.26603,0.086127,8.35216,101,N Barrow,791,2058,982,2529,1431,3675,1774,4507,245,,291.5,983,2449,2016-06-22T20:22:23.000Z,{9D5F01B1-ACB9-4997-B720-DF8E604F94C7}
253,13,013,180302,13013180302,Barrow,ARC 20,7356.220215,151.554001,7507.77002,11.4941,0.236803,11.7309,101,N Barrow,2060,5496,2263,5984,2561,6764,3034,7950,469.7,,209.7,974,2454,2016-06-22T20:22:23.000Z,{632D3C46-7CE3-4B68-B1B3-39D7F42CA404}
254,13,013,180105,13013180105,Barrow,ARC 20,4036.399902,15.9941,4052.389893,6.30687,0.024991,6.33186,101,N Barrow,1019,3068,1223,3636,1597,4785,1952,5803,487,,434.1,933,2735,2016-06-22T20:22:23.000Z,{9606439F-B4D8-4C26-B864-39279F230BE6}
255,13,013,180104,13013180104,Barrow,ARC 20,2014.98999,1.02203,2016.02002,3.14842,0.001597,3.15003,102,S Barrow,753,2161,882,2502,1129,3157,1287,3574,675.3,,441.6,534,1413,2016-06-22T20:22:23.000Z,{C40914C7-8949-4979-908D-76B4ED020C13}
256,13,013,180107,13013180107,Barrow,ARC 20,4730.410156,42.611099,4773.02002,7.39127,0.06658,7.45784,101,N Barrow,1492,4281,1792,5094,2331,6575,2891,8083,570.8,,506.9,1399,3802,2016-06-22T20:22:23.000Z,{09BBE5A6-7164-4150-A07F-691CBB00B0E7}
257,13,013,180108,13013180108,Barrow,ARC 20,5024.129883,68.800797,5092.930176,7.8502,0.107501,7.9577,102,S Barrow,1167,3181,1315,3554,1742,4616,2135,5621,397.6,,305,968,2440,2016-06-22T20:22:23.000Z,{BB408182-994F-4C9F-B43A-AF14D52B7A8D}
258,13,223,120104,13223120104,Paulding,ARC 20,28964.900391,126.992996,29091.900391,45.257702,0.198427,45.4561,171,N Paulding,1162,3215,1712,4686,2963,7982,4022,10792,70.7,,166.5,2860,7577,2016-06-22T20:22:23.000Z,{3A6057FA-B17F-4423-B313-1AD9C47FB3A1}
259,13,223,120604,13223120604,Paulding,ARC 20,4257.870117,26.059999,4283.930176,6.65292,0.040719,6.69364,173,E Paulding,1790,5104,1940,5438,2396,6644,2910,7984,761.8,,429.9,1120,2880,2016-06-22T20:22:23.000Z,{F0A0366C-D375-429B-9571-B3359A3BBD25}
260,13,223,120601,13223120601,Paulding,ARC 20,3069.47998,0.121823,3069.600098,4.79606,0.00019,4.79625,173,E Paulding,1815,5405,1986,5864,2308,6747,2717,7875,1126,,514.6,902,2470,2016-06-22T20:22:23.000Z,{A1F32AFF-E4A2-4576-AB77-98E086784E33}
261,13,223,120603,13223120603,Paulding,ARC 20,3735.47998,145.389008,3880.870117,5.83669,0.22717,6.06386,173,E Paulding,2465,6762,2684,7286,3187,8544,3753,10017,1108.5,,533.6,1288,3255,2016-06-22T20:22:23.000Z,{8C4109F9-F865-4442-8DC2-A9F2C6B58601}
262,13,223,120501,13223120501,Paulding,ARC 20,5618.870117,15.3037,5634.169922,8.77948,0.023912,8.80339,173,E Paulding,2326,6631,2536,7154,3067,8566,3818,10555,753.5,,445.9,1492,3924,2016-06-22T20:22:23.000Z,{1598C4C4-9D61-462A-AB28-6D8B66E4EE6A}
263,13,223,120203,13223120203,Paulding,ARC 20,2886.73999,16.128599,2902.870117,4.51053,0.025201,4.53573,173,E Paulding,2188,6211,2649,7455,3201,8920,3794,10491,1380.2,,951.1,1606,4280,2016-06-22T20:22:23.000Z,{6CA3FB34-3756-4738-B94B-821A09EBDB80}
264,13,223,120101,13223120101,Paulding,ARC 20,10237.400391,98.511498,10335.900391,15.9959,0.153924,16.149799,171,N Paulding,4093,11464,4461,12367,5493,15116,6499,17717,712,,388.4,2406,6253,2016-06-22T20:22:24.000Z,{E434582E-B979-4608-A7A9-DDB178CC61A6}
265,13,223,120502,13223120502,Paulding,ARC 20,6172.629883,78.122597,6250.75,9.64473,0.122067,9.7668,173,E Paulding,3432,10034,3801,10997,4821,13796,6032,17143,1023.9,,725.4,2600,7109,2016-06-22T20:22:24.000Z,{82DAFDCB-6DB7-465F-9818-5A6CA3633F45}
266,13,223,120503,13223120503,Paulding,ARC 20,5038.290039,59.2314,5097.52002,7.87233,0.092549,7.96488,173,E Paulding,1869,5442,2144,6195,2781,7952,3409,9670,680.3,,528.5,1540,4228,2016-06-22T20:22:24.000Z,{A19A80F7-0706-4D99-B59B-C140C68B0144}
267,13,223,120605,13223120605,Paulding,ARC 20,7381.279785,59.731998,7441.02002,11.5332,0.093331,11.6266,173,E Paulding,2034,5824,2315,6545,3340,9351,4555,12680,502.1,,591,2521,6856,2016-06-22T20:22:24.000Z,{7574123C-33E6-45DF-ADBC-A646B12C6F67}
268,13,223,120602,13223120602,Paulding,ARC 20,5716.629883,30.677099,5747.310059,8.93223,0.047933,8.98017,173,E Paulding,3415,9968,3770,10864,4715,13436,5926,16732,1107.6,,751.6,2511,6764,2016-06-22T20:22:24.000Z,{934C4047-7B53-42D3-BBAF-D62A09204CDF}
269,13,223,120204,13223120204,Paulding,ARC 20,3693.72998,51.308498,3745.040039,5.77145,0.08017,5.85162,173,E Paulding,2590,7219,2920,8054,3525,9648,4338,11739,1223.6,,766.1,1748,4520,2016-06-22T20:22:24.000Z,{7C0C6767-0880-45A8-AAE1-1658BE44D390}
270,13,223,120301,13223120301,Paulding,ARC 20,5111.180176,39.763199,5150.950195,7.98622,0.06213,8.04836,173,E Paulding,2384,6187,2704,6942,3512,8915,4274,10780,773.4,,574.1,1890,4593,2016-06-22T20:22:24.000Z,{9DE390D3-3489-4B5B-92F4-4EDC250698D2}
271,13,223,120303,13223120303,Paulding,ARC 20,3630.590088,60.379501,3690.969971,5.6728,0.094343,5.76714,173,E Paulding,811,2181,973,2606,1313,3452,1677,4382,376,,379.5,866,2201,2016-06-22T20:22:24.000Z,{B4D667B8-CFC7-4B82-8006-DE0B3F8EF8D5}
272,13,223,120102,13223120102,Paulding,ARC 20,8343.80957,40.533699,8384.339844,13.0372,0.063334,13.1005,171,N Paulding,3592,10442,4123,11815,4993,14125,5897,16559,797.1,1264,466.9,2305,6117,2016-06-22T20:22:24.000Z,{7C1D4F76-130B-4353-97AD-52BA76E354D1}
273,13,223,120103,13223120103,Paulding,ARC 20,16470.400391,128.240005,16598.599609,25.735001,0.200375,25.935301,171,N Paulding,2957,8203,3423,9408,4217,11440,5107,13750,316.7,,214.2,2150,5547,2016-06-22T20:22:24.000Z,{536D4CED-8FCD-4D1F-B7D1-1E9BECEBDFD8}
274,13,223,120302,13223120302,Paulding,ARC 20,13864,107.978996,13972,21.6625,0.168717,21.8312,173,E Paulding,5726,14531,6544,16423,8652,21393,10744,26447,666.6,,546.6,5018,11916,2016-06-22T20:22:24.000Z,{101D0861-F4F1-4A68-95ED-40B659A30034}
275,13,223,120202,13223120202,Paulding,ARC 20,4493.27002,2.30846,4495.580078,7.02073,0.003607,7.02434,173,E Paulding,2725,7626,3006,8318,3678,9979,4447,11991,1089.4,1713,623.6,1722,4365,2016-06-22T20:22:24.000Z,{4DA39C3F-B10A-4180-B992-6CA42B3AC319}
276,13,223,120400,13223120400,Paulding,ARC 20,61133.5,271.825012,61405.398438,95.521103,0.424727,95.9459,172,W Paulding,6483,16933,7556,19426,10184,25849,12743,32274,176.6,,160,6260,15341,2016-06-22T20:22:24.000Z,{E87FE54A-596C-4811-AF86-084EAE1BD85B}
277,13,045,910501,13045910501,Carroll,ARC 20,7382.890137,0,7382.890137,11.5358,0,11.5358,123,Central Carroll,2552,9843,2785,10759,3204,12477,3761,14212,855.9,,379.9,1209,4369,2016-06-22T20:22:24.000Z,{BB42CF72-9209-46DA-82AA-32B85026B189}
278,13,045,910702,13045910702,Carroll,ARC 20,14868.5,304.743011,15173.299805,23.232,0.476161,23.7083,123,Central Carroll,2969,7602,3084,7844,3288,8313,3507,8740,320.8,,48,538,1138,2016-06-22T20:22:24.000Z,{3F8DC281-FC72-4433-8862-708B3FE382C1}
279,13,045,911200,13045911200,Carroll,ARC 20,41791.800781,67.619202,41859.5,65.299698,0.105655,65.405502,122,W Carroll,2588,6364,2911,7060,3572,8511,4101,9658,97.3,,50.4,1513,3294,2016-06-22T20:22:24.000Z,{ED429CDE-9333-4F4A-90AA-D2DB0EF11C09}
280,13,045,910400,13045910400,Carroll,ARC 20,27550.099609,53.3046,27603.400391,43.047001,0.083288,43.130299,122,W Carroll,1806,4452,2055,5010,2525,6062,2856,6771,103.3,,53.8,1050,2319,2016-06-22T20:22:24.000Z,{64E04E43-C830-4B6B-9FB1-D8CFE72B06F1}
281,13,113,140207,13113140207,Fayette,ARC 10,1817.180054,197.768005,2014.949951,2.83934,0.309013,3.14836,61,W Fayette,2256,5700,2303,5727,2375,5794,2468,5891,1838.7,,61.6,212,191,2016-06-22T20:22:24.000Z,{38EC1082-1E7C-4C83-AD96-5C7601168415}
282,13,113,140208,13113140208,Fayette,ARC 10,4174.27002,123.973,4298.25,6.5223,0.193708,6.71602,61,W Fayette,2774,7845,2803,7865,3147,8727,3618,9865,1170.9,,301.5,844,2020,2016-06-22T20:22:24.000Z,{8CB62853-1B12-400F-A5E1-FE6966F586A4}
283,13,113,140303,13113140303,Fayette,ARC 10,3397.159912,234.279007,3631.439941,5.30806,0.366061,5.67412,61,W Fayette,1726,4876,1745,4905,1785,4938,1867,5055,855.4,,31.4,141,179,2016-06-22T20:22:24.000Z,{3CB23898-2D87-472C-8F8B-51BF278D2AF4}
284,13,113,140304,13113140304,Fayette,ARC 10,3411.919922,33.349602,3445.27002,5.33112,0.052109,5.38323,61,W Fayette,2243,6066,2263,6088,2402,6330,2570,6642,1123.3,1230,106.7,327,576,2016-06-22T20:22:24.000Z,{4AB9D395-17E4-421C-9217-22B65651972C}
285,13,113,140307,13113140307,Fayette,ARC 10,4196.870117,96.897903,4293.77002,6.55761,0.151403,6.70902,61,W Fayette,1471,5132,1502,5233,1559,5356,1647,5605,766,,70.6,176,473,2016-06-22T20:22:24.000Z,{617C3599-213E-4FCD-A994-AF56C0E5C5AD}
286,13,113,140408,13113140408,Fayette,ARC 10,3867.030029,57.247398,3924.280029,6.04223,0.089449,6.13169,62,E Fayette,1129,3538,1154,3609,1297,4044,1447,4435,580,727,147,318,897,2016-06-22T20:22:24.000Z,{A8286074-5518-48BF-85B5-9D0C1BB1145F}
287,13,113,140407,13113140407,Fayette,ARC 10,5399.680176,120.428001,5520.109863,8.437,0.188169,8.62517,62,E Fayette,2983,8279,3050,8484,3372,9465,3768,10527,962.7,,261.4,785,2248,2016-06-22T20:22:24.000Z,{FDAB2013-8481-401F-B16E-10D253BF6B48}
288,13,113,140405,13113140405,Fayette,ARC 10,4918.279785,133.022995,5051.310059,7.68481,0.207848,7.89267,62,E Fayette,1254,3678,1302,3809,1488,4297,1675,4772,465.6,,138.5,421,1094,2016-06-22T20:22:24.000Z,{F00024C3-804C-401D-9DC8-9BD6D4C40B7E}
289,13,113,140404,13113140404,Fayette,ARC 10,3411.189941,108.550003,3519.73999,5.32998,0.169609,5.49959,62,E Fayette,2097,5781,2141,5858,2294,6155,2512,6575,1051.1,,144.4,415,794,2016-06-22T20:22:24.000Z,{33542BDA-5C38-46EF-8899-76CA7DC5E824}
290,13,113,140206,13113140206,Fayette,ARC 10,3422.860107,130.867004,3553.72998,5.34822,0.20448,5.5527,61,W Fayette,1639,4742,1670,4799,1778,5076,1990,5635,846.8,,159.5,351,893,2016-06-22T20:22:24.000Z,{22A247BF-3F9D-484D-A014-96EAF2058CC9}
291,13,113,140203,13113140203,Fayette,ARC 10,6488.790039,169.839005,6658.620117,10.1387,0.265373,10.4041,61,W Fayette,2079,5576,2155,5740,2787,7254,3646,9322,536.2,,360.2,1567,3746,2016-06-22T20:22:24.000Z,{D42BF3E4-4821-493A-B21A-D1ECF9669529}
292,13,113,140204,13113140204,Fayette,ARC 10,10142.700195,228.473999,10371.200195,15.848,0.356991,16.205,61,W Fayette,1726,5401,1792,5587,2222,6943,2732,8543,333.4,,194,1006,3142,2016-06-22T20:22:24.000Z,{EA9FF868-F250-4A0C-BAC8-94B4DD80591B}
293,13,113,140305,13113140305,Fayette,ARC 10,6317.52002,149.320007,6466.830078,9.87113,0.233313,10.1044,61,W Fayette,1551,4272,1591,4354,1828,4944,2244,5961,423,,167.2,693,1689,2016-06-22T20:22:24.000Z,{F53E3F92-CC03-474D-93C2-10829D3E4217}
294,13,113,140403,13113140403,Fayette,ARC 10,3869.639893,69.1996,3938.840088,6.04631,0.108124,6.15444,62,E Fayette,1979,5561,2025,5657,2230,6160,2437,6600,896.9,,167.6,458,1039,2016-06-22T20:22:24.000Z,{0F607E57-CDB6-4E71-81B5-F1A718FE0DE5}
295,13,113,140406,13113140406,Fayette,ARC 10,3291.550049,58.0159,3349.570068,5.14305,0.09065,5.2337,62,E Fayette,1466,3451,1501,3522,1680,3894,1902,4301,663.7,,163.5,436,850,2016-06-22T20:22:24.000Z,{D12BDBD8-0F51-4AC3-BFEA-A960C98E9AED}
296,13,113,140306,13113140306,Fayette,ARC 10,3277.199951,17.386801,3294.590088,5.12063,0.027167,5.1478,61,W Fayette,2691,7445,2717,7459,2773,7498,2843,7592,1459.8,,28.8,152,147,2016-06-22T20:22:24.000Z,{FC5FBFA8-9F25-44BD-8794-A890DB721533}
297,13,113,140102,13113140102,Fayette,ARC 10,7621.859863,108.152,7730.009766,11.9092,0.168987,12.0781,62,E Fayette,2182,6027,2264,6184,2751,7345,3292,8589,498.1,,211.7,1110,2562,2016-06-22T20:22:24.000Z,{E436F9F9-7789-455B-AD86-DA15F91B8739}
298,13,113,140101,13113140101,Fayette,ARC 10,10301.799805,226.916,10528.700195,16.0966,0.354556,16.451099,62,E Fayette,2687,7697,2779,7916,3343,9428,4047,11173,466.5,,210.7,1360,3476,2016-06-22T20:22:24.000Z,{1E7536B3-7E18-4B4F-A4CE-D854A759B84E}
299,13,113,140502,13113140502,Fayette,ARC 10,17381.800781,481.393005,17863.199219,27.1591,0.752177,27.9112,62,E Fayette,1217,3511,1265,3645,1657,4728,2124,5914,125.8,212,86.1,907,2403,2016-06-22T20:22:24.000Z,{7FEDFB7B-F748-4420-8482-D6C340CB94CB}
300,13,113,140501,13113140501,Fayette,ARC 10,17669.800781,441.769989,18111.5,27.6091,0.690266,28.2992,62,E Fayette,2119,6397,2211,6687,2827,8461,3493,10258,226,,136.4,1374,3861,2016-06-22T20:22:24.000Z,{209FBCF1-8815-41D5-914E-FE99DC4A8B9E}
301,13,247,060404,13247060404,Rockdale,ARC 10,3796.5,48.776402,3845.27002,5.93203,0.076213,6.00823,91,S Rockdale,2097,6079,2315,6661,2705,7725,3195,9092,1013.2,,502.2,1098,3013,2016-06-22T20:22:24.000Z,{F64B6FB1-887B-4D89-B8A2-FC52ED413FA0}
302,13,247,060304,13247060304,Rockdale,ARC 10,5097.100098,60.1689,5157.27002,7.96422,0.094014,8.05823,92,N Rockdale,2405,6126,2701,6758,3203,7870,3716,9009,756.3,,355.9,1311,2883,2016-06-22T20:22:24.000Z,{65EB8FE2-27FE-4EAD-AE1B-F1CB1DC2D0A9}
303,13,247,060101,13247060101,Rockdale,ARC 10,6921.259766,131.197998,7052.459961,10.8145,0.204997,11.0195,92,N Rockdale,1362,3868,1667,4652,2397,6630,2994,8188,351.6,,392.7,1632,4320,2016-06-22T20:22:24.000Z,{4BD7FE8F-AD94-4690-A7BA-8D37F4664686}
304,13,247,060202,13247060202,Rockdale,ARC 10,6994.120117,101.351997,7095.470215,10.9283,0.158362,11.0867,91,S Rockdale,3835,10647,4205,11695,5097,14254,5772,16057,959.2,,487.4,1937,5410,2016-06-22T20:22:24.000Z,{1071F7EF-AE07-4139-A78C-F7586B7236EE}
305,13,247,060201,13247060201,Rockdale,ARC 10,3131.219971,161.729004,3292.949951,4.89253,0.252702,5.14523,91,S Rockdale,1455,4197,1678,4641,2200,5729,2794,6961,822.9,,542,1339,2764,2016-06-22T20:22:24.000Z,{CFFAFAA8-2C28-41F6-9CF5-4069FB27872D}
306,13,247,060306,13247060306,Rockdale,ARC 10,3571.530029,47.716499,3619.25,5.58052,0.074557,5.65508,92,N Rockdale,1068,2917,1236,3372,1455,3897,1624,4273,511.8,,237.9,556,1356,2016-06-22T20:22:24.000Z,{6458AD7C-61D7-4C91-AA55-BA1E64CE5EC8}
307,13,247,060407,13247060407,Rockdale,ARC 10,1457.829956,33.193401,1491.02002,2.27786,0.051865,2.32972,91,S Rockdale,1270,3677,1391,4010,1551,4455,1775,5064,1598.7,,603,505,1387,2016-06-22T20:22:24.000Z,{3139959A-E22A-4FC2-B129-7C7E88FE6598}
308,13,247,060403,13247060403,Rockdale,ARC 10,9418.450195,155.013,9573.459961,14.7163,0.242208,14.9585,91,S Rockdale,1419,4022,1548,4326,1983,5505,2665,7351,268.1,,221.9,1246,3329,2016-06-22T20:22:24.000Z,{6099D594-E146-4F51-9597-E222475B1339}
309,13,247,060406,13247060406,Rockdale,ARC 10,2669.139893,31.497801,2700.639893,4.17053,0.049215,4.21975,91,S Rockdale,2013,5957,2142,6295,2449,7154,2832,8240,1418.3,,543.6,819,2283,2016-06-22T20:22:24.000Z,{ABFBE1D4-D34D-426B-847A-939441774AEE}
310,13,247,060305,13247060305,Rockdale,ARC 10,4099.950195,76.259201,4176.209961,6.40617,0.119155,6.52533,92,N Rockdale,1894,4842,2086,5269,2473,6066,2755,6642,744.9,,276.9,861,1800,2016-06-22T20:22:24.000Z,{06EF1D74-36CD-49D1-81E6-CB602C960214}
311,13,247,060309,13247060309,Rockdale,ARC 10,2060.300049,17.5865,2077.879883,3.21922,0.027479,3.24669,92,N Rockdale,2063,5731,2200,6036,2479,6724,2836,7583,1790.9,,578.8,773,1852,2016-06-22T20:22:24.000Z,{367AEA06-6334-4AF2-825E-C0B8710E5A8F}
312,13,247,060308,13247060308,Rockdale,ARC 10,1967.76001,35.122101,2002.880005,3.07463,0.054878,3.1295,92,N Rockdale,2736,7179,2813,7290,2913,7432,3081,7663,2315.8,,156.1,345,484,2016-06-22T20:22:24.000Z,{1506FB9D-8E3C-4AA1-B2BB-D09A108E4F68}
313,13,247,060405,13247060405,Rockdale,ARC 10,11252.099609,164.619003,11416.799805,17.5814,0.257217,17.838699,91,S Rockdale,2559,7542,2685,7858,3137,9080,3689,10561,423.7,,169.6,1130,3019,2016-06-22T20:22:24.000Z,{D7528394-A945-400B-A913-0114780B23CD}
314,13,247,060307,13247060307,Rockdale,ARC 10,3568.449951,79.610901,3648.060059,5.5757,0.124392,5.70009,92,N Rockdale,3862,10839,4184,11660,4453,12222,4795,12999,1901.6,,378.9,933,2160,2016-06-22T20:22:24.000Z,{6335BD24-DD68-4D1A-94B4-38C535B84B68}
315,13,247,060102,13247060102,Rockdale,ARC 10,17061.599609,331.363007,17393,26.658701,0.517755,27.176599,92,N Rockdale,2119,5767,2302,6192,2747,7363,3193,8420,212,,97.5,1074,2653,2016-06-22T20:22:24.000Z,{E125906D-6915-47D1-B8A5-F6059CBE03A5}
316,13,067,030330,13067030330,Cobb,ARC 10,1493.810059,3.97222,1497.780029,2.33408,0.006207,2.34028,32,NE Cobb,2062,5690,2095,5707,2216,5920,2403,6338,2473.9,,281.7,341,648,2016-06-22T20:22:24.000Z,{EC915545-B1DB-47B1-81D2-F0131BD82594}
317,13,067,030328,13067030328,Cobb,ARC 10,1630.51001,37.843899,1668.349976,2.54767,0.059131,2.6068,32,NE Cobb,2357,6807,2395,6829,2580,7214,2843,7835,2618.1,,395.4,486,1028,2016-06-22T20:22:24.000Z,{C1BA204A-FFC6-4207-952A-9FAA0B6D5E42}
318,13,067,030700,13067030700,Cobb,ARC 10,1064.339966,0,1064.339966,1.66303,0,1.66303,34,Marietta,1956,4991,2031,5236,2363,6058,2683,6670,2935.9,,987.6,727,1679,2016-06-22T20:22:24.000Z,{752FB61E-0C00-4C77-B0C9-783E0FFE5DC5}
