OBJECTID,STATEFP10,COUNTYFP10,TRACTCE10,GEOID10,COUNTY_NM,PLNG_REGIO,AcresLand,AcresWater,AcresTotal,SqMi_Land,SqMi_Water,SqMi_Total,SD10,SD_Name,Total_Households__2015,Total_Population__2015,Total_Households__2020,Total_Population__2020,Total_Households__2030,Total_Population__2030,Total_Households__2040,Total_Population__2040,Density__Population_per_Sq_Mile,Density__Population_per_Sq_Mi_1,Change__Population_per_Sq_Mile_,Change__Households__2015_2040,Change__Population__2015_2040,last_edited_date,GlobalID
837,13,121,002600,13121002600,Fulton,ARC 10,236.207001,0,236.207001,0.369073,0,0.369073,5,NW Atlanta,575,1146,663,1328,890,1759,1190,2330,2865,5825,2960,615,1184,2016-06-22T20:22:26.000Z,{721D6EF3-847A-4091-9313-60DB1BAA245C}
838,13,121,001700,13121001700,Fulton,ARC 10,308.346985,0,308.346985,0.481792,0,0.481792,6,NE Atlanta,1607,2795,1865,3267,3134,5247,4330,7136,5590,14272,8682,2723,4341,2016-06-22T20:22:26.000Z,{3FDC950C-A6CA-46FE-8177-F9E607EDBDD6}
839,13,121,001400,13121001400,Fulton,ARC 10,178.649994,0,178.649994,0.279141,0,0.279141,6,NE Atlanta,1514,2126,1597,2233,1778,2491,1905,2664,7086.7,8880,1793.3,391,538,2016-06-22T20:22:26.000Z,{E3BF60F6-678B-481E-AE16-B0F1098514AC}
840,13,121,003000,13121003000,Fulton,ARC 10,292.416992,0.440589,292.858002,0.456902,0.000688,0.457591,6,NE Atlanta,1721,2781,1807,2907,1973,3154,2055,3270,5562,6540,978,334,489,2016-06-22T20:22:26.000Z,{21F3421F-5B0A-4A5F-BCFE-44D0C70CC226}
841,13,121,011000,13121011000,Fulton,ARC 10,705.879028,0,705.879028,1.10294,0,1.10294,11,Tri-Cities,1214,3795,1321,4110,1512,4670,1813,5468,3450,,1520.9,599,1673,2016-06-22T20:22:26.000Z,{1D423A5C-2823-4E01-AF43-D0538FD1BEDE}
842,13,121,007400,13121007400,Fulton,ARC 10,574.695984,0,574.695984,0.897962,0,0.897962,9,SE Atlanta,1235,3762,1261,3846,1315,3979,1367,4143,4180,,423.3,132,381,2016-06-22T20:22:26.000Z,{E0FEB61E-2DA7-4066-B255-E5F3EE500F15}
843,13,121,006400,13121006400,Fulton,ARC 10,310.432007,0,310.432007,0.48505,0,0.48505,9,SE Atlanta,459,1492,483,1576,644,2189,806,2809,2984,5618,2634,347,1317,2016-06-22T20:22:26.000Z,{E3795B5E-CCC1-40A8-811F-8C75872E6FCB}
844,13,121,005300,13121005300,Fulton,ARC 10,547.401001,0,547.401001,0.855314,0,0.855314,9,SE Atlanta,1671,3415,1810,3689,1967,3967,2078,4143,3794.4,,808.9,407,728,2016-06-22T20:22:26.000Z,{30EF8739-7451-457B-BBF4-A6BE7A1320FA}
845,13,121,005502,13121005502,Fulton,ARC 10,420.615997,0,420.615997,0.657212,0,0.657212,9,SE Atlanta,1133,2438,1204,2564,1338,2796,1415,2928,3482.9,,700,282,490,2016-06-22T20:22:26.000Z,{C4C9CDCC-EF99-4AED-A2F3-267FDA40C653}
846,13,121,008202,13121008202,Fulton,ARC 10,1711.23999,25.8465,1737.089966,2.67381,0.040385,2.7142,5,NW Atlanta,998,2551,1081,2813,1271,3377,1655,4488,944.8,,717.4,657,1937,2016-06-22T20:22:26.000Z,{C5DA4617-8FDD-477D-9142-6C9D424837F0}
