X,Y,OBJECTID,stop_id,stop_code,stop_name,stop_lat,stop_lon
-84.385915,33.750161,9109,908618,908618,GEORGIA STATE STATION,33.750161,-84.385915
-84.440542,33.677424,9110,908628,908628,EAST POINT STATION,33.677424,-84.440542
-84.428768,33.70088,9111,908629,908629,LAKEWOOD-FT MCPHERSON STATION,33.70088,-84.428768
-84.251607,33.772647,9112,908634,908634,KENSINGTON STATION,33.772647,-84.251607
-84.367716,33.847944,9113,908639,908639,BUCKHEAD STATION,33.847944,-84.367716
-84.282466,33.775214,9114,908691,908691,AVONDALE STATION,33.775214,-84.282466
-84.353066,33.757227,9115,908692,908692,INMAN PARK-REYNOLDSTOWN STATION,33.757227,-84.353066
-84.37599,33.749853,9116,908693,908693,KING MEMORIAL STATION,33.749853,-84.37599
-84.397291,33.756187,9117,908694,908694,DOME-GWCC-PHILIPS ARENA-CNN STATION,33.756187,-84.397291
-84.446198,33.640831,9118,908695,908695,AIRPORT STATION,33.640831,-84.446198
-84.385882,33.750143,9119,908696,908696,GEORGIA STATE STATION,33.750143,-84.385882
-84.340456,33.761866,9120,908699,908699,EDGEWOOD-CANDLER PARK STATION,33.761866,-84.340456
-84.295319,33.774681,9121,908700,908700,DECATUR STATION,33.774681,-84.295319
-84.413653,33.736564,9122,908704,908704,WEST END STATION,33.736564,-84.413653
-84.413663,33.735705,9123,908705,908705,WEST END STATION,33.735705,-84.413663
-84.428865,33.700298,9124,908706,908706,LAKEWOOD-FT MCPHERSON STATION,33.700298,-84.428865
-84.440704,33.676985,9125,908707,908707,EAST POINT STATION,33.676985,-84.440704
-84.252151,33.772764,9126,908709,908709,KENSINGTON STATION,33.772764,-84.252151
-84.358387,33.845307,9127,908717,908717,LENOX STATION,33.845307,-84.358387
-84.367629,33.84781,9128,908718,908718,BUCKHEAD STATION,33.84781,-84.367629
-84.30143,33.958232,9129,908797,908797,MT VERNON RD @ N  PEACHTREE RD,33.958232,-84.30143
-84.28061,33.902787,9130,908845,908845,DORAVILLE STATION,33.902787,-84.28061
-84.281166,33.902411,9131,908862,908862,DORAVILLE STATION,33.902411,-84.281166
-84.35189,33.910757,9132,908872,908872,MEDICAL CENTER STATION,33.910757,-84.35189
-84.351759,33.910739,9133,908885,908885,MEDICAL CENTER STATION,33.910739,-84.351759
-84.387504,33.766111,9134,908911,908911,CIVIC CENTER STATION,33.766111,-84.387504
-84.387504,33.766236,9135,908912,908912,CIVIC CENTER STATION,33.766236,-84.387504
-84.403902,33.756613,9136,908958,908958,VINE CITY STATION,33.756613,-84.403902
-84.404021,33.756613,9137,908959,908959,VINE CITY STATION,33.756613,-84.404021
-84.41723,33.756478,9138,908963,908963,ASHBY STATION,33.756478,-84.41723
-84.417328,33.756477,9139,908964,908964,ASHBY STATION,33.756477,-84.417328
-84.39156,33.753899,9140,908976,908976,FIVE POINTS STATION,33.753899,-84.39156
-84.391397,33.753837,9141,908981,908981,FIVE POINTS STATION,33.753837,-84.391397
-84.391452,33.754052,9142,908986,908986,FIVE POINTS STATION,33.754052,-84.391452
-84.391876,33.754123,9143,908990,908990,FIVE POINTS STATION,33.754123,-84.391876
-84.295143,33.904514,7001,903044,903044,N PEACHTREE RD @ PEACHTREE INDUSTRIAL,33.904514,-84.295143
-84.285415,34.092039,7002,903045,903045,N MAIN ST @ HENDERSON PKWY,34.092039,-84.285415
-84.29524,34.088795,7003,903046,903046,N MAIN ST @ CANTON ST,34.088795,-84.29524
