OBJECTID,Name,Acres,Sq_Miles,County20,County10,GlobalID,last_edited_date
612,Byron,5537.53184208,8.6523935,no,no,{77D413F7-A326-4C32-8923-5496E7641582},2017-09-26T15:14:38.000Z
613,Hagan,1379.87879085,2.15606061,no,no,{CD769128-DB08-48A0-A985-E5DB6A44F710},2017-09-26T15:14:38.000Z
614,Daisy,593.69157937,0.92764309,no,no,{C7FFC4BD-7644-406B-84EF-3A38C95D7FD0},2017-09-26T15:14:38.000Z
615,Claxton,1123.07797302,1.75480933,no,no,{381C6543-DD34-447B-83D0-AF635E9E12D7},2017-09-26T15:14:38.000Z
616,Bellville,647.90230932,1.01234736,no,no,{C58D133E-1B36-496C-B8F9-719A4B54B4CC},2017-09-26T15:14:38.000Z
617,Georgetown-Quitman County,102757.59620584,160.55874409,no,no,{D6925309-7F8A-46D4-B1DE-C2FC858FFEA2},2017-09-26T15:14:38.000Z
618,Waynesboro,3503.29386803,5.47389667,no,no,{44D5F204-21B0-481F-B1AB-DD17073F6485},2017-09-26T15:14:38.000Z
619,Vidette,623.64149038,0.97443983,no,no,{338C75D2-64DF-43EC-B72D-9C0FC4EA37E2},2017-09-26T15:14:38.000Z
620,Sardis,1000.64608067,1.5635095,no,no,{D1DD8754-D735-426A-A741-6C5445D6AE19},2017-09-26T15:14:38.000Z
621,Midville,1278.73899825,1.99802969,no,no,{35D1AC3C-1511-4570-ADAA-AAB07D55641E},2017-09-26T15:14:38.000Z
622,Keysville,689.14039257,1.07678186,no,no,{9F35FF61-A335-4F57-B0A9-B5BEDB5E7D97},2017-09-26T15:14:38.000Z
623,Vidalia,11290.0367624,17.64068244,no,no,{63F69858-7125-4304-B4CA-4354009A0482},2017-09-26T15:14:38.000Z
624,Santa Claus,118.60363885,0.18531819,no,no,{3718CAC2-C3DC-466A-BCAD-CEB2B240B218},2017-09-26T15:14:38.000Z
625,Lyons,5373.91454285,8.39674147,no,no,{7D82C144-0920-4C4E-A345-30452F5259B7},2017-09-26T15:14:38.000Z
626,Forsyth,3772.27861484,5.89418534,no,no,{EB491E6D-7A4F-4DF1-A8F8-7BC473A16545},2017-09-26T15:14:38.000Z
627,Culloden,508.3480693,0.79429386,no,no,{962F238A-C456-43A8-9526-19BCBE82A6BF},2017-09-26T15:14:38.000Z
628,Homerville,2244.99297184,3.50780152,no,no,{0268A736-A113-4F21-9F9B-1047D8942B96},2017-09-26T15:14:38.000Z
629,Fargo,1765.02072567,2.75784488,no,no,{6E4BB98D-5B2A-4AE5-B4C7-22FE2FF17A2D},2017-09-26T15:14:38.000Z
630,Du Pont,501.03982783,0.78287473,no,no,{6A665551-4F65-4401-BAB3-0B99AB513234},2017-09-26T15:14:38.000Z
631,Argyle,1100.82157828,1.72003372,no,no,{1B0CE67F-4F3E-40C2-980D-E5E06754E835},2017-09-26T15:14:38.000Z
632,Girard,2050.07935184,3.20324899,no,no,{CBADDB21-0B58-48D9-8C94-04ECA5C57CB7},2017-09-26T15:14:38.000Z
633,Blythe,1811.68732526,2.83076145,no,no,{6B2D4844-86B1-4342-80CE-6A466F99215A},2017-09-26T15:14:38.000Z
634,Walthourville,2471.0622874,3.86103482,no,no,{85923151-D8B5-49ED-90A1-526324EF6C90},2017-09-26T15:14:38.000Z
635,Riceboro,7284.6030518,11.38219227,no,no,{66DDCB94-3307-4E31-BE89-A453B41ADC10},2017-09-26T15:14:38.000Z
636,Midway,4136.25786042,6.46290291,no,no,{654269C9-D9CB-41EE-A075-A533341D1E61},2017-09-26T15:14:38.000Z
637,Hinesville,13531.49013888,21.14295334,no,no,{4BA22B38-F4CA-47C2-9AED-AE1E78C9FF23},2017-09-26T15:14:38.000Z
638,Gumbranch,524.90576852,0.82016526,no,no,{5004A5EA-7616-41A7-A3A7-E8943179EBD7},2017-09-26T15:14:39.000Z
639,Flemington,3043.39285507,4.75530134,no,no,{BBC9321C-17E9-4AE3-B286-4ADBF70D3E75},2017-09-26T15:14:39.000Z
640,Allenhurst,709.18945826,1.10810853,no,no,{F66370AF-C1AA-4596-84B9-0FEAA0914582},2017-09-26T15:14:39.000Z
641,Ila,493.3121559,0.77080024,no,no,{2A2C809B-794A-408A-8BEE-DBB24D5D7992},2017-09-26T15:14:39.000Z
642,Hull,204.90996942,0.32017183,no,no,{D76EDF88-C198-4183-81D8-36D9E01E5168},2017-09-26T15:14:39.000Z
643,Danielsville,955.4360462,1.49286882,no,no,{4D037F7B-FD5E-4B55-9AAB-651D1417899C},2017-09-26T15:14:39.000Z
644,Comer,2088.79187898,3.26373731,no,no,{19F8FAEA-4FAA-43CA-8672-D6E04152DC15},2017-09-26T15:14:39.000Z
645,Colbert,654.66240725,1.02291001,no,no,{B1D2F48F-CD5A-472C-9B12-2706A21F56DC},2017-09-26T15:14:39.000Z
646,Carlton,645.96236969,1.0093162,no,no,{16EFC28B-49BE-43B3-8119-01BC388A6F48},2017-09-26T15:14:39.000Z
647,Watkinsville,2114.80957499,3.30438996,no,no,{58D43450-81D3-4E5D-9962-50008A871427},2017-09-26T15:14:39.000Z
648,North High Shoals,1595.24453809,2.49256959,no,no,{08E1C7F3-304C-461C-9F3A-BE0D34F9A028},2017-09-26T15:14:39.000Z
649,Bishop,505.40393274,0.78969365,no,no,{1B161A91-EA13-4A6A-8EEA-4156C5CEE5CE},2017-09-26T15:14:39.000Z
650,Homeland,1579.51626237,2.46799416,no,no,{A31E2C2B-1E44-4685-A11D-A0D5F2F70B6C},2017-09-26T15:14:39.000Z
651,Folkston,2684.99039189,4.19529749,no,no,{0310BED3-7474-4F61-AF60-01EED2761FEC},2017-09-26T15:14:39.000Z
652,Sparks,2648.96586507,4.13900916,no,no,{FC12D8D9-6E38-4DC2-B899-70A16ED46F53},2017-09-26T15:14:39.000Z
653,Lenox,1039.2364336,1.62380693,no,no,{44FEB268-34F9-4D46-85CF-B6704B338D1E},2017-09-26T15:14:39.000Z
654,Cecil,622.8693498,0.97323336,no,no,{18A2E4A9-8B7D-4410-9A9A-A7D1819E9289},2017-09-26T15:14:39.000Z
655,Adel,5273.00752141,8.23907425,no,no,{150D503B-9FCF-4A2F-86A2-991092415F38},2017-09-26T15:14:39.000Z
656,Ray City,570.49344447,0.89139601,no,no,{812A678C-7B70-4184-BEF3-9CC83C3E18F4},2017-09-26T15:14:39.000Z
657,Nashville,3010.82084574,4.70440757,no,no,{619D317F-14C1-4F3F-A021-A0038DA4AF1E},2017-09-26T15:14:39.000Z
658,Enigma,2101.30408659,3.28328764,no,no,{E46D3F75-77D5-43AD-92BB-EA9FF823BDA1},2017-09-26T15:14:39.000Z
659,Alapaha,657.05369836,1.0266464,no,no,{E6676EA2-4FF1-439D-833C-0DBE6E0015FD},2017-09-26T15:14:39.000Z
660,Offerman,2098.78078441,3.27934498,no,no,{F9F0BBAD-8EC7-404A-89B0-78B92E2C2559},2017-09-26T15:14:39.000Z
661,Blackshear,2876.05565068,4.49383695,no,no,{7A5B9FB1-24A2-4848-B6E5-17FA2242A490},2017-09-26T15:14:39.000Z
662,Jakin,793.72887412,1.24020137,no,no,{4839D681-209B-4A65-9B7C-0BC8EF91EA33},2017-09-26T15:14:39.000Z
663,Damascus,1132.14450748,1.76897579,no,no,{2D847E13-E2BA-460C-ABB6-72378FA3A86B},2017-09-26T15:14:39.000Z
664,Reynolds,1281.04456687,2.00163214,no,no,{91273AC8-A47A-43F3-8451-7CA6EABFCB71},2017-09-26T15:14:39.000Z
665,Butler,2089.52959105,3.26488999,no,no,{489D40A7-4A56-4BE7-9EDE-CDF9C862509B},2017-09-26T15:14:39.000Z
666,Dawsonville,5251.17663564,8.20496349,no,no,{DD1B9F66-2D91-4336-A7CE-7B0D666BBA02},2017-09-26T15:14:39.000Z
667,Wrightsville,2307.2790906,3.60512358,no,no,{04DB9C44-DE4F-4AA5-A33B-805725658241},2017-09-26T15:14:39.000Z
668,Kite,519.1348584,0.81114822,no,no,{74794E81-4556-4EFD-B886-536CA8723C61},2017-09-26T15:14:39.000Z
669,Blakely,11303.66096858,17.66197027,no,no,{ECA76216-FA98-4B02-8209-C185831E58C0},2017-09-26T15:14:39.000Z
670,Arlington,2645.48681107,4.13357314,no,no,{18A6AA52-2F05-47DD-A0AE-81F316B1870A},2017-09-26T15:14:39.000Z
671,Vienna,3513.47673824,5.4898074,no,no,{B9B8BE2A-D177-489B-A10B-8E4DEA2C96ED},2017-09-26T15:14:39.000Z
672,Byromville,231.59769926,0.36187141,no,no,{FEE4A3CD-3E9F-4DB6-8826-BE9009FD8635},2017-09-26T15:14:39.000Z
673,Washington,4963.5082556,7.75548165,no,no,{985F16DD-82EB-435F-8380-765AA44432A6},2017-09-26T15:14:39.000Z
674,Smithville,1627.76993096,2.54339052,no,no,{7F8777C8-2844-4C72-B3E3-8468F9117676},2017-09-26T15:14:39.000Z
675,Leesburg,3192.23073486,4.98786052,no,no,{BC905351-F96A-4221-8E58-B74DB9E9EC0F},2017-09-26T15:14:39.000Z
676,Tignall,1787.19798603,2.79249685,no,no,{ECDA8763-9A71-49CC-94A5-D941E5B2DBA5},2017-09-26T15:14:39.000Z
677,Rayle,668.21401938,1.04408441,no,no,{71C155BF-1B1F-48DA-A209-73BD8163DECA},2017-09-26T15:14:39.000Z
678,Milner,1282.85823285,2.00446599,no,no,{D4F73FA4-C6F3-417F-8400-ED03F9CC8A74},2017-09-26T15:14:39.000Z
679,Barnesville,3904.5108978,6.10079828,no,no,{10AD6627-0664-4259-A967-BD51209A8344},2017-09-26T15:14:39.000Z
680,Aldora,165.79126839,0.25904886,no,no,{48665A4A-92E1-4E55-88FC-4A6EC064D3AD},2017-09-26T15:14:40.000Z
681,Waco,1177.45743944,1.83977725,no,no,{1B64F641-529C-43F5-AC44-8507954E38E9},2017-09-26T15:14:40.000Z
682,Tallapoosa,6434.80584605,10.05438414,no,no,{29B7F954-CC62-41EA-9CE8-2B7588117796},2017-09-26T15:14:40.000Z
683,Braswell,2549.60729045,3.98376139,yes,no,{70CFB042-97B6-42CF-8309-63D831AF988C},2017-09-26T15:14:40.000Z
684,Clermont,1855.35695939,2.89899525,yes,no,{06B0EFB8-56A6-4BE5-B59D-32E3777E22EB},2017-09-26T15:14:40.000Z
685,Hampton,3516.66308425,5.49478607,yes,yes,{C52274C0-643C-4AB5-97A2-87D06C25C5BB},2017-09-26T15:14:40.000Z
686,Mount Zion,5876.01449203,9.18127264,yes,no,{2C5AA772-C16A-4D43-AE6A-05945F4AB48A},2017-09-26T15:14:40.000Z
687,Fayetteville,8198.55398667,12.81024061,yes,yes,{911AF378-97D3-4BDF-95BC-8ADE961D7467},2017-09-26T15:14:40.000Z
688,Woolsey,537.2338708,0.83942792,yes,yes,{B99DF49F-BAC2-4EB7-923A-EE219DD16E86},2017-09-26T15:14:40.000Z
689,Mansfield,671.84885719,1.04976384,yes,no,{68E10801-A172-4D3F-AB02-0D14877ADFCF},2017-09-26T15:14:40.000Z
690,Buchanan,1082.38025003,1.69121914,no,no,{7981C24E-F157-4F35-B2F3-B0DE3B3851D1},2017-09-26T15:14:40.000Z
691,Mitchell,949.57144048,1.48370538,no,no,{EABB5BA0-CB92-4FCF-8943-80D170F9A28B},2017-09-26T15:14:40.000Z
692,Gibson,665.3576378,1.03962131,no,no,{FF5C72D2-4E03-4BBD-9486-720F4D327C8F},2017-09-26T15:14:40.000Z
693,Edge Hill,118.27169513,0.18479952,no,no,{98A007BC-5909-4E38-9699-88DF19316DBC},2017-09-26T15:14:40.000Z
694,Nicholls,1185.8832787,1.85294262,no,no,{A44E350F-5E21-44AF-AFF9-895B6F89E5B0},2017-09-26T15:14:40.000Z
695,Douglas,8935.92966364,13.9623901,no,no,{C128A252-8EDF-42C2-A4EB-A920C0E2FEF1},2017-09-26T15:14:40.000Z
696,Broxton,2149.81712359,3.35908926,no,no,{E7A88F18-CD8C-4B53-9D9F-8182F9EC4493},2017-09-26T15:14:40.000Z
697,Ambrose,2006.40695515,3.13501087,no,no,{792FB475-7410-4CB5-95EC-4A97AE8AFFAF},2017-09-26T15:14:40.000Z
698,Jeffersonville,2347.21043421,3.6675163,no,no,{38ED7D14-DCD5-47BF-B866-22D6CC240212},2017-09-26T15:14:40.000Z
699,Danville,504.9451689,0.78897683,no,no,{7AF373C3-CE26-4320-840A-6CD96EB79980},2017-09-26T15:14:40.000Z
700,Hephzibah,12410.8767315,19.3919949,no,no,{B58E4906-8654-4CF5-A2D7-40E0463AB0FE},2017-09-26T15:14:40.000Z
701,Augusta-Richmond County (balance),196414.17705927,306.89715169,no,no,{A7B5FF7F-4163-493C-89C9-C13F97BBA348},2017-09-26T15:14:40.000Z
702,Trion,2462.01431959,3.84689737,no,no,{3071C834-8D58-40B3-95DF-13426D2E0858},2017-09-26T15:14:40.000Z
703,Summerville,2568.89902577,4.01390473,no,no,{24722E36-011E-483E-8811-2D5996D2A53B},2017-09-26T15:14:40.000Z
704,Menlo,501.22064362,0.78315726,no,no,{F5F9796D-2302-4C92-9347-0F1E68F04570},2017-09-26T15:14:40.000Z
705,Lyerly,480.91994161,0.75143741,no,no,{DC128247-3E06-418E-89DE-AFC40D3D5992},2017-09-26T15:14:40.000Z
706,Helen,1391.59858204,2.17437278,no,no,{BE9F363C-5D0F-4CC2-8D33-8641085DCCA7},2017-09-26T15:14:40.000Z
707,Cleveland,2469.31729116,3.85830827,no,no,{0EF494DD-1896-409A-9179-54B0A552CDF2},2017-09-26T15:14:40.000Z
708,Colquitt,5293.20618953,8.27063467,no,no,{EE422F2F-6E60-4DE8-B1E7-D703C17CFF25},2017-09-26T15:14:40.000Z
709,Woodbury,1319.35497253,2.06149214,no,no,{884A384C-F90A-4A55-AA73-27C48A2F219B},2017-09-26T15:14:40.000Z
710,Warm Springs,884.76701446,1.38244846,no,no,{AE2EF98F-CD2F-429E-AD67-80127372E9B4},2017-09-26T15:14:40.000Z
711,Luthersville,2039.03388517,3.18599045,no,no,{C1DDD08E-FB96-4C83-86BB-7621C539D35C},2017-09-26T15:14:40.000Z
