X,Y,OBJECTID,Name,Acres,Sq_Miles,County20,County10,Pop_wHealth_Insurance,Pct_Pop_wHealth_Ins,Pop_wPriv_Health_Ins,Pct_Pop_wPriv_Health_Ins,Population_with_public_coverage,Pct_Pop_with_public_coverage,Pop_wNo_Health_Ins,Pct_Pop_wNo_Health_Ins,Pop_u18_wNo_Health_Ins,Pct_Pop_u18_wNo_Health_Ins,Pop_18to64_Employed,Pop_18to64_Empl_wNo_Health_Ins,Pct_Pop_18to64_Emp_wNo_Hlth_Ins,Pop_18to64_Unemployed,Pop_18to64_Unemp_wNo_Health_Ins,Pct_Pop_18to64_Unemp_No_HlthIns,Pop_18to64_Not_in_Labor_Force,Pop_18to64_Not_LabFor_NoHlthIns,PctPop_18to64_NotLFor_NoHlthIns,GlobalID,last_edited_date
-85.057081949250133,34.045694458802309,33,Aragon,731.47399902,1.14293003, , ,912,78.4,662,56.9,330,28.4,252,21.6,27,10.1,540,105,19.4,58,47,81,199,73,36.7,{1E9566B7-B929-45C0-B905-41B51D4D70BE},
-83.611275845059367,33.626303117910538,34,Rutledge,2115.2199707,3.30503988, , ,560,79.1,433,61.2,208,29.4,148,20.9,16,15.5,309,64,20.7,19,8,42.1,140,60,42.9,{9B3557E4-8B60-41AB-92EF-71CCDBE58AE7},
-83.475834636871738,33.57908875704647,35,Madison,5621.20996094,8.78314018, , ,3275,84.1,2654,68.1,1213,31.1,621,15.9,143,14.8,1566,350,22.3,171,110,64.3,589,18,3.1,{7DC5543F-8C2E-4F8F-A758-088CBAF66F68},
-83.362311742670897,33.568458472341518,36,Buckhead,513.20898438,0.801889, , ,192,91.9,135,64.6,79,37.8,17,8.1,1,2.7,90,15,16.7,14,0,0,38,1,2.6,{4967A30B-19E8-41FF-AB46-90A5958938FD},
-83.514963823408692,33.737807252310098,37,Bostwick,2009.42004395,3.13970995, , ,507,86.1,412,69.9,179,30.4,82,13.9,10,5.4,218,34,15.6,19,12,63.2,108,26,24.1,{A55EF740-59E7-4196-82B8-7D8AD799FBDC},
-84.560624633719087,32.787680700104318,38,Woodland,505.98699951,0.79060501, , ,328,82.4,194,48.7,156,39.2,70,17.6,3,4.8,163,27,16.6,15,14,93.3,108,26,24.1,{2FFC4B5E-98ED-41FF-835A-3E876A0823F4},
-84.540597882672756,32.67727423634534,39,Talbotton,1999.56005859,3.12431002, , ,869,77.5,538,48,428,38.1,253,22.5,9,4.5,434,79,18.2,100,89,89,236,76,32.2,{F70EAA6E-B51B-4713-ADA1-C793367939C2},
-84.457354411116995,32.603171618165696,40,Junction City,1584.93005371,2.47645998, , ,141,82.9,86,50.6,61,35.9,29,17.1,6,14.3,62,9,14.5,14,10,71.4,39,4,10.3,{5DD1C20A-A381-407F-99E5-E2CB2F12E257},
-84.551618930841585,32.578961087544528,41,Geneva,503.5289917,0.78676498, , ,77,86.5,61,68.5,30,33.7,12,13.5,0,0,24,4,16.7,2,2,100,38,6,15.8,{5AEC6DCA-BC5C-4743-B8AF-8A14254404AA},
-84.633019519734859,32.856563103206277,42,Manchester,5150.77001953,8.04806995, , ,3352,80,1690,40.3,2198,52.5,838,20,45,3.3,1141,398,34.9,276,194,70.3,675,201,29.8,{87178F57-B875-4326-8DA8-12DBC5B06757},
-84.308900636849515,32.238023966845518,43,Ellaville,2031.85998535,3.17478991, , ,1599,76.5,903,43.2,875,41.9,491,23.5,86,16,689,180,26.1,124,71,57.3,392,154,39.3,{33B1A938-648D-4F84-A72E-83D8C5543606},
-83.954768637741594,34.876060180016673,44,Blairsville,711.4630127,1.11166, , ,396,72.5,118,21.6,340,62.3,150,27.5,0,0,196,107,54.6,21,21,100,73,22,30.1,{C23A2A55-2638-4DBC-997C-6A3FC5B40D83},
-83.456885379915988,31.948772381252436,45,Rochelle,1220.30004883,1.90673006, , ,854,84.4,516,51,437,43.2,158,15.6,9,5.1,338,75,22.2,12,12,100,262,52,19.8,{7F077F77-897A-46A4-A7C5-8A82878BE8FA},
-83.541760432341846,31.946189657576681,46,Pitts,512.6630249,0.801036, , ,370,77.6,161,33.8,243,50.9,107,22.4,2,1.4,105,20,19,41,41,100,130,44,33.8,{4506B006-4D45-499B-AF60-B5B1214F0A9A},
-83.503012139293929,32.1084913904551,47,Pineview,1250.7199707,1.95424998, , ,447,83.4,155,28.9,340,63.4,89,16.6,4,2.1,116,49,42.2,21,13,61.9,125,20,16,{59F1EC64-C80B-4AB2-95C0-5EDB7EB0F4CB},
-83.306784752237647,31.992521537870257,48,Abbeville,1979.06994629,3.09229994, , ,707,80.7,330,37.7,482,55,169,19.3,14,5.6,254,96,37.8,30,19,63.3,167,40,24,{B33AE76F-2F33-4F93-8542-B9B02C432CFD},
-82.357947817525755,31.21090364262232,49,Waycross,7645.64013672,11.94629955, , ,11017,79.2,6057,43.6,6857,49.3,2889,20.8,380,10.5,4208,1269,30.2,537,479,89.2,3095,761,24.6,{D14A8403-995D-43A5-A135-B5FDA601D1EE},
-83.281478850598504,33.966629882992827,50,Winterville,1693.66003418,2.64634991, , ,925,90.8,791,77.6,346,34,94,9.2,5,2.1,451,49,10.9,35,23,65.7,95,17,17.9,{07A4099D-E7FD-4769-9A1B-864AC2136CD5},
-83.533468441995979,33.947381185490876,51,Bogart,1522.33996582,2.37864995, , ,896,71.5,671,53.5,307,24.5,358,28.5,16,5.2,520,184,35.4,69,43,62.3,204,115,56.4,{389DE7E1-585C-4335-879C-1D36C83A2B5A},
-83.996615817512804,33.664558946519954,52,Conyers,7552.85009766,11.80130005,yes,yes,11353,74.7,7779,51.2,4802,31.6,3839,25.3,464,9.9,6094,2091,34.3,970,561,57.8,2129,680,31.9,{09F15A6F-AFAE-48ED-A27C-E9C80EEDC409},
-83.957954430172748,33.890201890712085,53,Grayson,1594.05004883,2.49071002,yes,yes,2334,87.6,2108,79.1,495,18.6,331,12.4,32,5,1281,216,16.9,45,12,26.7,301,48,15.9,{91DB43BB-5D0C-4A1C-8E94-EE97D0B7B36D},
-83.53741548238628,33.002388034566387,54,Gray,2489.23999023,3.88943005, , ,2671,86.3,2059,66.5,892,28.8,423,13.7,14,1.5,1174,177,15.1,53,35,66,497,197,39.6,{CEDF198B-B538-4E71-BA7B-3BD2C09BCB90},
-85.149536953027905,33.708750574041105,55,Bremen,6763.83984375,10.56849957,yes, ,5310,87.3,3733,61.4,2158,35.5,770,12.7,50,2.7,2429,505,20.8,280,124,44.3,813,91,11.2,{D46C77C1-5DE6-4ECD-A829-0EC654A1FA95},
-84.766784007615655,34.82660415775154,56,Eton,771.23101807,1.20504999, , ,742,84.4,502,57.1,276,31.4,137,15.6,2,0.8,386,57,14.8,43,24,55.8,116,48,41.4,{0FF164B3-144A-4C35-9155-C0E0D8831B62},
-84.783395764576539,34.780713373819175,57,Chatsworth,3407.64990234,5.32446003, , ,3142,77.2,2167,53.2,1369,33.6,930,22.8,133,14,1401,339,24.2,244,172,70.5,956,286,29.9,{58F9488E-14D0-4C62-9992-290B5FA4C0D0},
-82.3152714928151,32.382145788657994,58,Oak Park,4626.79003906,7.22937012, , ,499,69.5,224,31.2,309,43,219,30.5,36,15.9,209,76,36.4,41,35,85.4,179,72,40.2,{AD1EDF1D-B563-4541-8199-1F1912EC9DEC},
-82.346664065201821,32.4919654270048,59,Nunez,858.39697266,1.34124994, , ,73,66.4,58,52.7,33,30,37,33.6,0,0,50,20,40,12,12,100,9,5,55.6,{DB720D1A-E636-4925-967C-6E175094E135},
-82.09623167322934,32.649546023215727,60,Garfield,509.23300171,0.79567599, , ,194,88.6,91,41.6,125,57.1,25,11.4,0,0,85,16,18.8,5,5,100,32,4,12.5,{6B4050B8-BC97-4171-8503-71BBDE8AC29B},
-82.59202957019258,32.530597001562974,61,Adrian,908.57397461,1.41964996, , ,423,79.5,194,36.5,284,53.4,109,20.5,17,11.5,164,28,17.1,40,28,70,106,36,34,{14208168-741C-4D87-BCB9-451DE10B41B2},
-82.313800827010425,33.41544431731495,62,Harlem,2904.93994141,4.53896999, , ,2460,88.6,1904,68.5,819,29.5,318,11.4,52,6.6,1194,120,10.1,69,41,59.4,472,105,22.2,{DC9EFC66-0CD6-423A-8264-592BE9B654F9},
