OBJECTID,GEOID10,NAME10,PLNG_REGIO,last_edited_user,Percent_BA_or_Higher,Median_household_income,Change_in_Total_Jobs__2015_2040,GlobalID,Pop_Chng_per_SqMi_2000_2010,Chng_AgForFshHnt_jobs_2015_2040,Change_Mining_jobs_2015_2040,Chng_Util_Sect_jobs_2015_2040,Chng_Const_jobs_2015_2040,Chng_Manuf_jobs_2015_2040,Chng_Whlsl_Trade_jobs_2015_2040,Chng_Retail_Trad_jobs_2015_2040,Chng_Trans_Wareh_jobs_2015_2040,Chng_Info_jobs_2015_2040,Chng_Finance_jobs_2015_2040,Chng_RealEs_Rent_jobs_2015_2040,Chng_ProSciTech_jobs_2015_2040,Chng_Mgmt_Comps_jobs_2015_2040,Chng_Ad_Wst_Mgmt_jobs_2015_2040,Chng_Educ_Svcs_jobs_2015_2040,Chng_HealthSocAs_jobs_2015_2040,Chng_ArtsEntRec_jobs_2015_2040,Chng_AccFoodSvcs_jobs_2015_2040,Chg_OthrNotPubAd_jobs_2015_2040,Chng_PubAdmin_jobs_2015_2040,Chg_Pct_AgFoFiHu_jobs_2015_2040,Chng_Pct_Mining_jobs_2015_2040,Chg_Pct_Util_Sec_jobs_2015_2040,Chng_Pct_Const_jobs_2015_2040,Chng_Pct_Manuf_jobs_2015_2040,Chng_Pct_WhlslTr_jobs_2015_2040,Chg_Pct_RetailTr_jobs_2015_2040,Chg_Pct_TranspWH_jobs_2015_2040,Chng_Pct_Info_jobs_2015_2040,Chng_Pct_Finance_jobs_2015_2040,ChgPct_RlEs_Rent_jobs_2015_2040,ChgPct_ProSciTec_jobs_2015_2040,ChgPct_MgmtComps_jobs_2015_2040,ChgPct_AdWstMgmt_jobs_2015_2040,ChgPct_EducSvcs_jobs_2015_2040,ChgPct_HlthSocAs_jobs_2015_2040,ChgPct_ArtEntRec_jobs_2015_2040,ChgPct_AcFoodSvc_jobs_2015_2040,ChPct_OthNotPubAd_job_2015_2040,ChgPct_PubAdmin_jobs_2015_2040
459,13139000600,6,ARC 20,SDE,20.9,38880,5163,{AE0602DA-D99F-4186-B95E-FAB91F1158DC},42.7,0,0,0,135,-8,125,58,526,0,48,75,182,3,479,189,2522,3,120,33,673,0,0,0,0.8,-8.9,-3.7,-0.4,2.3,-0.2,-0.8,-0.1,0.9,0,0.3,-1.3,14.6,0,-0.4,-2.8,-0.5
460,13139000400,4,ARC 20,SDE,32.1,47424,2403,{D2EA336F-0D09-41CD-9273-35AC320D3918},83.9,0,0,1,488,0,5,135,8,0,86,89,123,4,177,0,824,119,105,41,198,0,0,-1.6,2.8,0,-0.2,-4.2,-0.2,-0.2,-1.5,-0.5,1.2,0,-0.9,0,11.2,-2,-1.9,0,-1.9
461,13121007604,76.04,ARC 10,SDE,11.2,17238,8,{5DC7AC8F-08EE-4E97-8C52-C554FC6EDCB9},177.5,0,0,0,2,0,0,-1,0,0,-1,2,1,0,2,0,3,0,0,0,0,0,0,0,3.2,0,0,-10.9,0,0,-7.9,4.7,1.2,0,3.9,0,5.9,0,0,0,0
462,13121007704,77.04,ARC 10,SDE,24.8,36896,500,{9B0604B3-739B-486F-BDCB-378978B669B2},-26.9,0,0,0,54,0,0,3,0,-6,4,7,24,0,36,144,197,2,17,18,0,0,0,0,0.3,0,0,-1.6,-0.1,-4.9,0,0.3,0.2,0,-1.2,-3.1,12.6,0.2,-2.2,-0.4,0
463,13121007603,76.03,ARC 10,SDE,10.1,14346,1279,{0D4F3641-4AE2-44E5-94AE-AD9373DD772C},-15,0,0,0,79,-10,0,-3,0,0,8,4,110,0,101,88,187,3,15,0,697,0,0,0,1,-0.3,0,-0.2,-0.1,0,0,-0.1,0.5,0,0.6,0.9,2.3,-0.2,-0.1,0,-4.4
464,13121011427,114.27,ARC 10,SDE,70.2,108881,1033,{821C06BB-039D-4BDD-86C6-C3A2C25797CD},211.1,0,0,0,51,-9,25,24,1,-1,63,105,138,0,99,105,304,5,40,80,3,0,0,0,1,-1.3,-0.6,-5.4,-0.1,-0.1,-1.7,0.5,1.2,-0.1,0.5,0.6,7.5,-1.9,-1,0.6,0.1
465,13121011616,116.16,ARC 10,SDE,42.8,61719,1714,{FCDD0D12-4E46-43BB-B5EE-AC85CF732CF4},234.5,0,0,0,28,0,320,-4,10,-46,-40,7,181,-2,94,137,554,1,22,53,399,0,0,0,0.2,-0.3,-0.4,-0.8,-0.2,-1.6,-2.8,-0.1,-2.3,-0.1,-0.2,1.1,5,0,-0.2,0.1,2.5
466,13121011617,116.17,ARC 10,SDE,67.4,104867,1472,{D52018E0-4B1E-4D80-9A08-E2AB5132093A},582.4,0,0,0,45,3,27,-5,0,41,118,86,79,9,401,204,270,11,169,13,1,0,0,0,0.5,-0.1,-0.1,-2.3,0,-2.3,0.3,0.9,-5.2,-0.1,4.4,1.7,4.1,0.1,-1.2,-0.2,-0.6
467,13121011611,116.11,ARC 10,SDE,42,54842,7926,{70CD6965-0D66-4133-97F6-4423DEA75885},413.6,0,0,-2,473,-65,382,274,75,-763,402,83,1306,-24,911,103,2433,2,885,529,922,0,0,-0.1,0.8,-0.6,-0.4,-2.6,-0.7,-5,-1.2,-0.3,1,-0.9,1.1,0.1,4.5,0,0.8,0.8,2.6
468,13121010800,108,ARC 10,SDE,17.8,36435,6557,{6314E471-897D-4C71-B330-3A995925656C},91.4,0,0,0,178,-18,26,39,568,-3,2243,337,240,-41,1124,136,418,11,1062,244,-7,0,0,0,0.2,-0.5,-0.3,-0.3,0.3,-0.1,0.8,0.5,-0.1,-3,2.4,-0.3,1.9,0,-0.8,0.6,-1.3
