OBJECTID,GEOID10,NAME10,PLNG_REGIO,Median_household_income,Type_1__Annual_Transit_Trips,GlobalID,Pop_Chng_per_SqMi_2000_2010,Tp1_HousTranCsts_Pct_Income,Tp1_HousCosts_Pct_Income,Tp1_TranspCosts_Pct_Income,Tp1_AnnVehicleMilesTraveled
22,13113140307,1403.07,ARC 10,145086,67.3,{AD4BBCA1-15E0-4306-AC0A-E1533B09FDA5},123.4,57.7,34.8,22.9,26684
23,13113140408,1404.08,ARC 10,72200,43.7,{8E7D1DD1-F5A6-4CCE-9B79-D6968A9AC436},-26.1,53.27,30.94,22.33,26175
24,13113140407,1404.07,ARC 10,63433,66.31,{DFB85698-7D41-48AA-A88F-61ADED243C0F},195.1,51.31,31.08,20.24,23568
25,13113140405,1404.05,ARC 10,85278,47.69,{10FAECD9-776B-46CB-81F2-290C83D3C1A9},14.3,53.29,30.97,22.33,26140
26,13113140404,1404.04,ARC 10,77888,78.75,{5DAF3076-3104-49B0-AAFF-A0E9D0F044C3},179.3,52.61,31.97,20.64,23799
27,13113140206,1402.06,ARC 10,105966,53.99,{704019DF-8DF3-43BC-A159-5B36A1F418B6},161.4,57.87,36.72,21.16,24221
28,13113140203,1402.03,ARC 10,83935,23.08,{1E7BAFB6-278B-4C14-898A-8434D94C5967},216.4,52.81,30.85,21.96,25281
29,13113140204,1402.04,ARC 10,76681,40.43,{3DA2DC4D-8FEA-4189-A09B-6F088DAC57B0},42.5,53.39,31.49,21.9,25460
30,13113140305,1403.05,ARC 10,97955,46.1,{F8AE1BA3-9A7B-430E-BEC3-58F87B9F7F6D},247.1,53.25,31.44,21.81,25109
31,13113140403,1404.03,ARC 10,78324,56.72,{E3F72BCA-033D-4EEA-9874-9132A1C4620E},122.7,54.9,33.01,21.89,25225
32,13113140406,1404.06,ARC 10,57438,46.68,{04939858-CAE3-476A-AFA9-42FC968D4D76},37.3,51.45,30.82,20.63,23754
33,13113140306,1403.06,ARC 10,89699,51.07,{1977FB06-5DBF-4EA4-AC16-B2F6305F84F3},56.3,50.65,29.95,20.71,23913
34,13113140102,1401.02,ARC 10,72549,32.33,{35A216E9-DAFB-47C5-B0CE-9CE0073738F5},-3.8,52.21,30.63,21.58,25047
35,13113140101,1401.01,ARC 10,64732,55.65,{6595A980-63C9-4AE2-810E-93D35A0B5040},49.1,54.6,32.64,21.96,25463
36,13113140502,1405.02,ARC 10,73591,14.93,{43283E36-C2B4-4DBE-8A94-CC10F9A6D538},12.4,53.2,30.19,23.01,27328
37,13113140501,1405.01,ARC 10,84885,30.94,{F2384BB7-C422-42DB-A9A0-A301338D018E},42.3,54.73,31.73,23,26774
38,13247060404,604.04,ARC 10,54146,37.55,{8C221737-6104-49B2-83DC-09BB3495FB3C},-45.3,52.14,30.82,21.31,25093
39,13247060304,603.04,ARC 10,42554,14.29,{9D11D2EC-7822-40E4-A0EA-FA35B08C6398},120.7,46.98,28.65,18.33,21436
40,13247060101,601.01,ARC 10,51356,12.08,{D919C731-0211-4196-B0B4-D7DAE3CAE440},9.5,51.64,30.09,21.55,25328
41,13247060202,602.02,ARC 10,54345,46.57,{F17DC127-1F74-4DAC-9C55-9AFB95379AE6},174.6,51.1,30.28,20.81,24639
42,13247060201,602.01,ARC 10,35453,69.7,{C2F7D8EA-0ADB-4AA1-A57A-28B22366DC30},31.8,47.3,27.51,19.79,23497
43,13247060306,603.06,ARC 10,65357,0,{0757E519-6FFA-4C54-B70C-64A745A0F7AA},231.9,51.93,31.11,20.82,24493
44,13247060407,604.07,ARC 10,51714,46.03,{4D2B2C36-01F4-4C28-80C5-0B5D389D4C22},-84.8,52.18,30.77,21.41,25449
45,13247060403,604.03,ARC 10,69286,15.48,{9082254F-4A8C-4B7F-8258-1274810AA24D},63.8,54.46,32.06,22.4,25923
46,13247060406,604.06,ARC 10,71833,46.01,{0991C349-1972-46F8-9D4E-28CA490EB01B},41.4,53.99,32.01,21.98,25783
47,13247060305,603.05,ARC 10,37067,37.81,{7C818CEB-5CFA-456E-8189-3690191E53FB},138.2,44.8,27.13,17.66,20783
48,13247060309,603.09,ARC 10,43438,62.91,{A18488B5-6E4D-414D-96AC-E12C40440535},323.4,49.24,30.07,19.17,22312
49,13247060308,603.08,ARC 10,43182,70.45,{194326C9-40B8-4420-8595-1E7E81C15470},858.7,45.45,27.59,17.85,20857
50,13247060405,604.05,ARC 10,65704,29.06,{39CAB151-9B22-4AD3-92E3-57CA59A7DD6D},90.6,54.04,31.6,22.44,26619
51,13247060307,603.07,ARC 10,70478,73.29,{88CDDEB2-5381-486F-894D-C1AB42F813C1},483.7,52.9,32.68,20.22,23610
52,13247060102,601.02,ARC 10,44469,2.37,{8A07743D-715C-45E8-BBC2-469C7186410A},35.7,51.69,30.5,21.18,25138
53,13067030330,303.30,ARC 10,91825,95.42,{C401B492-A980-4210-88CC-ECBAF10E1102},139.1,53.99,33.96,20.03,21896
54,13067030328,303.28,ARC 10,102594,87.13,{AAA7F566-7867-4AA2-B6D5-C00EC26F2393},-113.8,54.47,34.11,20.36,22117
55,13067030700,307,ARC 10,38140,97.44,{EE697241-2AA6-49E9-A3EF-507182AFCC1E},-708.2,44.71,28.92,15.78,17366
56,13067030324,303.24,ARC 10,78363,91.25,{5D93E0A5-FE81-4475-ABFA-E344A96E3523},-220.7,52.95,32.57,20.38,23224
57,13067030312,303.12,ARC 10,68452,53.85,{462BF433-0D9A-4C44-9D9F-CBAB618D8917},-80.3,52.58,32.45,20.13,22330
58,13067030228,302.28,ARC 10,45275,119.99,{40BDC62B-8F15-428A-A55F-7F2B2E95CB7A},27.8,43.68,28.06,15.62,17773
59,13067030231,302.31,ARC 10,95714,85.52,{9C6D4385-627B-47A8-83AC-498371D5854E},147,55.91,35.02,20.89,23400
60,13067030230,302.30,ARC 10,64554,89.51,{DACD8139-90AA-4483-95EB-8A4AE17E5B9F},1275.2,48.82,31.29,17.53,19404
61,13067030311,303.11,ARC 10,90809,63.56,{9ED335D5-1EE0-4E7D-BA03-FE369D94373E},-90,52.82,32.45,20.36,22856
62,13067031001,310.01,ARC 10,30414,81.11,{B815D641-8DE6-4D9A-962E-18E2E3D5EE48},-50.5,42.87,26.65,16.23,18079
63,13067030310,303.10,ARC 10,68512,42.44,{65A18273-06EA-4B2E-82E0-E9EB2924A5BF},86.8,52.9,32.84,20.06,22224
64,13067030215,302.15,ARC 10,73646,84.61,{41184DC8-35C8-4280-ADFB-C6E8A5CF80DA},364.3,51.5,31.83,19.67,22153
65,13067030601,306.01,ARC 10,48977,103.93,{314B9D99-5D56-4664-9B28-3E795D044EF2},1384.4,44.84,29.62,15.22,16753
66,13067030227,302.27,ARC 10,58446,38.39,{425D134D-12F3-41F2-A5E9-7C29409C76CA},87.9,48.36,29.96,18.4,20737
67,13067030602,306.02,ARC 10,61891,71.95,{BA6E167C-2013-459A-950E-9620FCDAF36E},61,46.98,29.29,17.69,19604
68,13067030506,305.06,ARC 10,51922,52.47,{9F3E3D05-BBF9-4D97-A00F-770BC06E39CB},267.1,45.84,28.56,17.28,19288
69,13067030507,305.07,ARC 10,61017,72.17,{45090188-A1DF-42A0-BC63-BA29EEA85911},51.3,51.22,31.75,19.47,21590
70,13067030229,302.29,ARC 10,51905,39.39,{78E502E0-50B0-4EBB-993E-7430D850E7B0},409.8,49.44,31.07,18.38,20389
71,13067031208,312.08,ARC 10,63125,183.41,{A1A12343-56AE-43B1-9C16-B5ED9D24E710},960.7,42.97,28.56,14.41,15211
72,13067031207,312.07,ARC 10,52945,211.15,{1169D283-C4CB-43DE-BEF1-727DC9C2124E},176.4,45.83,32.41,13.42,13739
73,13067030226,302.26,ARC 10,70357,110.03,{5F15A810-D152-41EF-B415-0401E383543E},1151.9,51.37,32.18,19.19,21830
74,13067031505,315.05,ARC 10,62903,41.78,{3B90A92F-B63F-4B04-A0CC-545C12A668C3},-27.4,51.21,30.99,20.22,23313
75,13067030313,303.13,ARC 10,77872,47.25,{F9CE3B48-C2E7-4776-AC5F-DE304AD34D07},201.1,52.66,32.81,19.85,21871
76,13067031310,313.10,ARC 10,27802,151.36,{FD5F57E4-EC60-4E81-B595-B98CC01DB3B9},244.1,41.31,25.41,15.9,17984
77,13067030214,302.14,ARC 10,74347,66.76,{FB137316-40CA-401A-9F2C-3E8AF54E63CF},299,52.4,32.13,20.27,23128
78,13067031212,312.12,ARC 10,125000,93.09,{3D8481A0-0B43-4F19-A9CE-4A7C7B0D07E2},-71.3,54.87,35.97,18.89,20042
79,13067031211,312.11,ARC 10,53891,266.87,{D91B67C5-8A82-4BF8-8EF4-39C43FF0A51F},-73.3,37.52,24.8,12.72,13585
80,13067031209,312.09,ARC 10,120987,114.73,{93F183DF-40AA-4196-BF3C-CFBB60C29F70},600.8,54.05,35.53,18.52,19625
81,13067030224,302.24,ARC 10,69803,93.01,{A00189E9-1688-4E25-9319-E6653534A10B},1697.2,51.61,32.13,19.48,21906
82,13067031205,312.05,ARC 10,83000,168.62,{9418B38E-8566-4F7C-9868-16D332B20014},688.6,46.36,30.24,16.13,17517
83,13067031206,312.06,ARC 10,78214,125.46,{D618AFA2-129E-4A36-8C47-F5E427267315},1112.2,45.63,29.33,16.3,17663
84,13067030220,302.20,ARC 10,63523,60.42,{00A65847-3E87-4287-9076-8779CD07AC66},-44.3,52.98,32.72,20.26,22332
85,13067030905,309.05,ARC 10,52669,92.65,{CA5CA72C-A875-4F6B-858F-E577E4319208},398.3,50.08,31.08,19,21473
86,13067030502,305.02,ARC 10,83229,81.25,{93955727-757E-471B-891F-7D14C49E7401},114.1,51.61,32.73,18.89,20836
87,13067030209,302.09,ARC 10,82328,54.58,{58F085EE-9357-40C5-8AD2-CC0643AF9455},253.6,54.51,33.6,20.91,23529
88,13067030326,303.26,ARC 10,122371,71.24,{5E09D0FA-3983-4358-A922-71C9F9D6C38B},-70.4,56.52,35.32,21.2,23665
89,13067031108,311.08,ARC 10,35563,187.33,{62D4BA84-31C5-4AE3-867C-03F37566C56E},-380.8,42.05,27.12,14.94,16289
90,13117130105,1301.05,ARC 20,38306,0,{A3D99388-D660-452F-9163-6923D85C5E49},106.5,47.75,27.18,20.58,24267
91,13117130205,1302.05,ARC 20,65795,14.56,{3E6061A0-7CEB-41D2-A79F-2AA68F41F3FD},113.9,51.35,29.65,21.7,25392
92,13117130603,1306.03,ARC 20,118902,95.61,{B498896C-C63B-4019-928D-4D4BA1CD0E6A},391.4,55.23,34.79,20.44,23247
93,13117130610,1306.10,ARC 20,120685,81.28,{ABC2144B-CD6B-4DBC-8042-5A5046F62C1B},125.9,57.17,35.75,21.42,23942
94,13117130606,1306.06,ARC 20,116714,98.72,{D6D196AB-298B-436E-AAEC-74980472B080},263.5,54.54,34.41,20.13,22033
95,13117130604,1306.04,ARC 20,126058,96.33,{7A388CFF-2039-4D6C-A65A-9B84CD75839F},693.6,56.11,35.22,20.89,22948
96,13117130611,1306.11,ARC 20,127304,96.09,{9F00CA76-90C2-4235-AB58-1F2A753DFA7B},633.3,57.4,35.93,21.47,24119
97,13117130609,1306.09,ARC 20,125688,75.34,{DB131BEA-E672-411B-A604-744CF751031B},1147.7,56.66,35.2,21.46,24000
98,13117130607,1306.07,ARC 20,120000,81.03,{31373553-C1EC-46DB-8597-86C44CEB08FF},1206.3,55.48,34.48,21,24032
99,13117130605,1306.05,ARC 20,99028,83.37,{C8440592-BA62-4FA3-B461-D3BC41D27481},684.5,56.33,34.81,21.52,24013
100,13117130602,1306.02,ARC 20,83445,108.81,{C5640753-579D-433B-9F11-94FB7FF580DD},810.9,51.11,31.51,19.6,22340
101,13117130508,1305.08,ARC 20,104912,76.36,{DADEDE8B-8313-46B4-921D-8FC9E481425B},491.8,56.01,34.31,21.7,24706
102,13117130507,1305.07,ARC 20,71765,39.45,{27D55C0C-765F-48F8-9323-67548AA69579},80,51.71,30.86,20.85,24287
103,13117130409,1304.09,ARC 20,60962,35.1,{50D2F78F-4C62-483D-A4A0-C22E517491E1},201.7,48.47,28.53,19.93,23427
104,13067030218,302.18,ARC 10,114718,83.58,{0E88145A-3421-4FDE-B456-187F8488709D},455.4,56.33,35.12,21.21,23940
105,13067030219,302.19,ARC 10,118279,74.84,{340093C3-E964-4C9A-9A96-E8C1937A73A7},572.9,57.1,35.32,21.78,24774
106,13067030235,302.35,ARC 10,98782,40.34,{5B012D1A-B83D-4EFF-AC5D-D433740AD86C},120.8,54.58,33.09,21.49,24121
107,13067030234,302.34,ARC 10,96625,55.3,{1AEE9C2E-06ED-47B6-BDD2-A7DD2B646322},376.7,56.08,34.46,21.62,24598
108,13067030233,302.33,ARC 10,97778,77.85,{481195F2-A140-49C3-ACB6-821F3882D7C8},-1.1,54.78,33.81,20.97,23778
109,13067030337,303.37,ARC 10,125556,107.66,{EC34C9CC-A017-4756-8FD5-40C3AD41CDD2},6.1,55.58,35.67,19.92,21528
110,13067030334,303.34,ARC 10,96214,73.39,{65320847-A495-4040-98FC-8B1ABAB3B789},-140,54.44,34.65,19.79,21035
111,13067031111,311.11,ARC 10,78706,192.38,{07EDA253-10F7-4E56-9D92-C66541440E90},-353.8,48.19,32.3,15.89,17322
112,13067031110,311.10,ARC 10,56472,101.68,{C5290884-1552-446F-83B0-3809C0F45826},-166,47.46,30.24,17.21,18666
113,13067030405,304.05,ARC 10,39492,173.05,{E71290DA-EB84-4549-8EDE-DAB38AA1C59D},-74,44.32,29.07,15.25,16434
114,13067031101,311.01,ARC 10,41907,103.24,{13DE6539-41EB-4345-895A-5EFD08BDDC98},34.6,46.95,30.12,16.83,18529
115,13117130305,1303.05,ARC 20,94188,91.52,{79AA0B45-07AD-4564-A7C7-D6FE6E02E597},610.3,55.16,33.08,22.08,25701
116,13117130301,1303.01,ARC 20,66842,44.57,{22BD111A-E57E-4259-BFBE-C80059AA72A9},240.6,52.02,30.63,21.39,25435
117,13117130405,1304.05,ARC 20,81048,41.86,{E75CF6ED-215F-4291-BFF2-19EE10965D07},542.1,53.49,31.93,21.56,24717
118,13117130504,1305.04,ARC 20,66572,15.17,{F933EEC5-4DD0-4D0C-A5C6-1D0139F081A3},64.7,48.98,28.13,20.85,24269
119,13117130505,1305.05,ARC 20,74000,45.43,{1A3BEBBE-01CA-49A5-81BA-3C04E7CD1376},74.6,52.54,30.59,21.95,25918
120,13117130503,1305.03,ARC 20,82670,23.46,{B472942A-FB04-41B0-98DC-7E58F3EE44DD},70.7,52.21,30.47,21.75,25461
121,13117130102,1301.02,ARC 20,59929,44.04,{58B606FE-70FC-4766-ACF8-4E8959DEF5EE},207.4,53.29,31.05,22.24,26525
122,13117130103,1301.03,ARC 20,53941,11.35,{5033BB17-4828-4128-854F-5BAD1E25A209},190.1,50.81,29.27,21.54,25924
123,13117130303,1303.03,ARC 20,85750,57.08,{45712429-8E9E-4CC2-BC08-8479D9BA5428},111.4,54.22,31.85,22.37,26692
124,13117130201,1302.01,ARC 20,82137,40.58,{2B3E2B75-47AA-4EF8-877E-5E67F78E9DF2},221.6,53.34,30.89,22.46,26708
125,13067030232,302.32,ARC 10,89649,75.91,{51F7E0B8-2F9D-4342-9C2F-CB1C52B44E56},231.8,54.65,33.66,20.99,23651
126,13067030222,302.22,ARC 10,73438,77.74,{81A52500-D746-47EC-AB0E-BA7DA7D3226E},-31.1,53.46,33.21,20.26,22608
127,13067031118,311.18,ARC 10,67149,110.46,{04D9BDD2-D060-413D-B69A-257D242E217F},133,49.3,31.4,17.89,19637
128,13067031117,311.17,ARC 10,110870,76.88,{41F6DBA6-428B-41ED-88F7-A316DADABAC0},-182.5,51.89,32.2,19.68,21932
129,13067031507,315.07,ARC 10,44830,84.17,{D03652E5-8380-4451-9F74-7DDDBC08C412},-124.7,50.24,30.59,19.65,22588
130,13067031004,310.04,ARC 10,38137,114.69,{6E5BC828-E28D-4F8A-AC06-109AFE60F132},-449.4,45.45,28.53,16.92,18928
131,13067030103,301.03,ARC 10,71569,41.28,{8E7569E8-1524-4F68-B948-FDE5EE651965},498.9,53.22,32.62,20.6,23416
132,13067031404,314.04,ARC 10,63426,57.67,{E84221F4-E178-47DA-93A7-5CFB5200E298},117.9,50.81,31.27,19.55,22008
133,13067031306,313.06,ARC 10,47992,30.25,{672B75A9-9C0B-452D-BC25-B8782C89AABE},107.7,49.19,30.63,18.56,20729
134,13067030101,301.01,ARC 10,73603,9.07,{770AFB8C-361F-4BF2-B388-A7D4D1DF8D1E},100.7,52.21,31.07,21.14,24425
135,13067030104,301.04,ARC 10,51140,67.2,{D549BE6E-D79F-451B-8BD4-2AF19E942160},150.7,49.01,29.6,19.4,22372
136,13117130613,1306.13,ARC 20,95217,53.27,{EF1E1DEE-3530-431B-8984-30AA27222B41},474.2,53.95,33.57,20.39,23136
137,13117130408,1304.08,ARC 20,53333,67.46,{F0624C63-7D6C-4C5A-B6E2-A9C0529ED770},320.7,50.51,30.53,19.98,22939
138,13117130612,1306.12,ARC 20,141802,87.38,{8A39BAE0-D765-47B9-B435-C1AFBF1E2EAD},734.3,57.4,36.43,20.97,23290
139,13117130608,1306.08,ARC 20,124531,77.3,{0D35A0AC-AD91-40E6-9909-A11601697B9A},972.4,64.29,43.36,20.93,23418
140,13117130307,1303.07,ARC 20,85833,65.66,{3FCFC4D3-063E-426A-B032-6A7699D7B492},246,53.89,32.28,21.61,25076
141,13117130302,1303.02,ARC 20,99464,73.62,{033AC50C-E5E2-459F-9DFE-6DD7D2977D0F},482.6,53.72,32.21,21.51,24765
142,13117130304,1303.04,ARC 20,103438,60.12,{8E677EAC-9DD4-4622-89C9-D03CDFD7868D},138.3,54.47,32.81,21.67,24450
143,13117130404,1304.04,ARC 20,102384,74.08,{2CB1B403-529F-4B9C-8863-D2DA2F0FC362},1065.2,56.21,34.87,21.34,23950
144,13117130306,1303.06,ARC 20,103947,87.59,{0730F4A7-2C66-4CFB-889A-FE46A6B7CC2E},544.7,54.15,33.04,21.11,24179
145,13117130601,1306.01,ARC 20,85497,64.71,{41C67CAC-18FB-4EF0-B13E-094831C99FD5},281.9,51.8,31.95,19.85,22771
146,13117130510,1305.10,ARC 20,99531,51.93,{AEEA14E2-77F0-454A-9A42-D46724389AA3},473.7,54.33,33.58,20.75,23497
147,13117130406,1304.06,ARC 20,70261,84.82,{12BB1C3C-52A8-40B5-BB94-5C1B0C7DB1BE},1310,51.03,31.07,19.95,22656
148,13117130410,1304.10,ARC 20,46816,79.85,{00235548-7F00-491B-A0FE-BA9584C52C19},703.1,46.68,29.17,17.52,19999
149,13117130203,1302.03,ARC 20,74100,17.5,{E07DD45D-D929-449F-85A6-D41B3BE3B32B},91.5,53.28,30.78,22.5,26229
150,13117130204,1302.04,ARC 20,63125,42.81,{50B46466-4E25-4539-B458-2D03D10611EF},470,53.11,30.98,22.13,26426
151,13117130202,1302.02,ARC 20,94821,76.53,{1E2CBBC1-463B-4A99-BC48-3F8E537BB175},402.2,55.67,33.28,22.39,26038
152,13117130509,1305.09,ARC 20,66284,7.09,{8E046448-B00B-47EF-B08B-7098A9DE9C2B},-2.4,53,32.27,20.73,23357
153,13117130403,1304.03,ARC 20,68456,56.59,{AFEB8333-3BAF-4D48-90D1-34F2E7D856AA},154.5,52.78,31.38,21.39,25450
154,13067031506,315.06,ARC 10,53906,31.14,{DA99E728-1F41-4824-A074-780DB2B4FC0D},92.2,49.98,29.56,20.42,23672
155,13067031508,315.08,ARC 10,70882,42.5,{5ED6F6A1-FD97-417F-80C3-67D994CABA3A},257.7,53.92,32.67,21.25,24197
156,13067031116,311.16,ARC 10,39228,148.2,{E9B877CB-6706-4F96-AAF1-F2EF2DEA8379},-264.5,42.63,26.51,16.12,17855
157,13067031115,311.15,ARC 10,57560,88.38,{834E1593-A79D-43A1-B082-0355BEA93BA4},425,49.33,30.81,18.52,20615
158,13067030223,302.23,ARC 10,65453,108.54,{7357BA6F-942F-4AC1-8E68-D4E77B8F718B},661.2,50.77,32.1,18.68,20975
159,13067031312,313.12,ARC 10,61176,88.27,{D33655BC-8DF2-427C-8737-A89E7721A24F},689.6,49.66,30.77,18.9,21156
160,13067031313,313.13,ARC 10,107841,84.94,{D4B4FB62-0745-419C-8ECE-9D26C0BD8D4E},975,52.23,32.79,19.45,21368
161,13067031309,313.09,ARC 10,52714,66.11,{936B5733-4747-4845-85A1-BA7108335820},307.1,50.12,30.66,19.46,22004
