OBJECTID,Acres,LCI_Name,Year,Name,yr_gf,Study_Type,GlobalID,last_edited_date
213,795,Suwanee,2001,Suwanee,GF,Town Center,{D3C1757E-4A52-4F7B-80B9-E735750E9142},2015-09-01T14:09:51.000Z
214,429,West End,2000,West End,2000,Activity Center,{4398C0E8-91F8-46EA-A3F8-3C81F4723B25},2015-09-01T14:09:51.000Z
215,164,Dunwoody Village,2010,Dunwoody,2010,Town Center,{8A9FF38E-15C1-4976-9F6E-2B5FAF9E9082},2015-09-01T14:09:51.000Z
216,1749,Highway 278 Covington-Newton,2005,Highway 278 Covington-Newton,2005,Corridor,{00A3EFDC-59FF-4CC0-9EED-CFEAAA493DE7},2015-09-01T14:09:51.000Z
217,1756,Roswell Road,2007,Roswell Road,2007,Corridor,{4DE6CE87-955E-4C3D-A0F5-4990B04E4332},2015-09-01T14:09:51.000Z
218,2716,DL Hollowell-Veterans Memorial,2009,DL Hollowell-Veterans Memorial,2009,Corridor,{F96515F7-0AFC-4C5E-8C69-B12E02F61642},2015-09-01T14:09:51.000Z
219,533,Norcross,2001,Norcross,2001,Town Center,{FA297002-EF2C-4C08-85CA-D423361078CB},2015-09-01T14:09:51.000Z
220,443,Snellville,2003,Snellville,2003,Town Center,{6A715859-7D32-4C62-9A24-6D1BF82D5BC9},2015-09-01T14:09:51.000Z
221,1235,Highway 29,2011,Highway 29,GF,Corridor,{AF26AACA-576F-480D-9F02-CBB9C8128ABD},2015-09-01T14:09:51.000Z
222,1190,North Druid Hills,2009,North Druid Hills,2009,Corridor,{9557E13E-B155-43C6-A54F-3C9674A58BE5},2015-09-01T14:09:51.000Z
224,1475,Hwy 78,2005,Hwy 78,2005,Corridor,{26CDD264-5BEA-427A-A0BB-26035B933529},2015-09-01T14:09:51.000Z
225,1156,South Moreland,2007,South Moreland,2007,Corridor,{D15B2304-C415-4BF3-926F-E08171B83A5A},2015-09-01T14:09:51.000Z
226,2475,Sandtown,2002,Sandtown,2002,Activity Center,{EF1497B0-DF75-4DB0-A26A-845CE48B9455},2015-09-01T14:09:51.000Z
227,963,Highway 92,2007,Highway 92,2007,Corridor,{2CA93FAD-C89A-4F0D-8D5E-076C40EA81D2},2015-09-01T14:09:51.000Z
228,2760,Decatur,2000,Decatur,GF,Town Center,{F02666DE-35CB-4A70-8375-FE1E9898F623},2015-09-01T14:09:51.000Z
229,1865,Bolton/Moores Mill,2002,Bolton/Moores Mill,2002,Activity Center,{26AD6D45-7F06-4435-8E6C-AE4F3D18AE5E},2015-09-01T14:09:51.000Z
230,870,Woodstock,2002,Woodstock,2002,Town Center,{1596205E-DFDB-4C6C-AE88-1B2BE5A62BA8},2015-12-10T20:06:26.000Z
231,989,Milton,2014,Crabapple Road,2014,Activity Center,{6DC173A4-43C6-4DCE-98DF-ABBE3694C7C3},2015-09-01T14:09:51.000Z
232,1104,BeltLine Subarea 3,2014,BeltLine Subarea 3,GF,BeltLine,{C11456CA-277B-4BB2-AB44-3359FA6BC16F},2015-09-01T14:09:51.000Z
233,554,Memorial Drive,2003,Memorial Drive,GF,Activity Center,{40066D74-2988-4C99-A3B4-5E2617505C44},2015-09-01T14:09:51.000Z
234,426,Stone Mountain,2003,Stone Mountain,2003,Town Center,{B26C61F8-383A-415F-B80B-C2C2D3F7CF78},2015-12-10T19:43:09.000Z
235,29,Emory Village,2003,Emory Village,GF,Activity Center,{D2E642E1-4435-4690-866E-D02AC09818A1},2015-09-01T14:09:51.000Z
236,1389,Park Place,2008,Park Place,GF,Activity Center,{76859991-14EB-40E0-A276-CDA86CDDFB74},2015-09-01T14:09:51.000Z
