X,Y,OBJECTID,stop_id,stop_code,stop_name,stop_desc,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
-84.388199,33.728348,19260,115176,115176,HANK AARON DR@964,,,,,,,
-84.387802,33.728317,19261,115178,115178,HANK AARON DR@955,,,,,,,
-84.388059,33.726645,19262,115180,115180,HANK AARON DR SW@HAYGOOD AVE SW,,,,,,,
-84.387961,33.726421,19263,115182,115182,HANK AARON DR SW @ HAYGOOD AVE SW,,,,,,,
-84.388133,33.736858,19264,115185,115185,RALPH D ABERNATHY BLVD @ HANK AARON DR,,,,,,,
-84.387802,33.735317,19265,115186,115186,HANK AARON DR @ BASS ST,,,,,,,
-84.387848,33.734406,19266,115188,115188,HANK AARON DR @ BILL LUCAS DR SE,,,,,,,
-84.387749,33.732845,19267,115190,115190,HANK AARON DR SW@LITTLE ST SE,,,,,,,
-84.387947,33.7374,19268,115192,115192,HANK AARON DR @ RALPH D ABERNATHY BLVD,,,,,,,
-84.387822,33.742014,19269,115194,115194,CAPITOL AVE @ FULTON ST,,,,,,,
-84.394812,33.735856,19270,115202,115202,PRYOR ST@BASS ST,,,,,,,
-84.388108,33.733384,19271,115204,115204,HANK AARON DR SW @ LITTLE ST SE,,,,,,,
-84.397129,33.733317,19272,115206,115206,COOPER ST@DODD AVE,,,,,,,
-84.387537,33.730317,19273,115214,115214,ATLANTA AVE SE @ HANK AARON DR,,,,,,,
-84.389379,33.731809,19274,115216,115216,ORMOND ST@ CREW ST,,,,,,,
-84.390667,33.73564,19275,115218,115218,POLLARD BLVD @ RALPH D ABERNATHY BLVD,,,,,,,
-84.390825,33.732963,19276,115220,115220,POLLARD BLVD@LITTLE ST,,,,,,,
-84.387924,33.734218,19277,115222,115222,HANK AARON DR SW @ BILL LUCAS DR SW,,,,,,,
-84.368222,33.73855,19278,116004,116004,BOULEVARD SE@ ROSALIA ST,,,,,,,
-84.368275,33.736563,19279,116006,116006,BOULEVARD SE@ BERNE ST,,,,,,,
-84.368358,33.732314,19280,116009,116009,BOULEVARD SE@DELMAR AVE SE,,,,,,,
-84.36838,33.730515,19281,116010,116010,BOULEVARD SE@ATLANTA AVE SE,,,,,,,
-84.36808,33.736724,19282,116020,116020,BOULEVARD SE@ BERNE ST SE,,,,,,,
-84.36806,33.740591,19283,116024,116024,BOULEVARD SE @ HANSELL ST SE,,,,,,,
-84.363228,33.72756,19284,116040,116040,UNITED AVE @ EDIE AVE SE,,,,,,,
-84.364348,33.729287,19285,116042,116042,UNITED AVE @ CHARLES BANK AVE,,,,,,,
-84.378669,33.725558,19286,116054,116054,HILL ST SE@1059,,,,,,,
-84.37354,33.73232,19287,116072,116072,CHEROKEE AVE @ GRANT PARK PL,,,,,,,
-84.380866,33.730256,19288,116074,116074,ATLANTA AVE SE @ CONNALLY ST SE,,,,,,,
-84.379976,33.730301,19289,116076,116076,ATLANTA AVE SE @ GRANT TER SE,,,,,,,
-84.373533,33.731219,19290,116084,116084,CHEROKEE AVE @ ORMOND ST,,,,,,,
-84.373556,33.734798,19291,116086,116086,CHEROKEE AVE SE @ BASS ST SE,,,,,,,
-84.379814,33.73159,19292,116092,116092,ORMOND ST SE@GRANT TER SE,,,,,,,
-84.379971,33.73665,19293,116093,116093,GEORGIA AVE SE @ GRANT TER SE,,,,,,,
-84.378492,33.736675,19294,116094,116094,GEORGIA AVE SE @ HILL ST SE,,,,,,,
-84.373643,33.734896,19295,116100,116100,CHEROKEE AVE SE @ BASS ST SE,,,,,,,
-84.373653,33.73375,19296,116102,116102,CHEROKEE AVE SE @ AUGUSTA AVE SE,,,,,,,
-84.373816,33.733133,19297,116104,116104,CHEROKEE AVE SE @ GRANT PARK PL SE,,,,,,,
-84.373652,33.731423,19298,116106,116106,CHEROKEE AVE @ ORMOND ST,,,,,,,
-84.379753,33.736755,19299,116116,116116,GEORGIA AVE SE @ GRANT TER SE,,,,,,,
-84.373566,33.733634,19300,116128,116128,CHEROKEE AVE SE @ AUGUSTA AVE SE,,,,,,,
