OBJECTID,ZipCode,FeatureID,PrefCity,SHAPESTArea,SHAPESTLength
149,30157,LZC0000098,,448702755.807129,115453.232342263
150,30141,LZC0000090,,900834318.197754,151038.843571338
151,30127,LZC0000082,,1350341110.91333,245538.263090743
152,30134,LZC0000086,,1352049661.10449,188085.770903374
172,30005,LZC0000003,Alpharetta,445369373.963135,123085.531508971
173,30076,LZC0000048,Roswell,448940335.066406,157572.689818806
174,30350,LZC0000194,Atlanta,381540347.634277,122375.903293815
175,30338,LZC0000184,Atlanta,275861282.959229,86929.0991021895
176,30328,LZC0000177,Atlanta,364161050.965576,100990.050393294
177,30339,LZC0000185,Atlanta,193123159.488281,104630.300521608
178,30317,LZC0000169,Atlanta,420046.390380859,3540.39464777547
179,30308,LZC0000159,Atlanta,44880356.8769531,40834.4559527125
180,30313,LZC0000164,Atlanta,31245146.5693359,44168.0418135849
181,30296,LZC0000152,Riverdale,381239431.519287,117025.35673795
182,30336,LZC0000182,Atlanta,319247530.220703,137068.632535892
183,30337,LZC0000183,Atlanta,218467701.525146,89312.3647059738
184,30344,LZC0000190,Atlanta,333049135.213379,130810.873893961
201,30327,LZC0000176,Atlanta,498999730.067871,133500.069355195
202,30342,LZC0000189,Atlanta,257724362.107666,111087.281284778
203,30319,LZC0000171,Atlanta,291492270.359863,98222.2853085396
204,30312,LZC0000163,Atlanta,93448896.3959961,89541.834211824
205,30316,LZC0000167,Atlanta,374192686.580811,121430.317845892
206,30734,LZC0000215,,95093684.123291,40152.9830431315
207,30734,LZC0000216,,156016915.871338,63461.4693605767
208,30331,LZC0000179,Atlanta,991253545.234375,221510.22266948
209,30331,LZC0000180,Atlanta,9154091.00683594,20328.7643937795
210,30054,LZC0000033,,49329499.7922363,45170.4397000164
211,30054,LZC0000034,,1178662715.68091,153833.794679086
212,30016,LZC0000011,,2954604909.36304,288384.257877888
213,30004,LZC0000002,Alpharetta,1611521330.91821,276404.944006233
14,30305,LZC0000156,Atlanta,187624264.47998,87773.4381329012
15,30213,LZC0000116,Fairburn,1971385627.78369,409201.319639823
16,30011,LZC0000006,,181123552.96582,83255.8159158761
17,30548,LZC0000204,,67672632.0949707,34853.2573838523
18,30019,LZC0000013,,1311234959.79834,199359.604608112
19,30144,LZC0000092,,628265942.655029,150592.537077485
20,30066,LZC0000041,,781180017.140137,160534.060650765
21,30062,LZC0000039,,730766098.92334,221530.06957386
22,30043,LZC0000027,,936386192.497314,202275.130107802
23,30152,LZC0000096,,594875971.744873,197968.807498962
24,30096,LZC0000060,,640872139.857178,158628.367391894
25,30068,LZC0000043,,408065389.463135,114547.380561604
26,30060,LZC0000038,,375204143.635742,188220.39797308
27,30071,LZC0000045,,331759284.590332,117424.046751551
28,30064,LZC0000040,,850427548.489746,186597.486022783
