OBJECTID,GEOID10,County,Area_Name,Total_Population,Total_Population_MOE_2016,Planning_Region,AcresLand,AcresWater,AcresTotal,SqMi_Land,SqMi_Water,SqMi_Total,TRACTCE10,CountyName,TOTAL_JOBS_2014,JOBS_PER_SQ_MILE_2014,JOB_TO_WORKER_RATIO_2014,JOBS_AGE_29_YNGR_2014,JOBS_AGE_30_54_2014,JOBS_AGE_55_OLDR_2014,PCT_JOBS_AGE_29_YNGR_2014,PCT_JOBS_AGE_30_54_2014,PCT_JOBS_AGE_55_OLDR_2014,JOBS_EARN_1250_MO_LESS_2014,JOBS_EARN_1251_3333_MO_2014,JOBS_EARN_MORE_3333_MO_2014,PCT_JOBS_EARN_1250_MO_LESS_2014,PCT_JOBS_EARN_1251_3333_MO_2014,PCT_JOBS_EARN_MORE_3333_MO_2014,JOBS_NAICS_11_AG_FOR_FISH_2014,JOBS_NAICS_21_MINE_OIL_GAS_2014,JOBS_NAICS_22_UTILITIES_2014,JOBS_NAICS_23_CONSTRUCTION_2014,JOBS_NAICS_31_33_MANUFACT_2014,JOBS_NAICS_42_WHOLESALE_2014,JOBS_NAICS_44_45_RETAIL_2014,JOBS_NAICS_48_49_TRANS_WHS_2014,JOBS_NAICS_51_INFORMATION_2014,JOBS_NAICS_52_FINANCE_INS_2014,JOBS_NAICS_53_REAL_ESTATE_2014,JOBS_NAICS_54_PRO_SCI_TECH_2014,JOBS_NAICS_55_MANAGEMENT_2014,JOBS_NAICS_56_ADMIN_WASTE_2014,JOBS_NAICS_61_EDUCATION_2014,JOBS_NAICS_62_HEALTH_SOC_2014,JOBS_NAICS_71_ARTS_ENT_REC_2014,JOBS_NAICS_72_ACCOMM_FOOD_2014,JOBS_NAICS_81_OTHER_SERV_2014,JOBS_NAICS_92_PUBLIC_ADMIN_2014,TOTAL_JOBS_2015,JOBS_PER_SQ_MILE_2015,JOB_TO_WORKER_RATIO_2015,JOBS_AGE_29_YNGR_2015,JOBS_AGE_30_54_2015,JOBS_AGE_55_OLDR_2015,JOBS_EARN_1250_MO_LESS_2015,JOBS_EARN_1251_3333_MO_2015,JOBS_EARN_MORE_3333_MO_2015,PCT_JOBS_AGE_29_YNGR_2015,PCT_JOBS_AGE_30_54_2015,PCT_JOBS_AGE_55_OLDR_2015,PCT_JOBS_EARN_1250_MO_LESS_2015,PCT_JOBS_EARN_1251_3333_MO_2015,PCT_JOBS_EARN_MORE_3333_MO_2015,JOBS_NAICS_11_AG_FOR_FISH_2015,JOBS_NAICS_21_MINE_OIL_GAS_2015,JOBS_NAICS_22_UTILITIES_2015,JOBS_NAICS_23_CONSTRUCTION_2015,JOBS_NAICS_31_33_MANUFACT_2015,JOBS_NAICS_42_WHOLESALE_2015,JOBS_NAICS_44_45_RETAIL_2015,JOBS_NAICS_48_49_TRANS_WHS_2015,JOBS_NAICS_51_INFORMATION_2015,JOBS_NAICS_52_FINANCE_INS_2015,JOBS_NAICS_53_REAL_ESTATE_2015,JOBS_NAICS_54_PRO_SCI_TECH_2015,JOBS_NAICS_55_MANAGEMENT_2015,JOBS_NAICS_56_ADMIN_WASTE_2015,JOBS_NAICS_61_EDUCATION_2015,JOBS_NAICS_62_HEALTH_SOC_2015,JOBS_NAICS_71_ARTS_ENT_REC_2015,JOBS_NAICS_72_ACCOMM_FOOD_2015,JOBS_NAICS_81_OTHER_SERV_2015,JOBS_NAICS_92_PUBLIC_ADMIN_2015,GlobalID,last_edited_date
449,13139000701,13139,"Census Tract 7.01, Hall County",6892,511,ARC 20,7345.56982422,15.35739994,7360.93017578,11.47749996,0.0239959,11.50150013,000701,Hall,764,66.4,0.3,117,443,204,15.3,58,26.7,133,346,285,17.4,45.3,37.3,0,0,0,124,33,63,41,10,3,4,7,7,0,15,182,249,0,18,8,0,883,76.8,0.4,134,519,230,164,372,347,15.2,58.8,26,18.6,42.1,39.3,0,0,0,146,28,102,61,6,0,4,14,5,0,25,182,274,0,23,13,0,{4B7B3EFB-3E6E-4348-82EF-E66B18625DF9},
450,13139000702,13139,"Census Tract 7.02, Hall County",5511,521,ARC 20,6900.08984375,22.8913002,6922.97998047,10.78139973,0.0357677,10.81719971,000702,Hall,211,19.5,0.1,22,133,56,10.4,63,26.5,45,93,73,21.3,44.1,34.6,58,0,0,16,0,0,2,3,0,0,0,3,0,13,87,2,0,1,26,0,212,19.6,0.1,23,136,53,39,96,77,10.8,64.2,25,18.4,45.3,36.3,58,0,0,9,0,0,4,3,0,4,0,4,0,16,83,0,0,0,31,0,{1C653468-FDC6-4F11-B5BF-D8E22A3C111C},
451,13139000102,13139,"Census Tract 1.02, Hall County",3328,294,ARC 20,19625.30078125,250.32099915,19875.69921875,30.66449928,0.39112699,31.05579948,000102,Hall,456,14.7,0.3,76,282,98,16.7,61.8,21.5,150,158,148,32.9,34.6,32.5,0,0,0,38,12,18,13,31,0,1,5,7,0,72,230,8,0,16,2,3,534,17.2,0.24,98,327,109,170,210,154,18.4,61.2,20.4,31.8,39.3,28.8,0,0,0,35,36,26,14,30,0,0,7,3,0,135,228,8,0,7,3,2,{A2F1E1E1-B758-4F0E-97E1-AE0651353689},
452,13139000201,13139,"Census Tract 2.01, Hall County",5649,581,ARC 20,30846.19921875,858.79901123,31705,48.19720078,1.34186995,49.53910065,000201,Hall,544,11,0.2,78,354,112,14.3,65.1,20.6,104,263,177,19.1,48.3,32.5,2,0,0,39,26,15,59,240,3,14,8,10,1,13,77,6,0,27,4,0,514,10.4,0.23,81,327,106,100,229,185,15.8,63.6,20.6,19.5,44.6,36,1,0,0,35,16,14,49,233,1,13,14,6,0,16,85,2,0,27,2,0,{6DEA3F5A-03F2-47E2-97A1-C95C71C8CB3C},
453,13139000302,13139,"Census Tract 3.02, Hall County",7229,632,ARC 20,7532.29980469,2881.42993164,10413.70019531,11.76920033,4.50223017,16.27140045,000302,Hall,436,26.7,0.2,63,263,110,14.4,60.3,25.2,127,145,164,29.1,33.3,37.6,0,0,0,53,2,13,14,2,5,2,5,40,0,6,267,2,0,9,16,0,448,27.5,0.2,71,257,120,129,154,165,15.8,57.4,26.8,28.8,34.4,36.8,0,0,0,62,11,17,16,2,11,5,3,46,0,7,256,4,0,4,4,0,{C941FC3D-0D34-4817-9DEC-AC27F57D5294},
454,13139000900,13139,"Census Tract 9, Hall County",5466,534,ARC 20,1724.93994141,76.07910156,1801.02001953,2.69521999,0.118874,2.81409001,000900,Hall,4127,1473.9,1.9,1104,2225,798,26.8,53.9,19.3,1396,1700,1031,33.8,41.2,25,0,0,0,42,91,120,525,70,71,253,64,280,3,841,523,669,42,453,73,7,4587,1638.2,2.07,1255,2426,906,1548,1928,1111,27.4,52.9,19.8,33.7,42,24.2,0,0,0,39,82,110,590,22,78,267,79,300,1,1132,572,784,11,435,78,7,{07F2DF76-B2FF-4E6D-B757-C9EB4B699C0F},
455,13139000500,13139,"Census Tract 5, Hall County",7362,678,ARC 20,4283.52001953,1581.76000977,5865.29003906,6.69299984,2.47149992,9.16452026,000500,Hall,1100,119.6,0.4,291,560,249,26.5,50.9,22.6,386,416,298,35.1,37.8,27.1,9,0,0,52,5,14,130,17,7,29,10,53,39,111,219,169,14,160,26,36,1101,119.7,0.5,275,565,261,348,433,320,25,51.3,23.7,31.6,39.3,29.1,12,0,0,48,11,9,140,19,0,42,15,55,7,116,217,168,14,146,38,44,{2DC3C540-33CE-43F0-B11E-5184B3855127},
456,13139001402,13139,"Census Tract 14.02, Hall County",5485,441,ARC 20,3425.59008789,1313.32995605,4738.91992188,5.35247993,2.05207992,7.40456009,001402,Hall,1167,157.7,0.5,179,695,293,15.3,59.6,25.1,258,428,481,22.1,36.7,41.2,12,0,0,29,193,125,13,11,6,122,27,108,1,149,258,34,10,43,26,0,1217,164.5,0.55,199,707,311,261,477,479,16.4,58.1,25.6,21.4,39.2,39.4,14,0,0,77,237,129,11,7,0,121,33,108,0,134,236,42,7,36,25,0,{086E6900-7331-44C2-BB17-F963E6FB7091},
457,13139001002,13139,"Census Tract 10.02, Hall County",7738,919,ARC 20,3967.23999023,1605.32995605,5572.58007813,6.1988101,2.50833011,8.70716,001002,Hall,2276,261.6,1,442,1358,476,19.4,59.7,20.9,1198,782,296,52.6,34.4,13,0,0,0,91,223,26,34,60,6,97,17,33,2,47,85,112,0,9,3,1431,2235,256.9,1.01,425,1334,476,361,1016,858,19,59.7,21.3,16.2,45.5,38.4,0,0,0,116,226,20,41,59,0,100,19,15,0,44,98,19,2,0,5,1471,{5C5C80F2-5187-460B-9D39-3F1FDE6F1ADB},
458,13139000800,13139,"Census Tract 8, Hall County",3555,351,ARC 20,1181.63000488,6.14600992,1187.7800293,1.84630001,0.00960314,1.85590994,000800,Hall,10124,5328.4,10,1972,6019,2133,19.5,59.5,21.1,1625,4227,4272,16.1,41.8,42.2,2,0,0,68,136,104,70,14,83,236,24,173,194,600,733,6773,2,188,11,713,11192,5890.5,5.06,2367,6615,2210,1723,4638,4831,21.1,59.1,19.7,15.4,41.4,43.2,2,0,0,94,150,99,122,19,55,192,14,217,174,542,658,7924,6,203,17,704,{B5456567-E26D-478D-A9E3-946CBA3620EC},
459,13139000600,13139,"Census Tract 6, Hall County",5676,514,ARC 20,7027.75,511.2210083,7538.97021484,10.98089981,0.798783,11.77960014,000600,Hall,4717,399.7,2.4,1110,2773,834,23.5,58.8,17.7,972,2030,1715,20.6,43,36.4,2,0,0,79,1343,188,254,80,7,62,6,83,0,412,341,1538,2,119,200,1,5048,427.8,2.28,1241,2918,889,1053,2240,1755,24.6,57.8,17.6,20.9,44.4,34.8,0,0,0,52,1468,79,269,222,7,62,5,71,0,432,328,1652,1,138,262,0,{A3E1C0FF-14F0-40A8-9768-350130D4D9FA},
460,13139000400,13139,"Census Tract 4, Hall County",6332,684,ARC 20,4583.04003906,1627.52001953,6210.56982422,7.16099977,2.54299998,9.70401955,000400,Hall,1014,104.5,0.4,338,500,176,33.3,49.3,17.4,390,377,247,38.5,37.2,24.4,0,0,0,72,7,28,385,17,13,26,12,7,2,20,5,128,92,104,20,76,940,96.9,0.42,311,462,167,351,366,223,33.1,49.1,17.8,37.3,38.9,23.7,0,0,0,74,5,17,359,24,8,23,7,14,2,11,0,135,89,88,18,66,{93C175DA-A919-4A63-985D-36181077BC49},
461,13121007604,13121,"Census Tract 76.04, Fulton County",2438,575,ARC 10,276.49301147,0,276.49301147,0.43202001,0,0.43202001,007604,Fulton,102,255,0.1,26,67,9,25.5,65.7,8.8,35,53,14,34.3,52,13.7,0,0,0,0,0,0,35,0,0,17,18,4,0,10,0,16,0,0,1,1,83,207.5,0.04,23,51,9,26,44,13,27.7,61.4,10.8,31.3,53,15.7,0,0,0,0,0,0,25,0,0,25,15,6,0,8,0,4,0,0,0,0,{619FAFE9-4B9E-4319-AF86-1FB4F8D658DD},
462,13121007704,13121,"Census Tract 77.04, Fulton County",5446,559,ARC 10,1670.94995117,17.48810005,1688.43994141,2.61086011,0.0273252,2.63819003,007704,Fulton,510,196.2,0.3,120,279,111,23.5,54.7,21.8,162,151,197,31.8,29.6,38.6,0,0,0,17,0,4,166,2,90,11,10,15,0,12,117,54,0,3,9,0,442,170,0.2,92,256,94,152,129,161,20.8,57.9,21.3,34.4,29.2,36.4,0,0,0,33,0,0,149,1,76,2,6,19,0,3,89,45,0,5,14,0,{5E5A19D1-DF2E-4EA3-AD24-EEA4AD953F40},
463,13121007603,13121,"Census Tract 76.03, Fulton County",4601,693,ARC 10,779.24401855,0,779.24401855,1.21756995,0,1.21756995,007603,Fulton,2318,1931.7,1.8,376,1532,410,16.2,66.1,17.7,409,770,1139,17.6,33.2,49.1,0,1,0,47,0,4,88,1,13,14,49,113,0,106,1,1784,1,75,12,9,321,267.5,0.15,48,199,74,138,123,60,15,62,23.1,43,38.3,18.7,0,0,0,42,0,0,63,0,0,7,41,35,0,5,0,46,0,72,8,2,{B03C7933-6C82-4937-8104-421B6A2E91B4},
464,13121011427,13121,"Census Tract 114.27, Fulton County",7769,469,ARC 10,1704.76000977,25.11930084,1729.88000488,2.66369009,0.0392489,2.70293999,011427,Fulton,3224,1194.1,0.9,679,1919,626,21.1,59.5,19.4,784,885,1555,24.3,27.5,48.2,0,0,0,128,61,196,473,69,61,364,48,604,83,250,239,250,122,193,77,6,3425,1268.5,1.55,704,2061,660,740,930,1755,20.6,60.2,19.3,21.6,27.2,51.2,0,0,0,153,55,155,472,44,25,389,81,784,66,257,257,242,125,194,126,0,{1F5D8946-DC00-45B2-B4E6-D5F379B0F8AF},
465,13121011616,13121,"Census Tract 116.16, Fulton County",5345,440,ARC 10,1414.14001465,3.5936501,1417.73999023,2.20958996,0.00561508,2.21521997,011616,Fulton,7343,3337.7,3.3,1105,4938,1300,15,67.2,17.7,839,1707,4797,11.4,23.2,65.3,0,0,1,55,68,584,327,1,555,1213,177,1346,94,1244,220,529,30,253,102,544,8127,3694.1,3.67,1448,5215,1464,918,1944,5265,17.8,64.2,18,11.3,23.9,64.8,0,0,0,107,77,537,407,8,543,1439,111,1937,100,1098,213,774,12,629,135,0,{75F244D7-7609-4F24-BC8E-FDB39A63472D},
466,13121011617,13121,"Census Tract 116.17, Fulton County",7279,542,ARC 10,1617.72998047,8.73789024,1626.4699707,2.52769995,0.013653,2.5413599,011617,Fulton,2700,1080,0.8,486,1738,476,18,64.4,17.6,451,558,1691,16.7,20.7,62.6,0,0,0,32,43,68,205,26,374,134,31,966,16,68,224,125,24,308,55,1,2555,1022,1.16,465,1624,466,410,592,1553,18.2,63.6,18.2,16,23.2,60.8,3,9,0,40,42,74,187,6,56,134,33,1063,16,86,191,318,2,238,57,0,{26B03630-E99E-44CC-806F-39A547AD8C7E},
467,13121011611,13121,"Census Tract 116.11, Fulton County",7437,798,ARC 10,3487.07006836,18.72979927,3505.80004883,5.44855022,0.0292653,5.47780991,011611,Fulton,26093,4744.2,9.7,5355,16333,4405,20.5,62.6,16.9,4671,7197,14225,17.9,27.6,54.5,0,1,58,501,715,2631,4499,632,2416,2429,771,3111,1125,2028,323,2498,80,1546,690,39,28742,5225.8,12.99,5951,17745,5046,5188,7582,15972,20.7,61.7,17.6,18.1,26.4,55.6,0,0,67,515,767,2511,4119,781,2523,2490,782,3312,1572,2087,921,2677,712,1730,616,560,{A1E867DC-91DD-4BD3-B512-FBE64978BA4C},
468,13121010800,13121,"Census Tract 108, Fulton County",6658,18,ARC 10,1367.45996094,0,1367.45996094,2.1366601,0,2.1366601,010800,Fulton,9099,4332.9,4.3,2173,4939,1987,23.9,54.3,21.8,2864,3470,2765,31.5,38.1,30.4,0,0,0,106,43,98,175,671,55,715,188,240,17,3279,472,311,10,2069,261,389,8974,4273.3,4.06,2053,4925,1996,2807,3199,2968,22.9,54.9,22.2,31.3,35.6,33.1,0,0,0,31,43,89,162,341,28,1546,210,128,3,2866,536,307,5,2255,212,212,{83BD3368-1B30-42F1-8E85-40D99138B80F},
469,13121980000,13121,"Census Tract 9800, Fulton County",0,13,ARC 10,675.31500244,0,675.31500244,1.05517995,0,1.05517995,980000,Fulton,44403,,,5109,28669,10625,11.5,64.6,23.9,3391,8994,32018,7.6,20.3,72.1,0,0,9,361,7,1538,327,40402,6,9,36,88,764,353,2,18,0,436,40,7,24846,,11.23,3159,15156,6531,2726,5331,16789,12.7,61,26.3,11,21.5,67.6,0,0,0,405,2,675,61,21977,3,8,26,79,830,379,0,12,0,343,46,0,{CB4B8111-9E33-43DF-9B6E-0B1C36659B8E},
470,13121004300,13121,"Census Tract 43, Fulton County",2996,288,ARC 10,151.82600403,0,151.82600403,0.23722801,0,0.23722801,004300,Fulton,3098,15490,4.9,404,1868,826,13,60.3,26.7,491,751,1856,15.8,24.2,59.9,0,0,0,11,0,12,26,0,13,13,152,31,84,74,2393,4,2,264,9,10,1732,8660,0.78,276,982,474,422,458,852,15.9,56.7,27.4,24.4,26.4,49.2,0,0,0,12,0,4,27,0,1,7,202,3,79,35,1085,8,0,263,6,0,{E305DAB8-9379-4DFA-971E-A006168CCD83},
471,13121008904,13121,"Census Tract 89.04, Fulton County",4688,347,ARC 10,737.23297119,20.16819954,757.40197754,1.15192997,0.0315128,1.18343997,008904,Fulton,1473,1227.5,0.7,324,878,271,22,59.6,18.4,254,473,746,17.2,32.1,50.6,0,0,0,153,133,205,47,104,17,18,59,264,0,129,5,9,30,266,33,1,1815,1512.5,0.82,456,1037,322,384,584,847,25.1,57.1,17.7,21.2,32.2,46.7,0,0,0,182,229,252,71,163,17,22,72,250,0,122,5,10,35,292,93,0,{2306B2B3-7FD4-45B2-B8CD-0C413D7E54D0},
472,13121008903,13121,"Census Tract 89.03, Fulton County",1667,330,ARC 10,284.45199585,2.09941006,286.55099487,0.44445601,0.00328033,0.447736,008903,Fulton,682,1705,0.7,149,409,124,21.8,60,18.2,141,257,284,20.7,37.7,41.6,0,0,0,22,38,63,96,31,4,14,110,35,0,128,0,9,0,107,24,1,848,2120,0.38,189,484,175,222,299,327,22.3,57.1,20.6,26.2,35.3,38.6,0,0,0,20,20,79,93,44,0,17,121,24,0,232,0,21,4,146,27,0,{9F76942F-A758-431C-8BC1-E4217D745CD2},
473,13121001001,13121,"Census Tract 10.01, Fulton County",2648,543,ARC 10,231.10600281,0,231.10600281,0.361103,0,0.361103,001001,Fulton,6677,16692.5,7.4,1629,4128,920,24.4,61.8,13.8,1623,1657,3397,24.3,24.8,50.9,0,0,9,168,53,102,480,65,1674,97,101,678,116,488,135,388,161,637,1030,295,7140,17850,3.23,1699,4382,1059,1741,1557,3842,23.8,61.4,14.8,24.4,21.8,53.8,0,0,16,203,46,142,414,20,1988,51,111,727,122,511,113,294,152,801,1093,336,{0ED889CC-AFD9-4A63-996D-269275D3874C},
474,13121009101,13121,"Census Tract 91.01, Fulton County",4547,437,ARC 10,420.48300171,4.60258007,425.08599854,0.65700501,0.00719153,0.66419703,009101,Fulton,7568,10811.4,3.4,1220,4947,1401,16.1,65.4,18.5,875,2599,4094,11.6,34.3,54.1,0,0,0,23,1,41,112,0,67,70,55,302,77,520,62,5586,29,523,60,40,10371,14815.7,4.69,1812,6610,1949,1506,3455,5410,17.5,63.7,18.8,14.5,33.3,52.2,0,0,0,28,0,42,119,0,20,81,35,351,119,852,51,7971,31,622,49,0,{68BE074F-1081-4BD9-AC94-E6E0D7BDFC63},
475,13121001201,13121,"Census Tract 12.01, Fulton County",3736,291,ARC 10,140.21000671,0,140.21000671,0.219078,0,0.219078,001201,Fulton,1223,6115,0.7,300,712,211,24.5,58.2,17.3,318,482,423,26,39.4,34.6,7,0,0,0,7,14,18,0,11,28,39,212,1,65,7,275,3,383,81,72,1239,6195,0.56,294,711,234,268,502,469,23.7,57.4,18.9,21.6,40.5,37.9,0,0,0,0,5,12,18,0,6,30,29,225,0,75,7,279,6,368,93,86,{A62A4728-1F39-40EA-A244-348231163DE7},
476,13121001202,13121,"Census Tract 12.02, Fulton County",4119,375,ARC 10,118.91100311,0,118.91100311,0.185798,0,0.185798,001202,Fulton,10892,54460,4.8,1518,7110,2264,13.9,65.3,20.8,1320,1636,7936,12.1,15,72.9,0,0,911,116,13,169,39,51,5118,262,113,840,224,293,116,222,284,1307,264,550,11344,56720,5.13,1805,7203,2336,1267,1873,8204,15.9,63.5,20.6,11.2,16.5,72.3,0,0,951,105,26,99,709,54,4420,268,106,1208,313,245,138,349,255,1301,234,563,{E93B4967-317E-4832-8B1F-E21D802D13FE},
477,13121009102,13121,"Census Tract 91.02, Fulton County",3169,389,ARC 10,388.4460144,9.30006027,397.7460022,0.606947,0.0145313,0.62147802,009102,Fulton,3757,6261.7,2.2,816,2288,653,21.7,60.9,17.4,784,1240,1733,20.9,33,46.1,0,0,0,286,191,200,346,100,230,116,120,332,158,144,11,925,8,479,99,12,4167,6945,1.88,996,2464,707,873,1328,1966,23.9,59.1,17,21,31.9,47.2,0,0,0,352,264,131,446,133,253,139,142,432,60,185,25,941,24,533,107,0,{6A2E6B2F-B886-44A2-B170-A0D84877211F},
478,13121010108,13121,"Census Tract 101.08, Fulton County",3451,302,ARC 10,1227.65002441,21.46929932,1249.11999512,1.91820002,0.0335458,1.95175004,010108,Fulton,949,474.5,0.6,251,544,154,26.4,57.3,16.2,288,252,409,30.3,26.6,43.1,0,0,0,16,0,191,263,12,26,41,21,176,0,33,1,19,1,140,8,1,1222,611,0.55,304,680,238,369,380,473,24.9,55.6,19.5,30.2,31.1,38.7,0,0,0,22,1,204,303,5,29,71,30,211,0,90,6,48,0,185,16,1,{A8C1CB32-2B89-44B8-ABA6-0F85437F3280},
479,13121007500,13121,"Census Tract 75, Fulton County",3005,339,ARC 10,814.36700439,0.56265903,814.92999268,1.27244997,0.00087916,1.27332997,007500,Fulton,747,574.6,0.6,191,430,126,25.6,57.6,16.9,303,303,141,40.6,40.6,18.9,0,0,0,0,6,24,124,78,1,15,14,5,0,31,89,156,0,160,39,5,791,608.5,0.36,216,437,138,364,266,161,27.3,55.2,17.4,46,33.6,20.4,0,0,0,0,3,12,145,98,0,13,17,10,0,26,85,149,47,145,41,0,{41476E0F-2FB6-4130-BA8F-FD1048E5FE45},
480,13121008101,13121,"Census Tract 81.01, Fulton County",1219,180,ARC 10,223.15499878,0,223.15499878,0.34867999,0,0.34867999,008101,Fulton,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{699F6732-E259-4B9E-96B5-258B66685CCA},
481,13121006000,13121,"Census Tract 60, Fulton County",3401,436,ARC 10,385.6499939,0,385.6499939,0.60257798,0,0.60257798,006000,Fulton,241,401.7,0.2,83,130,28,34.4,53.9,11.6,113,95,33,46.9,39.4,13.7,0,0,0,0,0,2,79,1,0,1,0,9,1,66,0,7,0,75,0,0,207,345,0.09,79,100,28,120,65,22,38.2,48.3,13.5,58,31.4,10.6,0,0,0,0,9,2,86,0,0,3,1,2,0,22,0,6,0,75,1,0,{DEBE439C-59D8-4B61-89C1-A8316C6B6646},
482,13121000700,13121,"Census Tract 7, Fulton County",2969,186,ARC 10,431.45300293,0,431.45300293,0.67414498,0,0.67414498,000700,Fulton,1602,2288.6,2.4,284,1041,277,17.7,65,17.3,247,463,892,15.4,28.9,55.7,0,0,0,157,295,91,22,19,29,14,127,216,1,32,37,169,42,313,32,6,1592,2274.3,0.72,271,1043,278,246,488,858,17,65.5,17.5,15.5,30.7,53.9,0,1,2,84,290,74,37,16,16,12,109,276,1,30,40,173,54,334,42,1,{7E8602C2-CE2B-4AA3-82FB-B4C3A96C6EE2},
483,13121001002,13121,"Census Tract 10.02, Fulton County",7130,453,ARC 10,438.50799561,0,438.50799561,0.68516898,0,0.68516898,001002,Fulton,2295,3278.6,2.4,687,1297,311,29.9,56.5,13.6,626,762,907,27.3,33.2,39.5,0,0,0,36,18,20,529,5,70,36,124,528,1,217,32,83,9,564,18,5,8695,12421.4,3.93,1511,5292,1892,900,1788,6007,17.4,60.9,21.8,10.4,20.6,69.1,0,0,0,1,6,79,154,0,49,30,116,786,0,260,6252,113,6,818,25,0,{1AA6CE4B-A333-4013-B222-9424EEE52B69},
484,13121011410,13121,"Census Tract 114.10, Fulton County",6678,585,ARC 10,1838.26000977,100.09799957,1938.35998535,2.87227988,0.15640301,3.0286901,011410,Fulton,792,264,0.3,215,422,155,27.1,53.3,19.6,274,291,227,34.6,36.7,28.7,0,0,0,14,5,41,113,2,6,40,56,101,2,59,26,44,66,181,30,6,786,262,0.36,226,406,154,248,325,213,28.8,51.7,19.6,31.6,41.3,27.1,0,0,1,18,0,38,130,2,1,42,77,75,0,59,19,48,87,170,19,0,{CC4BE0C8-6D2A-4FB4-803E-4CE459F7E991},
485,13121010107,13121,"Census Tract 101.07, Fulton County",2006,193,ARC 10,1315.19995117,40.85860062,1356.06005859,2.05500007,0.0638416,2.11883998,010107,Fulton,323,153.8,0.4,52,185,86,16.1,57.3,26.6,65,110,148,20.1,34.1,45.8,0,0,0,7,2,3,8,1,9,2,10,18,0,18,92,26,118,5,2,2,376,179,0.17,71,210,95,79,126,171,18.9,55.9,25.3,21,33.5,45.5,0,0,0,7,4,7,15,0,6,1,12,24,0,33,99,19,139,6,4,0,{C35F0F9B-6E22-40F4-BF11-FABF06E89387},
486,13121011405,13121,"Census Tract 114.05, Fulton County",7920,1108,ARC 10,1876.2800293,28.31010056,1904.58996582,2.93168998,0.0442345,2.97591996,011405,Fulton,4540,1513.3,1.5,1074,2584,882,23.7,56.9,19.4,1192,1487,1861,26.3,32.8,41,1,0,0,123,30,89,281,3,48,486,77,486,9,324,146,248,43,905,238,1003,4325,1441.7,1.96,942,2461,922,1057,1368,1900,21.8,56.9,21.3,24.4,31.6,43.9,0,0,0,127,29,77,230,4,28,457,177,517,3,348,164,260,48,626,156,1074,{C30D0239-D783-44AE-A1B1-34ED2B830DA9},
487,13121010106,13121,"Census Tract 101.06, Fulton County",4346,327,ARC 10,1646.85998535,66.4484024,1713.30004883,2.57322001,0.103826,2.67703009,010106,Fulton,455,168.5,0.2,49,302,104,10.8,66.4,22.9,69,101,285,15.2,22.2,62.6,0,0,0,8,1,30,5,1,89,8,1,49,132,12,111,7,0,0,1,0,339,125.6,0.15,31,220,88,51,88,200,9.1,64.9,26,15,26,59,0,0,0,5,0,25,4,3,5,6,3,33,129,4,118,4,0,0,0,0,{00015AB6-6F6D-4BDC-A9BA-553F6F7E4566},
488,13121002900,13121,"Census Tract 29, Fulton County",2411,338,ARC 10,176.65100098,0,176.65100098,0.27601701,0,0.27601701,002900,Fulton,879,2930,0.7,278,471,130,31.6,53.6,14.8,368,334,177,41.9,38,20.1,0,0,0,2,26,9,189,0,20,1,37,83,0,161,3,78,0,228,42,0,1135,3783.3,0.51,340,635,160,459,460,216,30,55.9,14.1,40.4,40.5,19,0,0,0,12,28,11,177,0,18,2,21,71,0,162,1,73,5,496,58,0,{A365F169-469A-4198-9BB2-87CF020FC192},
489,13121010110,13121,"Census Tract 101.10, Fulton County",6511,610,ARC 10,1318.06005859,14.54660034,1332.59997559,2.05946994,0.0227291,2.08219004,010110,Fulton,28101,13381.4,11.2,4917,18474,4710,17.5,65.7,16.8,4188,6767,17146,14.9,24.1,61,53,0,0,316,74,2703,1198,183,3288,2831,727,4741,789,6245,609,1860,342,1775,280,87,32747,15593.8,14.8,6167,21032,5548,5195,7830,19722,18.8,64.2,16.9,15.9,23.9,60.2,54,0,0,282,87,3330,1279,286,4431,2843,842,5144,829,8158,538,2045,403,1913,281,2,{D4628C97-6805-44AD-90A8-168F9C4AE875},
490,13121010205,13121,"Census Tract 102.05, Fulton County",5347,451,ARC 10,1629.31005859,3.76391006,1633.06994629,2.54579997,0.00588111,2.55167007,010205,Fulton,5006,1925.4,2.2,1168,2820,1018,23.3,56.3,20.3,1352,1782,1872,27,35.6,37.4,0,0,0,92,87,308,939,13,49,259,291,816,20,160,298,363,115,808,377,11,4926,1894.6,2.23,1181,2714,1031,1320,1768,1838,24,55.1,20.9,26.8,35.9,37.3,0,0,0,109,82,301,1002,2,51,247,205,734,8,142,278,405,159,764,437,0,{E5A09478-5282-43FE-ADF1-054FB935337B},
491,13121010210,13121,"Census Tract 102.10, Fulton County",6306,481,ARC 10,1126.43994141,37.52519989,1163.9699707,1.76005995,0.0586331,1.81869996,010210,Fulton,1670,927.8,0.6,582,839,249,34.9,50.2,14.9,1430,108,132,85.6,6.5,7.9,0,0,5,14,6,19,3,15,10,10,2,1438,2,27,70,4,5,20,14,6,465,258.3,0.21,74,276,115,176,115,174,15.9,59.4,24.7,37.8,24.7,37.4,0,0,5,13,4,15,38,12,6,5,6,248,0,6,67,1,2,26,11,0,{B62DB2F7-987E-4588-AA13-854CD292619F},
