OBJECTID,GEOID10,NAME10,PLNG_REGIO,last_edited_date,Percent_BA_or_Higher,Median_household_income,GlobalID,Pop_Change_per_SqMi_2000_2010,Pct_HH_wBroadandAccess_5isBest
14,13045910501,9105.01,ARC 20,2015-05-19T14:17:34.000Z,16.5,30625,{6E9E2E5F-7B88-4189-B9E5-CFA089399F6F},153.2,2
15,13045910702,9107.02,ARC 20,2015-05-19T14:17:34.000Z,27.6,62459,{4C74594F-E328-4292-B6D5-96D9A958EEF7},104.1,5
16,13045911200,9112,ARC 20,2015-05-19T14:17:34.000Z,15.5,38525,{A2225FE3-15BD-4A5A-9765-0C5B3F9923A0},2.8,3
17,13045910400,9104,ARC 20,2015-05-19T14:17:34.000Z,13.1,37646,{B17E8402-DCB7-4AEB-897B-C619DE2E1DF6},-8.5,3
18,13113140207,1402.07,ARC 10,2015-05-19T14:17:34.000Z,66.3,105288,{99D72B55-5724-4505-B9E7-2E609E5EF567},49,5
19,13113140208,1402.08,ARC 10,2015-05-19T14:17:34.000Z,48,74214,{DC8E8473-C231-4EEF-9D0A-DBDAC2C84262},435.5,4
20,13113140303,1403.03,ARC 10,2015-05-19T14:17:34.000Z,49.9,78010,{CD8A769B-500B-418A-AB35-40A0FBEBFE72},-88.6,5
21,13113140304,1403.04,ARC 10,2015-05-19T14:17:34.000Z,39.4,70740,{D579C00E-33D6-4F0A-8178-334848BA38A9},-109.8,4
22,13113140307,1403.07,ARC 10,2015-05-19T14:17:34.000Z,63.6,145086,{E984524B-A34B-4FDE-8E0A-742DDBC78B4F},123.4,5
23,13113140408,1404.08,ARC 10,2015-05-19T14:17:34.000Z,26.4,72200,{B7EF2498-ADC0-4D9A-96FF-BE1357A54962},-26.1,4
24,13113140407,1404.07,ARC 10,2015-05-19T14:17:34.000Z,33.9,63433,{441ECBCD-80F7-442D-AAE3-07B2AC0D0FA4},195.1,4
25,13113140405,1404.05,ARC 10,2015-05-19T14:17:34.000Z,35.7,85278,{D360BCE0-5B53-4DCD-9600-09D3099FE382},14.3,5
26,13113140404,1404.04,ARC 10,2015-05-19T14:17:34.000Z,47.4,77888,{903D1903-C549-4737-AE83-B5722BCFC7B9},179.3,4
27,13113140206,1402.06,ARC 10,2015-05-19T14:17:34.000Z,56.4,105966,{B039B01B-AE08-4904-AB8B-90BA23AAB9E3},161.4,5
28,13113140203,1402.03,ARC 10,2015-05-19T14:17:34.000Z,36.8,83935,{323A3529-4B53-4792-8E27-FBC6C4AA12AC},216.4,4
29,13113140204,1402.04,ARC 10,2015-05-19T14:17:34.000Z,42,76681,{33394908-9610-4C65-8B2E-5606907F69F1},42.5,4
30,13113140305,1403.05,ARC 10,2015-05-19T14:17:34.000Z,47.6,97955,{92F2DD7B-E0A0-4317-9A34-D0595C501A50},247.1,4
31,13113140403,1404.03,ARC 10,2015-05-19T14:17:34.000Z,39.6,78324,{B6820735-2696-432E-A6C4-537848B11D69},122.7,5
32,13113140406,1404.06,ARC 10,2015-05-19T14:17:34.000Z,29.5,57438,{1D52C043-4F12-4AA0-8894-F7B148B8916F},37.3,4
33,13113140306,1403.06,ARC 10,2015-05-19T14:17:34.000Z,51.4,89699,{D3B11291-3F67-425F-B3E9-11609659CF64},56.3,4
34,13113140102,1401.02,ARC 10,2015-05-19T14:17:34.000Z,31.7,72549,{85E3BE92-E619-4913-B829-D9C581431AE0},-3.8,4
35,13113140101,1401.01,ARC 10,2015-05-19T14:17:34.000Z,32,64732,{B77FA7D4-1005-4DE1-906C-4B84239A63AD},49.1,3
