OBJECTID,GEOID10,NAME10,PLNG_REGIO,Median_household_income,Type_8__Annual_Transit_Trips,GlobalID,last_edited_date,Pop_Chng_per_SqMi_2000_2010,Tp8_HousTranspCosts_Pct_Income,Tp8_HousingCosts_Pct_Income,Tp8_TransportCosts_Pct_Income,Tp8_AnnualVehMilesTraveled
57,13067030312,303.12,ARC 10,68452,55.63,{3489DA60-6EDF-4196-88C5-8D739C0E20EA},2015-06-02T14:23:56.000Z,-80.3,49.6,28.44,21.16,28894
58,13067030228,302.28,ARC 10,45275,113.06,{C308A98A-20D0-4327-8306-C08A51118D1E},2015-06-02T14:23:56.000Z,27.8,40.79,23.76,17.04,23622
59,13067030231,302.31,ARC 10,95714,89.6,{48948A80-B822-4D51-934D-6F16C5B59C94},2015-06-02T14:23:56.000Z,147,52.41,30.59,21.82,29986
60,13067030230,302.30,ARC 10,64554,87.64,{9558B3C8-B68F-4770-8E75-B9694848D635},2015-06-02T14:23:56.000Z,1275.2,45.94,27.19,18.74,25365
61,13067030311,303.11,ARC 10,90809,65.89,{EBE0F519-BB29-4FBC-81E1-6E4631451F20},2015-06-02T14:23:56.000Z,-90,49.85,28.48,21.37,29447
62,13067031001,310.01,ARC 10,30414,76.74,{B9AA87FD-C98C-459D-8A09-1FFEFC950A91},2015-06-02T14:23:56.000Z,-50.5,40.08,22.46,17.62,24071
63,13067030310,303.10,ARC 10,68512,43.74,{DE5B6DF7-C1A6-4B4D-BB55-22855BCFE66E},2015-06-02T14:23:56.000Z,86.8,49.93,28.83,21.1,28722
64,13067030215,302.15,ARC 10,73646,86.31,{1BFB69FA-DC79-45D8-B2A5-FC9E1A48104E},2015-06-02T14:23:56.000Z,364.3,48.65,27.9,20.74,28552
65,13067030601,306.01,ARC 10,48977,96.96,{A2647C87-F0E8-4168-8E8E-A9093BDFDCFE},2015-06-02T14:23:56.000Z,1384.4,41.68,25.02,16.66,22409
66,13067030227,302.27,ARC 10,58446,36.46,{C85A75FC-1A34-400A-84A9-55901D13E272},2015-06-02T14:23:56.000Z,87.9,45.94,26.38,19.57,26984
67,13067030602,306.02,ARC 10,61891,70.38,{8BF83230-1F26-4A71-B274-5400A91BA841},2015-06-02T14:23:56.000Z,61,44.54,25.58,18.96,25791
68,13067030506,305.06,ARC 10,51922,49.29,{13992107-7EA2-46D6-9429-E7D5093185FF},2015-06-02T14:23:56.000Z,267.1,43.17,24.61,18.57,25431
69,13067030507,305.07,ARC 10,61017,74.24,{2179B6F6-45EA-47F5-B321-920A000D4C11},2015-06-02T14:23:56.000Z,51.3,48.44,27.88,20.56,28058
70,13067030229,302.29,ARC 10,51905,37.88,{F12A853D-F214-4FA2-8B46-6D7ADC062964},2015-06-02T14:23:56.000Z,409.8,47.01,27.47,19.53,26464
71,13067031208,312.08,ARC 10,63125,176.05,{4D0AF1E2-98B5-49DD-A760-BD60CADB3999},2015-06-02T14:23:56.000Z,960.7,40.12,24.15,15.97,20820
72,13067031207,312.07,ARC 10,52945,204.08,{F2269BD4-BEF3-4323-BC97-6432F9AC08F7},2015-06-02T14:23:56.000Z,176.4,42.32,27.36,14.97,18748
73,13067030226,302.26,ARC 10,70357,110.99,{3E2204E4-A652-4E4F-9D94-AA4F0DAD8F1F},2015-06-02T14:23:56.000Z,1151.9,48.15,27.93,20.22,28021
74,13067031505,315.05,ARC 10,62903,44.63,{36110173-118D-4539-B13C-0721E8688BD0},2015-06-02T14:23:56.000Z,-27.4,48.08,26.88,21.2,29784
75,13067030313,303.13,ARC 10,77872,48.79,{D6165668-84C2-46B1-BE6B-C55EEE1824F2},2015-06-02T14:23:56.000Z,201.1,49.64,28.72,20.92,28363
76,13067031310,313.10,ARC 10,27802,144.51,{E6C4F727-E7AA-4945-8B01-C67E897F7523},2015-06-02T14:23:56.000Z,244.1,38.58,21.32,17.26,23743
77,13067030214,302.14,ARC 10,74347,68.72,{7CC6FEFC-1A4A-4EB2-B292-9D628698803F},2015-06-02T14:23:56.000Z,299,49.44,28.17,21.27,29654
78,13067031212,312.12,ARC 10,125000,98.2,{A725EC09-5855-432E-92B2-2D6D37D075A4},2015-06-02T14:23:56.000Z,-71.3,51.58,31.5,20.08,26369
79,13067031211,312.11,ARC 10,53891,258.44,{3C6BC4BD-F73D-4AA7-ADE6-C672ED1323E9},2015-06-02T14:23:56.000Z,-73.3,36.36,21.94,14.41,18853
80,13067031209,312.09,ARC 10,120987,116.26,{39F3A4B1-7EF4-49A8-8332-6A47EE680909},2015-06-02T14:23:56.000Z,600.8,50.15,30.42,19.73,25870
81,13067030224,302.24,ARC 10,69803,93.73,{82B021E1-3D20-43CC-8230-2416E97F686D},2015-06-02T14:23:56.000Z,1697.2,48.56,28.01,20.54,28247
82,13067031205,312.05,ARC 10,83000,166.61,{C549CB3F-92EF-45C3-8CC2-C52E2FF37A5E},2015-06-02T14:23:56.000Z,688.6,44.83,27.39,17.45,23175
83,13067031206,312.06,ARC 10,78214,122.77,{7DF71066-4395-4AE2-B5FA-14E3CA106FB9},2015-06-02T14:23:56.000Z,1112.2,43.74,26.08,17.66,23434
84,13067030220,302.20,ARC 10,63523,61.22,{D05CF3E9-FE5E-42E1-8BE4-6C3D6C857D03},2015-06-02T14:23:56.000Z,-44.3,49.62,28.36,21.26,28950
85,13067030905,309.05,ARC 10,52669,93.98,{651A1FFA-4EA7-41EB-AD58-53F46EE1AFB0},2015-06-02T14:23:56.000Z,398.3,47.45,27.34,20.11,27696
86,13067030502,305.02,ARC 10,83229,81.84,{641E9B55-E3D2-419D-8983-B34EBFBD8EFD},2015-06-02T14:23:56.000Z,114.1,48.55,28.51,20.04,27163
