OBJECTID,NAME,TYPE,LCI_NAME,LCI_YEAR,Major_Act_,last_edited_date,GlobalID
124,Lakewood Ft McPherson,Station Community,Not an LCI Center,N/A,,,{3D9A7E4A-6B6B-4FD7-A830-DD50E4B3C273}
125,Vine City,Station Community,Not an LCI Center,N/A,,,{BE90DAB9-4917-4D50-ABBF-91E557FF4230}
126,Mount Zion,Town Center,Not an LCI Center,N/A,,,{33AD3F78-8FA3-4236-BF56-F285E317CF16}
127,Carrolton,Town Center,Not an LCI Center,N/A,,,{8A1829F0-8C35-42CF-B296-250FA41A1937}
128,Whitesburg,Town Center,Not an LCI Center,N/A,,,{65507468-B1DD-4348-B5DF-72F4DA33CCCE}
129,Roopvile,Town Center,Not an LCI Center,N/A,,,{8F580409-36A9-44C3-8175-5C46AE08473C}
130,Bowdon,Town Center,Not an LCI Center,N/A,,,{46728853-677B-4B3E-BC2E-F57C1EC876E0}
131,Villa Rica,Town Center,Not an LCI Center,N/A,,,{93EC5492-00E9-4266-8408-AAFB665897FF}
132,Temple,Town Center,Not an LCI Center,N/A,,,{7F1E24FE-316B-414E-BF87-BC6E8D2C6376}
133,Orchard Hill,Town Center,Not an LCI Center,N/A,,,{24557825-A47F-408E-A16E-311F09E68F20}
134,Griffin,Town Center,Not an LCI Center,N/A,,,{9C624673-86E7-40E2-8F34-B6A0A90FFDFF}
135,Cartersville,Town Center,Not an LCI Center,N/A,,,{9942DB29-12E2-437E-B2C9-C77F511D0BD3}
136,Adairsville,Town Center,Not an LCI Center,N/A,,,{EC306B04-6655-47BC-868C-20E73EA0AFBD}
137,Gainesville,Town Center,Not an LCI Center,N/A,,,{EB5D79B1-C5C6-41EB-AC19-678021892676}
138,Oxford,Town Center,Not an LCI Center,N/A,,,{521FFCF2-48AE-4C32-84CB-0CB89251BAB3}
139,Newborn,Town Center,Not an LCI Center,N/A,,,{01132BCB-A96A-4AA8-A6B7-67C247B899D5}
140,Mansfield,Town Center,Not an LCI Center,N/A,,,{C9E040BA-9DF0-4DB5-A919-5D18CC1E26B6}
141,Social Circle,Town Center,Not an LCI Center,N/A,,,{B96A3E95-07E2-45D2-869C-770F0F81515C}
142,Monroe,Town Center,Not an LCI Center,N/A,,,{EED59545-E01B-4FFB-AA20-D5E300A5FB44}
143,Jersey,Town Center,Not an LCI Center,N/A,,,{11034B96-BD7A-4807-9DA7-1B81A85103AA}
144,Loganville,Town Center,Not an LCI Center,N/A,,,{EAD11C39-E9FC-44D3-A677-FFC596C2F70E}
145,Between,Town Center,Not an LCI Center,N/A,,,{A7F7F3D8-7EEB-4534-97CF-C1B46067B4D6}
146,Statham,Town Center,Not an LCI Center,N/A,,,{AA81C891-644B-4B48-8811-D753D5422723}
147,Bethlehem,Town Center,Not an LCI Center,N/A,,,{C2C073EE-EE4F-41AC-9CF5-AF1EE578AA69}
148,Winder,Town Center,Not an LCI Center,N/A,,,{8D3C47A5-582C-4735-BE7C-F0B044FD9330}
149,Carl,Town Center,Not an LCI Center,N/A,,,{035FC6B9-6B00-4A23-BB6D-03844922474C}
150,Auburn,Town Center,Not an LCI Center,N/A,,,{DC777528-FE79-42A8-AFB1-1931B092711F}
