OBJECTID,MAXGISID,FACILITY_ID,LAKENAME,SUBDIVISION_NAME,EST_DEPTH,ACCESSIBLE,ACCESS_REMARKS,INSTALLDATE,ABANDONED,JURISDICTION,LANDDISTRICT,LANDLOT,PLTBKNUM,PLTBKPG,FEMA_ZONE,EPD_REACH_NAME,EPD_CRITERION_VIOLATED,EPD_POTENTIAL_CAUSES,EPD_IMPAIRED_CATEGORY,EPD_IMPAIRED_PRIORITY,EPD_IMPAIRED_NOTES,EPD_305B_303D_LIST,EPD_IMPAIRED_WATERSHED,EPD_IMPAIRED_USE,LOCATIONVERIFIED,MAPDATE,IMAGES,BRE,REMARKS,EDITOR,EDITDATE,COLLECTED_BY,INVENTORY_DATE,SURVEY_METH,INSIDE_COBB_COUNTY,shapearea,shapelen
608023,,LK1607120001,Elizabeth Baptist Church Lake,N/A, ,,,,,PRIVATE,16,712,,,Zone X,,,,,,,Not on EPA List,,,,,,,Dam Not Road,YAGADJ,2015-05-11T17:46:50.000Z,,,ORTHO,YES,98998.3334364529,1731.7630619672
608024,,PD1607110001,Eunice Fergus Johnson Pond,N/A,,,,,,PRIVATE,16,711,,,Zone X,,,,,,,Not on EPA List,,,,,,,Dam Not Road,ss\yagadj,2015-01-20T00:00:00.000Z,,,ORTHO,YES,12619.8949683402,527.151306300619
608025,,LK1608610001,Kathryn Sims Lake,N/A,,YES,,,,PRIVATE,16,861,,,Zone X,,,,,,,Not on EPA List,,,,,,,Dam Not Road,YAGADJ,2015-10-16T17:49:23.000Z,,,ORTHO,YES,48095.6144592923,908.853554495065
608026,,PD1608610001,Roger Thompson Pond,N/A,,YES,,,,PRIVATE,16,861,,,Zone X,,,,,,,Not on EPA List,,,,,,,Dam Not Road,YAGADJ,2015-10-16T17:49:25.000Z,,,ORTHO,YES,15065.9024373762,493.307362383137
608027,,LK1608610002,Hutson Lake,N/A,,YES,,,,PRIVATE,16,861,,,Zone X,,,,,,,Not on EPA List,,,,,,,Cobb Road is Dam,YAGADJ,2015-10-16T17:49:26.000Z,,,ORTHO,YES,56795.6483388286,1005.75100250966
608028,,LK1608680001,Field Park Lake,Field Park,,YES,,,,PRIVATE,16,868,,,Zone X,,,,,,,Not on EPA List,,,,,,,Dam Not Road,YAGADJ,2015-10-16T17:49:28.000Z,,,ORTHO,YES,56079.2624531623,918.028135908415
608029,,LK1608680002,Gambrell Lake,N/A,,YES,,,,PRIVATE,16,868,,,Zone X,,,,,,,Not on EPA List,,,,,,,Dam Not Road,YAGADJ,2015-10-16T17:49:29.000Z,,,ORTHO,YES,44029.2370716397,923.28865145446
608030,,PD1608620001,Providence Bank Pond,N/A,,YES,,,,PRIVATE,16,862,,,Zone X,,,,,,,Not on EPA List,,,,,,,Dam Not Road,YAGADJ,2015-10-16T17:49:30.000Z,,,ORTHO,YES,15402.3604332905,621.487798460506
608031,,PD1604970001,Piedmont Hills Pond,Piedmont Hills,,YES,,,,PRIVATE,16,497,,,Zone X,,,,,,,Not on EPA List,,,,,,,Dam Not Road,YAGADJ,2015-10-16T17:49:31.000Z,,,ORTHO,YES,3888.02114661403,264.559039565127
608032,,LK2001730002,Kennesaw Vaughn Lake,N/A,,YES,,,,PRIVATE,20,173,,,Zone X,,,,,,,Not on EPA List,,,,,,,Dam Not Road,YAGADJ,2015-10-16T17:49:35.000Z,,,ORTHO,YES,72385.2294014045,1286.19245176987
