X,Y,OBJECTID,NAME,CITY,SPACES,GlobalID,StreetNumber,PostalCode,StreetName,Publish
-84.362451445251736,33.524256883086892,122,Jonesboro Park And Ride,Jonesboro,150,{1154CD2C-335E-426D-9C5D-EF1F1AC279D8},,30236,Tara Blvd,Yes
-84.445114219859676,33.752267432690353,123,MARTA - WEST LAKE STATION,Atlanta,391,{2DA49D0C-5388-4292-8843-02E868405ADC},80,30314,Anderson Ave SW,Yes
-84.177319868434424,31.61871994221681,124,US 82 & SLAPPY BLVD - ALBANY,Albany,30,{70254E50-73E3-4A45-8C9A-B60071D5FAC4},2801,31701,N Slappey Blvd,Yes
-83.875909321653268,33.606396407731786,125,I-20E & US 278,Covington,50,{94766E93-52CB-4949-96EC-C8522EA3169E},,30014,I-20E & US 278,Yes
-84.338086269733353,33.859653942631773,126,MARTA - BROOKHAVEN / OGLETHORPE STATION,Atlanta,1252,{82103635-9DE3-48F6-B6B3-73A128CA062B},4047,30319,Peachtree Road NE,Yes
-81.806901089599876,32.48387644795784,128,SR 26 NORTH OF STATEBORO,Statesboro,30,{1624ED4D-BD24-42A6-BC20-B6CB7DD01641},,30458,SR 26,Yes
-85.186091024313939,33.690332356319793,132,Murphy Campus Blvd - WACO,Waco,26,{42F21E80-2B9F-4DED-9AE0-367AE9F1AACD},176,30182,Murphy Campus Blvd,Yes
-84.512719569948629,33.587388236059759,134,Union City Park-and-Ride,Atlanta,420,{9B793BCA-B212-4319-9F06-C8545243CEC2},3775,30349,Royal S Pkwy,Yes
-83.836748959788537,31.528737163561111,136,POPE STREET - SYLVESTER,Sylvester,70,{8CE426B4-6362-4ABE-9A95-8C0AF790E401},,31791,N Isabella St & Pope St,Yes
-83.987639455174175,33.640836318218021,137,East Conyers P&R,Conyers,700,{6CEF532C-1298-4248-84F5-C72C38FD4C16},1877,30013,Iris Drive,Yes
-84.189218237966443,33.418183086637548,139,McDonough Park & Ride,McDonough,250,{EB4E45F3-C257-4A74-BEC2-7F7F7AA5735E},1059,30253,Industrial Pkwy,Yes
-83.274139436530533,33.094559014447832,140,W.B. WILLIAMS PARK,Milledgeville,20,{CD0F46BC-A2F1-402F-BF3F-F17E1CA55EC5},62,31061,Highway 22 West,Yes
-84.541547963993281,34.081686701868435,144,Woodstock Park & Ride,Woodstock,100,{3F6E193C-5D5A-4DE7-9E6E-96E99E592B83},550,30189,Molly Lane,Yes
-83.529652029148849,31.450500753289784,145,I-75 & SR 520 - TIFTON,Tifton,24,{6896A0B9-A82E-432B-857A-913D1CBBC4FD},903,31794,7th St W,Yes
-84.41343490050447,33.733946501497755,146,MARTA - WEST END STATION,Atlanta,537,{8387EC4C-B051-4C6E-A2D3-9CE27E92DB61},680,30310,Lee St SW,Yes
-84.17508301992406,33.92999677520978,147,Indian Trail Park & Ride,Norcross,0,{6C98EA77-2347-4D0F-878B-D2AE9DDBF441},,30093,Indian Trail Rd,Yes
-84.570129611388253,34.028990956165813,149,Busbee Park-N-Ride,Kennesaw,250,{FF9858FC-2151-44F7-9B57-1A8998238611},,30144,Busbee Drive NW,Yes
-84.52779360759051,33.940972138686597,150,MARIETTA PARK N RIDE  (CCT),Marietta,0,{89EEA64A-50F4-4E1F-A6F9-BCDAD84AF328},800,30060,South Marietta Pkwy,Yes
-83.636194777462848,31.712361986005014,151,I-75 & SR 112 - ASHBURN,Ashburn,15,{5095ECD2-EAE8-405F-8502-00007AF209E1},,31714,Peacock Rd & SR 112,Yes
-84.299886211633023,33.381505609620042,152,Hampton P&R (Boothe's Crossing),Hampton,0,{56294EE6-6AB9-4844-9052-EACB085E8F4B},104,30228,Woolsey Rd,Yes
-82.386049049009614,33.212170846537994,154,CITY OF WRENS - SCHOOL ST,Wrens,24,{2D5F48E5-3F5F-4CC7-9D2C-4530831E6FD9},101,30833,School St,Yes
