OBJECTID,GEOID10,NAME10,PLNG_REGIO,Median_household_income,Type_3__Annual_Transit_Trips,GlobalID,Pop_Chng_per_SqMi_2000_2010,Tp3_HousTranspCosts_Pct_Income,Tp3_HousingCosts_Pct_Income,Tp3_TransportCosts_Pct_Income,Tp3_AnnualVehMilesTraveled
123,13117130303,1303.03,ARC 20,85750,18.29,{0B137DDA-0529-4BBC-BDF4-885526886327},111.4,106.55,62.64,43.91,22055
124,13117130201,1302.01,ARC 20,82137,4.5,{36AF31BD-A110-464D-A040-528003509DFA},221.6,104.06,59.95,44.11,21973
125,13067030232,302.32,ARC 10,89649,28.84,{B00F83D6-2AFC-4158-895F-B40D752F3ECC},231.8,106.19,65.57,40.62,19443
126,13067030222,302.22,ARC 10,73438,33.38,{3C35736E-50A4-479A-B7F3-1B6C4FC68B76},-31.1,102.55,63.48,39.08,18605
127,13067031118,311.18,ARC 10,67149,71.34,{386E7F18-9C88-47A9-BA99-D40D623F0D6D},133,93.5,60.17,33.32,15933
128,13067031117,311.17,ARC 10,110870,32.64,{6920901E-78E3-4ED7-AF99-7CEA9CB2819A},-182.5,101.3,63.9,37.4,17944
129,13067031507,315.07,ARC 10,44830,46.92,{6058D14D-7306-4D01-B442-80B32E712498},-124.7,83.62,45.9,37.72,18744
130,13067031004,310.04,ARC 10,38137,83.39,{17FBC8FF-716F-4FE5-88F9-ADB659DD7939},-449.4,75.38,43.79,31.59,15294
131,13067030103,301.03,ARC 10,71569,3.11,{77AEA408-DFE5-4D7B-9A36-1F88465335EF},498.9,99.53,59.87,39.66,19307
132,13067031404,314.04,ARC 10,63426,18.64,{C0B21714-2558-47AE-B489-A30AE608499D},117.9,91.25,53.94,37.32,17990
133,13067031306,313.06,ARC 10,47992,9.76,{CC57FE27-29D0-45CE-AA12-4BB71C2EA971},107.7,81.2,45.97,35.23,16631
134,13067030101,301.01,ARC 10,73603,0,{E4899019-181B-41EA-8FF9-8A19AAC7CAF4},100.7,101.37,60.2,41.17,19946
135,13067030104,301.04,ARC 10,51140,26.84,{5480182F-598F-4B03-BD43-88B2135B4938},150.7,84.79,47.59,37.2,18529
136,13117130613,1306.13,ARC 20,95217,13.74,{16CA310F-7090-4F54-AC93-12FAD823A8AD},474.2,120.05,80.74,39.31,18975
137,13117130408,1304.08,ARC 20,53333,26.37,{96AC02DE-E2C4-4C4D-9844-A9C1B268A656},320.7,84.73,46.11,38.62,18859
138,13117130612,1306.12,ARC 20,141802,45.22,{DB91F96F-FB7F-43E4-B4BE-E5D7575C36C5},734.3,140.05,99.4,40.65,19087
139,13117130608,1306.08,ARC 20,124531,29.71,{2A47DDA6-32D0-42A3-B508-C13646B023C4},972.4,154.05,113.71,40.34,19183
140,13117130307,1303.07,ARC 20,85833,16.79,{2A72B4A4-5BC2-4344-9650-36790E3B9078},246,106.06,64.04,42.01,20690
141,13117130302,1303.02,ARC 20,99464,26.29,{73C1E9DB-DEB3-4F9F-881D-F34729B7FA89},482.6,113.71,71.87,41.84,20433
142,13117130304,1303.04,ARC 20,103438,14.97,{91337ED3-6676-45FE-BD56-D25E81C57848},138.3,104.88,62.48,42.4,20015
143,13117130404,1304.04,ARC 20,102384,28.2,{FED09B75-8271-46BE-A4F9-2858E8B7CC1C},1065.2,118.17,76.68,41.49,19714
144,13117130306,1303.06,ARC 20,103947,41.79,{12D03953-504A-4715-B0A4-E9E54AC96483},544.7,112.17,71.19,40.98,20043
145,13117130601,1306.01,ARC 20,85497,22.22,{5ECF3712-ED09-460A-A0C8-F0005C614464},281.9,103.27,65.19,38.08,18708
146,13117130510,1305.10,ARC 20,99531,21.08,{C30C335E-67DE-4275-86F5-71D32D7565C2},473.7,109.1,68.57,40.53,19153
147,13117130406,1304.06,ARC 20,70261,43.28,{7C1E8C31-08EE-4A69-BF7A-AD2357E7C869},1310,101.18,62.75,38.43,18623
148,13117130410,1304.10,ARC 20,46816,51.89,{FF51595B-2BBA-4F42-8518-08B624A9AEAC},703.1,80.75,47.67,33.08,16284
149,13117130203,1302.03,ARC 20,74100,0,{4EA959E0-DCBB-4182-880A-656B0AEDC18D},91.5,116.81,72.4,44.41,21449
150,13117130204,1302.04,ARC 20,63125,8.58,{1E569692-BF7C-4338-9D97-BF7BDC2FF3E5},470,95.54,52,43.54,21974
151,13117130202,1302.02,ARC 20,94821,32.77,{00A68391-7A4F-49AE-924F-21AABFF57DFF},402.2,117.97,73.86,44.11,21564
152,13117130509,1305.09,ARC 20,66284,0,{36730CDD-39F7-45CE-B5E8-961804CF9C6A},-2.4,105.59,65.42,40.16,18895
153,13117130403,1304.03,ARC 20,68456,16.64,{715AC8E9-63D1-4D84-AEAA-D688634B546D},154.5,93.75,52.11,41.64,21116
154,13067031506,315.06,ARC 10,53906,5.32,{28A2CA79-F1B1-4A5F-AF0B-6CEF0CDBC372},92.2,88.35,48.79,39.56,19390
155,13067031508,315.08,ARC 10,70882,2.47,{5EFBC080-90F8-4BA6-B659-2714C266E55F},257.7,98.49,57.31,41.18,19849
156,13067031116,311.16,ARC 10,39228,116.99,{40238E22-4A5F-4C23-9838-BBA3A0F2F291},-264.5,77.36,47.65,29.71,14513
157,13067031115,311.15,ARC 10,57560,50.4,{4F775275-9BCE-414E-AB44-55E349B59AE4},425,82.28,47.27,35.01,16703
158,13067030223,302.23,ARC 10,65453,72.39,{A1BD7AA6-6198-4437-99F4-875F608248AD},661.2,91.85,56.16,35.69,17194
159,13067031312,313.12,ARC 10,61176,47.06,{25F59FA1-AD12-4297-9FFB-C2CA134D1090},689.6,89.6,53.91,35.69,17351
160,13067031313,313.13,ARC 10,107841,39.64,{3A96A399-BF1C-4E57-B517-43A265BEB209},975,107.58,70.73,36.86,17413
161,13067031309,313.09,ARC 10,52714,31.12,{6DDF7302-FE96-4F2B-B467-EAB5599D39EA},307.1,83.38,46.27,37.11,17973
162,13117130101,1301.01,ARC 20,80040,0,{F0E2C0F9-495D-4018-91E2-1E26A80DA643},148.6,110.93,67.24,43.7,21235
163,13117130104,1301.04,ARC 20,71382,0.12,{528C5AD4-7240-4C44-A128-67933A7571AA},147.6,114.43,70.36,44.07,21473
164,13117130506,1305.06,ARC 20,70313,0.87,{C6925070-4FCA-4FD9-B4F8-A2FDEC92D2A1},309,92.19,51.38,40.81,20060
165,13067031509,315.09,ARC 10,68125,9.63,{9476CCAA-DE0D-4AA9-848E-9F74184C854C},435.1,97.63,56.07,41.55,20221
166,13067031113,311.13,ARC 10,29523,155.93,{8E7C509F-5989-40DB-BA64-29228B3DF103},-757.5,75.4,51,24.41,11917
167,13067031114,311.14,ARC 10,41880,236.34,{6A2E57A3-CCEE-45D8-8BA7-0831FCE2EB91},1146.4,70.05,47.07,22.98,11183
168,13067030345,303.45,ARC 10,50553,132.7,{8AD8D87E-C4C8-45ED-9BD3-082773F7C253},491.8,71.99,48.34,23.65,11096
169,13067030344,303.44,ARC 10,43037,200.1,{92E45A80-73BC-4652-A616-763EE7D26C26},-662.2,66.8,43.48,23.32,11187
170,13067030411,304.11,ARC 10,27417,241.18,{33BAE0C9-7095-4731-B5E1-C445EC3B2DF5},-593.8,63.48,40.46,23.02,11314
171,13067030412,304.12,ARC 10,37917,228.8,{9FF1FE00-41E0-4DFD-87D6-E406970C128F},-1303.8,68.65,44.11,24.55,11871
172,13067030414,304.14,ARC 10,27681,225.48,{4CF114EE-A25B-467A-A768-8BFDBDBE30F3},-659,71.45,48.28,23.17,10762
173,13067030413,304.13,ARC 10,34180,291.18,{0BB80012-5179-4283-A18A-A7D11CA50717},-1313.3,66.61,44.61,21.99,10625
174,13067030239,302.39,ARC 10,107622,13.6,{F0D3CA93-4B36-4316-B58D-54E4C9CEC051},228.4,120.39,77.83,42.56,20323
175,13067030238,302.38,ARC 10,101607,36.49,{E8AFD41B-6E3F-4192-A491-4AA0A4A0D137},350.9,114.1,71.32,42.78,20803
176,13067030236,302.36,ARC 10,130867,53.86,{A3254C5A-23BF-41BF-AC51-C86543DEFD5A},370.5,120.9,78.49,42.41,20737
177,13067030407,304.07,ARC 10,67138,62.47,{F18FB154-20E2-4E67-BB9C-9143F0DC51E1},-70.6,94.87,60.31,34.57,16490
178,13067030408,304.08,ARC 10,65682,97.86,{0BABC526-1B2F-44B0-97BA-80B9C2B55898},7.8,94.01,62.8,31.21,14710
179,13067030410,304.10,ARC 10,43352,94.59,{9296005F-2D5D-4BD3-8811-34AB5952B298},-34.1,83.06,52.67,30.4,14252
180,13067030409,304.09,ARC 10,110494,65.63,{F4BABF04-1226-4891-A62A-848CD6EE146F},198.6,135.53,97.85,37.68,17526
181,13067030343,303.43,ARC 10,114712,66.33,{E249BC2A-479D-43BC-B5F0-4797ABD5F487},71.7,126.08,86.61,39.47,18425
182,13067030342,303.42,ARC 10,113075,34.29,{E7EAA1DC-1CDF-4D75-858F-984B53483989},62.1,127.06,86.59,40.47,18752
183,13067030340,303.40,ARC 10,130263,34.71,{2355883A-DFAC-4575-B2F0-0C7473644DC6},-179.4,114.07,73.8,40.27,18648
184,13067030341,303.41,ARC 10,95469,49.37,{A437167D-822E-49B1-A473-2C4919EE54C5},30.6,103.08,63.56,39.52,19015
185,13067031409,314.09,ARC 10,46234,0,{FA6014DB-82CD-4338-A95F-66A0B13CB630},14,93.19,54.5,38.69,18819
186,13067031408,314.08,ARC 10,44708,0.76,{1153C067-D697-481C-BF52-F2218F096EEE},211.3,84.38,46.01,38.38,18315
187,13067030107,301.07,ARC 10,77780,31.56,{FAE4ACF1-A7BD-45DF-A4D9-5610F6743EC7},725.6,94.69,55.23,39.45,19225
188,13067030106,301.06,ARC 10,44878,94.46,{086C7671-E116-420C-A816-8AA61C824D45},1167.9,87.81,53.94,33.88,17203
189,13067030505,305.05,ARC 10,34185,127.83,{3124C44B-FC96-4B98-AA28-2699331E5E40},395.5,69.69,42.98,26.71,12857
190,13067030800,308,ARC 10,35233,55.63,{85B16A87-3B56-49AC-9115-9442B12E3B0E},-498,73.49,45.87,27.62,13125
191,13067030902,309.02,ARC 10,33438,117,{672AAA19-4335-43D9-8467-A635AAFE0A98},-704.5,76.11,47.11,29,14470
192,13067031311,313.11,ARC 10,34503,90.59,{96211CF0-95B0-4170-8A26-10D13DDA1450},592.5,77.16,44.89,32.27,15627
193,13067031406,314.06,ARC 10,37840,70.1,{5E76E33D-185F-40EF-B491-3E9EE498737A},892.1,77.89,46.33,31.56,15300
194,13067031405,314.05,ARC 10,64291,29.42,{76B8F124-199A-4EDB-B57B-C55BCDBB52DF},5.1,86.91,49.3,37.61,18132
195,13067030320,303.20,ARC 10,80463,109.81,{E9A0C568-BF94-4705-9A4A-3A4A9B869AFA},357.5,98.26,67.24,31.03,14771
196,13067030318,303.18,ARC 10,124779,41.18,{4B85D782-8A78-4A70-8757-EDE376979F0C},67.4,130.51,92.08,38.43,17565
197,13067031005,310.05,ARC 10,47470,16.83,{C99B96CF-81A4-4F42-BF91-61F9CA390377},445,84.23,46.67,37.56,17827
198,13067031002,310.02,ARC 10,27755,93.81,{61FDA467-795E-4D5F-BA6B-AA1F197F3E4C},579.4,74.69,45.3,29.38,14340
199,13067030904,309.04,ARC 10,38118,124.07,{517801CE-8A56-4F1C-B5C9-59BEE9CDBD26},-38.5,74.82,45.31,29.52,14530
200,13067030901,309.01,ARC 10,59979,78.95,{659FEE7E-88FE-4412-8268-4C0183236E8B},-19.3,89.76,55.17,34.6,16690
201,13067031503,315.03,ARC 10,60441,7.33,{F261A080-4E30-4E44-B173-A7286C02E16A},78.4,100.64,61.67,38.97,18723
202,13067031307,313.07,ARC 10,75669,3.51,{759B14B9-D9A5-4B33-BDB8-F4E9A05EB172},28.5,93.64,55.75,37.89,17795
203,13067031308,313.08,ARC 10,41953,11.94,{B8104517-71A4-4B54-BEA2-B1EDAD9A67D0},114.8,80.81,44.35,36.46,17199
204,13067030319,303.19,ARC 10,94219,76.65,{8F67837D-CD9A-4484-9D7E-F3F2CF355CF3},-9.3,105.57,69.91,35.66,17119
205,13067030333,303.33,ARC 10,113987,29.93,{6A13A0E7-3AF9-41F1-BD73-64BB3F707E08},28.3,113.46,75.26,38.2,17736
206,13067030332,303.32,ARC 10,105000,49.75,{A5ABCFC5-FEEF-48C0-BC8D-AF1FB54FF56A},-35.7,120.62,82.73,37.88,17492
207,13067030335,303.35,ARC 10,112112,32.61,{D99FB4EE-BA1D-4292-AD20-CBD3392C01AD},-173,110.75,71.56,39.2,18053
208,13067031106,311.06,ARC 10,63228,34.29,{3273E787-D5EC-4784-B5B9-E88536CCCBB2},258.6,88.72,52.61,36.12,17374
209,13067030331,303.31,ARC 10,106549,41.74,{9B2AFB62-088E-4779-9C01-DB55D514791A},-73.6,111.63,73.08,38.55,18036
210,13067030322,303.22,ARC 10,97054,31.89,{D5B48BD5-090B-4CDA-866C-B534997B5B6B},-15.7,102.68,62.9,39.78,18167
211,13067031112,311.12,ARC 10,71842,88.5,{3D5B7385-755B-4D13-A483-F2A37E4D9322},10,87.89,55.27,32.61,15255
212,13067030504,305.04,ARC 10,59844,82.9,{DFB450C0-D3E2-4BFE-AC54-54034DEF3583},189.2,85.94,52,33.94,16522
213,13067030327,303.27,ARC 10,98241,16.47,{D9437C11-7AD1-41B7-B711-A3B5E61E42A7},18.4,100.84,61.55,39.3,18227
214,13067030329,303.29,ARC 10,98988,40.08,{9A0A800E-D9E4-44FC-AA83-E9F59DC48F50},-97.6,98.26,59.88,38.37,18044
215,13067030339,303.39,ARC 10,56409,166.86,{6694065F-1589-4717-BD0C-99E064E559C7},607.2,76.47,51.96,24.51,11576
216,13067030314,303.14,ARC 10,91137,32.8,{A6DDCD9B-81DB-448E-91EF-59D615253247},271.6,103.66,64.72,38.93,18027
