X,Y,OBJECTID,FACNAME,FACTYPE,ADDRESS_1,ADDRESS_2,CITY,STATE,ZIP,AREACODE,PHONE,CONTACT,TITLE,FIPS,TYPE,NAME,METHOD,updated,draw,GlobalID,last_edited_date
-84.469746120192099,34.115233176352355,2373,Cherokee Christian School,20,3075 Trickum Rd.,P.O. Box 913,Woodstock,Georgia,30188,678,494-5464, Mike Lee,President,13057,Private School,Cherokee,Photo,2011-12-22T00:00:00.000Z, ,{F9B99EC2-4F98-4DBE-850C-9233FD19C8E0},
-83.985656535386696,33.614365402233858,2378,Peek's Chapel Elementary School,30,2800 Avalon Parkway, ,Conyers,Georgia,30013,770,761-1842,Nancy Cornwell,Principal,13247,Elementary School,Rockdale,Local,2009-01-06T00:00:00.000Z, ,{220A1423-A24B-4AFD-8B98-707DEE7EAEA2},
-84.02173947596107,33.597644641314496,2379,Honey Creek Elementary School,30,700 Honey Creek Road, ,Conyers,Georgia,30094,770,483-5706,Craig Dowling,Principal,13247,Elementary School,Rockdale,Local,2009-01-06T00:00:00.000Z, ,{16668447-1A0D-4F56-9090-BC08E50C57EA},
-84.048746478065041,33.622282971631819,2381,Sims Elementary School,30,1821 Walker Road, ,Conyers,Georgia,30094,770,922-0666,Patricia DeVane,Principal,13247,Elementary School,Rockdale,Local,2009-01-06T00:00:00.000Z, ,{82D59A5B-DCCA-4E77-8EEC-1294C802B8AA},
-84.061790898580028,33.655505775301641,2382,Shoal Creek Elementary School,30,1300 McWilliams Road, ,Conyers,Georgia,30094,770,929-1430,Janet Wheeler,Principal,13247,Elementary School,Rockdale,Local,2009-01-06T00:00:00.000Z, ,{9237D5D5-17AC-4DF5-BE63-7D3BE5A4DEEE},
-84.014938163685855,33.6682853007677,2389,Pine Street Elementary School,30,960 Pine Street, ,Conyers,Georgia,30012,770,483-8713,Audrey Bennett,Principal,13247,Elementary School,Rockdale,Local,2008-07-08T00:00:00.000Z, ,{9CDA5585-2C89-478B-9626-E24AFB958EB9},
-84.007259604282126,33.721978027592378,2391,House Elementary School,30,2930 Highway 20 NE, ,Conyers,Georgia,30012,770,483-9504,Ann Leonard,Principal,13247,Elementary School,Rockdale,Local,2008-07-08T00:00:00.000Z, ,{214A23EB-4584-4BE5-93E6-AEF395BE75F2},
-84.36010467643429,33.572000196402122,2397,Tara Elementary School,30,937 Mount Zion Road, ,Morrow,Georgia,30260,770,968-2915,Cynthia Dickerson,Principal,13063,Elementary School,Clayton,Local,2011-12-28T00:00:00.000Z, ,{AF58B289-A55F-4AC8-A970-C08653DF1817},
-84.341432538897706,33.588289036588037,2399,Morrow Elementary School,30,6115 Reynolds Road, ,Morrow,Georgia,30260,770,968-2900,Tammy Burroughs,Principal,13063,Elementary School,Clayton,Photo,2011-12-28T00:00:00.000Z, ,{9A70F1BA-EB3D-4885-BD1D-B5C95616B1FA},
-84.445978523531465,33.577996791532037,2400,Oliver Elementary School,30,1725 Cheryl Leigh Drive, ,Riverdale,Georgia,30296,770,994-4010,Kathleen Truitt,Principal,13063,Elementary School,Clayton,Geocode,2011-12-28T00:00:00.000Z, ,{B3A320F4-D874-4853-8DD7-609F0D6AF49D},
-84.389573552037291,33.420509748726637,2402,River's Edge Elementary School,30,205 North Bridge Road, ,Fayetteville,Georgia,30215,770,460-2340,Alisha Mohr,Principal,13063,Elementary School,Clayton,Photo,2011-12-28T00:00:00.000Z, ,{15BAF3B2-8926-4996-A3A9-023AFC063BBE},
-84.432104382514211,33.539595217794087,2404,Lake Ridge Elementary School,30,7900 Lake Ridge Circle, ,Riverdale,Georgia,30274,770,907-5170,Marsha Hood,Principal,13063,Elementary School,Clayton,Photo,2011-12-28T00:00:00.000Z, ,{E2F07A58-412F-42F4-A4A6-1121C92634F5},
-84.345588829264912,33.515052004690098,2406,Suder Elementary School,30,1400 Lake Jodeco Road, ,Jonesboro,Georgia,30236,770,473-2820,Earnestine hyche,Principal,13063,Elementary School,Clayton,Geocode,2011-12-28T00:00:00.000Z, ,{7264A231-26C9-4E7A-959E-C39F62DE71A0},
-84.569553014135437,33.386252543776131,2427,Huddleston Elementary School,30,200 McIntosh Trail, ,Peachtree City,Georgia,30269,770,631-3255,Rebekah Maddox,Principal,13113,Elementary School,Fayette,Geocode,2012-01-17T00:00:00.000Z, ,{D73B08A6-2594-420E-B50E-7A51122C9C77},
-84.598274953694201,33.430196186179849,2428,Kedron Elementary School,30,200 Kedron Drive, ,Peachtree City,Georgia,30269,770,486-2700,Jean Miller,Principal,13113,Elementary School,Fayette,Geocode,2012-01-17T00:00:00.000Z, ,{B101A0AC-0AA6-41A0-8B03-F3B673A6B6EA},
-84.583115194820138,33.516109557197183,2430,Our Lady of Victory Catholic School,20,211 Kirkley Road, ,Tyrone,Georgia,30290,770,306-9026, Kathy Bechdel,Principal,13113,Private School,Fayette,Geocode,2012-01-17T00:00:00.000Z, ,{FD1204EE-1EED-4733-B0C9-E7012D864DCC},
-84.478247112204897,33.451221766099216,2432,Joseph Sams School (The),20,280 Brandywine Blvd, ,Fayetteville,Georgia,30214,770,461-5894, ,Principal,13113,Private School,Fayette,Geocode,2012-01-17T00:00:00.000Z, ,{9C19A43C-0CAA-4EE1-81A4-30200981AB7B},
-84.258882812727379,33.902945866054672,2440,Oakcliff Elementary School,30,3150 Willow Oak Way, ,Doraville,Georgia,30340,678,676-3102,Terry Segovis,Principal,13089,Elementary School,DeKalb,Geocode,2012-01-11T00:00:00.000Z, ,{FE3CE50E-339F-4D34-99D1-AE0A5FECA13E},
-84.236498540617418,33.89110444935811,2441,Pleasantdale Elementary School,30,3695 North Lake Drive, ,Doraville,Georgia,30340,678,874-3502,Carol Reams,Principal,13089,Elementary School,DeKalb,Photo,2012-01-11T00:00:00.000Z, ,{E1147624-1EB3-48F0-9F58-A95068EB3184},
-84.325665262387005,33.815959472975159,2445,Temima High School for Girls,20,1839 LaVista Road, ,Atlanta,Georgia,30329,404,315-0507, ,Principal,13089,Private School,DeKalb,Geocode,2012-01-11T00:00:00.000Z, ,{468FA792-597E-4B64-902F-769DE286B9EE},
-84.262057711362004,33.80401427078052,2447,McLendon Elementary School,30,3169 Hollywood Drive, ,Decatur,Georgia,30033,678,676-5902,Rosalind McIntyre,Principal,13089,Elementary School,DeKalb,Geocode,2012-01-11T00:00:00.000Z, ,{80136B16-C84D-4DBD-92F2-F56BCBDF5448},
-84.111237439873321,33.787947254921036,2453,Wynbrooke Elementary School,30,440 Wicksbury Way, ,Stone Mountain,Georgia,30087,678,676-5002,Wendolyn Norris-Bouie,Principal,13089,Elementary School,DeKalb,Geocode,2012-01-11T00:00:00.000Z, ,{ACF210AF-41F3-4ABF-8D73-F4A1719C17A0},
-84.19901633156681,33.660993705442117,2461,Martin Luther King Jr. High School,13,3991 Snapfinger Road, ,Lithonia,Georgia,30038,678,874-5410,Horace Dunson,Principal,13089,"High School, Public",DeKalb,Geocode,2012-01-11T00:00:00.000Z, ,{1D53DEC1-424B-422D-9DF1-02CA33BA771D},
-84.223208634710559,33.758501068470707,2462,Rowland Elementary School,30,1317 South Indian Creek Drive, ,Stone Mountain,Georgia,30083,678,676-6202,Roberta Walker,Principal,13089,Elementary School,DeKalb,Geocode,2012-01-11T00:00:00.000Z, ,{9D804B08-FF74-47A9-9F26-907A360B2B0A},
-84.278312534973523,33.726999002681488,2463,Toney Elementary School,30,2701 Oakland Terrace, ,Decatur,Georgia,30032,678,874-2102,Leola Orr,Principal,13089,Elementary School,DeKalb,Geocode,2012-01-11T00:00:00.000Z, ,{D6C1F76A-C1BD-4EDA-B504-9ABA2A8D79C4},
-84.315017343571512,33.745681608327168,2468,Charles R. Drew Charter School,30,301 East Lake Blvd, ,Atlanta,Georgia,30317,404,687-0001,Karen Eldridge,Principal,13089,Elementary School,DeKalb,Photo,2012-01-11T00:00:00.000Z, ,{485BC954-88F1-446E-BB19-451F96D90236},
-84.09692899710609,34.093670621802531,2469,Riverside Elementary School,30,5445 Settles Bridge Road, ,Suwanee,Georgia,30024,678,482-1000,Larry Stone,Principal,13135,Elementary School,Gwinnett,Local,2012-01-31T00:00:00.000Z, ,{2C28AE5A-ECC7-4A4F-8839-B0A5468D4235},
-84.054634760414629,34.048684921792656,2470,Suwanee Elementary School,30,3875 Smithtown Road, ,Suwanee,Georgia,30024,770,945-5763,Nancy Hammond,Principal,13135,Elementary School,Gwinnett,Local,2012-01-31T00:00:00.000Z, ,{C5C889B4-C952-430E-84DB-12824B1ED1C3},
-84.006822550618665,34.049936844845611,2471,Rock Springs Elementary School,30,888 Rock Springs Road, ,Lawrenceville,Georgia,30043,770,932-7474,Cheryl Wilson,Principal,13135,Elementary School,Gwinnett,Local,2012-01-31T00:00:00.000Z, ,{CE32D6AF-33E9-4C89-994A-8340BFAD5A8C},
-83.95708542113303,33.936913877538323,2481,Simonton Elementary School,30,275 Simonton Road, ,Lawrenceville,Georgia,30045,770,513-6637,Betty Robinson,Principal,13135,Elementary School,Gwinnett,Local,2012-01-31T00:00:00.000Z, ,{062B6B27-44F0-40A6-A3CF-A921C4FD0107},
-83.941778798490787,33.839076361141998,2483,Magill Elementary School,30,3900 Brushy Fork Road, ,Loganville,Georgia,30052,770,554-1030,Wanda Warner,Principal,13135,Elementary School,Gwinnett,Local,2012-01-31T00:00:00.000Z, ,{5151B6F2-B8A2-47D4-A2C0-B4318BAAAAFB},
-84.009232865490304,33.809811746375928,2487,Norton Elementary School,30,3050 Carson Road, ,Snellville,Georgia,30039,770,985-1933,Robert Peterson,Principal,13135,Elementary School,Gwinnett,Local,2012-01-31T00:00:00.000Z, ,{68A9BB88-3301-454B-80F0-AD3AFBBB9078},
-84.05346155746021,33.79390957933294,2489,Partee Elementary School,30,4350 Campbell Road, ,Snellville,Georgia,30039,770,982-6920,Barbara Lunsford,Principal,13135,Elementary School,Gwinnett,Local,2012-01-31T00:00:00.000Z, ,{B1EA1B73-6C9D-4F5F-8A05-06CF90BBB065},
-84.118847101195144,33.996178407188104,2491,M. H. Mason Elementary School,30,3030 Bunten Road, ,Duluth,Georgia,30096,770,232-3370,Paula Deweese,Principal,13135,Elementary School,Gwinnett,Local,2012-01-31T00:00:00.000Z, ,{5D76AF4A-D5B2-4928-93D7-A55524C1C02F},
-84.199095855987878,33.876010706522464,2493,Nesbit Elementary School,30,6575 Cherokee Drive, ,Tucker,Georgia,30084,770,414-2740,Connie Greenman-Vance,Principal,13135,Elementary School,Gwinnett,Local,2012-01-31T00:00:00.000Z, ,{4B48B4AE-2374-4779-9719-523DAF86C183},
