X,Y,OBJECTID,Name,Acres,Sq_Miles,County20,County10,Civilian_nonInstitutional_Pop,Civ_nonInstitution_Pop_wDisabil,Pct_Civ_nonInstitut_Pop_wDisab,Civ_nonInstitut_Pop_under_18yrs,Civ_nonInst_under18_wDisab,Pct_Civ_nonInst_under18_wDisab,Civ_nonInst_Pop_18_to_64,Civ_nonInst_18_to_64_wDisab,Pct_Civ_nonInst_18to64_wDisab,Civ_nonInst_Pop_65years_up,Civ_nonInst_65up_wDisab,Pct_Civ_nonInst_65up_wDisab,GlobalID,last_edited_date
-84.470067790512857,33.669695190130447,476,East Point,9422.79003906,14.72309971,yes,yes,34989,4649,13.3,8245,164,2,23445,3089,13.2,3299,1396,42.3,{A298BC33-C20C-400A-8AA1-BF40C36D5AC7},
-84.351349959983636,34.039417972171961,477,Roswell,26708.40039063,41.73189926,yes,yes,92010,6555,7.1,22170,598,2.7,59186,2640,4.5,10654,3317,31.1,{8BCC99B2-9883-40C0-9718-6F0E0A69DC62},
-84.302456077187998,33.895994683130517,478,Chamblee,3065.34008789,4.78958988,yes,yes,15826,908,5.7,3070,45,1.5,11629,508,4.4,1127,355,31.5,{FE87980B-5689-4DA6-A936-FF10FD9B264C},
-83.598828093259172,33.964919020886022,479,Statham,2255.29003906,3.52389002,yes, ,2544,277,10.9,762,35,4.6,1700,194,11.4,82,48,58.5,{14E5BA2F-3AAA-4149-8E1D-3AFCF41A215C},
-84.568573266990512,33.228598025347495,480,Haralson,449.04199219,0.70162702,yes, ,197,17,8.6,50,0,0,127,7,5.5,20,10,50,{A96405FF-067B-408D-9786-9E6A826D772E},
-84.829290196591458,33.236964262510817,481,Grantville,3789.94995117,5.92180014,yes, ,3105,345,11.1,993,58,5.8,1876,204,10.9,236,83,35.2,{D92C7120-9286-4E62-9434-B5609D9630D7},
-84.490072464258716,34.246704777258373,482,Canton,11910.20019531,18.60960007,yes,yes,23644,2762,11.7,7093,142,2,14188,1636,11.5,2363,984,41.6,{CD9F83AE-8C19-4FB2-9F2E-6AFCCAE837F6},
-84.644902668259562,33.820030711501566,483,Austell,3759.55004883,5.8743,yes,yes,6944,731,10.5,2175,15,0.7,4281,509,11.9,488,207,42.4,{075A8BCD-2F51-41F4-B555-ADEEF0405329},
-84.542243141015391,33.953188973453777,484,Marietta,14756.29980469,23.05669975,yes,yes,55461,4452,8,12577,188,1.5,37346,2632,7,5538,1632,29.5,{9767A098-2A58-420D-A63F-2A817EBF508E},
-84.77121520403881,33.877150292482497,485,Hiram,2442.64990234,3.81664991,yes, ,3628,379,10.4,745,4,0.5,2492,260,10.4,391,115,29.4,{2A698DC5-A192-4857-BB62-CBBBDAC12914},
-85.083569088503211,33.581870785129041,486,Carrollton,14585.09960938,22.78930092,yes, ,24196,2919,12.1,5701,114,2,16149,1953,12.1,2346,852,36.3,{853646E5-C760-4F5A-B174-1B5A78F64B2D},
-84.240270781375855,33.810495226521617,487,Clarkston,676.57702637,1.05715001,yes,yes,7707,696,9,2403,49,2,4873,434,8.9,431,213,49.4,{861C4457-28F6-417F-8553-00211DECF116},
-84.206110191064099,33.790529890190811,488,Pine Lake,161.09199524,0.251706,yes,yes,674,88,13.1,97,0,0,468,39,8.3,109,49,45,{6133E521-38B5-4C8D-88F6-86E27BC4D6FA},
-84.264869669881122,33.769791471424242,489,Avondale Estates,774.64801025,1.21038997,yes,yes,2754,166,6,671,0,0,1666,83,5,417,83,19.9,{D112E21A-F510-48D3-8E59-B44E728C8C17},
-84.105968683420443,33.712806613180248,490,Lithonia,593.00500488,0.92657101,yes,yes,1960,321,16.4,583,21,3.6,1152,196,17,225,104,46.2,{FA1F5268-1132-4BD6-A4DE-1D00F355A343},
-84.172234049234646,33.803497629854689,491,Stone Mountain,1042.77001953,1.62934005,yes,yes,5919,772,13,1310,53,4,3905,454,11.6,704,265,37.6,{51401879-81F9-43C4-8AE9-590812A934A2},
-83.799391837099208,33.717406480381207,492,Jersey,474.91900635,0.74206102,yes, ,146,25,17.1,15,0,0,103,15,14.6,28,10,35.7,{07D1C0A8-75F2-4900-AF44-B1A0147D22E7},
-83.715411727193711,33.79942368665408,493,Monroe,9681.74023438,15.12769985,yes, ,13207,2254,17.1,3229,102,3.2,8099,1379,17,1879,773,41.1,{350AD29D-667F-48FB-8F7C-76ECE2771AB4},
-83.851094583476183,33.745226613068333,494,Walnut Grove,1831.68005371,2.86199999,yes, ,1383,151,10.9,403,16,4,847,87,10.3,133,48,36.1,{0A4309D0-96B5-44FA-B08B-D8387DDECA3C},
