X,Y,OBJECTID,Name,Acres,Sq_Miles,County20,County10,In_School,In_Pre_School,Pct_In_Pre_School,In_Kindergarten,Pct_In_Kindergarten,In_Elementary,Pct_In_Elementary,In_High_School,Pct_In_High_School,In_College_or_Grad_School,Pct_In_College_or_Grad_School,GlobalID,last_edited_date
-84.351349959983636,34.039417972171961,477,Roswell,26708.40039063,41.73189926,yes,yes,22912,1693,7.4,1572,6.9,9771,42.6,5111,22.3,4765,20.8,{8BCC99B2-9883-40C0-9718-6F0E0A69DC62},
-84.302456077187998,33.895994683130517,478,Chamblee,3065.34008789,4.78958988,yes,yes,2497,84,3.4,106,4.2,1260,50.5,402,16.1,645,25.8,{FE87980B-5689-4DA6-A936-FF10FD9B264C},
-83.598828093259172,33.964919020886022,479,Statham,2255.29003906,3.52389002,yes, ,734,24,3.3,52,7.1,355,48.4,169,23,134,18.3,{14E5BA2F-3AAA-4149-8E1D-3AFCF41A215C},
-84.568573266990512,33.228598025347495,480,Haralson,449.04199219,0.70162702,yes, ,51,0,0,4,7.8,11,21.6,17,33.3,19,37.3,{A96405FF-067B-408D-9786-9E6A826D772E},
-84.829290196591458,33.236964262510817,481,Grantville,3789.94995117,5.92180014,yes, ,924,69,7.5,75,8.1,516,55.8,161,17.4,103,11.1,{D92C7120-9286-4E62-9434-B5609D9630D7},
-84.490072464258716,34.246704777258373,482,Canton,11910.20019531,18.60960007,yes,yes,6707,531,7.9,442,6.6,3063,45.7,1293,19.3,1378,20.5,{CD9F83AE-8C19-4FB2-9F2E-6AFCCAE837F6},
-84.644902668259562,33.820030711501566,483,Austell,3759.55004883,5.8743,yes,yes,2435,121,5,251,10.3,945,38.8,496,20.4,622,25.5,{075A8BCD-2F51-41F4-B555-ADEEF0405329},
-84.542243141015391,33.953188973453777,484,Marietta,14756.29980469,23.05669975,yes,yes,14433,1091,7.6,939,6.5,5307,36.8,1875,13,5221,36.2,{9767A098-2A58-420D-A63F-2A817EBF508E},
-84.77121520403881,33.877150292482497,485,Hiram,2442.64990234,3.81664991,yes, ,857,101,11.8,54,6.3,319,37.2,142,16.6,241,28.1,{2A698DC5-A192-4857-BB62-CBBBDAC12914},
-85.083569088503211,33.581870785129041,486,Carrollton,14585.09960938,22.78930092,yes, ,10537,391,3.7,251,2.4,2606,24.7,1166,11.1,6123,58.1,{853646E5-C760-4F5A-B174-1B5A78F64B2D},
