X,Y,OBJECTID,Name,Acres,Sq_Miles,County20,County10,Income_Total_households,Household_inc_less_35k,Pct_Household_inc_less_35k,Household_inc_35k_75k,Pct_Household_inc_35k_75k,Household_inc_75k_200k,Pct_Household_inc_75k_200k,Household_inc_200k_more,Pct_Household_inc_200k_more,GlobalID,last_edited_date
-84.063643193022074,31.954795972564266,224,De Soto,521.84301758,0.81537902, , ,91,38,41.8,38,41.8,15,16.5,0,0,{935C9B2A-3054-4D60-BC6A-90170D46BE0B},
-84.145479407311512,32.19654505015076,225,Andersonville,889.97900391,1.39058995, , ,73,49,67.1,16,21.9,8,11,0,0,{A4E95635-8E66-48AD-B1F7-D00353DBD579},
-84.224757600806981,32.073540334216432,226,Americus,7332.97021484,11.45779991, , ,6287,3612,57.5,1815,28.9,795,12.6,65,1,{EDF46EFD-5F83-4A92-8326-D94501679FC1},
-83.481863094725512,32.295808147708861,227,Hawkinsville,3264.7199707,5.10113001, , ,1731,861,49.7,537,31,323,18.7,10,0.6,{BE30B3CB-072B-461D-A9F4-3D35F67AD356},
-83.109635812196075,34.285957276122033,228,Royston,2177.08007813,3.40169001, , ,1071,707,66,258,24.1,106,9.9,0,0,{E3C62BDE-E904-46C2-8355-67E8733EBBC5},
-83.198258648089549,34.485583717478328,229,Martin,1620.54003906,2.53209996, , ,133,76,57.1,34,25.6,22,16.5,1,0.8,{6E4829FA-C380-4D1A-B9F3-89BF9E091CEC},
-83.108135125053806,34.4344131508769,230,Lavonia,2937.54003906,4.58990002, , ,827,469,56.7,270,32.6,84,10.2,4,0.5,{8CE59859-AFA4-43AA-8764-71E6D032CEC7},
-83.145903126700617,34.284030448210217,231,Franklin Springs,1405.81994629,2.19658995, , ,238,116,48.7,66,27.7,44,18.5,12,5,{12AEFB57-3BD4-4EBA-9D24-0C759D8E6A44},
-83.232873708427036,34.371589403734447,232,Carnesville,1692.18994141,2.64404011, , ,207,100,48.3,69,33.3,38,18.4,0,0,{B9D774CD-D5D5-45D5-953C-79781D863E31},
-83.110740883065915,34.345537156950655,233,Canon,2001.64001465,3.1275599, , ,277,164,59.2,86,31,27,9.7,0,0,{53AE4527-92CE-49F6-BD42-78AAB48F18F4},
-83.560321541865619,30.784867776342661,234,Quitman,2654.35009766,4.14742994, , ,1552,1128,72.7,354,22.8,70,4.5,0,0,{851CD479-6540-4035-A7B0-C3D3F04355FD},
-83.738001668143966,30.959751656140437,235,Pavo,1129.64001465,1.76505995, , ,291,167,57.4,95,32.6,27,9.3,2,0.7,{8F1B92D6-3BE8-4434-9D7B-5DF43007C16D},
-83.500314977660196,30.943349887607447,236,Morven,1114.08996582,1.74075997, , ,226,141,62.4,62,27.4,20,8.8,3,1.3,{7E5ED531-F575-43E2-B29E-85433626F487},
-83.739139224184896,30.893263272565935,237,Barwick,479.39898682,0.74906099, , ,170,116,68.2,24,14.1,30,17.6,0,0,{51964872-6BE7-4456-B92C-5778A58BB8AF},
-82.818293955346476,32.047165310218723,238,Scotland,900.69598389,1.40734005, , ,91,40,44,46,50.5,5,5.5,0,0,{B3514032-F6DA-4542-BA0D-E6BB0FF0E568},
-83.06306145866192,32.019460440782346,239,Milan,2017.35998535,3.15212989, , ,285,169,59.3,76,26.7,40,14,0,0,{4FBA3C5A-7B54-4EC4-91DB-41135B6BA03E},
-82.682841054705293,31.93300503931323,240,Lumber City,1240.72998047,1.93865001, , ,388,301,77.6,67,17.3,16,4.1,4,1,{D5D7E004-59DA-403E-AC07-68EAC803D0D2},
-82.978999979496464,31.812600099519511,241,Jacksonville,714.36700439,1.11619997, , ,59,42,71.2,9,15.3,8,13.6,0,0,{58437C15-71B1-4371-BDF7-EF98E1BA286A},
-82.474500630000975,31.543236731418947,242,Alma,3982.58007813,6.22278023, , ,1153,628,54.5,297,25.8,219,19,9,0.8,{73CEB4E2-48D0-490F-8BA2-728092D317C0},
-83.635149159848808,31.671080149372859,243,Sycamore,647.20397949,1.01126003, , ,203,89,43.8,91,44.8,23,11.3,0,0,{4B45CB97-DE80-403D-A8D3-D0741D4CC421},
-83.487581186429665,31.807232007897746,244,Rebecca,502.73901367,0.78552902, , ,81,49,60.5,16,19.8,14,17.3,2,2.5,{C2E9F34E-ED2A-4642-8D06-8BE0DF9B484B},
-83.652791808881858,31.709586872070904,245,Ashburn,3071.16992188,4.79870987, , ,1602,1117,69.7,287,17.9,198,12.4,0,0,{DD0FC2B8-85D7-4D9A-98D6-2EC18EDA39C0},
-83.044586836927522,31.335894952188948,246,Willacoochee,2445.5300293,3.82115006, , ,497,319,64.2,90,18.1,88,17.7,0,0,{72F29EBC-2ADB-4254-A9FA-A4D01C0DDA08},
-82.854355377974599,31.297021553975085,247,Pearson,2151.97998047,3.3624599, , ,594,421,70.9,107,18,55,9.3,11,1.9,{D77FABF9-CDE0-4294-B390-BB4E3C5043D3},
-83.847126565448306,34.935594146258211,248,Young Harris,680.00299072,1.0625, , ,145,95,65.5,25,17.2,20,13.8,5,3.4,{41D98EC0-1BEE-43CE-A3D1-0EDB0FC1353A},
-83.752880169787716,34.950148271927468,249,Hiawassee,1345.39001465,2.10216999, , ,438,242,55.3,152,34.7,41,9.4,3,0.7,{4561810A-5C47-45C0-9E26-CFBB666E1205},
-81.64083103579496,32.746695734107014,250,Sylvania,3281.0300293,5.1266098, , ,1102,642,58.3,298,27,154,14,8,0.7,{1D18CCAE-2BE5-450C-9B9D-278939E1B5DD},
-81.829742794831418,32.663672175936028,251,Rocky Ford,793.16900635,1.23933005, , ,71,45,63.4,19,26.8,7,9.9,0,0,{A3DBFA50-6DCC-429A-98FD-34435CAE851D},
-81.533075750974177,32.521493445128961,252,Oliver,600.91900635,0.93893701, , ,110,49,44.5,48,43.6,13,11.8,0,0,{A8916020-0984-4FBD-A256-C5779DCF7BB9},
-81.506324026479419,32.588801060888173,253,Newington,519.89801025,0.81234097, , ,125,72,57.6,27,21.6,26,20.8,0,0,{9B599F73-C4D3-4982-BCA7-213CE5BEC52E},
-81.661270327778155,32.883364343534673,254,Hiltonia,1116.09997559,1.74390996, , ,157,82,52.2,62,39.5,13,8.3,0,0,{BEC73D32-48A4-464C-BF25-F48CB5E74E74},
-85.037314525758219,33.029618639039093,255,LaGrange,25711.40039063,40.17399979, , ,10713,5489,51.2,3193,29.8,1777,16.6,254,2.4,{28A1BB4A-553B-4F13-AE97-55379A41F97F},
-83.278886002266617,30.850324863820596,256,Valdosta,23261.30078125,36.34569931, , ,21199,11715,55.3,5982,28.2,3104,14.6,398,1.9,{31D09260-8F09-446F-B8B9-D3CEA53F9F05},
-83.308467091870341,30.844147924072224,257,Remerton,130.65400696,0.204146, , ,596,462,77.5,122,20.5,12,2,0,0,{9D7B412A-D35E-400E-9E11-C1625E0A1B2C},
-83.187517283238535,30.685000750275446,258,Lake Park,903.9619751,1.41243994, , ,313,148,47.3,99,31.6,64,20.4,2,0.6,{6C244FCA-B776-4D76-8C97-63C52CF1EBFC},
-83.377490286500006,30.993329930766613,259,Hahira,1658.73999023,2.59177995, , ,984,385,39.1,364,37,235,23.9,0,0,{43BB1247-F635-4406-86DA-372D85DA0755},
-83.225385735504673,30.746252158018788,260,Dasher,3176.41992188,4.96316004, , ,329,102,31,109,33.1,116,35.3,2,0.6,{E6CE263A-A800-42F6-BE73-49B9A5317692},
-83.978322849774827,30.839518524714251,261,Thomasville,9654.79980469,15.0855999, , ,7535,4143,55,2398,31.8,865,11.5,129,1.7,{E93D849F-47BC-4CD2-B9B9-D83122FAF5D9},
-84.903484525708393,33.166918047274571,262,Hogansville,4424.79003906,6.91374016, , ,1111,642,57.8,394,35.5,59,5.3,16,1.4,{AF66FD15-65D8-4FCD-AAD8-D9FB6410BAB4},
-85.144791398092096,32.895124038388531,263,West Point,7226.81005859,11.29189968, , ,1564,809,51.7,423,27,282,18,50,3.2,{93BC3EC9-CA71-4B76-995D-9B5BE2F5BEF3},
-82.991707682162158,32.3835496333121,264,Rentz,676.56097412,1.05712998, , ,144,78,54.2,49,34,17,11.8,0,0,{B5883AEB-124A-4E52-A670-B5810CCA9545},
-83.153499142204751,32.55944065104179,265,Montrose,1037.18994141,1.62061, , ,64,19,29.7,30,46.9,15,23.4,0,0,{A0D916F5-BDCC-4FB3-91CF-63CEFCBE2ECE},
-82.868628913376142,32.547761625468517,266,East Dublin,2625.17993164,4.10184002, , ,931,605,65,227,24.4,92,9.9,7,0.8,{C5AF860B-67F7-4685-97A2-0BA534943B0B},
-84.987570315535692,34.085991776361034,267,Taylorsville,954.98498535,1.49215996,yes, ,95,28,29.5,43,45.3,22,23.2,2,2.1,{2DA029F3-E7CD-4477-B76C-61ACE14B3D63},
-83.913671159585448,34.170645159308087,268,Flowery Branch,4098.47021484,6.40386009,yes, ,2315,721,31.1,691,29.8,848,36.6,55,2.4,{3F646295-8B41-4773-B68A-CE02BDEEEF05},
-84.571351181163877,33.394222044444156,269,Peachtree City,16335.90039063,25.52490044,yes,yes,12633,2023,16,3415,27,5966,47.2,1229,9.7,{A5B396B4-75EE-417B-BDEB-7C471FCB045E},
-84.051766658168887,30.975169372343625,270,Ochlocknee,611.11499023,0.95486802, , ,281,150,53.4,91,32.4,40,14.2,0,0,{224E76FC-D679-4B59-A343-7CDF5F74B021},
-83.866124018341438,31.011332053031541,271,Coolidge,523.91900635,0.81862402, , ,227,167,73.6,35,15.4,24,10.6,1,0.4,{B5ED3007-4CAA-4A13-872E-485F34EA5FF7},
-83.789925599278575,30.792008788125536,272,Boston,1444.2800293,2.25669003, , ,557,353,63.4,148,26.6,56,10.1,0,0,{7AC357A2-B194-43AC-AD9A-E9A5C140B57F},
-81.956551639504397,32.390391455991896,273,Pulaski,511.60101318,0.79937601, , ,62,20,32.3,30,48.4,12,19.4,0,0,{799A5854-C57A-4C01-9E40-59285CA307A9},
-82.06244887339885,32.395970598311841,274,Metter,5047.81005859,7.88719988, , ,1516,1014,66.9,287,18.9,197,13,18,1.2,{5E39B927-0720-41A5-8F35-BC88066DC6E1},
-83.080476077630436,32.532132065639196,275,Dudley,2189.80004883,3.42157006, , ,234,81,34.6,80,34.2,69,29.5,4,1.7,{F35E7AE2-F182-47BB-920E-759062F09E58},
-82.926407841552901,32.536469319991518,276,Dublin,9975.41992188,15.5866003, , ,6190,3398,54.9,1670,27,1006,16.3,116,1.9,{E7234D80-F599-4F10-BF99-08756B2D3F6E},
