X,Y,OBJECTID,Name,Acres,Sq_Miles,County20,County10,Under_18_years,Pct_Under_18_years,Num_18_29_years,Pct_18_29_years,Num_30_44_years,Pct_30_44_years,Num_45_64_years,Pct_45_64_years,Num_65_years_and_over,Pct_65_years_and_over,Median_Age,White,Pct_White,Black_African_American,Pct_Black_African_American,Asian,Pct_Asian,Other_two_races,Pct_Other_two_races,Hispanic_Latino_all_races,Pct_Hispanic_Latino_all_races,GlobalID,created_user,created_date,last_edited_user,last_edited_date
-82.357947817525755,31.21090364262232,49,Waycross,7645.64013672,11.94629955, , ,3555,25.3,1967,14,2291,16.3,3541,25.2,2712,19.3,40.7,5143,36.6,7954,56.6,112,0.8,84,0.6,759,5.4,{6F0B07C7-5DDE-4D35-90AA-D82D3369355D},,,,
-83.281478850598504,33.966629882992827,50,Winterville,1693.66003418,2.64634991, , ,271,23.1,100,8.5,232,19.8,336,28.7,233,19.9,44.1,863,73.6,206,17.6,19,1.6,12,1,74,6.3,{C05E1D7D-046B-4612-9792-891B2779A062},,,,
-83.533468441995979,33.947381185490876,51,Bogart,1522.33996582,2.37864995, , ,256,24.6,184,17.7,230,22.1,244,23.4,126,12.1,33.6,765,73.4,41,3.9,19,1.8,19,1.8,199,19.1,{D0F45D8D-AE6F-4A9F-8F72-7429DFCD1017},,,,
-83.996615817512804,33.664558946519954,52,Conyers,7552.85009766,11.80130005,yes,yes,4794,30.2,2937,18.5,3286,20.7,3254,20.5,1603,10.1,31.5,3524,22.2,9811,61.8,302,1.9,95,0.6,2143,13.5,{BE1000B7-02E2-4AE7-9A8A-DB629BA39EF7},,,,
-83.957954430172748,33.890201890712085,53,Grayson,1594.05004883,2.49071002,yes,yes,762,24.2,548,17.4,554,17.6,818,26,463,14.7,40.5,1633,51.9,1117,35.5,233,7.4,41,1.3,126,4,{EB8DD639-29AB-4EBD-838C-674CB0B6809F},,,,
-83.53741548238628,33.002388034566387,54,Gray,2489.23999023,3.88943005, , ,932,28.5,503,15.4,709,21.7,644,19.7,481,14.7,32.8,2040,62.4,1102,33.7,0,0,3,0.1,124,3.8,{76076CCC-E1E2-4EDD-BCBC-BA6238FAF31C},,,,
-85.149536953027905,33.708750574041105,55,Bremen,6763.83984375,10.56849957,yes, ,1926,30.3,960,15.1,1379,21.7,1284,20.2,807,12.7,34.6,5408,85.1,744,11.7,44,0.7,64,1,95,1.5,{8D1C63E0-32E5-4916-A19E-826FB729E2D1},,,,
-84.766784007615655,34.82660415775154,56,Eton,771.23101807,1.20504999, , ,262,29,106,11.8,244,27.1,208,23.1,81,9,33.5,527,58.4,0,0,14,1.6,0,0,361,40,{5D68D1A6-18D7-48BF-B624-315E9C1BF875},,,,
-84.783395764576539,34.780713373819175,57,Chatsworth,3407.64990234,5.32446003, , ,966,22.2,840,19.3,835,19.2,1105,25.4,605,13.9,39.3,3137,72.1,74,1.7,22,0.5,26,0.6,1092,25.1,{FA5D372B-0CC6-405F-ACED-457512679376},,,,
-82.3152714928151,32.382145788657994,58,Oak Park,4626.79003906,7.22937012, , ,152,31.5,76,15.9,80,16.6,131,27.3,42,8.8,30.7,384,79.8,1,0.3,0,0,9,1.8,87,18.1,{EFC46BF3-9354-4B3E-A90B-FA6C0EF3441C},,,,
-82.346664065201821,32.4919654270048,59,Nunez,858.39697266,1.34124994, , ,31,20.9,23,15.5,35,23.6,38,25.5,22,14.5,35,64,42.7,42,28.2,0,0,7,4.5,37,24.5,{BE234CEF-6196-4E23-947F-FBDA8F4ECE1F},,,,
-82.09623167322934,32.649546023215727,60,Garfield,509.23300171,0.79567599, , ,75,37,35,17.4,33,16,46,22.4,15,7.3,28.8,136,66.7,55,26.9,0,0,13,6.4,0,0,{9FFA5102-545B-49F9-BF8D-5CB3AFD2931B},,,,
-82.59202957019258,32.530597001562974,61,Adrian,908.57397461,1.41964996, , ,183,27.8,52,7.9,145,22,187,28.4,91,13.9,41.5,487,74.2,170,25.8,0,0,0,0,0,0,{F7F6068E-92D8-4709-8CBF-F24F8DAFEB7B},,,,
-82.313800827010425,33.41544431731495,62,Harlem,2904.93994141,4.53896999, , ,834,28.1,546,18.4,679,22.9,632,21.3,276,9.3,32.9,1955,65.9,712,24,33,1.1,128,4.3,139,4.7,{867914FD-FD52-4D07-8CD2-C47E34DB1D15},,,,
-82.206478711341262,33.449473541795562,63,Grovetown,3095.32006836,4.83644009, , ,4150,31.7,2566,19.6,3653,27.9,1990,15.2,733,5.6,29.4,6717,51.3,3038,23.2,209,1.6,511,3.9,2619,20,{73CCCD8F-4C0A-40B2-97F7-B0239A559908},,,,
-83.241225717631522,33.087538974197045,64,Milledgeville,13158.90039063,20.56080055, , ,3105,16.4,7099,37.5,2991,15.8,3521,18.6,2215,11.7,27.1,9522,50.3,8102,42.8,549,2.9,227,1.2,549,2.9,{C285D3B7-5AF3-4344-A0F5-C490BA5C1C82},,,,
-85.289752828786519,34.974753474803975,65,Rossville,1157.32995605,1.80832005, , ,943,23.6,512,12.8,947,23.7,975,24.4,620,15.5,35.9,3349,83.8,316,7.9,20,0.5,232,5.8,80,2,{033696D9-DFBA-4FE0-8019-AC24C8FC9367},,,,
-85.362199190103738,34.966418683353282,66,Lookout Mountain,1701.83996582,2.6591301, , ,485,30.7,163,10.3,306,19.4,399,25.3,227,14.4,38.5,1480,93.7,9,0.6,3,0.2,43,2.7,44,2.8,{21512209-5F36-4CB1-9FB4-54B0D00F7148},,,,
-85.281534059918798,34.708660576835079,67,LaFayette,5229.18017578,8.1705904, , ,1585,22.1,911,12.7,1219,17,2023,28.2,1435,20,43.4,6370,88.8,516,7.2,14,0.2,194,2.7,86,1.2,{314FE395-EE81-410E-A03E-73C15DCC507F},,,,
