OBJECTID,TRACTCE10,GEOID10,NAME10,PLNG_REGIO,Workers__16_years_and_over,Car_Truck_or_Van_drove_alone,Pct_Car_Truck_Van_drove_alone,Car__truck__or_van___carpooled,Pct_Car_Truck_Van_carpooled,Public_Transport_excluding_Taxi,Pct_Public_Transp_exclude_Taxi,Worked_at_home,Percent_Worked_at_home,Mean_Travel_Time_to_Work_min,GlobalID,last_edited_date
665,001102,13139001102,11.02,ARC 20,1946,1227,63.1,564,29,17,0.9,40,2.1,23.7,{DAB91844-AA99-4DBA-AE6D-9BA5CBC0C6E7},
666,001201,13139001201,12.01,ARC 20,2591,2056,79.4,405,15.6,10,0.4,70,2.7,23.4,{55FB6314-517D-4B20-95E3-427E1B749DC4},
667,001004,13139001004,10.04,ARC 20,1654,1503,90.9,109,6.6,0,0,42,2.5,23.9,{542ECBC8-35F9-4493-BE38-B2FCC9AF0BAC},
668,001003,13139001003,10.03,ARC 20,2679,1506,56.2,925,34.5,0,0,25,0.9,25.1,{3787E085-BE5B-4423-9C64-ED4E64D45E29},
669,000305,13139000305,3.05,ARC 20,2350,2026,86.2,268,11.4,0,0,47,2,26.8,{04C7E478-64E5-4012-AA41-C92A34F78AE2},
670,000304,13139000304,3.04,ARC 20,1326,1139,85.9,99,7.5,1,0.1,85,6.4,34.3,{8060281A-89F9-4C7D-A8BD-FE2A91E242BD},
671,000303,13139000303,3.03,ARC 20,809,662,81.8,75,9.3,0,0,42,5.2,24.3,{E59EEA0A-01CC-410F-90F1-431F010B369A},
672,000203,13139000203,2.03,ARC 20,2199,1766,80.3,233,10.6,18,0.8,120,5.5,31.3,{FE2AA6A8-AA80-491B-8E86-1D303CDBCBDE},
673,000204,13139000204,2.04,ARC 20,1830,1623,88.7,87,4.8,0,0,117,6.4,24.5,{6E62BA1D-BB24-4D85-8959-5F2FA1E9D9F8},
674,160100,13255160100,1601,ARC 20,2070,1798,86.9,182,8.8,2,0.1,25,1.2,35,{A8F96CE4-CAF9-4623-8183-7E8216227219},
675,160200,13255160200,1602,ARC 20,2100,1766,84.1,220,10.5,1,0,40,1.9,31.4,{773BBAF4-BABE-4D54-AA06-DBABF3D05B1C},
676,161000,13255161000,1610,ARC 20,1804,1602,88.8,182,10.1,12,0.7,3,0.2,40.3,{CAA9BEC5-1176-4141-B4F9-946918D6431E},
677,161200,13255161200,1612,ARC 20,3314,3003,90.6,226,6.8,36,1.1,44,1.3,26.5,{EDB7DF2D-D411-441C-8B50-38C132C9F6F2},
678,161100,13255161100,1611,ARC 20,1710,1523,89.1,70,4.1,7,0.4,49,2.9,24.9,{6867B236-432D-4A7C-9ACA-7D4608D0B5E4},
679,160900,13255160900,1609,ARC 20,876,814,92.9,39,4.5,3,0.3,15,1.7,24.1,{D7803A45-5BC5-4958-B62B-1BA6AB4992DD},
680,160800,13255160800,1608,ARC 20,1257,899,71.5,186,14.8,12,1,0,0,22.8,{6B1845E1-E9CD-4309-96C3-EC4B0DF33364},
681,160700,13255160700,1607,ARC 20,2506,2362,94.3,99,4,0,0,29,1.2,27.4,{18A8BC00-51E0-4401-A114-0AE9C91F4C88},
682,160500,13255160500,1605,ARC 20,2673,2028,75.9,492,18.4,0,0,111,4.2,25.7,{88C89406-6D5C-4903-B81E-82F76C590F57},
683,160400,13255160400,1604,ARC 20,1892,1478,78.1,228,12.1,13,0.7,17,0.9,21.5,{513084FF-9808-4568-AB61-0586F7BE82B4},
684,160300,13255160300,1603,ARC 20,1164,955,82,165,14.2,1,0.1,14,1.2,24.4,{FF8F8211-2727-4AFA-B534-56696E5B28F8},
685,160600,13255160600,1606,ARC 20,1548,1275,82.4,197,12.7,9,0.6,37,2.4,35,{B2B16190-1699-4A97-8127-25D6DFE20A76},
686,080102,13097080102,801.02,ARC 10,3611,3134,86.8,237,6.6,14,0.4,198,5.5,28.8,{99741DDD-36D9-4A1F-A188-9323B1641470},
687,080602,13097080602,806.02,ARC 10,2630,2068,78.6,226,8.6,15,0.6,259,9.8,30,{0540044B-1C86-47E3-ACE1-6470CC374DA4},
688,080508,13097080508,805.08,ARC 10,2665,2270,85.2,220,8.3,0,0,95,3.6,31.6,{2D3AD859-1333-4ACD-9654-D353D39F03FB},
689,080510,13097080510,805.10,ARC 10,3462,2554,73.8,618,17.9,32,0.9,210,6.1,28.7,{EAAF23B9-D90C-4094-AE75-B73D6D122860},
690,080509,13097080509,805.09,ARC 10,2491,1980,79.5,265,10.6,21,0.8,208,8.4,28.3,{88B78F8D-9E8A-4C48-9413-C080F8C4BF4D},
691,170602,13077170602,1706.02,ARC 20,4278,3676,85.9,159,3.7,10,0.2,362,8.5,33.7,{1CF1DDFB-57DC-445A-A7DA-43BAB2EC2AEC},
692,170503,13077170503,1705.03,ARC 20,2785,2361,84.8,192,6.9,38,1.4,78,2.8,33.3,{2E597ADC-55EF-4A48-970F-EDCB74B53AAE},
693,170501,13077170501,1705.01,ARC 20,3309,2981,90.1,147,4.4,15,0.5,140,4.2,28.1,{20ED5EEF-D755-4349-A116-DE6E474F66ED},
