OBJECTID,TRACTCE10,GEOID10,NAME10,PLNG_REGIO,Total_housing_units,Occupied_housing_units,Percent_Occupied_housing_units,Vacant_housing_units,Percent_Vacant_housing_units,Homeowner_vacancy_rate,Rental_vacancy_rate,One_unit_detatched_housing_unit,Percent_1Unit_Detached,Housing_units_built_since_2000,Pct_Units_Built_Since_2000,Units_Built_1980_to_1999,Pct_Units_Built_1980_to_1999,Units_Built_1979_or_Earlier,Pct_Units_Built_1979_or_Earlier,Owner_occupied_housing_units,Pct_Owner_Occ_HousUnits,Renter_occupied_housing_units,Pct_Renter_Occ_Units,GlobalID,last_edited_date
760,022401,13089022401,224.01,ARC 10,2164,1983,91.6,181,8.4,3.3,5.3,949,43.9,670,31,444,20.5,1050,48.5,1011,51,972,49,{A92B564B-D8CC-4AC4-9582-B47B2F48F61D},
761,020900,13089020900,209,ARC 10,2768,2416,87.3,352,12.7,0,0,2306,83.3,391,14.1,173,6.3,2204,79.6,1535,63.5,881,36.5,{74607ECC-9B68-4262-8AB4-016BC5E34076},
762,020700,13089020700,207,ARC 10,1158,918,79.3,240,20.7,9.4,3.6,585,50.5,107,9.2,116,10,935,80.7,492,53.6,426,46.4,{E5D11F6E-C58F-462E-A048-0BC236DDEDD9},
763,020600,13089020600,206,ARC 10,1042,950,91.2,92,8.8,0,4.1,434,41.7,446,42.8,157,15.1,439,42.1,382,40.2,568,59.8,{AA3FAD85-4E79-4E97-82E7-1D463EE5791B},
764,020500,13089020500,205,ARC 10,1807,1390,76.9,417,23.1,2.9,16.1,1082,59.9,429,23.7,177,9.8,1201,66.5,716,51.5,674,48.5,{6E0996CC-7A60-4D12-9888-6E3076417658},
765,021410,13089021410,214.10,ARC 10,2316,2016,87,300,13,5.8,11.2,727,31.4,373,16.1,309,13.3,1634,70.6,712,35.3,1304,64.7,{62382584-1198-4214-A1A1-F408BDB2927E},
766,021216,13089021216,212.16,ARC 10,4893,4128,84.4,765,15.6,5.7,12.3,829,16.9,1829,37.4,2177,44.5,887,18.1,964,23.4,3164,76.6,{5FD48EC9-6D6F-42B1-A1B4-423AD982B050},
767,021911,13089021911,219.11,ARC 10,1085,823,75.9,262,24.1,0,6,50,4.6,113,10.4,510,47,462,42.6,113,13.7,710,86.3,{0B094A0B-E1B3-49E7-940C-ADF8AD6AC158},
768,020802,13089020802,208.02,ARC 10,1869,1640,87.7,229,12.3,2.3,8.2,1249,66.8,440,23.5,219,11.7,1210,64.7,1028,62.7,612,37.3,{4AF626B3-D3E6-400D-8035-4144F9DDF399},
769,021416,13089021416,214.16,ARC 10,1069,920,86.1,149,13.9,5.9,3.3,343,32.1,326,30.5,147,13.8,596,55.8,466,50.7,454,49.3,{E6DA9E1C-A8A6-4327-BEA1-C34898E8E61E},
770,021413,13089021413,214.13,ARC 10,1534,1330,86.7,204,13.3,10.8,12,290,18.9,149,9.7,91,5.9,1294,84.4,314,23.6,1016,76.4,{1ADA7043-5C1D-4B3E-A626-E861097B1690},
771,021411,13089021411,214.11,ARC 10,2065,1989,96.3,76,3.7,0,2.1,663,32.1,705,34.1,825,40,535,25.9,672,33.8,1317,66.2,{3801F169-96B1-420A-89BC-4FCE19320A92},
772,020400,13089020400,204,ARC 10,1297,1234,95.1,63,4.9,4.4,0,567,43.7,128,9.9,69,5.3,1100,84.8,742,60.1,492,39.9,{BC7C7841-1E07-42D5-A9AE-8002A39E629D},
773,020300,13089020300,203,ARC 10,1704,1571,92.2,133,7.8,0,3.8,1109,65.1,292,17.1,197,11.6,1215,71.3,1043,66.4,528,33.6,{47A341BE-7EF5-4455-A2D2-F51103AB8020},
774,020100,13089020100,201,ARC 10,754,731,96.9,23,3.1,0,0,585,77.6,76,10.1,65,8.6,613,81.3,571,78.1,160,21.9,{B9C3FEC0-A676-43A7-A367-003DC71B9041},
775,023802,13089023802,238.02,ARC 10,1602,1338,83.5,264,16.5,3.7,6.9,750,46.8,422,26.3,423,26.4,757,47.3,489,36.5,849,63.5,{0EF639E1-FA8D-4EB6-B9BB-DCA7EFE00753},
776,023801,13089023801,238.01,ARC 10,1830,1426,77.9,404,22.1,2.3,4,1222,66.8,496,27.1,115,6.3,1219,66.6,971,68.1,455,31.9,{41F19E31-B3A5-4C36-A584-4BA86DA8D21C},
777,023700,13089023700,237,ARC 10,2613,2209,84.5,404,15.5,0,1.8,1654,63.3,679,26,236,9,1698,65,928,42,1281,58,{739AD856-A125-40F9-88D7-49A8306AD506},
778,023506,13089023506,235.06,ARC 10,2576,2093,81.3,483,18.8,0,9.9,1698,65.9,79,3.1,222,8.6,2275,88.3,1374,65.6,719,34.4,{53C5081A-9E1C-42D8-83B9-C825824B41B1},
779,023505,13089023505,235.05,ARC 10,1147,936,81.6,211,18.4,2.8,18.1,1058,92.2,120,10.5,44,3.8,983,85.7,673,71.9,263,28.1,{819C82F6-C1E5-495E-A1F0-3F9793E8FFD8},
780,023427,13089023427,234.27,ARC 10,1177,1073,91.2,104,8.8,0,8.6,1099,93.4,90,7.6,760,64.6,327,27.8,864,80.5,209,19.5,{7820B576-D251-410C-9C10-81E2B1BA2C55},
781,023424,13089023424,234.24,ARC 10,1871,1706,91.2,165,8.8,0.6,0,1834,98,750,40.1,495,26.5,626,33.5,1441,84.5,265,15.5,{5D9400CE-1E0F-44D0-86DE-D4B8463AED08},
782,023422,13089023422,234.22,ARC 10,1939,1757,90.6,182,9.4,0,2.5,1859,95.9,512,26.4,1264,65.2,163,8.4,1482,84.3,275,15.7,{34C24BF4-72F5-49DE-A450-167D38D1DE4F},
783,023421,13089023421,234.21,ARC 10,3634,3077,84.7,557,15.3,0,6.3,1092,30,1450,39.9,1418,39,766,21.1,1303,42.3,1774,57.7,{F5F3FB26-61C2-409C-A1AF-CCDA2B88D8FB},
784,023315,13089023315,233.15,ARC 10,1962,1659,84.6,303,15.4,5.1,7.6,1941,98.9,721,36.7,984,50.2,257,13.1,1464,88.2,195,11.8,{B2B7455E-E7E6-4003-822D-5E86633B2955},
785,023314,13089023314,233.14,ARC 10,2303,2003,87,300,13,5.8,6.9,2019,87.7,33,1.4,1275,55.4,995,43.2,1507,75.2,496,24.8,{CD7D8993-9CFA-453F-BAC5-650293657050},
786,023115,13089023115,231.15,ARC 10,0,0,,0,,,,0,,0,,0,,0,,0,,0,,{4635255D-76B7-49AC-B019-05BCCF67C4CD},
787,023413,13089023413,234.13,ARC 10,1372,1165,84.9,207,15.1,0,14.4,1299,94.7,120,8.7,260,19,992,72.3,1010,86.7,155,13.3,{CA61B869-AFD7-4FF7-AECD-F97A0C069EB0},
788,023414,13089023414,234.14,ARC 10,2440,2239,91.8,201,8.2,0,0,1956,80.2,163,6.7,1280,52.5,997,40.9,1581,70.6,658,29.4,{79B5A82C-DFCA-4271-8510-E66138FB2802},
789,023206,13089023206,232.06,ARC 10,2930,2568,87.6,362,12.4,1.6,5.3,2539,86.7,392,13.4,703,24,1835,62.6,1620,63.1,948,36.9,{54BEFF6C-6BFA-4A0A-92E1-9D159FF85594},
790,021907,13089021907,219.07,ARC 10,3885,3491,89.9,394,10.1,1.6,16,2683,69.1,1122,28.9,1631,42,1132,29.1,2291,65.6,1200,34.4,{EAAAE826-05C7-4009-A58E-2B7D8A895B11},
791,023204,13089023204,232.04,ARC 10,2588,2289,88.4,299,11.6,4.9,11,2253,87.1,95,3.7,1092,42.2,1401,54.1,1619,70.7,670,29.3,{A50EBC85-FE5F-45ED-976E-88CCBE9F8498},
792,023113,13089023113,231.13,ARC 10,1725,1450,84.1,275,15.9,3.8,6.3,362,21,186,10.8,388,22.5,1151,66.7,430,29.7,1020,70.3,{0D44AB23-B6B2-4832-B453-17682F39E318},
793,022010,13089022010,220.10,ARC 10,695,650,93.5,45,6.5,0,4.6,428,61.6,53,7.6,204,29.4,438,63,378,58.2,272,41.8,{08C329F7-526A-4ADE-AF49-9CBF2FFCD037},
794,023111,13089023111,231.11,ARC 10,689,621,90.1,68,9.9,1.9,5,562,81.6,96,13.9,202,29.3,391,56.7,410,66,211,34,{1FF0A25D-CADA-4E0C-A9F7-D938430015D4},
795,021814,13089021814,218.14,ARC 10,2592,2272,87.7,320,12.3,7.8,10.7,441,17,48,1.9,1505,58.1,1039,40.1,647,28.5,1625,71.5,{6386BFA6-5C2A-49F3-8EF5-7D7C18FB54CF},
796,021409,13089021409,214.09,ARC 10,1452,1204,82.9,248,17.1,0,10,170,11.7,384,26.4,270,18.6,798,55,112,9.3,1092,90.7,{5988C534-2687-4FAE-BCD2-267123625991},
797,021218,13089021218,212.18,ARC 10,3444,3013,87.5,431,12.5,0,8.1,191,5.5,1482,43,1344,39,618,17.9,899,29.8,2114,70.2,{67FBE04A-C496-4148-AD60-F7F9B9A0C7FF},
798,023507,13089023507,235.07,ARC 10,1680,1470,87.5,210,12.5,0,0,1595,94.9,162,9.6,424,25.2,1094,65.1,1077,73.3,393,26.7,{72962AA7-ECAD-4DB5-BE0C-B23A360807EF},
799,023412,13089023412,234.12,ARC 10,2611,2115,81,496,19,0,14,1920,73.5,216,8.3,895,34.3,1500,57.4,1586,75,529,25,{2E513084-C968-4587-81DB-67BD14B1F236},
800,023416,13089023416,234.16,ARC 10,2787,2554,91.6,233,8.4,0,5.9,2228,79.9,826,29.6,1245,44.7,716,25.7,1595,62.5,959,37.5,{DE9BE576-782B-4086-8E8F-D0B2B35EC09B},
801,023102,13089023102,231.02,ARC 10,1766,1468,83.1,298,16.9,3.1,8.9,867,49.1,125,7.1,155,8.8,1486,84.1,626,42.6,842,57.4,{BE3292DB-BCAD-44E9-9F4C-3936D6B8FF98},
802,023000,13089023000,230,ARC 10,1171,997,85.1,174,14.9,0,0,589,50.3,103,8.8,188,16.1,880,75.1,692,69.4,305,30.6,{B1BE018D-7BB5-4DA0-B74A-F504AA9CD703},
803,021906,13089021906,219.06,ARC 10,2279,1902,83.5,377,16.5,1.4,25.7,1674,73.5,137,6,1053,46.2,1089,47.8,1227,64.5,675,35.5,{4E138E63-B33D-4BAB-A870-D3FB2F6A9E67},
804,021217,13089021217,212.17,ARC 10,1019,924,90.7,95,9.3,0,14.9,667,65.5,19,1.9,287,28.2,713,70,610,66,314,34,{977A60A1-C667-430B-AAAC-BA13F51BCF0E},
805,021215,13089021215,212.15,ARC 10,2838,2494,87.9,344,12.1,10.8,7.2,376,13.2,1346,47.4,1316,46.4,176,6.2,718,28.8,1776,71.2,{340BC737-6FA3-42DC-A7F5-7C6D83E25D60},
806,021414,13089021414,214.14,ARC 10,1846,1625,88,221,12,0,8.6,111,6,450,24.4,692,37.5,704,38.1,94,5.8,1531,94.2,{2741290C-B98A-41AA-97FC-ABB71F855B28},
807,021101,13089021101,211.01,ARC 10,1450,1434,98.9,16,1.1,0,0,1386,95.6,504,34.8,286,19.7,660,45.5,1269,88.5,165,11.5,{C3C18B96-B5F2-4B14-99D4-257D96019CE0},
808,023316,13089023316,233.16,ARC 10,3086,2852,92.4,234,7.6,0,0,2693,87.3,510,16.5,2505,81.2,71,2.3,2185,76.6,667,23.4,{1C0BCCD1-394D-4A95-BEEE-37CDFAECB1A3},
809,023313,13089023313,233.13,ARC 10,1825,1589,87.1,236,12.9,6.8,13.7,1485,81.4,252,13.8,1417,77.6,156,8.5,1174,73.9,415,26.1,{E1A537D4-81A4-4F6B-8ECB-7B9A000DD9C7},
810,022900,13089022900,229,ARC 10,1893,1529,80.8,364,19.2,2.2,4.6,1494,78.9,198,10.5,374,19.8,1321,69.8,1077,70.4,452,29.6,{08FB22D8-2A2B-4F86-94E1-86A16C38CB5C},
811,022800,13089022800,228,ARC 10,1289,1197,92.9,92,7.1,0,0,949,73.6,320,24.8,114,8.8,855,66.3,910,76,287,24,{610742C5-A66D-441A-81BB-477850A1780B},
812,022600,13089022600,226,ARC 10,3007,2734,90.9,273,9.1,2.6,3.2,1019,33.9,459,15.3,688,22.9,1860,61.9,1565,57.2,1169,42.8,{CBE8E027-85B3-40F3-9F7A-5ABDDE69135C},
813,022500,13089022500,225,ARC 10,2443,2303,94.3,140,5.7,3.3,1.7,1222,50,394,16.1,525,21.5,1524,62.4,1368,59.4,935,40.6,{B9DF6884-19CB-46DC-AF89-E537EDACF77E},
814,022100,13089022100,221,ARC 10,1689,1343,79.5,346,20.5,0,12,764,45.2,532,31.5,330,19.5,827,49,604,45,739,55,{9E53B987-212B-43DA-943D-D11ABA7DDEEC},
815,022005,13089022005,220.05,ARC 10,1727,1559,90.3,168,9.7,4.4,1.9,614,35.6,333,19.3,236,13.7,1158,67.1,537,34.4,1022,65.6,{58D5F651-C67C-4426-AEDA-396728BC2094},
816,023214,13089023214,232.14,ARC 10,2515,2071,82.3,444,17.7,0,10,1075,42.7,740,29.4,1346,53.5,429,17.1,927,44.8,1144,55.2,{A8F41C74-F833-4AC0-99B9-A7D08C56D5D1},
817,022203,13089022203,222.03,ARC 10,1245,1036,83.2,209,16.8,0,4.1,378,30.4,346,27.8,541,43.5,358,28.8,259,25,777,75,{EAF1EE1B-BC0B-458D-B5F7-BF7C1D7E7EF8},
818,022009,13089022009,220.09,ARC 10,2304,1882,81.7,422,18.3,0,12.1,109,4.7,106,4.6,818,35.5,1380,59.9,207,11,1675,89,{E1859194-EBD7-4F3C-8AEC-3503625AF9DA},
819,021913,13089021913,219.13,ARC 10,2391,1731,72.4,660,27.6,0,30.1,202,8.4,117,4.9,1454,60.8,820,34.3,221,12.8,1510,87.2,{C347EC89-B5E7-4AA5-A2AC-F625E0435F87},
820,021813,13089021813,218.13,ARC 10,1272,1052,82.7,220,17.3,0,7.4,20,1.6,359,28.2,812,63.8,101,7.9,10,1,1042,99,{C6CAF71D-55DB-492E-BBED-F6EC61860518},
821,021605,13089021605,216.05,ARC 10,2725,2258,82.9,467,17.1,8.5,15.6,1028,37.7,817,30,572,21,1336,49,966,42.8,1292,57.2,{5A8CAD33-D247-4113-977D-FAEEBA379D3C},
822,021308,13089021308,213.08,ARC 10,1777,1524,85.8,253,14.2,0,17.6,982,55.3,53,3,202,11.4,1522,85.6,760,49.9,764,50.1,{8415D41F-D9D9-4B49-BBDF-824D819DF238},
823,022004,13089022004,220.04,ARC 10,1860,1597,85.9,263,14.1,4.7,9.9,1366,73.4,65,3.5,419,22.5,1376,74,1281,80.2,316,19.8,{A71071F4-30EA-4F79-802C-31A5C8F212AC},
824,022008,13089022008,220.08,ARC 10,2632,2351,89.3,281,10.7,0,7.5,673,25.6,287,10.9,734,27.9,1611,61.2,399,17,1952,83,{70351F6D-97B4-445D-A89D-352C5EBC5E4C},
825,021909,13089021909,219.09,ARC 10,2911,2484,85.3,427,14.7,4.2,13.2,1237,42.5,69,2.4,891,30.6,1951,67,1013,40.8,1471,59.2,{3D875287-B88F-47C4-AAE4-BBF2CB880D29},
826,022001,13089022001,220.01,ARC 10,2054,1939,94.4,115,5.6,0,5.3,1594,77.6,318,15.5,200,9.7,1536,74.8,1388,71.6,551,28.4,{3DBB33F3-F853-430F-905D-3680659C875A},
827,023108,13089023108,231.08,ARC 10,1903,1660,87.2,243,12.8,3.8,5.4,1067,56.1,519,27.3,94,4.9,1290,67.8,731,44,929,56,{CE7430A3-C98F-49F4-93A0-D51D3D4FF1D1},
828,020200,13089020200,202,ARC 10,1184,1025,86.6,159,13.4,0,8.5,358,30.2,75,6.3,206,17.4,903,76.3,571,55.7,454,44.3,{755E2762-3CE5-4CD0-8C35-F57DACD959E7},
829,021306,13089021306,213.06,ARC 10,2044,1830,89.5,214,10.5,3.8,9.4,595,29.1,117,5.7,787,38.5,1140,55.8,486,26.6,1344,73.4,{7071F25D-68D6-49A2-9016-3EF4BB09C973},
830,021305,13089021305,213.05,ARC 10,1719,1442,83.9,277,16.1,0,15.9,516,30,151,8.8,680,39.6,888,51.7,524,36.3,918,63.7,{7FECA790-7F8A-4761-9328-A5C84EB2F0CA},
831,021417,13089021417,214.17,ARC 10,2385,2086,87.5,299,12.5,0,6.9,95,4,418,17.5,905,37.9,1062,44.5,376,18,1710,82,{3D531256-9921-4ABC-AB5A-DFC6430D301A},
832,021415,13089021415,214.15,ARC 10,1861,1759,94.5,102,5.5,3.5,5.3,797,42.8,430,23.1,951,51.1,480,25.8,885,50.3,874,49.7,{8560A0E1-0180-4DCF-9617-F67E53E7B02C},
833,021102,13089021102,211.02,ARC 10,2793,2683,96.1,110,3.9,0,0,1074,38.5,505,18.1,1936,69.3,352,12.6,1338,49.9,1345,50.1,{B3ED01A3-B8F2-4455-9230-1E6B41A0887F},
834,021307,13089021307,213.07,ARC 10,1340,1271,94.9,69,5.1,0,4.5,998,74.5,102,7.6,72,5.4,1166,87,779,61.3,492,38.7,{15E16869-7C9E-401F-BCB1-0811B09D2E7C},
835,023601,13089023601,236.01,ARC 10,1251,1070,85.5,181,14.5,7.5,1.9,1097,87.7,172,13.7,110,8.8,969,77.5,715,66.8,355,33.2,{85728515-49ED-409D-B83B-89FA7CB3DDF0},
836,021412,13089021412,214.12,ARC 10,1724,1530,88.7,194,11.3,2.7,10.8,1339,77.7,434,25.2,105,6.1,1185,68.7,1094,71.5,436,28.5,{38E119EF-D435-434F-B801-69E812A4E534},
837,023208,13089023208,232.08,ARC 10,2491,2219,89.1,272,10.9,9.4,3.5,1743,70,185,7.4,907,36.4,1399,56.2,1244,56.1,975,43.9,{34F25607-8B8D-42EC-AD88-0DDE7FE0BCCF},
838,023310,13089023310,233.10,ARC 10,4710,3777,80.2,933,19.8,0,18.9,994,21.1,1689,35.9,1839,39,1182,25.1,814,21.6,2963,78.4,{723523BD-737D-4807-8182-78B1A20F0F6E},
839,020801,13089020801,208.01,ARC 10,1187,1085,91.4,102,8.6,1.3,0,1107,93.3,155,13.1,75,6.3,957,80.6,931,85.8,154,14.2,{9EA2B143-E90C-4D1C-989C-C05D6F03298A},
840,021812,13089021812,218.12,ARC 10,961,855,89,106,11,0,0,582,60.6,32,3.3,167,17.4,762,79.3,555,64.9,300,35.1,{5069F2A8-B01F-499F-93A3-B63106D9E1AE},
841,021214,13089021214,212.14,ARC 10,2068,2068,100,0,0,0,0,1983,95.9,21,1,455,22,1592,77,1993,96.4,75,3.6,{7C57F6AB-0F96-4651-9CFB-658D9392752D},
842,021810,13089021810,218.10,ARC 10,2818,2417,85.8,401,14.2,0,7.3,1554,55.1,927,32.9,533,18.9,1358,48.2,1511,62.5,906,37.5,{51546470-3D2D-46E4-8CEC-410EC500E440},
843,021809,13089021809,218.09,ARC 10,2797,2492,89.1,305,10.9,5.1,15.3,2642,94.5,279,10,420,15,2098,75,2292,92,200,8,{DC1DDE15-5F22-41C0-85A8-15CD77CDDF5B},
844,021808,13089021808,218.08,ARC 10,1879,1803,96,76,4,0,6.9,1063,56.6,103,5.5,546,29.1,1230,65.5,1259,69.8,544,30.2,{82D408C6-882A-4691-B621-81BFD41F53B1},
845,021806,13089021806,218.06,ARC 10,2575,2396,93,179,7,0,2.2,1014,39.4,406,15.8,1006,39.1,1163,45.2,1065,44.4,1331,55.6,{3C428B2E-717D-444B-9F54-B5ED99871050},
846,021805,13089021805,218.05,ARC 10,2619,2327,88.9,292,11.1,5,0,1879,71.7,151,5.8,731,27.9,1737,66.3,1588,68.2,739,31.8,{7F8AF895-44D5-4345-B72F-99DA4DB5B888},
847,021704,13089021704,217.04,ARC 10,2391,2166,90.6,225,9.4,2.4,5,1939,81.1,108,4.5,442,18.5,1841,77,1669,77.1,497,22.9,{AE56B401-C36F-43D3-A0B5-5E0CDA00447C},
848,021703,13089021703,217.03,ARC 10,1895,1796,94.8,99,5.2,0,0,1779,93.9,167,8.8,369,19.5,1359,71.7,1657,92.3,139,7.7,{88CE349B-1F56-4F1C-9115-30720BCB220B},
849,021705,13089021705,217.05,ARC 10,2843,2257,79.4,586,20.6,3.6,15.1,515,18.1,387,13.6,1171,41.2,1285,45.2,668,29.6,1589,70.4,{29D30373-0267-40DB-8CFC-0A252C9F2DB2},
850,021908,13089021908,219.08,ARC 10,2306,1991,86.3,315,13.7,13.8,10.5,665,28.8,487,21.1,610,26.5,1209,52.4,533,26.8,1458,73.2,{66C8CC53-F51C-4220-B7D8-44955F9B29ED},
851,023309,13089023309,233.09,ARC 10,3946,3462,87.7,484,12.3,4.8,8.1,2596,65.8,1270,32.2,2250,57,426,10.8,2096,60.5,1366,39.5,{FF24653D-3F8A-4677-B5C8-52067E2820A2},
852,023211,13089023211,232.11,ARC 10,1382,1134,82.1,248,17.9,0,16.4,845,61.1,37,2.7,952,68.9,393,28.4,599,52.8,535,47.2,{ACABB25E-EDEA-4496-A193-D9E03C82905F},
853,023212,13089023212,232.12,ARC 10,1431,1247,87.1,184,12.9,2.1,6.3,1107,77.4,107,7.5,732,51.2,592,41.4,818,65.6,429,34.4,{52C05294-034B-41F2-8BC1-92917C838D7C},
854,023306,13089023306,233.06,ARC 10,2549,2312,90.7,237,9.3,2.1,0,2343,91.9,891,35,1295,50.8,363,14.2,1905,82.4,407,17.6,{8AFAEBE5-74BE-4629-9FCC-503CB89CBAEF},
855,023303,13089023303,233.03,ARC 10,2765,2281,82.5,484,17.5,5.2,13,1760,63.7,1021,36.9,499,18,1245,45,1369,60,912,40,{725C679D-E942-45A1-99FC-E3597B050E3F},
856,021706,13089021706,217.06,ARC 10,2904,2694,92.8,210,7.2,0,3.3,1465,50.4,378,13,662,22.8,1864,64.2,1659,61.6,1035,38.4,{F0BE3380-5837-4673-852A-81896F830C9A},
857,021211,13089021211,212.11,ARC 10,1938,1884,97.2,54,2.8,2.3,0,1785,92.1,66,3.4,793,40.9,1079,55.7,1758,93.3,126,6.7,{B8ADB3F1-2630-4F75-BF12-226A8AEBD1E2},
858,021210,13089021210,212.10,ARC 10,2037,1980,97.2,57,2.8,1,0,1959,96.2,127,6.2,347,17,1563,76.7,1814,91.6,166,8.4,{9AD3E2C0-40E3-4E69-ABD9-A1DE18072885},
859,021213,13089021213,212.13,ARC 10,1182,1139,96.4,43,3.6,0,0,1128,95.4,42,3.6,360,30.5,780,66,1098,96.4,41,3.6,{A7F9D7A0-A9A5-4881-BE02-B5925EE84FAE},
860,021303,13089021303,213.03,ARC 10,1866,1770,94.9,96,5.1,0,5.3,891,47.7,96,5.1,343,18.4,1427,76.5,726,41,1044,59,{66303169-C5EA-468F-83B1-853C3F9D7DEC},
861,021301,13089021301,213.01,ARC 10,1937,1540,79.5,397,20.5,6.5,19,409,21.1,261,13.5,707,36.5,969,50,318,20.6,1222,79.4,{5069D0D2-E323-4051-B166-B4A25BC096B4},
862,021209,13089021209,212.09,ARC 10,3133,2959,94.4,174,5.6,1.4,5,1071,34.2,1189,38,835,26.7,1109,35.4,1342,45.4,1617,54.6,{03CDD1BC-51F2-413D-BE66-F4451726C3DA},
863,021405,13089021405,214.05,ARC 10,1989,1835,92.3,154,7.7,6,0,1407,70.7,496,24.9,541,27.2,952,47.9,1343,73.2,492,26.8,{F9FA37D6-EE18-4FC7-9BED-0800FDB8F4A2},
864,021208,13089021208,212.08,ARC 10,1932,1710,88.5,222,11.5,8.8,5.7,1089,56.4,721,37.3,128,6.6,1083,56.1,1027,60.1,683,39.9,{3D13642D-1831-41AC-83A2-1B78190F12EB},
865,021204,13089021204,212.04,ARC 10,1178,1026,87.1,152,12.9,0,11.4,91,7.7,37,3.1,61,5.2,1080,91.7,56,5.5,970,94.5,{73DE9425-45C9-4CDA-AEF1-F576B2DCCBC4},
866,021202,13089021202,212.02,ARC 10,3347,3133,93.6,214,6.4,1.1,5.5,2098,62.7,852,25.5,966,28.9,1529,45.7,2400,76.6,733,23.4,{74F13A1B-57C3-4E1A-9384-41467F91160D},
867,023210,13089023210,232.10,ARC 10,2826,2338,82.7,488,17.3,3.9,24.5,1726,61.1,217,7.7,1719,60.8,890,31.5,1086,46.4,1252,53.6,{7961711A-A4A5-4686-8A09-C143865492BA},
868,023209,13089023209,232.09,ARC 10,1937,1690,87.2,247,12.8,0,17.4,1856,95.8,78,4,1095,56.5,764,39.4,1335,79,355,21,{AF63DDEC-693C-4013-AB39-12BECBF9CC93},
869,023603,13089023603,236.03,ARC 10,1543,1317,85.4,226,14.6,4.2,1.9,1031,66.8,241,15.6,161,10.4,1141,73.9,685,52,632,48,{1F668C8F-DE53-4A49-A2AB-FF7A6738B2A2},
870,021603,13089021603,216.03,ARC 10,3069,2635,85.9,434,14.1,2.6,13.1,812,26.5,556,18.1,1401,45.7,1112,36.2,990,37.6,1645,62.4,{914C57B1-7DF2-4FEB-AC55-EFFE6D0F9DA3},
871,090905,13057090905,909.05,ARC 10,1979,1704,86.1,275,13.9,5.2,25.4,1477,74.6,617,31.2,1036,52.3,326,16.5,1149,67.4,555,32.6,{EEB000FD-D422-4A6C-8584-22E444814828},
872,090904,13057090904,909.04,ARC 10,3140,2876,91.6,264,8.4,2.4,11.2,2299,73.2,1098,35,1253,39.9,789,25.1,2019,70.2,857,29.8,{411C204A-579D-4235-AB93-5A2F989EF86A},
873,091007,13057091007,910.07,ARC 10,2371,2281,96.2,90,3.8,4.1,0,2310,97.4,276,11.6,2043,86.2,52,2.2,2125,93.2,156,6.8,{F7D40294-4CDC-449D-8CD1-E5555970F320},
874,090803,13057090803,908.03,ARC 10,3581,3513,98.1,68,1.9,1.6,0,3498,97.7,1836,51.3,1396,39,349,9.7,3212,91.4,301,8.6,{1D5FC832-90DD-458B-81F1-64A924D0ACAB},
875,090804,13057090804,908.04,ARC 10,3343,3234,96.7,109,3.3,0,12.7,3015,90.2,1398,41.8,1374,41.1,571,17.1,2850,88.1,384,11.9,{2AD53120-9675-451B-A766-9E301C75DCD4},
876,091008,13057091008,910.08,ARC 10,3062,2923,95.5,139,4.5,2.4,6.8,2529,82.6,1050,34.3,2012,65.7,0,0,2365,80.9,558,19.1,{C19736E5-A73E-4287-81EF-D79230C6A631},
877,090802,13057090802,908.02,ARC 10,2585,2433,94.1,152,5.9,0,11.7,2550,98.6,864,33.4,1043,40.3,678,26.2,2138,87.9,295,12.1,{A0C039CD-50A4-4CD0-8415-BF80DE6DB42F},
878,090501,13057090501,905.01,ARC 10,2362,2215,93.8,147,6.2,1.6,0,2216,93.8,923,39.1,993,42,446,18.9,1963,88.6,252,11.4,{02BA751D-055F-41DF-9EEC-ADE75C27050B},
879,090902,13057090902,909.02,ARC 10,5687,5507,96.8,180,3.2,0,0,4739,83.3,2707,47.6,2392,42.1,588,10.3,4715,85.6,792,14.4,{4E941C65-E054-4DA0-AD79-9F1337883F74},
880,091001,13057091001,910.01,ARC 10,1611,1583,98.3,28,1.7,0,0,834,51.8,824,51.1,301,18.7,486,30.2,781,49.3,802,50.7,{1105B1FD-4302-46B6-937C-93746635943A},
881,091003,13057091003,910.03,ARC 10,3088,2815,91.2,273,8.8,1.8,11.6,1423,46.1,793,25.7,1663,53.9,632,20.5,1391,49.4,1424,50.6,{1F4B5B5B-311D-4878-B134-1FD93A677A21},
882,091102,13057091102,911.02,ARC 10,3239,2969,91.7,270,8.3,4,10.4,2805,86.6,1103,34.1,1235,38.1,901,27.8,2263,76.2,706,23.8,{9B973CA6-C24D-4DD1-B9EC-E2BA5C2DE987},
883,091101,13057091101,911.01,ARC 10,2324,2061,88.7,263,11.3,3.8,7.9,2114,91,266,11.4,1584,68.2,474,20.4,1701,82.5,360,17.5,{56682360-389F-42E3-9BB2-4E1A4F038E5B},
884,091103,13057091103,911.03,ARC 10,3123,2951,94.5,172,5.5,1.6,0,2827,90.5,785,25.1,1762,56.4,576,18.4,2421,82,530,18,{31E2B250-408E-4ED1-926D-326A33AAC5A6},
885,090701,13057090701,907.01,ARC 10,7427,6974,93.9,453,6.1,3.9,7.6,5711,76.9,4304,58,2768,37.3,355,4.8,5512,79,1462,21,{9E47CEAD-5865-4132-982C-1658C4EDD7BC},
