OBJECTID,TRACTCE10,GEOID10,NAME10,PLNG_REGIO,Pop_wHealth_Insurance,Pct_Pop_wHealth_Ins,Pop_wPriv_Health_Ins,Pct_Pop_wPriv_Health_Ins,Population_with_public_coverage,Pct_Pop_wPub_Health_Ins,Pop_wNo_Health_Ins,Pct_Pop_wNo_Health_Ins,Pop_u18_wNo_Health_Ins,Pct_Pop_u18_wNo_Health_Ins,Pop_18to64_Employed,Pop_18to64_Empl_wNo_Health_Ins,Pct_Pop_18to64_Emp_wNo_Hlth_Ins,Pop_18to64_Unemployed,Pop_18to64_Unemp_wNo_Health_Ins,Pct_Pop_18to64_Unemp_No_HlthIns,Pop_18to64_Not_in_Labor_Force,Pop_18to64_Not_LabFor_NoHlthIns,PctPop_18to64_NotLFor_NoHlthIns,GlobalID,last_edited_date
926,180105,13013180105,1801.05,ARC 20,2440,87.1,2013,71.8,658,23.5,362,12.9,29,3.5,1105,132,11.9,112,54,48.2,525,147,28,{9B1DBDAC-F109-4C6E-822C-7F9DFC9D414D},
927,180104,13013180104,1801.04,ARC 20,1643,83.1,1259,63.7,518,26.2,333,16.9,3,0.5,880,188,21.4,87,65,74.7,253,77,30.4,{254435D5-85D1-47FF-ADCA-C047C25E4851},
928,180107,13013180107,1801.07,ARC 20,2752,71.4,2065,53.6,890,23.1,1101,28.6,265,28.6,1609,389,24.2,259,201,77.6,634,246,38.8,{4BBC70D2-F2EF-4FFE-BA15-58A1FD3D12D5},
929,180108,13013180108,1801.08,ARC 20,2518,78.6,1789,55.9,919,28.7,684,21.4,111,14.3,1504,313,20.8,160,96,60,396,161,40.7,{53F42766-4C97-4AEB-851B-E76A9A581A3A},
930,120104,13223120104,1201.04,ARC 20,2131,90,1971,83.3,401,16.9,236,10,30,5.3,1180,150,12.7,45,14,31.1,289,42,14.5,{54B501B1-C081-4C5D-A0E2-8E2569D041B0},
931,120604,13223120604,1206.04,ARC 20,4839,85.8,4262,75.5,1222,21.7,804,14.2,145,7.7,2400,366,15.3,254,118,46.5,640,175,27.3,{23FA2FC8-8006-4B80-8310-FD9937154C38},
932,120601,13223120601,1206.01,ARC 20,3639,82.9,3175,72.3,711,16.2,753,17.1,38,3.5,2330,405,17.4,178,99,55.6,513,211,41.1,{2F06D440-AEE6-4809-8984-38992E540029},
933,120603,13223120603,1206.03,ARC 20,5149,83,4148,66.9,1349,21.8,1051,17,136,9.7,2935,582,19.8,309,139,45,926,194,21,{592F5B06-49A6-42FF-94CA-8AB777308A7D},
934,120501,13223120501,1205.01,ARC 20,5028,80.9,4018,64.7,1456,23.4,1184,19.1,172,11.1,3111,739,23.8,268,190,70.9,866,83,9.6,{6FC1B402-9C8A-4DB8-B941-F303B500C0D0},
935,120203,13223120203,1202.03,ARC 20,4499,89,3760,74.4,1529,30.3,554,11,51,5.3,2568,239,9.3,237,145,61.2,661,119,18,{559422C8-4C02-4779-A639-64A5463ABF4C},
936,120101,13223120101,1201.01,ARC 20,10728,90.2,10237,86.1,1495,12.6,1168,9.8,492,12.7,5469,276,5,485,186,38.4,1136,214,18.8,{8EBEF279-E569-4DD4-8FE1-667D7FF5575B},
937,120502,13223120502,1205.02,ARC 20,7769,86.1,6308,69.9,2227,24.7,1254,13.9,66,2.8,4309,686,15.9,626,278,44.4,1187,224,18.9,{6A7090CA-6923-4071-A4D0-C76B16756CF5},
938,120503,13223120503,1205.03,ARC 20,4021,76.5,3497,66.5,983,18.7,1235,23.5,167,12,2524,699,27.7,196,104,53.1,718,265,36.9,{D3458230-CB03-4A29-9569-DAF6A03A4596},
939,120605,13223120605,1206.05,ARC 20,5387,86.8,4489,72.3,1386,22.3,820,13.2,221,13.8,2728,195,7.1,180,88,48.9,1070,316,29.5,{3B009BC6-D673-4C25-BEB7-9073C18B2395},
940,120602,13223120602,1206.02,ARC 20,8883,91.6,7263,74.9,2536,26.1,819,8.4,163,5.1,4253,369,8.7,328,95,29,1290,192,14.9,{50CAE5FF-B2F8-4063-9F49-35165C4A4A0D},
941,120204,13223120204,1202.04,ARC 20,5707,85.7,4595,69,1612,24.2,954,14.3,130,8.4,3041,350,11.5,156,66,42.3,1120,408,36.4,{95FF6082-2019-4D5C-8EE7-3AFC179CA66B},
942,120301,13223120301,1203.01,ARC 20,4357,82.4,3268,61.8,1744,33,932,17.6,75,5.4,2253,515,22.9,343,147,42.9,573,195,34,{FBEBBCAE-F526-4287-97CD-0495E443C4FB},
943,120303,13223120303,1203.03,ARC 20,1534,83.7,1150,62.7,535,29.2,299,16.3,35,6.6,703,168,23.9,51,29,56.9,312,67,21.5,{5F62A510-7588-4562-94C3-2AD75B47F3A6},
944,120102,13223120102,1201.02,ARC 20,10351,90,8594,74.7,2611,22.7,1146,10,193,5.4,5639,574,10.2,348,163,46.8,1189,216,18.2,{F4827001-A1E5-4045-B184-B3916730E5F6},
945,120103,13223120103,1201.03,ARC 20,8870,91.9,7928,82.1,1592,16.5,782,8.1,56,1.7,4129,426,10.3,285,122,42.8,1085,178,16.4,{421DCEE6-5BDB-4CCD-8A14-B069ED05920D},
946,120302,13223120302,1203.02,ARC 20,11263,81.4,9163,66.2,3008,21.7,2570,18.6,598,13.5,6173,1032,16.7,848,304,35.8,1443,636,44.1,{FA752340-0726-42D9-A735-5B581AB9EEA9},
947,120202,13223120202,1202.02,ARC 20,6758,87.3,5811,75,1993,25.7,986,12.7,120,6.5,3716,548,14.7,157,110,70.1,1031,186,18,{91645667-3417-4FE1-83C1-516BDAF1B328},
948,120400,13223120400,1204,ARC 20,15976,87.4,12467,68.2,4715,25.8,2302,12.6,418,7.8,8027,1285,16,735,343,46.7,2507,256,10.2,{57FB12A7-C835-449F-AE78-D06392FC8507},
