OBJECTID,TRACTCE10,GEOID10,NAME10,PLNG_REGIO,Pop_wHealth_Insurance,Pct_Pop_wHealth_Ins,Pop_wPriv_Health_Ins,Pct_Pop_wPriv_Health_Ins,Population_with_public_coverage,Pct_Pop_wPub_Health_Ins,Pop_wNo_Health_Ins,Pct_Pop_wNo_Health_Ins,Pop_u18_wNo_Health_Ins,Pct_Pop_u18_wNo_Health_Ins,Pop_18to64_Employed,Pop_18to64_Empl_wNo_Health_Ins,Pct_Pop_18to64_Emp_wNo_Hlth_Ins,Pop_18to64_Unemployed,Pop_18to64_Unemp_wNo_Health_Ins,Pct_Pop_18to64_Unemp_No_HlthIns,Pop_18to64_Not_in_Labor_Force,Pop_18to64_Not_LabFor_NoHlthIns,PctPop_18to64_NotLFor_NoHlthIns,GlobalID,last_edited_date
760,022401,13089022401,224.01,ARC 10,3566,94.9,3441,91.5,319,8.5,193,5.1,9,1.6,2290,29,1.3,56,0,0,547,155,28.3,{A92B564B-D8CC-4AC4-9582-B47B2F48F61D},
761,020900,13089020900,209,ARC 10,4653,81.6,3450,60.5,1654,29,1047,18.4,214,22.4,2748,268,9.8,193,59,30.6,978,506,51.7,{74607ECC-9B68-4262-8AB4-016BC5E34076},
762,020700,13089020700,207,ARC 10,2008,89.4,1593,71,587,26.1,237,10.6,5,1.3,1213,136,11.2,74,12,16.2,342,84,24.6,{E5D11F6E-C58F-462E-A048-0BC236DDEDD9},
763,020600,13089020600,206,ARC 10,1789,87.3,1261,61.5,601,29.3,260,12.7,38,8.4,1094,138,12.6,83,41,49.4,250,43,17.2,{AA3FAD85-4E79-4E97-82E7-1D463EE5791B},
764,020500,13089020500,205,ARC 10,2494,85.6,1985,68.1,783,26.9,421,14.4,0,0,1483,210,14.2,194,96,49.5,362,115,31.8,{6E0996CC-7A60-4D12-9888-6E3076417658},
765,021410,13089021410,214.10,ARC 10,3290,61.3,1978,36.9,1467,27.3,2074,38.7,142,11.9,3265,1589,48.7,141,88,62.4,462,255,55.2,{62382584-1198-4214-A1A1-F408BDB2927E},
766,021216,13089021216,212.16,ARC 10,7794,91.3,7469,87.5,955,11.2,746,8.7,155,8.5,4701,333,7.1,424,132,31.1,958,98,10.2,{5FD48EC9-6D6F-42B1-A1B4-423AD982B050},
767,021911,13089021911,219.11,ARC 10,1327,60.6,510,23.3,860,39.3,862,39.4,69,9.6,922,475,51.5,417,318,76.3,112,0,0,{0B094A0B-E1B3-49E7-940C-ADF8AD6AC158},
768,020802,13089020802,208.02,ARC 10,3874,91.3,2873,67.7,1327,31.3,368,8.7,59,5.6,2026,235,11.6,151,25,16.6,561,30,5.3,{4AF626B3-D3E6-400D-8035-4144F9DDF399},
769,021416,13089021416,214.16,ARC 10,1789,69,1202,46.4,646,24.9,803,31,41,5.8,1479,554,37.5,119,112,94.1,232,96,41.4,{E6DA9E1C-A8A6-4327-BEA1-C34898E8E61E},
770,021413,13089021413,214.13,ARC 10,2346,52.4,1089,24.3,1383,30.9,2135,47.6,278,17,2074,1309,63.1,63,41,65.1,555,487,87.7,{1ADA7043-5C1D-4B3E-A626-E861097B1690},
771,021411,13089021411,214.11,ARC 10,3262,91.9,3111,87.6,263,7.4,288,8.1,0,0,2588,171,6.6,46,26,56.5,382,91,23.8,{3801F169-96B1-420A-89BC-4FCE19320A92},
772,020400,13089020400,204,ARC 10,2428,93.9,2369,91.6,207,8,157,6.1,0,0,1622,107,6.6,65,50,76.9,182,0,0,{BC7C7841-1E07-42D5-A9AE-8002A39E629D},
773,020300,13089020300,203,ARC 10,3596,94.2,3464,90.7,283,7.4,223,5.8,12,1.4,2316,130,5.6,70,21,30,402,60,14.9,{47A341BE-7EF5-4455-A2D2-F51103AB8020},
774,020100,13089020100,201,ARC 10,1883,98.7,1804,94.5,185,9.7,25,1.3,0,0,1036,0,0,45,7,15.6,220,18,8.2,{B9C3FEC0-A676-43A7-A367-003DC71B9041},
775,023802,13089023802,238.02,ARC 10,2640,71.1,1645,44.3,1207,32.5,1071,28.9,170,20.5,1529,433,28.3,268,99,36.9,792,369,46.6,{0EF639E1-FA8D-4EB6-B9BB-DCA7EFE00753},
776,023801,13089023801,238.01,ARC 10,2803,78.3,2176,60.8,904,25.3,775,21.7,89,18.9,1915,366,19.1,215,64,29.8,519,256,49.3,{41F19E31-B3A5-4C36-A584-4BA86DA8D21C},
777,023700,13089023700,237,ARC 10,4460,78.2,2348,41.2,2500,43.9,1240,21.8,72,5.3,2174,623,28.7,498,196,39.4,989,348,35.2,{739AD856-A125-40F9-88D7-49A8306AD506},
778,023506,13089023506,235.06,ARC 10,4356,76.1,2458,42.9,2582,45.1,1367,23.9,66,5.5,2366,789,33.3,430,231,53.7,846,243,28.7,{53C5081A-9E1C-42D8-83B9-C825824B41B1},
779,023505,13089023505,235.05,ARC 10,1849,74.8,1232,49.9,962,38.9,622,25.2,6,2,869,241,27.7,341,246,72.1,478,129,27,{819C82F6-C1E5-495E-A1F0-3F9793E8FFD8},
780,023427,13089023427,234.27,ARC 10,2459,86.6,1914,67.4,947,33.4,379,13.4,0,0,1405,220,15.7,115,69,60,365,90,24.7,{7820B576-D251-410C-9C10-81E2B1BA2C55},
781,023424,13089023424,234.24,ARC 10,4630,78.6,3778,64.1,1289,21.9,1264,21.4,289,18.3,2368,386,16.3,686,264,38.5,850,325,38.2,{5D9400CE-1E0F-44D0-86DE-D4B8463AED08},
782,023422,13089023422,234.22,ARC 10,4405,89.3,3261,66.1,1492,30.2,528,10.7,98,7.3,2553,299,11.7,275,59,21.5,555,72,13,{34C24BF4-72F5-49DE-A450-167D38D1DE4F},
783,023421,13089023421,234.21,ARC 10,6317,81.1,3990,51.2,2790,35.8,1473,18.9,209,8.5,3554,777,21.9,736,369,50.1,792,118,14.9,{F5F3FB26-61C2-409C-A1AF-CCDA2B88D8FB},
784,023315,13089023315,233.15,ARC 10,4080,85.9,3329,70.1,989,20.8,670,14.1,56,3.7,2255,331,14.7,201,90,44.8,527,193,36.6,{B2B7455E-E7E6-4003-822D-5E86633B2955},
785,023314,13089023314,233.14,ARC 10,4248,83.5,3151,61.9,1499,29.5,841,16.5,68,5.4,2430,562,23.1,420,168,40,546,43,7.9,{CD7D8993-9CFA-453F-BAC5-650293657050},
786,023115,13089023115,231.15,ARC 10,0,,0,,0,,0,,0,,0,0,,0,0,,0,0,,{4635255D-76B7-49AC-B019-05BCCF67C4CD},
787,023413,13089023413,234.13,ARC 10,3074,90.1,2512,73.7,1111,32.6,336,9.9,57,8.8,1166,93,8,212,109,51.4,732,77,10.5,{CA61B869-AFD7-4FF7-AECD-F97A0C069EB0},
788,023414,13089023414,234.14,ARC 10,5506,85.2,4180,64.7,2187,33.9,953,14.8,250,14.9,2497,334,13.4,297,176,59.3,991,193,19.5,{79B5A82C-DFCA-4271-8510-E66138FB2802},
