OBJECTID,TRACTCE10,GEOID10,NAME10,PLNG_REGIO,Civilian_nonInstitutional_Pop,Civ_nonInstitution_Pop_wDisabil,Pct_Civ_nonInstitut_Pop_wDisab,Civ_nonInstitut_Pop_under_18yrs,Civ_nonInst_under18_wDisab,Pct_Civ_nonInst_under18_wDisab,Civ_nonInst_Pop_18_to_64,Civ_nonInst_18_to_64_wDisab,Pct_Civ_nonInst_18to64_wDisab,Civ_nonInst_Pop_65years_up,Civ_nonInst_65up_wDisab,Pct_Civ_nonInst_65up_wDisab,GlobalID,last_edited_date
708,080403,13097080403,804.03,ARC 10,4890,876,17.9,1223,12,11.6,3060,428,14,607,306,50.4,{C6020C32-3DCC-4C90-8A6A-F2E9BB0350D0},
709,080103,13097080103,801.03,ARC 10,6950,645,9.3,1742,1,0.8,4811,461,9.6,397,170,42.8,{684512B8-BC0E-4C2E-98B7-F8B324BBF330},
710,080604,13097080604,806.04,ARC 10,9712,879,9.1,2876,4,4.1,6217,602,9.7,619,159,25.7,{DF5B45FE-7FF7-48D0-B90F-868651C9567A},
711,170304,13077170304,1703.04,ARC 20,6682,505,7.6,1644,1,0.6,4192,128,3.1,846,367,43.4,{48886F81-8EA2-4497-8BB9-C2AD6552ADF0},
712,170303,13077170303,1703.03,ARC 20,5214,502,9.6,1386,4,4.3,3204,251,7.8,624,191,30.6,{71AB59BD-C7F1-44E6-827D-9A7198727D10},
713,170802,13077170802,1708.02,ARC 20,4416,623,14.1,981,2,1.7,2721,330,12.1,714,276,38.7,{E8930194-748E-4EC2-B642-3EAFFE907E06},
714,170801,13077170801,1708.01,ARC 20,5598,628,11.2,1490,4,3.7,3502,338,9.7,606,235,38.8,{5319CB40-C338-4407-ADA0-3665ACCCB0FF},
715,170700,13077170700,1707,ARC 20,6832,866,12.7,1409,1,0.9,4575,445,9.7,848,409,48.2,{C04EF1DC-BD63-4A55-AE07-87ACFA02EB40},
716,170402,13077170402,1704.02,ARC 20,9770,940,9.6,2605,1,0.6,5973,487,8.2,1192,438,36.7,{E7568161-3487-4772-B9A5-0AB848719379},
717,170200,13077170200,1702,ARC 20,6961,801,11.5,1704,4,3.9,4419,399,9,838,336,40.1,{865D6499-D5FF-42F5-9A67-D8E7D666D433},
718,170100,13077170100,1701,ARC 20,7620,1036,13.6,2065,6,5.9,4445,498,11.2,1110,417,37.6,{1D142793-0F65-4D78-8476-11B6AD095DC4},
719,080201,13097080201,802.01,ARC 10,5811,969,16.7,1971,6,5.7,3070,547,17.8,770,309,40.1,{C1DDD105-C17C-4320-97B1-0D752AA86599},
720,080506,13097080506,805.06,ARC 10,5243,609,11.6,1406,1,0.6,3066,305,9.9,771,295,38.3,{E4AFDBCB-BE69-4290-A326-E399EDC2450C},
721,080505,13097080505,805.05,ARC 10,4842,705,14.6,1203,5,4.7,3080,428,13.9,559,220,39.4,{4A517074-9638-4FA7-82CC-DEA9C06080E6},
722,080202,13097080202,802.02,ARC 10,10242,1325,12.9,2760,2,2.2,6486,827,12.8,996,437,43.9,{5992266A-8B44-4C25-A1A2-987C4A9D1BDC},
723,080507,13097080507,805.07,ARC 10,3675,515,14,989,11,10.7,2296,258,11.2,390,151,38.7,{E6C7A692-37D3-4440-9275-8FF56A09BADC},
724,080402,13097080402,804.02,ARC 10,8130,1069,13.1,2008,7,7,5051,494,9.8,1071,434,40.5,{D4B25322-E150-425B-94BA-2E8CE126F13E},
725,080301,13097080301,803.01,ARC 10,12344,1652,13.4,4274,4,4,7012,884,12.6,1058,595,56.2,{0B8AF8E5-23AF-46DF-A6A5-1FBA59A65B9A},
726,980000,13089980000,9800,ARC 10,0,0,,0,,,0,0,,0,0,,{60D71407-FAD0-47D6-BDA7-9AB075F8C5F4},
727,023428,13089023428,234.28,ARC 10,9704,837,8.6,2818,2,2.4,6401,660,10.3,485,110,22.7,{E47DB099-924E-43B5-9F18-3F3D85527CAB},
