OBJECTID,TRACTCE10,GEOID10,NAME10,PLNG_REGIO,Pop_PovertyStatus_Determined,Population_in_poverty,Percent_Population_in_poverty,Pop_under18_PovStatus_Determine,Pop_under18_inPoverty,Pct_Pop_u18_in_Poverty,Pop_18_64_PovStatus_Determ,Pop_18_64_Years_in_Poverty,Pct_Pop_18_64_Years_inPoverty,Pop_65older_PovStatusDetermined,Pop_65older_in_Poverty,Pct_Pop_65older_inPoverty,GlobalID,last_edited_date
468,010800,13121010800,108,ARC 10,6649,1266,19,1672,423,25.3,4458,831,18.6,519,12,2.3,{786DB6E9-2B28-4177-A281-B4114C72DF6F},
469,980000,13121980000,9800,ARC 10,0,0,,0,0,,0,0,,0,0,,{1D0044C8-89B9-4F69-9B67-C86468475CDB},
470,004300,13121004300,43,ARC 10,1181,474,40.1,175,75,42.9,981,385,39.2,25,14,56,{9753CD6C-0478-4C89-B0E1-696AACD7AAA1},
471,008904,13121008904,89.04,ARC 10,4572,628,13.7,681,125,18.4,3217,406,12.6,674,97,14.4,{2B6D0722-5C6A-4449-AD2E-921ABCE5407C},
472,008903,13121008903,89.03,ARC 10,1684,269,16,308,89,28.9,1330,174,13.1,46,6,13,{F3C2F7E1-DC8C-4243-B981-B5A5B9B6D882},
473,001001,13121001001,10.01,ARC 10,1328,246,18.5,56,0,0,1195,237,19.8,77,9,11.7,{B6B81186-A0D0-454A-B41D-2722A343435A},
474,009101,13121009101,91.01,ARC 10,4562,490,10.7,452,0,0,3507,378,10.8,603,112,18.6,{38B071D1-D65F-41ED-8A6C-9B2B551B7A9A},
475,001201,13121001201,12.01,ARC 10,3903,428,11,136,0,0,3385,351,10.4,382,77,20.2,{2482DAF3-8259-4BFF-B0ED-AC1A75C9F80D},
476,001202,13121001202,12.02,ARC 10,3898,364,9.3,106,0,0,3608,364,10.1,184,0,0,{23BC61E8-A213-421A-9844-8B1409EC396F},
477,009102,13121009102,91.02,ARC 10,3108,540,17.4,417,38,9.1,2604,466,17.9,87,36,41.4,{B55C7180-3756-4EDD-A87B-22A295F0D0BC},
478,010108,13121010108,101.08,ARC 10,3599,177,4.9,765,24,3.1,2276,143,6.3,558,10,1.8,{E3B6941A-2C19-4489-9210-1DF6ECC51D5F},
479,007500,13121007500,75,ARC 10,3259,1504,46.1,707,432,61.1,2216,928,41.9,336,144,42.9,{842EBA19-03BA-4D19-87EA-C6C1321E4B41},
480,008101,13121008101,81.01,ARC 10,1131,322,28.5,176,116,65.9,686,171,24.9,269,35,13,{2AFA6AAA-A448-423D-883A-FAFAEB02F649},
481,006000,13121006000,60,ARC 10,3260,1448,44.4,876,590,67.4,1921,731,38.1,463,127,27.4,{A9A1F37F-5B50-408F-BD3E-AE6CED646148},
482,000700,13121000700,7,ARC 10,829,274,33.1,101,19,18.8,655,255,38.9,73,0,0,{8D5C78B4-CE2A-449E-BFE7-638AFDC88D86},
483,001002,13121001002,10.02,ARC 10,911,375,41.2,12,0,0,886,375,42.3,13,0,0,{0F840FC1-D6D1-4E19-9A09-CB186D88451C},
484,011410,13121011410,114.10,ARC 10,6696,204,3,1440,65,4.5,4056,117,2.9,1200,22,1.8,{E55302DA-7541-43B8-9C85-02C1D17A421E},
485,010107,13121010107,101.07,ARC 10,1917,49,2.6,448,0,0,1065,32,3,404,17,4.2,{8FA7BAF0-CD6C-47CF-A753-41761144AC9F},
486,011405,13121011405,114.05,ARC 10,7848,1584,20.2,1709,608,35.6,5493,872,15.9,646,104,16.1,{FB2D07E1-0BE1-4FE1-B0BC-1FA0284F2C31},
487,010106,13121010106,101.06,ARC 10,4067,317,7.8,819,73,8.9,2693,195,7.2,555,49,8.8,{4C44DBB8-E9F3-4966-B1C6-C91073592148},
488,002900,13121002900,29,ARC 10,2506,425,17,114,9,7.9,2252,352,15.6,140,64,45.7,{AE78C097-DFA1-41C2-9160-6DA5A33BD7FD},
489,010110,13121010110,101.10,ARC 10,5483,559,10.2,955,208,21.8,3467,268,7.7,1061,83,7.8,{1BE81139-5BA8-457C-AD22-6431C2919949},
490,010205,13121010205,102.05,ARC 10,4978,300,6,928,0,0,3142,202,6.4,908,98,10.8,{CA12BD52-48FE-4334-89DE-16B99966E80D},
491,010210,13121010210,102.10,ARC 10,5788,351,6.1,1239,89,7.2,3844,225,5.9,705,37,5.2,{8403AB90-C361-4454-887B-89810B9B77B7},
492,010209,13121010209,102.09,ARC 10,5775,440,7.6,1185,46,3.9,4445,379,8.5,145,15,10.3,{63A98D6D-80AC-4993-B990-A0F1DF42194D},
493,008902,13121008902,89.02,ARC 10,6537,1212,18.5,633,0,0,5651,1187,21,253,25,9.9,{4205FF8E-8E86-42E2-81BA-62859C280934},
494,008500,13121008500,85,ARC 10,3035,873,28.8,702,391,55.7,1698,406,23.9,635,76,12,{AC725397-5ACF-405F-9684-C7C18222D146},
495,008601,13121008601,86.01,ARC 10,4250,1813,42.7,1274,894,70.2,2329,838,36,647,81,12.5,{0635CC11-2CBD-48AE-9325-468990E7074E},
496,005800,13121005800,58,ARC 10,2023,952,47.1,564,457,81,1322,479,36.2,137,16,11.7,{96F8C631-23E0-4699-8B02-D223DC66CA6A},
497,007900,13121007900,79,ARC 10,5723,624,10.9,793,161,20.3,3538,364,10.3,1392,99,7.1,{7CFA1686-C944-432B-9D56-C49BD4511F0B},
498,010601,13121010601,106.01,ARC 10,3587,1302,36.3,914,486,53.2,2363,730,30.9,310,86,27.7,{F5957129-42E5-4082-8BCA-42FFC9C9D8C9},
499,008700,13121008700,87,ARC 10,4358,1347,30.9,817,483,59.1,2713,712,26.2,828,152,18.4,{FB33315F-633B-4A26-8B83-2EDE4ADF88F8},
