OBJECTID,TRACTCE10,GEOID10,NAME10,PLNG_REGIO,U_S__Native,Percent_U_S__Native,USnative_Born_in_US,Pct_USnative_Born_US,USnative_Born_State_Resid,Pct_USnative_Born_State_Resid,US_Native_Born_Diff_State,Pct_US_Natv_Born_inDiff_State,Foreign_Born,Percent_Foreign_Born,ForBorn_Nat_UScitizen,Pct_ForBorn_Nat_UScitizen,ForeignBorn_notUS_Citizen,Pct_ForBorn_notUS_Citizen,GlobalID,last_edited_date
613,001900,13121001900,19,ARC 10,4368,87.8,4249,85.4,1929,38.8,2320,46.6,609,12.2,183,30,426,70,{EBA2BE1E-E4F1-4D3A-8C75-056FF55969FB},
614,002100,13121002100,21,ARC 10,2471,88.7,2461,88.4,1174,42.2,1287,46.2,314,11.3,129,41.1,185,58.9,{823E29F3-A76E-4CB3-A70B-B3F1EB3F272F},
615,004400,13121004400,44,ARC 10,2457,97.9,2418,96.4,1873,74.7,545,21.7,52,2.1,12,23.1,40,76.9,{E0498E76-320D-4502-A358-2997D44A8421},
616,003200,13121003200,32,ARC 10,2057,95.7,2006,93.3,743,34.6,1263,58.7,93,4.3,46,49.5,47,50.5,{05FD737C-6C88-414E-87FF-D8A7771E2DEC},
617,004200,13121004200,42,ARC 10,2180,97.9,2162,97.1,1359,61,803,36.1,47,2.1,20,42.6,27,57.4,{86129D4F-8118-4DF3-9E44-35472BDDD29F},
618,003800,13121003800,38,ARC 10,3535,91.3,3484,90,1068,27.6,2416,62.4,337,8.7,50,14.8,287,85.2,{A2751663-0D86-4239-8290-FB4D2103A90F},
619,002500,13121002500,25,ARC 10,2178,98.8,2165,98.2,1528,69.3,637,28.9,27,1.2,8,29.6,19,70.4,{57A4B319-7D9B-407E-A058-5D469E6E7C9E},
620,002300,13121002300,23,ARC 10,1226,98.6,1226,98.6,948,76.2,278,22.3,18,1.4,0,0,18,100,{0FB48982-FD14-4A71-8A79-D0445551CDFE},
621,001608,13139001608,16.08,ARC 20,5311,94.6,5286,94.1,2500,44.5,2786,49.6,304,5.4,135,44.4,169,55.6,{7D4EC42A-CC25-4723-A2F7-70E5EEE75F90},
622,001603,13139001603,16.03,ARC 20,4672,87.8,4616,86.7,2659,49.9,1957,36.8,652,12.2,327,50.2,325,49.8,{5BF22962-4190-40DA-914C-E50DFD44EDDF},
623,010118,13121010118,101.18,ARC 10,3998,73.6,3939,72.5,1684,31,2255,41.5,1436,26.4,412,28.7,1024,71.3,{82D44A22-6D77-4938-86B4-3D1A267335A9},
624,010113,13121010113,101.13,ARC 10,5294,78.5,4982,73.8,2755,40.8,2227,33,1454,21.5,559,38.4,895,61.6,{32D071D7-60F5-46A6-9391-6854C1AD1CA5},
625,010115,13121010115,101.15,ARC 10,1982,84.6,1966,83.9,719,30.7,1247,53.2,360,15.4,276,76.7,84,23.3,{A36E6A79-559E-4CC6-8FD7-22E92CCB3FB7},
626,010122,13121010122,101.22,ARC 10,4007,63.9,3838,61.2,1622,25.9,2216,35.3,2262,36.1,337,14.9,1925,85.1,{CB8FA5AD-5FDB-4780-B478-131B76937005},
627,010114,13121010114,101.14,ARC 10,5821,79.2,5612,76.4,3226,43.9,2386,32.5,1528,20.8,513,33.6,1015,66.4,{CC2C3DF4-D7C2-4C6F-8851-E6037895EA17},
628,000600,13121000600,6,ARC 10,4523,76.6,4345,73.6,1347,22.8,2998,50.8,1383,23.4,212,15.3,1171,84.7,{F78E2748-AF54-44F1-9052-B520F249F075},
629,006601,13121006601,66.01,ARC 10,2199,99.2,2164,97.6,1444,65.1,720,32.5,18,0.8,4,22.2,14,77.8,{0A28735D-FB7B-4FDB-95AF-42BCB51315D5},
630,006602,13121006602,66.02,ARC 10,1341,98,1327,96.9,1105,80.7,222,16.2,28,2,20,71.4,8,28.6,{7A5EC48E-0EC7-4885-9189-4731B83D9BEA},
631,006200,13121006200,62,ARC 10,1459,98.9,1455,98.6,1012,68.6,443,30,16,1.1,16,100,0,0,{EACE860B-D791-4C6E-BB90-86ADE18949E3},
632,006100,13121006100,61,ARC 10,3669,99.9,3669,99.9,2676,72.9,993,27,3,0.1,0,0,3,100,{ADDF98FB-6C4C-4E60-BDAF-BB5407053CB6},
633,001600,13121001600,16,ARC 10,1999,95.6,1964,94,543,26,1421,68,91,4.4,29,31.9,62,68.1,{C73E5CAA-22C3-44ED-8DC3-7B121FA53686},
634,003100,13121003100,31,ARC 10,1803,95.5,1793,95,917,48.6,876,46.4,84,4.5,25,29.8,59,70.2,{69C5DDE8-E4A5-41A1-B516-CDD60B461DCA},
635,006802,13121006802,68.02,ARC 10,1947,97.7,1941,97.4,1868,93.8,73,3.7,45,2.3,15,33.3,30,66.7,{581DC03C-A7B0-416E-B829-19290AD8D15D},
636,007602,13121007602,76.02,ARC 10,2528,98.4,2528,98.4,1868,72.7,660,25.7,42,1.6,5,11.9,37,88.1,{FE801F5B-671D-4218-AA10-563227A4990B},
637,001606,13139001606,16.06,ARC 20,3335,87.1,3299,86.1,1794,46.8,1505,39.3,495,12.9,343,69.3,152,30.7,{0D9C6EF1-2E1D-45AA-8400-CC1DB36EC21E},
638,001101,13139001101,11.01,ARC 20,2286,47.6,2244,46.7,1838,38.2,406,8.4,2521,52.4,229,9.1,2292,90.9,{5C93ED6C-FBC5-4F63-924B-C5FC7833E6AB},
639,001605,13139001605,16.05,ARC 20,4878,91.1,4805,89.8,2753,51.4,2052,38.3,475,8.9,246,51.8,229,48.2,{90979BA5-FA99-4AEC-A946-48FA3C87AE4F},
640,001604,13139001604,16.04,ARC 20,6116,90.9,5999,89.2,3328,49.5,2671,39.7,609,9.1,177,29.1,432,70.9,{9F4D6297-99F0-4E5C-8212-EE56072EABBD},
641,001502,13139001502,15.02,ARC 20,4491,90.5,4475,90.2,2030,40.9,2445,49.3,469,9.5,334,71.2,135,28.8,{AA9AFA49-E09D-440D-BC50-AFDE96DD8D73},
642,001607,13139001607,16.07,ARC 20,4367,91.2,4349,90.9,2016,42.1,2333,48.7,419,8.8,174,41.5,245,58.5,{97AA97A6-B72D-4DA8-A30B-E3038AF6AFF5},
643,001302,13139001302,13.02,ARC 20,4825,92.3,4784,91.5,3133,59.9,1651,31.6,404,7.7,240,59.4,164,40.6,{BC6C21C7-A896-4EF6-950F-C105A4194423},
644,001301,13139001301,13.01,ARC 20,5024,83.9,4898,81.8,3300,55.1,1598,26.7,962,16.1,269,28,693,72,{DDFE3FD4-1784-44A4-9A8A-831B011975C1},
645,001403,13139001403,14.03,ARC 20,2733,74.8,2703,74,1873,51.3,830,22.7,920,25.2,327,35.5,593,64.5,{50F00C02-06C4-405B-B53F-35E826A004BD},
646,001404,13139001404,14.04,ARC 20,4269,82.2,4117,79.3,2574,49.6,1543,29.7,923,17.8,263,28.5,660,71.5,{43E3700E-D8FD-4777-88D0-C66FEF244B6B},
647,010212,13121010212,102.12,ARC 10,3542,70.4,3481,69.2,1723,34.3,1758,35,1486,29.6,182,12.2,1304,87.8,{685C23C6-BEB0-4832-9F99-C2FEA09FB581},
648,009802,13121009802,98.02,ARC 10,3965,88.4,3863,86.2,1459,32.5,2404,53.6,519,11.6,297,57.2,222,42.8,{633E9B84-5AE9-422A-AAEC-ED2D7067C869},
649,009403,13121009403,94.03,ARC 10,3321,66.8,3309,66.6,1280,25.7,2029,40.8,1651,33.2,119,7.2,1532,92.8,{9D37ED2F-5778-45A7-8DB4-FD1128A87BCB},
650,009404,13121009404,94.04,ARC 10,4298,89.2,4162,86.3,1548,32.1,2614,54.2,523,10.8,238,45.5,285,54.5,{DB2665FF-C06F-4216-B7EC-142CD052B0B0},
651,010001,13121010001,100.01,ARC 10,3928,87.2,3910,86.8,1733,38.5,2177,48.3,576,12.8,157,27.3,419,72.7,{123852E4-4C42-4A1E-9F0D-DFF0376C9FDC},
652,009602,13121009602,96.02,ARC 10,4262,92.2,4163,90,1335,28.9,2828,61.1,363,7.8,206,56.7,157,43.3,{ECC186C6-B0B5-463E-AFDB-7B9B43562743},
